Date,Open,High,Low,Close,Volume,OpenInt
2006-06-16,39.62,39.701,39.501,39.581,13900,0
2006-06-19,39.694,39.694,39.219,39.372,10364,0
2006-06-20,39.453,39.453,39.445,39.445,1644,0
2006-06-21,39.381,39.671,39.381,39.556,9734,0
2006-06-22,39.453,39.453,39.315,39.315,4173,0
2006-06-23,39.315,39.43,39.211,39.299,11373,0
2006-06-26,39.43,39.528,39.423,39.528,4173,0
2006-06-27,39.453,39.453,39.275,39.275,4552,0
2006-06-28,39.439,39.518,39.333,39.518,3287,0
2006-06-29,39.791,40.193,39.717,40.193,4173,0
2006-06-30,40.347,40.347,40.274,40.298,4043,0
2006-07-03,40.387,40.576,40.347,40.576,7585,0
2006-07-05,40.466,40.497,40.298,40.402,91400,0
2006-07-06,40.356,40.718,40.356,40.576,7080,0
2006-07-07,40.727,40.804,40.691,40.709,8085,0
2006-07-10,40.621,40.877,40.621,40.744,21745,0
2006-07-11,40.666,40.812,40.535,40.812,8339,0
2006-07-12,40.797,40.868,40.425,40.474,13781,0
2006-07-13,40.364,40.364,40.078,40.129,10494,0
2006-07-14,39.888,39.944,39.671,39.865,85451,0
2006-07-17,39.783,39.901,39.664,39.896,3412,0
2006-07-18,39.935,39.935,39.841,39.927,3916,0
2006-07-19,40.66,40.845,40.66,40.836,12265,0
2006-07-20,40.852,40.961,40.718,40.718,10494,0
2006-07-21,40.752,40.752,40.56,40.599,2909,0
2006-07-24,40.784,41.163,40.761,41.148,20224,0
2006-07-25,41.216,41.462,41.163,41.462,4299,0
2006-07-26,41.416,41.641,41.409,41.61,8465,0
2006-07-27,41.73,41.761,41.374,41.423,12896,0
2006-07-28,41.511,42.037,41.455,41.989,16306,0
2006-07-31,41.899,41.899,41.73,41.838,9227,0
2006-08-01,41.563,41.77,41.563,41.77,15424,0
2006-08-02,41.73,41.966,41.73,41.89,10743,0
2006-08-03,41.82,42.03,41.82,42.03,2276,0
2006-08-04,42.145,42.333,42.03,42.092,45886,0
2006-08-07,42.06,42.06,41.854,41.854,7708,0
2006-08-08,42.014,42.044,41.787,41.787,7840,0
2006-08-09,41.89,42.101,41.55,41.55,7459,0
2006-08-10,41.423,41.688,41.391,41.676,12008,0
2006-08-11,41.61,41.61,41.338,41.494,31608,0
2006-08-14,41.676,41.89,41.555,41.563,17320,0
2006-08-15,42.037,42.083,41.915,42.083,24898,0
2006-08-16,42.179,42.271,42.151,42.229,16179,0
2006-08-17,42.197,42.286,42.126,42.229,17191,0
2006-08-18,42.324,42.447,42.246,42.447,11373,0
2006-08-21,42.365,42.42,42.333,42.374,17698,0
2006-08-22,42.374,42.494,42.324,42.47,15043,0
2006-08-23,42.479,42.503,42.246,42.309,14405,0
2006-08-24,42.454,42.454,42.342,42.447,4925,0
2006-08-25,42.374,42.432,42.342,42.412,14405,0
2006-08-28,42.246,42.696,42.246,42.651,55621,0
2006-08-29,42.611,42.703,42.47,42.703,18075,0
2006-08-30,42.756,42.805,42.711,42.756,79892,0
2006-08-31,42.814,42.814,42.703,42.728,23637,0
2006-09-01,42.72,42.861,42.72,42.836,26418,0
2006-09-05,42.861,42.943,42.814,42.894,44874,0
2006-09-06,42.781,42.836,42.696,42.72,61434,0
2006-09-07,42.72,42.72,42.47,42.479,30085,0
2006-09-08,42.545,42.66,42.397,42.651,102896,0
2006-09-11,42.602,42.651,42.503,42.644,16690,0
2006-09-12,42.799,43.018,42.689,43.01,33121,0
2006-09-13,42.995,43.174,42.935,43.174,34002,0
2006-09-14,43.157,43.165,43.048,43.165,57889,0
2006-09-15,43.31,43.325,43.157,43.191,27173,0
2006-09-18,43.116,43.197,43.041,43.108,20737,0
2006-09-19,43.073,43.157,42.951,43.157,35898,0
2006-09-20,43.273,43.417,43.273,43.385,27811,0
2006-09-21,43.43,43.447,43.082,43.205,35643,0
2006-09-22,43.205,43.25,43.116,43.25,25662,0
2006-09-25,43.447,43.576,43.165,43.485,37413,0
2006-09-26,43.51,43.615,43.376,43.615,35393,0
2006-09-27,43.631,43.747,43.55,43.638,104285,0
2006-09-28,43.747,43.747,43.526,43.702,31852,0
2006-09-29,43.708,43.723,43.518,43.518,32365,0
2006-10-02,43.615,43.668,43.438,43.51,20600,0
2006-10-03,43.51,43.823,43.51,43.676,19215,0
2006-10-04,43.51,43.858,43.469,43.823,341799,0
2006-10-05,43.823,43.91,43.708,43.84,11628,0
2006-10-06,43.668,43.764,43.592,43.66,19720,0
2006-10-09,43.668,43.794,43.518,43.794,22372,0
2006-10-10,43.823,43.91,43.652,43.807,39683,0
2006-10-11,43.747,43.875,43.631,43.815,31608,0
2006-10-12,43.91,44.094,43.892,44.068,58529,0
2006-10-13,44.102,44.201,43.94,44.201,48158,0
2006-10-16,44.186,44.192,43.94,44.102,25281,0
2006-10-17,43.935,44.076,43.849,44.031,24777,0
2006-10-18,44.264,44.264,44.024,44.186,15043,0
2006-10-19,44.223,44.223,44.094,44.215,33372,0
2006-10-20,44.303,44.347,44.112,44.347,20096,0
2006-10-23,44.362,44.6,44.223,44.6,27302,0
2006-10-24,44.443,44.549,44.316,44.549,28193,0
2006-10-25,44.6,44.827,44.528,44.794,109342,0
2006-10-26,44.858,44.858,44.625,44.834,17953,0
2006-10-27,44.777,44.777,44.502,44.586,64341,0
2006-10-30,44.617,44.617,44.401,44.511,15675,0
2006-10-31,44.657,44.657,44.353,44.425,27432,0
2006-11-01,44.657,44.657,44.247,44.303,13900,0
2006-11-02,44.303,44.331,44.053,44.186,29071,0
2006-11-03,44.289,44.289,43.97,44.024,28693,0
2006-11-06,44.223,44.536,44.102,44.493,52455,0
2006-11-07,44.544,44.657,44.493,44.519,27432,0
2006-11-08,44.417,44.672,44.394,44.6,25662,0
2006-11-09,44.657,44.657,44.208,44.208,20349,0
2006-11-10,44.338,44.338,44.112,44.201,34885,0
2006-11-13,44.264,44.484,44.239,44.378,30720,0
2006-11-14,44.443,44.6,44.145,44.566,27811,0
2006-11-15,44.617,44.617,44.461,44.592,45634,0
2006-11-16,44.697,44.85,44.608,44.786,35643,0
2006-11-17,44.735,44.907,44.641,44.885,19593,0
2006-11-20,44.975,45.087,44.899,44.982,31100,0
2006-11-21,45.014,45.022,44.827,44.999,23889,0
2006-11-22,44.892,45.029,44.85,44.94,21487,0
2006-11-24,44.892,44.932,44.827,44.866,6953,0
2006-11-27,44.858,44.858,44.201,44.272,55742,0
2006-11-28,44.378,44.519,44.281,44.401,38298,0
2006-11-29,44.657,44.923,44.657,44.834,15166,0
2006-11-30,44.858,45.045,44.744,44.885,29957,0
