Date,Open,High,Low,Close,Volume,OpenInt
2013-07-16,22.893,22.893,22.893,22.893,1787,0
2013-07-19,23.024,23.024,23.024,23.024,2202,0
2013-07-23,22.998,22.998,22.996,22.996,4413,0
2013-07-25,22.961,22.961,22.872,22.872,9601,0
2013-07-31,22.838,22.838,22.838,22.838,417,0
2013-08-02,22.782,22.931,22.782,22.931,2590,0
2013-08-08,22.984,22.984,22.984,22.984,835,0
2013-08-09,22.982,22.982,22.968,22.968,1541,0
2013-08-13,22.874,22.874,22.826,22.826,2202,0
2013-08-15,22.807,22.807,22.807,22.807,835,0
2013-08-16,22.737,22.737,22.724,22.724,835,0
2013-08-19,22.709,22.709,22.698,22.698,2202,0
2013-08-20,22.742,22.742,22.742,22.742,437,0
2013-08-22,22.65,22.65,22.631,22.631,1126,0
2013-08-23,22.684,22.761,22.684,22.761,1953,0
2013-08-26,22.765,22.765,22.765,22.765,835,0
2013-08-28,22.78,22.782,22.678,22.678,5943,0
2013-08-29,22.742,22.742,22.717,22.717,2639,0
2013-08-30,23.141,23.141,23.044,23.044,2182,0
2013-09-03,22.729,22.729,22.725,22.729,3557,0
2013-09-04,22.665,22.665,22.665,22.665,417,0
2013-09-05,22.623,22.623,22.565,22.575,2194,0
2013-09-06,22.635,22.635,22.635,22.635,1779,0
2013-09-09,22.633,22.681,22.633,22.681,2783,0
2013-09-10,22.63,22.642,22.63,22.642,2274,0
2013-09-11,22.663,22.663,22.639,22.639,831,0
2013-09-12,23.171,23.171,22.676,22.676,51349,0
2013-09-13,22.625,22.625,22.625,22.625,952,0
2013-09-16,22.739,22.781,22.697,22.729,6894,0
2013-09-18,22.739,22.91,22.734,22.91,47253,0
2013-09-19,22.946,22.946,22.921,22.942,4151,0
2013-09-24,22.885,22.963,22.885,22.963,3873,0
2013-09-25,23.082,23.082,23.082,23.082,625,0
2013-09-26,23.053,23.053,23.053,23.053,417,0
2013-09-27,23.06,23.065,22.961,23.053,11766,0
2013-09-30,23.236,23.236,23.236,23.236,2594,0
2013-10-02,23.07,23.07,23.046,23.046,1941,0
2013-10-03,23.1,23.104,23.1,23.104,2218,0
2013-10-04,23.077,23.077,23.048,23.048,229875,0
2013-10-07,23.114,23.114,23.095,23.102,3714,0
2013-10-10,23.046,23.046,23.031,23.038,5918,0
2013-10-11,23.104,23.104,23.104,23.104,1775,0
2013-10-14,23.12,23.12,23.12,23.12,417,0
2013-10-15,23.056,23.056,23.056,23.056,1258,0
2013-10-16,23.075,23.116,23.075,23.116,1513,0
2013-10-23,23.401,23.401,23.401,23.401,1654,0
2013-10-24,23.382,23.382,23.382,23.382,2608,0
2013-10-25,23.399,23.404,23.399,23.404,6160,0
2013-10-28,23.399,23.399,23.377,23.377,3513,0
2013-10-30,23.464,23.476,23.447,23.447,7487,0
2013-10-31,23.553,23.553,23.523,23.523,2594,0
2013-11-01,23.389,23.389,23.301,23.301,7475,0
2013-11-04,23.384,23.384,23.331,23.331,1771,0
2013-11-05,23.219,23.295,23.217,23.291,46626,0
2013-11-06,23.306,23.331,23.286,23.331,1751,0
2013-11-07,23.331,23.338,23.322,23.338,9214,0
2013-11-08,23.207,23.207,23.207,23.207,12711,0
2013-11-11,23.234,23.234,23.234,23.234,822,0
2013-11-12,23.178,23.178,23.178,23.178,3541,0
2013-11-13,23.217,23.217,23.217,23.217,1339,0
2013-11-14,23.239,23.284,23.239,23.284,22764,0
2013-11-15,23.271,23.284,23.271,23.284,4559,0
2013-11-18,23.304,23.306,23.286,23.301,2198,0
2013-11-19,23.331,23.331,23.331,23.331,822,0
2013-11-20,23.344,23.363,23.317,23.317,3541,0
2013-11-21,23.425,23.425,23.245,23.309,24230,0
2013-11-22,23.319,23.319,23.319,23.319,3316,0
2013-11-25,23.495,23.495,23.384,23.384,3684,0
2013-11-26,23.426,23.457,23.426,23.432,5240,0
2013-11-27,23.515,23.515,23.416,23.426,11815,0
2013-12-02,23.459,23.459,23.382,23.401,6761,0
2013-12-03,23.416,23.416,23.406,23.406,7862,0
2013-12-04,23.366,23.366,23.366,23.366,1505,0
2013-12-05,23.349,23.374,23.336,23.336,3280,0
