Date,Open,High,Low,Close,Volume,OpenInt
2014-01-16,9.1141,9.3881,8.9401,9.2015,10668719,0
2014-01-17,9.3139,9.455,9.1476,9.455,1771073,0
2014-01-21,9.455,9.527,9.3733,9.4768,748787,0
2014-01-22,9.4432,9.551,9.2836,9.4243,553813,0
2014-01-23,9.455,9.698,9.2779,9.674,848389,0
2014-01-24,9.563,9.632,9.3615,9.632,530113,0
2014-01-27,9.698,9.793,9.4243,9.793,489984,0
2014-01-28,9.801,9.801,9.515,9.682,167060,0
2014-01-29,9.455,9.801,9.455,9.758,460323,0
2014-01-30,9.801,9.801,9.654,9.714,419758,0
2014-01-31,9.733,9.785,9.603,9.691,377593,0
2014-02-03,9.659,9.666,9.462,9.515,395756,0
2014-02-04,9.462,9.537,9.455,9.515,73982,0
2014-02-05,9.4986,9.544,9.455,9.515,81769,0
2014-02-06,9.4917,9.597,9.4848,9.537,106526,0
2014-02-07,9.623,9.623,9.4986,9.551,43715,0
2014-02-10,9.682,9.865,9.659,9.844,423501,0
2014-02-11,9.765,9.938,9.691,9.919,369277,0
2014-02-12,9.97,9.97,9.779,9.903,94958,0
2014-02-13,9.891,9.903,9.765,9.903,113831,0
2014-02-14,9.903,9.951,9.733,9.903,160477,0
2014-02-18,9.903,9.985,9.801,9.954,177346,0
2014-02-19,9.774,9.954,9.774,9.875,141349,0
2014-02-20,9.96,9.965,9.801,9.896,189078,0
2014-02-21,9.938,9.977,9.896,9.97,118783,0
2014-02-24,10.036,10.043,9.903,10.015,141423,0
2014-02-25,10.103,10.132,9.865,9.954,195975,0
2014-02-26,10.074,10.074,9.945,10.061,164904,0
2014-02-27,10.029,10.124,10.015,10.111,92828,0
2014-02-28,10.111,10.111,10.043,10.057,162494,0
2014-03-03,10.074,10.103,9.965,10.103,154903,0
2014-03-04,10.111,10.111,9.938,9.938,84007,0
2014-03-05,9.875,9.977,9.858,9.933,61542,0
2014-03-06,9.851,9.985,9.836,9.858,145614,0
2014-03-07,9.896,9.903,9.844,9.858,141641,0
2014-03-10,9.836,9.985,9.73,9.778,112570,0
2014-03-11,9.844,9.883,9.765,9.815,33187,0
2014-03-12,9.836,9.933,9.765,9.891,24171,0
2014-03-13,9.765,9.875,9.632,9.659,184590,0
2014-03-14,9.647,9.7,9.623,9.623,62389,0
2014-03-17,9.64,9.861,9.623,9.765,79657,0
2014-03-18,10.008,10.008,9.727,9.875,53033,0
2014-03-19,9.809,9.903,9.765,9.803,52855,0
2014-03-20,9.977,9.985,9.632,9.644,148893,0
2014-03-21,9.632,9.721,9.527,9.563,95969,0
2014-03-24,9.632,9.632,9.3207,9.537,138064,0
2014-03-25,9.644,9.829,9.554,9.698,95667,0
2014-03-26,9.563,9.793,9.563,9.589,93488,0
2014-03-27,9.644,9.722,9.544,9.58,109808,0
2014-03-28,9.641,9.65,9.544,9.65,94539,0
2014-03-31,9.644,9.888,9.633,9.781,801310,0
2014-04-01,9.7,9.795,9.616,9.616,306978,0
2014-04-02,9.633,9.684,9.589,9.589,201378,0
2014-04-03,9.633,9.744,9.544,9.641,176177,0
2014-04-04,9.691,9.708,9.55,9.558,195312,0
2014-04-07,9.544,9.65,9.4897,9.641,196695,0
2014-04-08,9.531,9.848,9.531,9.624,89628,0
2014-04-09,9.65,9.654,9.597,9.624,83488,0
2014-04-10,9.728,9.728,9.526,9.526,140826,0
2014-04-11,9.4759,9.523,9.3167,9.4077,241030,0
