Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,13.433,13.92,13.334,13.902,1028275,0
2005-02-28,13.875,13.926,13.739,13.814,1713147,0
2005-03-01,13.86,13.995,13.722,13.878,1077998,0
2005-03-02,13.884,13.977,13.71,13.795,684278,0
2005-03-03,13.853,13.853,13.494,13.657,638074,0
2005-03-04,13.73,13.92,13.639,13.783,1286054,0
2005-03-07,13.752,13.811,13.672,13.736,632546,0
2005-03-08,13.755,13.774,13.412,13.519,794408,0
2005-03-09,13.39,13.543,13.29,13.327,996993,0
2005-03-10,13.29,13.378,13.107,13.231,872389,0
2005-03-11,13.173,13.418,13.143,13.189,978162,0
2005-03-14,13.161,13.33,13.161,13.321,546076,0
2005-03-15,13.342,13.354,13.062,13.065,783430,0
2005-03-16,13.123,13.219,12.857,12.997,841023,0
2005-03-17,13.013,13.1,12.824,13.01,837442,0
2005-03-18,12.912,13.103,12.802,12.873,1557712,0
2005-03-21,12.851,12.919,12.723,12.915,583503,0
2005-03-22,12.915,13.062,12.765,12.86,711461,0
2005-03-23,12.851,12.886,12.507,12.756,1299413,0
2005-03-24,12.753,12.933,12.705,12.707,772543,0
2005-03-28,12.705,12.86,12.668,12.781,550780,0
2005-03-29,12.781,12.912,12.418,12.526,975065,0
2005-03-30,12.473,12.619,12.454,12.61,1126111,0
2005-03-31,12.637,12.637,12.405,12.535,789799,0
2005-04-01,12.597,12.692,12.147,12.275,1022593,0
2005-04-04,12.248,12.538,12.11,12.439,711440,0
2005-04-05,12.473,12.557,12.381,12.464,702968,0
2005-04-06,12.542,12.597,12.405,12.461,805795,0
2005-04-07,12.449,12.573,12.394,12.511,429102,0
2005-04-08,12.473,12.554,12.221,12.23,493625,0
2005-04-11,12.187,12.263,11.894,11.896,1008873,0
2005-04-12,11.876,11.937,11.8,11.851,1876817,0
2005-04-13,11.824,11.929,11.784,11.818,1332747,0
2005-04-14,11.781,11.884,11.616,11.646,2063460,0
2005-04-15,11.729,11.769,11.395,11.453,1708866,0
2005-04-18,11.45,11.528,11.202,11.463,1808435,0
2005-04-19,11.419,11.717,11.419,11.672,1045793,0
2005-04-20,11.595,11.754,11.486,11.507,1300049,0
2005-04-21,11.607,12.042,11.526,12.036,1190838,0
2005-04-22,12.042,12.049,11.821,11.926,1357775,0
2005-04-25,12.005,12.233,11.873,12.206,1252692,0
2005-04-26,12.172,12.272,12.051,12.196,1982354,0
2005-04-27,12.113,12.351,12.042,12.336,1226479,0
2005-04-28,12.367,12.411,12.16,12.193,1477126,0
2005-04-29,12.166,12.436,12.166,12.39,1717791,0
2005-05-02,12.331,12.495,12.278,12.418,1222290,0
2005-05-03,12.373,12.495,12.208,12.322,1423342,0
2005-05-04,12.388,12.793,12.367,12.79,955584,0
2005-05-05,12.732,13.013,12.634,12.833,1073510,0
