Date,Open,High,Low,Close,Volume,OpenInt
2011-04-05,9.2903,9.3677,9.1703,9.3426,4528876,0
2011-04-06,9.3764,9.4287,9.2903,9.407,913855,0
2011-04-07,9.528,9.534,9.3542,9.3581,1351121,0
2011-04-08,9.3581,9.4287,9.2903,9.3542,585924,0
2011-04-11,9.3213,9.407,9.3,9.3823,935298,0
2011-04-12,9.407,9.526,9.2863,9.4563,1202052,0
2011-04-13,9.545,9.545,9.3581,9.407,384012,0
2011-04-14,9.3581,9.4938,9.3542,9.482,785046,0
2011-04-15,9.4998,9.711,9.4613,9.613,1853303,0
2011-04-18,9.613,9.661,9.3319,9.4485,1386976,0
2011-04-19,9.482,9.519,9.3952,9.4583,779441,0
2011-04-20,9.555,9.555,9.407,9.4711,958754,0
2011-04-21,9.51,9.534,9.2622,9.411,2301812,0
2011-04-25,9.4425,9.482,9.3735,9.3823,540271,0
2011-04-26,9.4613,9.4761,9.3,9.4485,1198325,0
2011-04-27,9.407,9.4583,9.3735,9.4485,529950,0
2011-04-28,9.411,9.4938,9.2815,9.411,1038074,0
2011-04-29,9.4514,9.4563,9.3174,9.3952,377004,0
2011-05-02,9.3883,9.51,9.3154,9.4544,1069412,0
2011-05-03,9.3697,9.531,9.3649,9.4919,726298,0
2011-05-04,9.4731,9.526,9.2214,9.3436,1181510,0
2011-05-05,9.3009,9.4041,9.1969,9.3223,793223,0
2011-05-06,9.4455,9.4455,9.3068,9.3368,780601,0
2011-05-09,9.528,9.643,9.51,9.613,1857955,0
2011-05-10,9.664,9.747,9.6,9.724,1282394,0
2011-05-11,9.747,9.747,9.549,9.6,713826,0
2011-05-12,9.768,9.826,9.3735,9.572,1408106,0
2011-05-13,9.69,9.69,9.3843,9.4919,1559754,0
2011-05-16,9.57,9.612,9.137,9.2622,1902899,0
2011-05-17,9.2815,9.3009,8.7266,8.9271,1887699,0
2011-05-18,9.0278,9.4514,8.9271,9.2757,1585586,0
2011-05-19,9.329,9.4682,9.1484,9.3494,702016,0
2011-05-20,9.3436,9.512,9.3436,9.3902,965930,0
2011-05-23,9.1598,9.4642,9.1437,9.2583,587628,0
