Date,Open,High,Low,Close,Volume,OpenInt
2012-11-28,13.096,13.266,13.096,13.266,1624371,0
2012-11-29,13.23,13.266,13.203,13.266,331498,0
2012-11-30,13.266,13.272,13.23,13.266,159748,0
2012-12-03,13.272,13.272,13.266,13.266,37244,0
2012-12-04,13.266,13.272,13.23,13.266,204781,0
2012-12-05,13.252,13.266,13.252,13.266,147695,0
2012-12-06,13.497,13.528,13.266,13.266,37244,0
2012-12-07,13.266,13.329,13.266,13.285,50248,0
2012-12-10,13.266,13.43,13.266,13.387,93689,0
2012-12-11,13.266,13.362,13.266,13.304,22994,0
2012-12-12,13.329,13.329,13.285,13.324,17430,0
2012-12-13,13.285,13.329,13.266,13.266,73983,0
2012-12-14,13.266,13.285,13.23,13.266,60340,0
2012-12-17,13.329,13.329,13.297,13.329,7135,0
2012-12-18,13.456,13.456,12.953,13.266,15609,0
2012-12-19,13.266,13.272,13.236,13.266,42518,0
2012-12-20,13.362,13.362,13.266,13.272,24730,0
2012-12-21,13.266,13.272,13.266,13.266,58652,0
2012-12-24,13.293,13.293,13.266,13.266,1964,0
2012-12-26,13.278,13.297,13.278,13.297,4898,0
2012-12-27,13.297,13.297,13.23,13.266,34830,0
2012-12-28,13.272,13.311,13.272,13.272,16408,0
2012-12-31,13.266,13.343,13.266,13.272,15222,0
2013-01-02,13.266,13.311,13.266,13.272,42970,0
2013-01-03,13.272,13.317,13.266,13.272,20979,0
2013-01-04,13.266,13.266,13.266,13.266,26837,0
2013-01-07,13.266,13.456,13.236,13.371,80329,0
2013-01-08,13.195,13.195,13.118,13.142,397430,0
2013-01-09,13.134,13.278,13.134,13.278,129977,0
2013-01-10,13.266,13.297,13.164,13.23,216819,0
2013-01-11,13.195,13.26,13.065,13.26,114657,0
2013-01-14,13.195,13.236,13.051,13.142,38344,0
2013-01-15,13.189,13.189,12.865,12.877,120972,0
2013-01-16,13.09,13.096,12.762,12.826,133494,0
2013-01-17,12.826,12.989,12.826,12.865,29661,0
2013-01-18,12.877,12.996,12.877,12.996,29784,0
2013-01-22,13.033,13.033,12.8,12.981,78238,0
2013-01-23,13.06,13.08,12.93,12.95,31315,0
2013-01-24,12.916,13.014,12.899,12.916,94388,0
2013-01-25,12.907,13.028,12.779,12.817,149792,0
2013-01-28,12.987,12.987,12.732,12.779,161665,0
2013-01-29,12.762,12.859,12.74,12.848,122148,0
