Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,30.749,30.81,30.236,30.375,361481,0
2005-02-28,30.29,30.576,29.924,30.229,307143,0
2005-03-01,30.368,30.749,30.212,30.455,215507,0
2005-03-02,30.402,30.445,30.159,30.35,159561,0
2005-03-03,30.445,30.566,29.995,30.03,277098,0
2005-03-04,30.271,30.81,30.187,30.81,553621,0
2005-03-07,30.81,30.984,30.698,30.88,296668,0
2005-03-08,30.976,30.976,30.428,30.664,174869,0
2005-03-09,30.81,31.054,30.749,30.862,191332,0
2005-03-10,30.949,30.994,30.229,30.549,124332,0
2005-03-11,30.655,30.976,30.655,30.837,186954,0
2005-03-14,31.011,31.054,30.436,30.706,205952,0
2005-03-15,30.88,30.958,30.212,30.308,166236,0
2005-03-16,30.308,30.385,29.637,29.783,264205,0
2005-03-17,30.003,30.168,29.734,30.021,151038,0
2005-03-18,30.196,30.245,29.701,29.96,319233,0
2005-03-21,30.03,30.04,29.783,30.003,182236,0
2005-03-22,29.892,29.892,29.545,29.611,369311,0
2005-03-23,29.553,29.665,29.047,29.273,501243,0
2005-03-24,29.404,29.472,28.805,29.047,383242,0
2005-03-28,29.179,29.229,28.744,29.037,162551,0
2005-03-29,29.013,29.22,28.58,28.622,289758,0
2005-03-30,28.58,29.055,28.49,28.883,282627,0
2005-03-31,28.814,29.083,28.622,29.037,273299,0
2005-04-01,29.055,29.144,28.664,28.761,169115,0
2005-04-04,28.682,28.737,28.473,28.655,321421,0
2005-04-05,28.629,28.796,28.387,28.597,120186,0
2005-04-06,28.664,28.753,28.447,28.517,109135,0
2005-04-07,28.517,28.865,28.517,28.728,89796,0
2005-04-08,28.605,28.71,28.464,28.527,225521,0
2005-04-11,28.636,28.636,28.169,28.197,205493,0
2005-04-12,28.231,28.36,27.805,28.301,282736,0
2005-04-13,28.093,28.205,27.205,27.362,1424862,0
2005-04-14,27.467,27.492,26.67,26.954,288840,0
2005-04-15,26.989,27.224,26.398,26.717,404424,0
2005-04-18,26.635,27.188,26.626,27.057,207794,0
2005-04-19,26.927,27.476,26.753,27.467,152998,0
2005-04-20,27.598,27.665,26.753,26.762,203306,0
2005-04-21,26.981,27.476,26.981,27.346,275831,0
2005-04-22,27.257,27.423,26.858,27.188,317276,0
2005-04-25,27.18,27.536,26.954,27.423,255916,0
2005-04-26,27.205,27.518,26.884,26.927,219076,0
2005-04-27,26.927,26.927,26.494,26.662,553733,0
2005-04-28,26.147,26.451,25.713,25.998,1248149,0
2005-04-29,26.049,26.537,26.041,26.537,389689,0
2005-05-02,26.424,26.52,25.971,26.121,733094,0
2005-05-03,25.981,26.206,25.948,26.059,458642,0
2005-05-04,26.104,26.121,25.704,25.93,476720,0
2005-05-05,25.912,26.032,25.624,25.94,388190,0
2005-05-06,26.014,26.014,25.669,25.806,322341,0
2005-05-09,25.85,25.912,25.366,25.582,302542,0
2005-05-10,25.406,25.557,25.191,25.191,314051,0
2005-05-11,25.241,25.241,24.904,25.084,201924,0
2005-05-12,25.084,25.12,24.712,24.774,291258,0
2005-05-13,24.759,24.86,24.027,24.209,410062,0
2005-05-16,24.149,24.444,24.149,24.236,414553,0
2005-05-17,24.236,24.53,24.156,24.461,372190,0
2005-05-18,24.649,25.058,24.549,24.801,285847,0
2005-05-19,24.956,25.053,24.677,24.86,205837,0
2005-05-20,24.731,25.058,24.731,24.886,170035,0
2005-05-23,25.018,25.304,24.956,25.259,329480,0
2005-05-24,25.259,25.382,25.053,25.277,596792,0
2005-05-25,25.112,25.175,24.817,25.068,296323,0
2005-05-26,25.183,25.505,24.649,25.451,336845,0
2005-05-27,25.451,25.605,25.277,25.531,223338,0
2005-05-31,25.495,25.514,25.148,25.191,227137,0
2005-06-01,25.129,25.549,25.094,25.339,197201,0
2005-06-02,25.348,25.523,25.139,25.183,340646,0
2005-06-03,25.112,25.531,25.103,25.241,302886,0
2005-06-06,25.191,25.339,25.018,25.314,328212,0
2005-06-07,25.432,25.582,25.241,25.366,339492,0
2005-06-08,25.33,25.477,25.183,25.208,227709,0
2005-06-09,25.295,25.573,25.103,25.557,273183,0
2005-06-10,25.582,25.94,25.414,25.877,228630,0
2005-06-13,25.779,26.156,25.739,25.998,305762,0
2005-06-14,25.868,26.616,25.868,26.569,439649,0
2005-06-15,26.67,27.867,26.67,27.797,897373,0
2005-06-16,27.79,28.571,27.781,28.509,569391,0
2005-06-17,28.838,28.838,28.326,28.473,603583,0
2005-06-20,28.36,28.396,28.023,28.058,279519,0
2005-06-21,28.023,28.023,27.239,27.449,518395,0
2005-06-22,27.501,28.074,27.501,28.04,330745,0
2005-06-23,27.928,28.023,27.492,27.598,429980,0
2005-06-24,27.536,27.665,27.439,27.492,438842,0
2005-06-27,27.388,27.388,27.023,27.214,285501,0
2005-06-28,27.38,28.153,27.38,28.126,284696,0
2005-06-29,28.344,29.213,28.326,28.769,619126,0
2005-06-30,28.856,29.013,28.527,28.664,391070,0
2005-07-01,28.753,28.89,28.58,28.89,292986,0
2005-07-05,28.805,28.838,28.517,28.778,410753,0
2005-07-06,28.753,28.874,28.655,28.778,317618,0
2005-07-07,28.664,28.9,28.655,28.883,348589,0
2005-07-08,28.805,29.013,28.664,28.943,535315,0
2005-07-11,29.083,29.482,28.925,29.22,417775,0
2005-07-12,29.22,29.395,28.856,29.083,270769,0
2005-07-13,29.099,29.592,29.099,29.584,268807,0
2005-07-14,29.711,30.491,29.628,30.327,793416,0
2005-07-15,30.253,30.308,30.04,30.253,245209,0
2005-07-18,30.04,30.359,29.743,29.883,341681,0
2005-07-19,30.04,30.375,29.934,30.317,274223,0
2005-07-20,30.317,31.826,30.317,31.446,693609,0
2005-07-21,31.317,31.446,30.933,31.115,357455,0
2005-07-22,31.115,31.201,30.593,30.984,199158,0
2005-07-25,30.968,30.968,30.584,30.716,171644,0
2005-07-26,30.638,30.664,30.196,30.549,221147,0
2005-07-27,30.566,30.924,30.402,30.871,272492,0
2005-07-28,30.229,30.655,29.545,30.116,674155,0
2005-07-29,29.924,30.151,29.839,30.047,401428,0
2005-08-01,30.116,30.28,29.734,29.783,322573,0
2005-08-02,29.793,29.924,29.562,29.734,430440,0
2005-08-03,29.647,29.934,29.576,29.857,233812,0
2005-08-04,29.727,29.767,29.389,29.536,253843,0
2005-08-05,29.445,29.628,29.38,29.509,149316,0
2005-08-08,29.427,29.518,29.361,29.412,157141,0
2005-08-09,29.412,29.602,29.361,29.419,123408,0
2005-08-10,29.404,29.655,29.37,29.528,207333,0
2005-08-11,29.472,29.96,29.472,29.751,337308,0
2005-08-12,29.711,29.711,29.326,29.553,191795,0
2005-08-15,29.445,29.673,29.326,29.528,127210,0
2005-08-16,29.445,29.5,28.856,28.856,380131,0
2005-08-17,28.943,29.915,28.769,29.751,337883,0
2005-08-18,29.665,29.711,28.856,28.961,807463,0
2005-08-19,28.997,29.326,28.934,29.099,201461,0
2005-08-22,29.188,29.299,28.778,28.934,799635,0
2005-08-23,29.03,29.353,28.82,28.909,265699,0
2005-08-24,28.769,28.988,28.664,28.786,718013,0
