Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,3.3074,3.3445,3.2421,3.2606,41459,0
2005-02-28,3.2606,3.4006,3.2421,3.4006,47941,0
2005-03-01,3.3539,3.3539,3.2606,3.2606,2472,0
2005-03-02,3.2606,3.3539,3.2142,3.3539,11330,0
2005-03-03,3.3539,3.3539,3.1677,3.1677,11526,0
2005-03-04,3.2142,3.2606,3.2142,3.2606,21080,0
2005-03-07,3.1211,3.2606,3.1211,3.2142,14968,0
2005-03-08,3.2142,3.3353,3.0279,3.2606,23524,0
2005-03-10,3.1211,3.1955,3.0279,3.1955,22540,0
2005-03-11,3.1677,3.2142,3.0279,3.2142,6190,0
2005-03-14,3.0279,3.1677,2.9813,3.1677,20426,0
2005-03-15,2.9255,3.056,2.9255,3.0371,6548,0
2005-03-16,3.0839,3.2329,3.065,3.1677,10738,0
2005-03-17,2.9346,3.2515,2.8881,3.2515,13748,0
2005-03-18,2.8974,3.1211,2.8974,3.1211,19509,0
2005-03-21,2.9346,3.0931,2.9346,3.0931,1717,0
2005-03-22,2.9346,3.0743,2.8602,3.0743,28429,0
2005-03-23,2.8414,2.9346,2.8414,2.9346,9855,0
2005-03-24,2.9346,3.0931,2.9346,2.9346,5480,0
2005-03-28,2.8414,3.0931,2.7949,3.0743,6456,0
2005-03-29,2.7949,3.0743,2.7949,3.0091,24743,0
2005-03-30,2.9346,2.9346,2.8414,2.9068,17468,0
2005-03-31,2.8414,2.9346,2.7949,2.9068,34025,0
2005-04-01,2.9068,2.9068,2.4689,2.7949,26729,0
2005-04-04,2.7949,2.7949,2.4689,2.7019,22969,0
2005-04-05,2.6552,2.7019,2.4782,2.6086,12833,0
2005-04-06,2.7019,2.7019,2.4782,2.7019,64188,0
2005-04-07,2.5153,2.7019,2.5153,2.6086,99739,0
2005-04-08,2.6086,2.6179,2.6086,2.6179,1075,0
2005-04-11,2.6179,2.6179,2.6086,2.6086,3123,0
2005-04-12,2.6086,2.6552,2.5621,2.6086,15047,0
2005-04-13,2.5621,2.6086,2.5621,2.6086,11818,0
2005-04-14,2.6086,2.6552,2.5621,2.6086,11787,0
2005-04-15,2.6086,2.6086,2.4408,2.5434,15429,0
2005-04-18,2.4223,2.5153,2.0961,2.3756,23178,0
2005-04-19,2.329,2.4317,2.2359,2.329,4293,0
2005-04-20,2.0961,2.4223,2.0961,2.413,13393,0
2005-04-21,2.4689,2.4689,2.2826,2.4223,14276,0
2005-04-22,2.4689,2.4689,2.4223,2.4223,1075,0
2005-04-25,2.4689,2.4689,2.329,2.4223,6676,0
2005-04-26,2.329,2.5153,2.329,2.4689,10508,0
2005-04-27,2.5153,2.5153,2.4223,2.4689,8694,0
2005-04-28,2.4223,2.4689,2.4223,2.4689,2942,0
2005-04-29,2.4689,2.5153,2.329,2.4967,8389,0
2005-05-02,2.4223,2.6086,2.4223,2.6086,11913,0
2005-05-03,2.6086,2.6086,2.4967,2.5621,3414,0
2005-05-04,2.5621,2.7019,2.5621,2.7019,16112,0
2005-05-05,2.7019,2.7019,2.6366,2.6552,12881,0
2005-05-06,2.6552,2.6552,2.6086,2.6086,28692,0
2005-05-09,2.5621,2.8414,2.5621,2.8324,32941,0
2005-05-10,2.8881,3.0743,2.7485,2.9813,24018,0
2005-05-11,2.9813,3.0743,2.9813,3.0743,3650,0
2005-05-12,2.9813,3.0743,2.8881,3.0743,6831,0
2005-05-13,2.8414,3.1677,2.8414,2.9813,13124,0
2005-05-16,2.9813,3.0743,2.8414,2.9346,3435,0
2005-05-17,2.9534,3.1677,2.9534,3.0839,4722,0
2005-05-18,3.0279,3.1211,3.0279,3.0743,8400,0
2005-05-19,3.1211,3.1677,2.8881,3.1677,25062,0
2005-05-20,2.9534,3.1863,2.9534,3.1863,430,0
2005-05-23,2.9346,3.1677,2.9346,3.1677,881,0
2005-05-24,3.1677,3.1768,3.0279,3.1677,35358,0
2005-05-25,3.1211,3.1863,3.1211,3.1863,2469,0
2005-05-26,3.1863,3.1863,2.8414,3.1211,11969,0
