Date,Open,High,Low,Close,Volume,OpenInt
2005-05-17,13.535,13.535,13.535,13.535,0,0
2005-05-18,16.384,16.384,14.982,15.175,3991939,0
2005-05-19,15.175,15.64,14.982,15.032,151222,0
2005-05-20,14.982,14.982,13.535,14.258,518035,0
2005-05-23,14.258,14.713,13.968,14.413,119596,0
2005-05-24,14.374,14.499,14.258,14.499,86156,0
2005-05-25,14.499,14.829,14.49,14.819,81714,0
2005-05-26,14.643,14.819,14.586,14.663,35125,0
2005-05-27,14.634,15.224,14.634,15.224,61756,0
2005-05-31,15.37,15.851,14.819,15.757,171967,0
2005-06-01,15.861,16.384,15.67,16.374,125261,0
2005-06-02,17.4,18.588,17.214,18.172,300854,0
2005-06-03,18.365,18.754,17.709,18.222,94202,0
2005-06-06,18.404,18.492,17.224,17.303,52912,0
2005-06-07,17.64,17.64,16.288,16.549,45802,0
2005-06-08,16.345,16.801,15.861,16.336,56418,0
2005-06-09,16.384,17.293,16.239,16.712,80947,0
2005-06-10,16.712,17.534,16.712,17.534,21019,0
2005-06-13,17.593,18.365,17.583,17.959,87630,0
2005-06-14,17.959,17.969,17.351,17.825,42588,0
2005-06-15,17.834,18.559,17.825,18.222,79621,0
2005-06-16,18.29,18.29,17.534,17.544,46319,0
2005-06-17,17.593,17.593,16.635,16.761,79387,0
2005-06-20,16.925,17.12,15.273,16.103,278116,0
2005-06-21,16.191,16.481,15.95,16.317,34100,0
2005-06-22,16.028,16.239,15.273,15.67,126343,0
2005-06-23,15.757,16.336,15.476,16.047,87368,0
2005-06-24,16.047,16.123,15.524,15.804,300529,0
2005-06-27,16.326,16.433,15.38,16.047,90537,0
2005-06-28,16.288,16.655,15.998,16.481,99190,0
2005-06-29,16.491,17.09,16.191,16.887,129805,0
2005-06-30,16.674,17.816,16.674,17.477,87258,0
2005-07-01,17.739,18.123,16.964,17.834,29503,0
2005-07-05,18.019,19.69,17.834,19.69,118580,0
2005-07-06,19.448,20.599,19.234,20.541,88530,0
2005-07-07,20.349,22.573,20.349,22.348,195099,0
2005-07-08,22.135,22.823,21.218,22.794,181028,0
2005-07-11,22.853,23.199,22.019,23.199,63208,0
2005-07-12,22.882,23.432,22.714,23.422,44585,0
2005-07-13,23.393,24.311,23.363,24.311,80204,0
2005-07-14,24.407,25.607,23.837,24.311,282219,0
2005-07-15,24.234,24.649,24.175,24.407,20059,0
2005-07-18,24.165,24.514,23.537,23.828,45153,0
2005-07-19,23.74,23.837,23.442,23.586,47576,0
2005-07-20,23.354,24.949,23.005,24.61,140949,0
2005-07-21,24.919,25.385,24.368,24.495,78573,0
2005-07-22,24.756,25.683,24.088,25.509,58047,0
2005-07-25,26.302,26.564,24.9,25.016,55183,0
2005-07-26,25.016,26.214,24.91,25.712,70007,0
2005-07-27,26.302,26.312,25.538,26.079,75435,0
2005-07-28,25.819,27.452,25.819,26.806,64347,0
2005-07-29,27.094,27.268,26.224,26.63,102141,0
2005-08-01,26.922,28.747,26.824,28.554,124345,0
2005-08-02,28.89,28.999,27.568,28.19,80718,0
2005-08-03,28.19,28.19,27.374,28.16,224744,0
2005-08-04,26.796,26.806,25.702,26.302,281190,0
2005-08-05,26.051,27.404,25.664,26.988,91991,0
2005-08-08,27.597,27.849,25.375,25.848,102186,0
2005-08-09,25.983,26.194,24.649,25.181,230843,0
2005-08-10,25.084,26.649,25.084,26.524,39302,0
2005-08-11,27.045,27.045,26.437,26.707,17288,0
2005-08-12,26.639,26.853,25.519,26.312,38411,0
2005-08-15,26.041,26.37,25.839,26.109,31954,0
2005-08-16,26.089,26.766,24.649,24.949,34733,0
2005-08-17,24.949,25.385,24.349,25.026,35824,0
2005-08-18,24.967,26.38,23.896,24.62,32377,0
2005-08-19,24.62,26.912,24.058,25.451,41100,0
2005-08-22,25.451,26.958,25.21,25.626,52020,0
2005-08-23,25.944,25.983,24.746,25.153,20385,0
2005-08-24,25.153,25.916,24.872,25.49,31046,0
2005-08-25,26.437,27.045,25.046,25.693,67303,0
2005-08-26,26.051,26.669,25.76,26.592,115228,0
2005-08-29,26.679,26.978,25.926,26.495,41560,0
2005-08-30,26.844,26.902,25.48,25.993,106145,0
2005-08-31,26.099,26.737,25.935,26.283,113126,0
2005-09-01,25.906,28.031,24.185,24.765,156026,0
2005-09-02,25.181,25.617,24.649,25.162,55638,0
2005-09-06,25.607,26.639,23.962,25.171,138874,0
2005-09-07,25.162,25.645,24.804,25.171,32832,0
2005-09-08,25.286,25.607,24.842,24.996,22979,0
2005-09-09,25.857,26.157,24.426,25.238,59220,0
2005-09-12,25.238,26.302,25.238,26.041,34332,0
2005-09-13,26.175,26.175,24.986,25.432,30418,0
2005-09-14,25.722,25.722,25.036,25.036,11614,0
2005-09-15,25.247,25.247,24.986,25.046,18063,0
2005-09-16,25.385,25.49,24.349,24.717,56660,0
2005-09-19,24.89,25.276,23.962,24.165,129950,0
2005-09-20,23.952,24.088,22.554,23.073,117406,0
2005-09-21,22.028,22.329,19.525,20.57,318370,0
2005-09-22,20.301,21.344,19.835,21.035,97333,0
2005-09-23,21.188,21.39,20.744,21.267,67529,0
