Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,2.4572,2.4728,2.4572,2.4671,185001,0
2005-02-28,2.4728,2.4728,2.4523,2.4626,268801,0
2005-03-01,2.4626,2.4728,2.4523,2.4671,498729,0
2005-03-02,2.4626,2.4728,2.4366,2.4572,581944,0
2005-03-03,2.4626,2.4626,2.4417,2.4626,357493,0
2005-03-04,2.4523,2.4671,2.4417,2.4626,404377,0
2005-03-07,2.4572,2.4728,2.4572,2.4671,305723,0
2005-03-08,2.4572,2.4626,2.4417,2.4523,280328,0
2005-03-09,2.4523,2.4523,2.4215,2.4417,322910,0
2005-03-10,2.447,2.4523,2.4215,2.4315,497358,0
2005-03-11,2.4366,2.4366,2.3959,2.401,554205,0
2005-03-14,2.3907,2.4215,2.3646,2.3704,658715,0
2005-03-15,2.3855,2.3855,2.3087,2.3138,759320,0
2005-03-16,2.3087,2.3087,2.2471,2.2626,795268,0
2005-03-17,2.2573,2.3087,2.2573,2.2932,407693,0
2005-03-18,2.2731,2.3138,2.2731,2.3138,336001,0
2005-03-21,2.3032,2.3032,2.2371,2.2626,623555,0
2005-03-22,2.2371,2.2677,2.2319,2.242,375652,0
2005-03-23,2.2066,2.2269,2.1655,2.1909,620041,0
2005-03-24,2.1811,2.2524,2.1811,2.2524,430941,0
2005-03-28,2.2731,2.2932,2.1811,2.2319,467271,0
2005-03-29,2.2319,2.2781,2.2214,2.2677,209604,0
2005-03-30,2.2269,2.2471,2.2066,2.2371,589756,0
2005-03-31,2.2471,2.2573,2.2319,2.2524,396361,0
2005-04-01,2.2781,2.3032,2.2524,2.2677,461996,0
2005-04-04,2.2828,2.3032,2.2626,2.2932,425272,0
2005-04-05,2.2932,2.3243,2.2781,2.3243,193006,0
2005-04-06,2.3138,2.3549,2.3087,2.3492,329356,0
2005-04-07,2.3347,2.3646,2.3291,2.36,283843,0
2005-04-08,2.3393,2.36,2.3188,2.3449,251801,0
2005-04-11,2.3291,2.3347,2.2828,2.3087,349277,0
2005-04-12,2.2677,2.3188,2.2626,2.2932,317437,0
2005-04-13,2.2781,2.2932,2.2573,2.2828,279541,0
2005-04-14,2.2781,2.2885,2.2166,2.242,253372,0
2005-04-15,2.2269,2.2471,2.2009,2.2471,291073,0
2005-04-18,2.2066,2.2677,2.2066,2.2573,363930,0
2005-04-19,2.2626,2.3032,2.2626,2.2932,283060,0
2005-04-20,2.2932,2.2984,2.242,2.2885,268801,0
2005-04-21,2.2885,2.2984,2.2626,2.2781,263134,0
2005-04-22,2.2677,2.2932,2.2626,2.2885,215077,0
2005-04-25,2.2731,2.2984,2.2731,2.2932,250041,0
2005-04-26,2.2932,2.3032,2.2731,2.2885,290874,0
2005-04-27,2.2984,2.3087,2.2828,2.2984,250826,0
2005-04-28,2.3032,2.3188,2.2885,2.3138,378196,0
2005-04-29,2.3138,2.3138,2.2885,2.3032,294781,0
2005-05-02,2.3032,2.3138,2.2984,2.3087,309045,0
2005-05-03,2.3138,2.3188,2.2984,2.3138,234031,0
2005-05-04,2.3138,2.3646,2.3032,2.3646,588191,0
2005-05-05,2.3646,2.3704,2.3138,2.3393,264115,0
2005-05-06,2.3291,2.3704,2.3291,2.3449,236572,0
2005-05-09,2.3449,2.3449,2.3243,2.3291,288330,0
2005-05-10,2.3243,2.3291,2.2828,2.2932,270754,0
2005-05-11,2.2828,2.3188,2.2828,2.3188,236374,0
2005-05-12,2.3032,2.3188,2.2885,2.2984,245741,0
2005-05-13,2.3032,2.3138,2.2731,2.2781,325447,0
2005-05-16,2.2781,2.2885,2.2524,2.2731,314901,0
2005-05-17,2.2626,2.2677,2.2471,2.2524,356118,0
2005-05-18,2.2471,2.2677,2.2471,2.2677,291073,0
2005-05-19,2.2677,2.2677,2.2524,2.2626,228361,0
2005-05-20,2.2573,2.2677,2.2471,2.2626,275052,0
2005-05-23,2.2677,2.2731,2.2524,2.2731,440328,0
2005-05-24,2.2781,2.2828,2.2626,2.2781,407887,0
2005-05-25,2.2626,2.2626,2.1397,2.1449,1842532,0
2005-05-26,2.15,2.1909,2.15,2.1753,1139281,0
2005-05-27,2.1753,2.2471,2.1753,2.2319,761857,0
2005-05-31,2.2319,2.2319,2.2066,2.2066,362963,0
2005-06-01,2.2112,2.2319,2.2112,2.2112,369987,0
2005-06-02,2.2009,2.242,2.2009,2.2269,371168,0
2005-06-03,2.2319,2.2524,2.2269,2.242,528611,0
2005-06-06,2.242,2.2524,2.242,2.2471,647774,0
2005-06-07,2.2269,2.2371,2.2112,2.2214,542291,0
2005-06-08,2.2214,2.2319,2.2112,2.2269,394214,0
2005-06-09,2.2214,2.2319,2.2112,2.2269,281107,0
2005-06-10,2.2166,2.2319,2.2009,2.2166,304548,0
2005-06-13,2.2214,2.2319,2.2009,2.2214,165459,0
2005-06-14,2.2319,2.2524,2.2066,2.2319,661652,0
2005-06-15,2.2319,2.242,2.2066,2.2214,339716,0
2005-06-16,2.2066,2.2166,2.2066,2.2166,331902,0
2005-06-17,2.2009,2.2166,2.2009,2.2112,285791,0
2005-06-20,2.2166,2.2319,2.2009,2.2319,349672,0
2005-06-21,2.2112,2.2371,2.2066,2.2371,386790,0
2005-06-22,2.242,2.242,2.2319,2.242,260008,0
2005-06-23,2.242,2.2471,2.2371,2.242,326822,0
2005-06-24,2.2371,2.2524,2.2269,2.2371,321939,0
2005-06-27,2.2269,2.2471,2.1909,2.2112,591320,0
2005-06-28,2.2009,2.2214,2.1909,2.2112,307678,0
2005-06-29,2.2066,2.2214,2.2009,2.2214,261768,0
2005-06-30,2.2214,2.2371,2.2112,2.2371,788039,0
2005-07-01,2.2166,2.242,2.2166,2.2319,196714,0
2005-07-05,2.2166,2.242,2.2112,2.242,533309,0
2005-07-06,2.2319,2.242,2.2166,2.242,312164,0
2005-07-07,2.2112,2.2471,2.2112,2.2319,289505,0
2005-07-08,2.2269,2.2471,2.2214,2.2214,359443,0
2005-07-11,2.2009,2.2319,2.1961,2.2214,408671,0
2005-07-12,2.2112,2.2371,2.2112,2.2319,446766,0
2005-07-13,2.2009,2.2319,2.2009,2.2269,535842,0
2005-07-14,2.2269,2.2319,2.2112,2.2214,585657,0
2005-07-15,2.2166,2.2319,2.2112,2.2319,294781,0
2005-07-18,2.2166,2.2269,2.2066,2.2166,275836,0
2005-07-19,2.2214,2.2269,2.2112,2.2269,191245,0
2005-07-20,2.2112,2.2214,2.2009,2.2112,271925,0
2005-07-21,2.2066,2.2166,2.1961,2.2009,237934,0
2005-07-22,2.2066,2.2112,2.2009,2.2112,259816,0
2005-07-25,2.2112,2.2269,2.2066,2.2269,378981,0
2005-07-26,2.2112,2.2269,2.2112,2.2166,245941,0
2005-07-27,2.2269,2.2371,2.2214,2.2269,373504,0
2005-07-28,2.2319,2.2573,2.2269,2.2573,512985,0
2005-07-29,2.2471,2.2524,2.2371,2.2524,179531,0
2005-08-01,2.2524,2.2573,2.2371,2.2471,237353,0
2005-08-02,2.2371,2.2524,2.2371,2.2524,255519,0
2005-08-03,2.2524,2.2524,2.2371,2.2471,167415,0
2005-08-04,2.242,2.2471,2.2269,2.242,224068,0
2005-08-05,2.2371,2.242,2.2269,2.242,165459,0
2005-08-08,2.2319,2.2371,2.2214,2.2319,210381,0
2005-08-09,2.2166,2.2371,2.2066,2.2319,230906,0
2005-08-10,2.2319,2.2371,2.2166,2.2319,330328,0
2005-08-11,2.2269,2.2319,2.2066,2.2214,264696,0
2005-08-12,2.2112,2.2214,2.1909,2.2112,433480,0
2005-08-15,2.2066,2.2214,2.2009,2.2214,281885,0
2005-08-16,2.2214,2.2269,2.2066,2.2214,285791,0
2005-08-17,2.2214,2.2269,2.2066,2.2112,224068,0
2005-08-18,2.2214,2.2214,2.1961,2.2066,372336,0
2005-08-19,2.2009,2.2214,2.2009,2.2214,315289,0
2005-08-22,2.2112,2.2269,2.2112,2.2214,243205,0
2005-08-23,2.2269,2.2269,2.2066,2.2214,210381,0
2005-08-24,2.2214,2.2214,2.2112,2.2166,203552,0
2005-08-25,2.2166,2.2319,2.2112,2.2319,272514,0
2005-08-26,2.2269,2.2319,2.2112,2.2269,234031,0
2005-08-29,2.2269,2.242,2.2112,2.2112,333652,0
2005-08-30,2.2112,2.2269,2.2066,2.2066,229343,0
2005-08-31,2.2112,2.2269,2.2066,2.2269,400469,0
2005-09-01,2.2166,2.2319,2.2112,2.2214,210192,0
2005-09-02,2.2166,2.2371,2.2166,2.2371,334821,0
2005-09-06,2.2371,2.2371,2.2214,2.2371,225238,0
2005-09-07,2.2269,2.242,2.2166,2.2371,306309,0
2005-09-08,2.2371,2.2471,2.2269,2.242,234415,0
2005-09-09,2.2319,2.2371,2.2269,2.2371,349086,0
2005-09-12,2.2319,2.2371,2.2066,2.2269,453403,0
2005-09-13,2.2166,2.2319,2.2112,2.2319,316073,0
2005-09-14,2.2319,2.2319,2.2112,2.2269,313929,0
2005-09-15,2.2214,2.2269,2.2112,2.2269,288725,0
2005-09-16,2.2269,2.2319,2.2112,2.2166,273096,0
2005-09-19,2.2112,2.2214,2.2009,2.2166,256298,0
2005-09-20,2.2166,2.2269,2.2066,2.2112,268418,0
2005-09-21,2.2066,2.2166,2.186,2.2009,320380,0
2005-09-22,2.2009,2.2066,2.1811,2.1961,245741,0
2005-09-23,2.186,2.2009,2.1655,2.1909,288140,0
2005-09-26,2.186,2.186,2.1602,2.1753,316456,0
2005-09-27,2.186,2.1909,2.1602,2.1753,309824,0
2005-09-28,2.1753,2.2009,2.1753,2.2009,416293,0
2005-09-29,2.1753,2.1961,2.1705,2.1753,224647,0
2005-09-30,2.1753,2.1811,2.1602,2.1705,299468,0
2005-10-03,2.1655,2.1753,2.1551,2.1705,279935,0
2005-10-04,2.1655,2.1753,2.1602,2.1753,208821,0
2005-10-05,2.1753,2.1811,2.1655,2.1811,228361,0
2005-10-06,2.1811,2.186,2.15,2.1705,211564,0
2005-10-07,2.1602,2.186,2.15,2.186,355921,0
2005-10-10,2.186,2.1909,2.1655,2.1705,287159,0
2005-10-11,2.1449,2.1655,2.1294,2.15,299667,0
2005-10-12,2.1449,2.15,1.9913,2.0884,688217,0
2005-10-13,2.0371,2.0683,2.0015,2.0167,623161,0
2005-10-14,2.0167,2.0167,1.9609,2.0065,880822,0
2005-10-17,2.0167,2.0371,2.0065,2.0119,355337,0
2005-10-18,2.0119,2.0425,1.986,2.0119,277586,0
2005-10-19,1.9913,2.0222,1.9812,2.0065,393829,0
2005-10-20,1.9913,2.0167,1.986,2.0065,203552,0
2005-10-21,1.9913,2.0119,1.9812,2.0119,362569,0
2005-10-24,2.0119,2.0271,1.986,2.0222,369602,0
2005-10-25,2.0119,2.0581,2.0065,2.0477,308844,0
2005-10-26,2.0425,2.0425,2.0015,2.0271,294592,0
2005-10-27,2.0271,2.0477,2.0167,2.0271,243404,0
