Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.0349,7.0883,7.0169,7.0883,352387,0
2005-02-28,7.0647,7.1005,7.0647,7.0766,253758,0
2005-03-01,7.0467,7.1362,7.0349,7.0883,350555,0
2005-03-02,7.1123,7.1243,7.071,7.1123,251927,0
2005-03-03,7.0766,7.1362,7.0766,7.1005,263461,0
2005-03-04,7.0951,7.1362,7.0585,7.0585,339845,0
2005-03-07,7.0883,7.0883,6.9632,7.0051,498660,0
2005-03-08,6.9569,7.0228,6.9569,7.0051,211301,0
2005-03-09,6.9869,7.0228,6.9211,6.9569,313608,0
2005-03-10,7.0169,7.071,6.9755,7.071,440156,0
2005-03-11,7.0525,7.0828,7.0228,7.0647,276998,0
2005-03-14,7.0525,7.071,6.9755,6.9869,281342,0
2005-03-15,6.9448,7.0169,6.8795,6.8851,341024,0
2005-03-16,6.8851,6.9514,6.8674,6.8732,325988,0
2005-03-17,6.8674,6.9271,6.8137,6.8195,266798,0
2005-03-18,6.8074,6.8195,6.5684,6.61,683553,0
2005-03-21,6.4903,6.4903,6.1256,6.2689,1609997,0
2005-03-22,6.2513,6.5562,6.2513,6.4007,710632,0
2005-03-23,6.4247,6.4848,6.2513,6.293,522406,0
2005-03-24,6.2333,6.3888,6.2333,6.3589,417917,0
2005-03-28,6.3171,6.5443,6.3171,6.4127,390505,0
2005-03-29,6.5202,6.5202,6.2991,6.3049,343363,0
2005-03-30,6.3109,6.3467,6.2808,6.3171,289038,0
2005-03-31,6.3888,6.4186,6.3467,6.4186,301240,0
2005-04-01,6.437,6.4848,6.3767,6.3946,275161,0
2005-04-04,6.3946,6.5025,6.3888,6.4783,258605,0
2005-04-05,6.4487,6.5979,6.4425,6.5799,300903,0
2005-04-06,6.6939,6.6939,6.5385,6.5979,367766,0
2005-04-07,6.6221,6.6881,6.5622,6.6342,252754,0
2005-04-08,6.5922,6.6459,6.5324,6.5385,252091,0
2005-04-11,6.6281,6.7295,6.5799,6.6342,520224,0
2005-04-12,6.67,6.7539,6.61,6.6641,325988,0
2005-04-13,6.6641,6.6641,6.5443,6.5562,208294,0
2005-04-14,6.5562,6.7,6.5324,6.586,252091,0
2005-04-15,6.5562,6.5799,6.4664,6.5502,270646,0
2005-04-18,6.5502,6.5622,6.4069,6.437,394522,0
2005-04-19,6.4487,6.5799,6.437,6.5799,520396,0
2005-04-20,6.5799,6.5799,6.4608,6.5025,325142,0
2005-04-21,6.4487,6.5265,6.4487,6.5025,264624,0
2005-04-22,6.4783,6.5202,6.437,6.4848,561354,0
2005-04-25,6.4848,6.6161,6.4783,6.586,314604,0
2005-04-26,6.5799,6.6221,6.5562,6.61,206288,0
2005-04-27,6.5741,6.5979,6.5443,6.5502,213140,0
2005-04-28,6.5502,6.61,6.5385,6.586,249246,0
2005-04-29,6.586,6.6342,6.5684,6.6342,218152,0
2005-05-02,6.6342,6.67,6.5979,6.6402,213312,0
2005-05-03,6.6221,6.6641,6.61,6.6641,258273,0
2005-05-04,6.6939,6.7178,6.6517,6.6761,213806,0
2005-05-05,6.7059,6.7361,6.6818,6.7178,251587,0
2005-05-06,6.7295,6.7539,6.6818,6.724,204111,0
2005-05-09,6.7477,6.7716,6.7059,6.724,252426,0
2005-05-10,6.7837,6.8195,6.7,6.7539,371114,0
2005-05-11,6.7539,6.8318,6.7361,6.7777,267632,0
2005-05-12,6.7777,6.8074,6.7361,6.7539,212803,0
2005-05-13,6.7659,6.8137,6.7295,6.7594,235534,0
2005-05-16,6.7594,6.7954,6.7361,6.7954,144438,0
2005-05-17,6.7594,6.7954,6.7477,6.7594,237044,0
2005-05-18,6.7539,6.8018,6.7361,6.8018,214307,0
2005-05-19,6.8195,6.8195,6.7659,6.7777,227187,0
2005-05-20,6.7777,6.8195,6.7594,6.7837,250582,0
2005-05-23,6.8195,6.8318,6.7777,6.8195,323304,0
2005-05-24,6.8318,6.8436,6.7954,6.8253,254263,0
2005-05-25,6.8318,6.8436,6.7716,6.8018,257270,0
2005-05-26,6.8018,6.8253,6.7059,6.7178,305583,0
2005-05-27,6.7295,6.8074,6.7178,6.8074,333006,0
2005-05-31,6.7837,6.8318,6.7477,6.8195,230529,0
2005-06-01,6.7659,6.8318,6.7659,6.7954,324135,0
2005-06-02,6.8074,6.8137,6.7594,6.7716,230686,0
2005-06-03,6.7954,6.8195,6.7837,6.8195,229692,0
2005-06-06,6.7954,6.8436,6.7954,6.8436,218652,0
2005-06-07,6.8674,6.8674,6.7954,6.7954,228851,0
2005-06-08,6.8253,6.8436,6.8074,6.8074,212973,0
2005-06-09,6.8195,6.8495,6.7295,6.8495,343528,0
2005-06-10,6.8732,6.9033,6.8253,6.8973,347042,0
2005-06-13,6.8912,7.0525,6.8912,6.9755,348376,0
2005-06-14,6.9689,6.9689,6.8674,6.8973,353724,0
2005-06-15,6.9391,6.9391,6.8195,6.8495,292373,0
2005-06-16,6.8318,6.9271,6.8195,6.8851,262624,0
2005-06-17,6.8912,6.9809,6.8851,6.9755,259275,0
2005-06-20,6.9391,6.9809,6.9033,6.9391,301574,0
2005-06-21,6.9929,6.9991,6.9152,6.9514,299400,0
2005-06-22,6.9514,7.0585,6.9514,6.9569,265463,0
2005-06-23,7.0228,7.0525,6.9448,6.9569,249246,0
2005-06-24,6.9569,7.0169,6.9448,6.9991,177534,0
2005-06-27,6.9991,7.0409,6.9448,6.9569,287197,0
2005-06-28,6.933,6.9689,6.8732,6.9211,268475,0
2005-06-29,6.8732,6.9391,6.8732,6.8973,202441,0
2005-06-30,6.9093,6.9514,6.8851,6.9152,273651,0
2005-07-01,6.9632,6.9632,6.8795,6.9391,256603,0
2005-07-05,6.9632,6.9929,6.9271,6.9809,212973,0
2005-07-06,6.9514,7.0228,6.9271,6.9391,300232,0
2005-07-07,6.9569,6.9569,6.8795,6.9152,272150,0
2005-07-08,6.8851,6.9689,6.8732,6.9632,268976,0
2005-07-11,7.0169,7.0409,6.9689,7.0409,356395,0
2005-07-12,7.0409,7.0585,6.9991,7.0108,312437,0
2005-07-13,7.0108,7.0288,6.9632,7.0228,256270,0
2005-07-14,7.0349,7.0467,6.9632,7.0409,248415,0
2005-07-15,7.0409,7.0409,6.9755,6.9991,154471,0
2005-07-18,6.9991,7.0585,6.9755,7.0525,174194,0
2005-07-19,7.0288,7.0585,6.9991,7.0467,255268,0
2005-07-20,7.0051,7.0585,6.9991,7.0051,173685,0
2005-07-21,6.9991,7.0288,6.9391,6.9391,267801,0
2005-07-22,6.9514,7.0108,6.9448,6.9991,194417,0
2005-07-25,6.9809,7.0169,6.9391,7.0169,222159,0
2005-07-26,6.9632,6.9991,6.8912,6.9689,255435,0
2005-07-27,6.9391,6.9689,6.8912,6.9391,245065,0
2005-07-28,6.9632,7.0169,6.9211,7.0051,204280,0
2005-07-29,6.9632,6.9929,6.9271,6.933,219997,0
2005-08-01,6.9514,6.9809,6.9093,6.9514,348376,0
2005-08-02,6.9809,6.9929,6.8732,6.9093,340680,0
2005-08-03,6.9093,6.9391,6.8551,6.9391,215640,0
