Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.675,10.696,10.632,10.66,3323,0
2005-02-28,10.702,10.702,10.612,10.647,12690,0
2005-03-01,10.653,10.763,10.653,10.763,4326,0
2005-03-02,10.709,10.763,10.667,10.763,10245,0
2005-03-03,10.774,10.774,10.687,10.763,6497,0
2005-03-04,10.767,10.767,10.709,10.709,4037,0
2005-03-07,10.632,10.767,10.632,10.632,2599,0
2005-03-08,10.632,10.702,10.632,10.675,1585,0
2005-03-09,10.653,10.653,10.612,10.612,4761,0
2005-03-10,10.755,10.755,10.605,10.605,8367,0
2005-03-11,10.605,10.605,10.267,10.314,16589,0
2005-03-14,10.305,10.503,10.275,10.468,22939,0
2005-03-15,10.412,10.774,10.412,10.667,68667,0
2005-03-16,10.687,10.687,10.667,10.667,1164,0
2005-03-17,10.647,10.647,10.51,10.573,3896,0
2005-03-18,10.566,10.566,10.537,10.537,2164,0
2005-03-21,10.529,10.529,10.406,10.406,2883,0
2005-03-22,10.365,10.718,10.365,10.468,20197,0
2005-03-23,10.487,10.487,10.48,10.48,873,0
2005-03-24,10.48,10.48,10.417,10.417,3746,0
2005-03-28,10.406,10.406,10.21,10.21,7640,0
2005-03-29,10.205,10.205,10.205,10.205,280,0
2005-03-30,10.231,10.231,10.21,10.217,1874,0
2005-03-31,10.3,10.35,10.217,10.217,2448,0
2005-04-01,10.3,10.335,10.224,10.224,2599,0
2005-04-04,10.217,10.217,10.217,10.217,441,0
2005-04-05,10.231,10.468,10.231,10.365,6062,0
2005-04-06,10.373,10.566,10.3,10.3,9233,0
2005-04-07,10.295,10.3,10.245,10.245,2742,0
2005-04-08,10.267,10.267,10.267,10.267,561,0
2005-04-11,10.3,10.314,10.3,10.314,2023,0
2005-04-12,10.3,10.3,10.252,10.26,3032,0
2005-04-13,10.3,10.406,10.3,10.399,873,0
2005-04-14,10.335,10.335,10.3,10.3,3746,0
2005-04-15,10.3,10.327,10.267,10.267,6779,0
2005-04-18,10.26,10.305,10.26,10.305,873,0
2005-04-19,10.305,10.358,10.305,10.327,4473,0
2005-04-20,10.3,10.314,10.245,10.314,6918,0
2005-04-21,10.3,10.3,10.3,10.3,280,0
2005-04-22,10.358,10.358,10.252,10.252,1585,0
2005-04-25,10.335,10.335,10.335,10.335,3605,0
2005-04-26,10.35,10.475,10.252,10.475,10960,0
2005-04-27,10.406,10.468,10.406,10.468,2448,0
2005-04-28,10.537,10.554,10.446,10.475,4761,0
2005-04-29,10.487,10.503,10.46,10.475,3323,0
2005-05-02,10.487,10.605,10.487,10.605,4037,0
2005-05-04,10.503,10.503,10.48,10.503,9233,0
2005-05-05,10.503,10.537,10.495,10.523,2312,0
2005-05-06,10.517,10.687,10.487,10.687,7790,0
2005-05-09,10.632,10.74,10.605,10.74,3032,0
2005-05-10,10.702,10.702,10.667,10.702,4761,0
2005-05-11,10.702,10.81,10.702,10.755,4188,0
2005-05-12,10.774,10.903,10.774,10.903,3032,0
2005-05-13,10.903,10.903,10.81,10.903,3460,0
2005-05-16,10.867,10.903,10.867,10.888,3605,0
2005-05-17,10.903,11.104,10.903,11.104,7790,0
2005-05-18,11.075,11.075,10.941,10.949,10960,0
2005-05-19,10.941,11.031,10.888,11.031,3746,0
2005-05-20,10.941,11.036,10.941,10.949,2312,0
2005-05-23,10.974,11.104,10.974,10.974,10530,0
2005-05-24,11.003,11.104,10.99,10.997,22939,0
2005-05-25,10.997,11.075,10.903,10.903,7068,0
2005-05-26,10.912,10.918,10.774,10.774,9374,0
2005-05-27,10.81,10.895,10.81,10.835,2599,0
2005-05-31,10.903,11.104,10.903,11.104,2023,0
2005-06-01,10.918,10.926,10.912,10.926,1874,0
2005-06-02,10.918,10.941,10.903,10.941,5194,0
2005-06-03,11.041,11.104,10.941,10.941,5480,0
2005-06-06,10.956,10.974,10.835,10.926,5048,0
2005-06-07,10.934,11.061,10.934,11.041,1585,0
2005-06-08,11.011,11.104,10.961,11.011,15875,0
2005-06-09,11.011,11.177,11.011,11.177,4473,0
2005-06-10,11.242,11.313,11.177,11.177,12844,0
2005-06-13,11.118,11.259,11.118,11.259,2883,0
2005-06-14,11.265,11.576,11.242,11.446,9087,0
2005-06-15,11.612,11.612,11.419,11.446,7503,0
2005-06-16,11.452,11.452,11.334,11.334,6062,0
2005-06-17,11.334,12.091,11.321,11.355,10821,0
2005-06-20,11.347,11.347,11.161,11.177,3896,0
2005-06-21,11.147,11.192,11.141,11.177,3746,0
2005-06-22,11.104,11.192,11.104,11.118,11543,0
2005-06-23,11.127,11.147,11.104,11.118,2883,0
2005-06-24,11.147,11.177,11.104,11.104,2164,0
2005-06-27,11.104,11.127,10.974,11.127,11249,0
2005-06-28,11.096,11.177,11.096,11.161,4037,0
2005-06-29,11.161,11.224,11.161,11.169,12402,0
2005-06-30,11.259,11.334,11.192,11.192,11396,0
2005-07-01,11.213,11.328,11.213,11.328,1450,0
2005-07-05,11.334,11.355,11.328,11.34,4910,0
2005-07-06,11.334,11.334,11.061,11.104,13989,0
2005-07-07,11.161,11.192,11.161,11.177,1282,0
2005-07-08,11.185,11.192,11.185,11.192,1001,0
2005-07-11,11.141,11.229,11.083,11.083,8650,0
2005-07-12,11.141,11.161,11.003,11.111,8224,0
2005-07-13,11.111,11.111,11.111,11.111,3896,0
2005-07-14,11.089,11.118,11.089,11.118,1585,0
2005-07-15,11.048,11.111,10.949,11.075,3460,0
2005-07-18,11.075,11.075,10.956,11.054,14281,0
2005-07-19,11.061,11.213,11.061,11.147,7213,0
2005-07-20,11.192,11.192,11.192,11.192,721,0
2005-07-21,11.198,11.198,11.041,11.041,4612,0
2005-07-22,11.104,11.104,10.941,10.997,3746,0
2005-07-25,10.941,11.169,10.941,10.974,7790,0
2005-07-26,10.997,10.997,10.895,10.949,4188,0
2005-07-27,10.956,11.089,10.918,11.089,17021,0
2005-07-28,11.096,11.34,11.096,11.34,6779,0
2005-07-29,11.439,11.439,11.313,11.347,9809,0
2005-08-01,11.347,11.347,11.347,11.347,441,0
2005-08-02,11.355,11.355,11.213,11.277,7213,0
2005-08-03,11.229,11.265,11.229,11.265,2448,0
2005-08-04,11.328,11.355,11.277,11.355,2448,0
2005-08-05,11.412,11.433,11.376,11.376,2599,0
2005-08-08,11.277,11.446,11.141,11.147,7933,0
2005-08-09,11.127,11.213,10.903,10.968,11688,0
2005-08-10,10.974,11.023,10.903,11.011,10093,0
2005-08-11,11.018,11.023,10.968,10.974,2599,0
2005-08-12,10.968,11.023,10.968,11.023,2883,0
2005-08-15,11.023,11.111,11.023,11.111,2164,0
2005-08-16,11.141,11.205,11.111,11.141,6062,0
2005-08-17,11.104,11.205,11.104,11.205,1282,0
2005-08-18,11.205,11.376,11.141,11.376,5916,0
2005-08-19,11.433,11.439,11.376,11.412,9233,0
2005-08-22,11.425,11.425,11.089,11.34,5194,0
2005-08-23,11.376,11.376,11.104,11.29,16303,0
2005-08-24,11.376,11.376,11.305,11.305,561,0
2005-08-25,11.369,11.369,11.089,11.104,10093,0
2005-08-26,11.177,11.29,11.177,11.271,3746,0
2005-08-29,11.283,11.283,11.127,11.127,3896,0
2005-08-30,11.177,11.242,11.177,11.177,873,0
2005-08-31,11.25,11.283,11.185,11.242,8650,0
2005-09-01,11.277,11.321,11.271,11.321,4910,0
2005-09-02,11.321,11.412,11.321,11.412,721,0
2005-09-06,11.328,11.328,11.328,11.328,2312,0
2005-09-07,11.376,11.412,11.376,11.405,5337,0
2005-09-08,11.405,11.433,11.391,11.391,3605,0
2005-09-09,11.391,11.391,11.334,11.34,2164,0
2005-09-12,11.321,11.321,11.305,11.305,2023,0
2005-09-13,11.305,11.305,11.161,11.25,4910,0
2005-09-14,11.242,11.265,11.242,11.242,3605,0
2005-09-15,11.259,11.259,11.259,11.259,1164,0
2005-09-16,11.242,11.446,11.104,11.127,47319,0
2005-09-19,11.177,11.192,11.133,11.192,1282,0
2005-09-20,11.235,11.235,11.096,11.169,5194,0
2005-09-21,11.075,11.075,11.075,11.075,165,0
2005-09-22,11.104,11.405,11.075,11.096,12267,0
2005-09-23,11.023,11.048,11.023,11.048,1585,0
2005-09-26,11.048,11.048,10.867,10.918,8514,0
2005-09-27,10.903,10.926,10.801,10.84,10821,0
2005-09-28,10.867,10.867,10.867,10.867,1585,0
2005-09-29,10.867,10.874,10.787,10.874,1164,0
2005-09-30,10.874,10.934,10.84,10.934,5194,0
2005-10-03,10.918,10.961,10.903,10.961,5916,0
2005-10-04,11.003,11.003,11.003,11.003,280,0
2005-10-05,11.011,11.011,11.011,11.011,721,0
2005-10-06,11.003,11.061,10.855,10.888,5194,0
2005-10-07,10.88,11.089,10.88,11.089,5770,0
2005-10-10,11.075,11.075,11.011,11.041,2312,0
2005-10-11,10.903,11.031,10.855,10.855,15875,0
2005-10-12,10.827,10.874,10.827,10.874,2742,0
2005-10-14,10.814,10.888,10.787,10.787,3323,0
2005-10-17,10.787,10.814,10.774,10.81,1874,0
2005-10-18,10.814,10.814,10.78,10.78,561,0
2005-10-19,10.814,10.84,10.814,10.84,2599,0
2005-10-20,10.835,10.84,10.801,10.81,5480,0
2005-10-21,10.774,10.774,10.503,10.579,23079,0
2005-10-24,10.667,10.835,10.667,10.667,13272,0
2005-10-25,10.755,10.767,10.755,10.767,2023,0
2005-10-26,10.733,10.814,10.733,10.814,5337,0
2005-10-27,10.84,10.84,10.774,10.774,3172,0
2005-10-28,10.718,10.81,10.681,10.767,5627,0
2005-10-31,10.767,10.774,10.675,10.681,9809,0
2005-11-01,10.687,10.867,10.675,10.867,9523,0
2005-11-02,10.903,11.011,10.855,11.011,6779,0
2005-11-03,10.956,10.956,10.867,10.867,2312,0
2005-11-04,10.88,10.88,10.814,10.814,1450,0
2005-11-07,10.867,10.874,10.84,10.874,1874,0
2005-11-08,10.821,10.903,10.64,10.774,42699,0
2005-11-09,10.814,10.814,10.787,10.787,873,0
2005-11-10,10.793,10.81,10.793,10.81,1585,0
2005-11-11,10.81,10.903,10.81,10.903,721,0
2005-11-14,10.867,10.867,10.867,10.867,7933,0
2005-11-15,10.81,11.104,10.81,10.982,8367,0
2005-11-16,11.041,11.041,10.733,10.793,11543,0
2005-11-17,10.835,10.835,10.696,10.696,1736,0
2005-11-18,10.687,10.855,10.687,10.846,1874,0
2005-11-21,10.793,10.84,10.793,10.81,2448,0
2005-11-22,10.81,10.846,10.801,10.801,7213,0
2005-11-23,10.867,10.874,10.867,10.867,2164,0
2005-11-25,10.84,10.895,10.84,10.895,873,0
2005-11-28,10.895,10.895,10.855,10.867,2883,0
2005-11-29,10.903,10.903,10.903,10.903,165,0
2005-11-30,10.926,10.934,10.74,10.78,11396,0
2005-12-01,10.903,11.104,10.66,10.74,23802,0
2005-12-02,10.718,11.036,10.667,11.036,7503,0
2005-12-05,11.011,11.104,10.918,11.031,12267,0
2005-12-06,11.069,11.069,10.846,10.846,561,0
2005-12-07,11.075,11.104,11.031,11.031,2742,0
2005-12-08,11.031,11.031,10.903,10.941,5770,0
2005-12-09,10.88,10.88,10.81,10.867,4612,0
2005-12-12,10.874,11.096,10.855,11.011,16158,0
2005-12-13,11.104,11.104,10.903,11.041,4188,0
2005-12-14,11.041,11.277,11.041,11.277,8514,0
2005-12-15,11.277,11.277,11.277,11.277,561,0
2005-12-16,11.305,11.459,11.305,11.459,9809,0
2005-12-19,11.446,11.513,11.376,11.513,19765,0
2005-12-20,11.446,11.446,11.313,11.412,10821,0
2005-12-21,11.446,11.696,11.446,11.513,17163,0
2005-12-22,11.446,11.446,11.446,11.446,561,0
2005-12-23,11.513,11.569,11.478,11.478,3032,0
2005-12-27,11.513,11.576,11.513,11.55,1450,0
2005-12-28,11.55,11.55,11.55,11.55,561,0
2005-12-29,11.612,11.647,11.52,11.647,9955,0
2005-12-30,11.716,11.716,11.647,11.647,1874,0
2006-01-03,11.55,11.612,11.465,11.478,10672,0
2006-01-04,11.513,11.673,11.472,11.612,9233,0
2006-01-05,11.513,11.513,11.446,11.446,22794,0
2006-01-06,11.446,11.446,11.376,11.376,16303,0
2006-01-09,11.369,11.433,11.265,11.265,11543,0
2006-01-10,11.265,11.305,11.235,11.242,8224,0
2006-01-11,11.229,11.229,11.161,11.161,11249,0
2006-01-12,11.218,11.277,11.147,11.177,5194,0
2006-01-13,11.104,11.104,11.069,11.069,3896,0
2006-01-17,11.104,11.104,11.036,11.036,1001,0
2006-01-18,11.075,11.075,10.997,10.997,1001,0
2006-01-19,10.997,10.997,10.99,10.99,2599,0
2006-01-20,10.982,10.982,10.888,10.888,2599,0
2006-01-23,10.88,10.88,10.632,10.632,26827,0
2006-01-24,10.66,10.66,10.599,10.599,4910,0
2006-01-25,10.591,10.599,10.566,10.599,2883,0
2006-01-26,10.599,10.599,10.599,10.599,873,0
2006-01-27,10.566,10.64,10.566,10.599,7351,0
2006-01-30,10.632,10.632,10.573,10.573,4910,0
