Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,6.7547,7.0598,6.7547,7.0598,529,0
2005-02-28,7.0116,7.0116,7.0116,7.0116,128,0
2005-03-02,6.9232,7.0276,6.7869,6.9395,2492,0
2005-03-03,6.9395,7.0035,6.9313,6.9313,4239,0
2005-03-04,6.9473,7.2202,6.9473,7.0035,6632,0
2005-03-07,6.9715,6.9715,6.9715,6.9715,534,0
2005-03-09,6.6828,6.739,6.6427,6.6427,6093,0
2005-03-11,6.5702,6.5782,6.5702,6.5782,1123,0
2005-03-14,6.6586,6.6586,6.6586,6.6586,752,0
2005-03-15,6.6427,6.6427,6.3939,6.3939,2864,0
2005-03-16,6.3298,6.4418,6.3298,6.4418,498,0
2005-03-17,6.4418,6.4418,6.4178,6.4178,1870,0
2005-03-18,6.4017,6.4017,6.4017,6.4017,257,0
2005-03-21,6.4178,6.4178,6.3216,6.3216,1495,0
2005-03-22,6.2417,6.2417,6.2171,6.2171,996,0
2005-03-24,6.3376,6.3376,6.3376,6.3376,374,0
2005-03-28,6.0168,6.0248,6.0168,6.0248,3863,0
2005-03-29,6.057,6.057,5.6797,5.8564,4629,0
2005-03-30,5.776,5.776,5.776,5.776,626,0
2005-03-31,5.9687,6.0168,5.9687,5.9687,257,0
2005-04-04,5.9925,5.9925,5.9925,5.9925,374,0
2005-04-06,5.9925,6.0969,5.9925,6.0731,5149,0
2005-04-07,6.1452,6.1692,6.121,6.1692,374,0
2005-04-12,6.0649,6.0891,6.0248,6.0248,871,0
2005-04-13,6.0248,6.0248,5.9925,5.9925,6184,0
2005-04-15,6.0168,6.0649,5.9925,6.057,3241,0
2005-04-18,6.0731,6.0731,6.0731,6.0731,498,0
2005-04-19,5.9925,5.9925,5.9925,5.9925,257,0
2005-04-20,6.0649,6.0649,6.0006,6.0006,995,0
2005-04-21,6.0006,6.0006,5.9925,5.9925,1370,0
2005-04-25,5.8401,6.6906,5.776,6.6906,3118,0
2005-04-27,6.0248,6.2898,5.9846,6.2898,1995,0
2005-04-28,6.3939,6.3939,6.3939,6.3939,128,0
2005-04-29,6.0248,6.0248,6.0248,6.0248,752,0
2005-05-02,6.0248,6.0248,6.0248,6.0248,321,0
2005-05-03,6.0248,6.0248,6.0006,6.0006,6982,0
2005-05-04,6.057,6.0891,5.9365,5.9365,1620,0
2005-05-06,5.9365,5.9365,5.7682,5.7682,3990,0
2005-05-09,5.8643,5.8965,5.8241,5.8241,1620,0
2005-05-10,5.8485,5.9204,5.8485,5.9204,995,0
2005-05-13,5.3669,5.8002,5.359,5.5354,9763,0
2005-05-16,5.5354,5.5354,5.5354,5.5354,752,0
2005-05-18,5.5434,5.5515,5.5354,5.5515,1662,0
2005-05-19,5.816,5.816,5.816,5.816,257,0
2005-05-20,6.0969,6.0969,5.9365,5.9365,257,0
2005-05-23,6.0248,6.0248,5.8725,5.8725,572,0
2005-05-24,6.0248,6.3456,6.0248,6.3456,374,0
2005-05-26,6.0807,6.2171,6.0807,6.2171,1183,0
2005-05-27,6.2574,6.2574,6.2574,6.2574,752,0
2005-05-31,6.4099,6.4099,6.4099,6.4099,1183,0
2005-06-01,6.0969,6.0969,6.0248,6.0248,494,0
2005-06-02,6.105,6.105,6.105,6.105,128,0
2005-06-03,6.0489,6.0649,6.0489,6.0649,903,0
2005-06-06,6.1613,6.1613,6.1613,6.1613,302,0
2005-06-07,6.0248,6.3456,6.0248,6.3456,257,0
2005-06-10,6.041,6.057,6.041,6.057,1432,0
2005-06-13,6.3055,6.3055,6.3055,6.3055,182,0
2005-06-16,6.1932,6.1932,6.1932,6.1932,1248,0
2005-06-17,6.2171,6.2171,6.121,6.1452,8726,0
2005-06-20,6.121,6.121,5.8804,6.0731,2990,0
2005-06-21,6.0891,6.3134,6.0891,6.3134,4701,0
2005-06-23,6.3376,6.3376,6.2815,6.3055,11882,0
2005-06-24,6.057,6.057,6.057,6.057,376,0
2005-06-27,6.0649,6.105,6.0649,6.0731,3390,0
2005-06-28,6.2171,6.3055,6.2171,6.2417,881,0
2005-06-30,6.2171,6.2254,6.2171,6.2171,6685,0
2005-07-01,6.2574,6.2574,6.2492,6.2492,257,0
