Date,Open,High,Low,Close,Volume,OpenInt
1990-03-26,1.4575,1.562,1.4,1.562,688824,0
1990-03-27,1.505,1.6096,1.505,1.562,634020,0
1990-03-28,1.5335,1.562,1.505,1.562,1060165,0
1990-03-29,1.5335,1.5909,1.5335,1.5335,328823,0
1990-03-30,1.5335,1.562,1.5335,1.562,476225,0
1990-04-02,1.5335,1.5335,1.4859,1.4859,198427,0
1990-04-03,1.5335,1.5335,1.4859,1.5335,276854,0
1990-04-04,1.505,1.5335,1.505,1.505,186141,0
1990-04-05,1.505,1.5335,1.4859,1.5335,464413,0
1990-04-06,1.505,1.562,1.505,1.505,230552,0
1990-04-09,1.5335,1.5335,1.505,1.5335,63779,0
1990-04-10,1.505,1.562,1.505,1.5335,394965,0
1990-04-11,1.562,1.6096,1.5335,1.5335,963788,0
1990-04-12,1.5335,1.5909,1.5335,1.562,565989,0
1990-04-16,1.5909,1.5909,1.5335,1.562,149293,0
1990-04-17,1.5909,1.5909,1.4859,1.5335,349609,0
1990-04-18,1.505,1.5335,1.505,1.5335,154491,0
1990-04-19,1.505,1.5335,1.4859,1.5335,284885,0
1990-04-20,1.4859,1.505,1.4287,1.4575,99687,0
1990-04-23,1.4,1.4575,1.3715,1.4,239529,0
1990-04-24,1.4,1.4859,1.4,1.4,833394,0
1990-04-25,1.4,1.4287,1.3525,1.4,351027,0
1990-04-26,1.4287,1.4287,1.4,1.4,11810,0
1990-04-27,1.4287,1.4287,1.3715,1.4287,96379,0
1990-04-30,1.4287,1.4287,1.3715,1.3715,8975,0
1990-05-01,1.3715,1.4287,1.3715,1.4,20316,0
1990-05-02,1.4287,1.4575,1.3715,1.4575,224885,0
1990-05-03,1.4859,1.4859,1.4575,1.4575,35435,0
1990-05-04,1.4859,1.505,1.4575,1.4859,56222,0
1990-05-07,1.4859,1.5335,1.4859,1.505,169135,0
1990-05-08,1.505,1.5335,1.4859,1.505,93071,0
1990-05-09,1.505,1.505,1.505,1.505,29291,0
1990-05-10,1.5335,1.562,1.505,1.562,378428,0
1990-05-11,1.562,1.667,1.562,1.6096,692607,0
1990-05-14,1.6096,1.667,1.5909,1.667,294806,0
1990-05-15,1.6096,1.667,1.5909,1.6096,491342,0
1990-05-16,1.667,1.667,1.6096,1.6096,181420,0
1990-05-17,1.6096,1.7145,1.6096,1.7145,452602,0
1990-05-18,1.6955,1.7717,1.667,1.7145,735598,0
1990-05-21,1.6955,1.7145,1.667,1.6955,1149931,0
1990-05-22,1.7145,1.7145,1.6382,1.667,556538,0
1990-05-23,1.6955,1.8003,1.6955,1.8003,1644110,0
1990-05-24,1.8003,1.905,1.8003,1.8764,1072451,0
1990-05-25,1.8764,1.8764,1.8288,1.8288,703471,0
