Date,Open,High,Low,Close,Volume,OpenInt
2016-09-30,19.275,19.275,19.247,19.258,1670,0
2016-10-03,19.179,19.179,19.179,19.179,100,0
2016-10-05,19.044,19.044,19.044,19.044,1042,0
2016-10-07,19.082,19.082,19.008,19.054,955,0
2016-10-12,18.883,18.883,18.883,18.883,728,0
2016-10-14,18.662,18.662,18.567,18.567,1356,0
2016-10-17,18.385,18.385,18.385,18.385,100,0
2016-10-19,18.557,18.597,18.557,18.597,1467,0
2016-10-26,18.547,18.547,18.547,18.547,100,0
2016-10-31,18.29,18.29,18.29,18.29,1039,0
2016-11-04,18.327,18.327,18.327,18.327,266,0
2016-11-08,18.375,18.375,18.347,18.347,2084,0
2016-11-11,17.704,17.751,17.704,17.741,1092,0
2016-11-16,17.646,17.646,17.646,17.646,1039,0
2016-11-17,17.568,17.568,17.558,17.558,1352,0
2016-11-18,17.473,17.473,17.459,17.473,1988,0
2016-11-22,17.617,17.617,17.617,17.617,574,0
2016-11-23,17.522,17.522,17.522,17.522,1248,0
2016-11-28,17.568,17.568,17.568,17.568,2855,0
2016-11-30,17.434,17.434,17.434,17.434,2133,0
2016-12-01,17.328,17.328,17.328,17.328,524,0
2016-12-02,17.29,17.328,17.259,17.328,4508,0
2016-12-05,17.328,17.328,17.328,17.328,1977,0
2016-12-06,17.512,17.512,17.48,17.48,724,0
2016-12-07,17.715,17.762,17.715,17.762,412,0
2016-12-08,17.705,17.705,17.705,17.705,1063,0
2016-12-09,17.666,17.666,17.593,17.593,30495,0
2016-12-13,17.598,17.666,17.598,17.666,29918,0
2016-12-14,17.752,17.752,17.744,17.744,836,0
2016-12-15,17.568,17.598,17.568,17.596,7272,0
2016-12-16,17.588,17.617,17.588,17.617,3119,0
2016-12-19,17.656,17.656,17.623,17.627,3966,0
2016-12-22,17.666,17.675,17.656,17.666,3622,0
2016-12-27,17.647,17.685,17.647,17.685,281755,0
2016-12-28,17.627,19.654,17.627,17.806,42289,0
2017-01-04,17.985,18.042,17.887,17.887,119610,0
2017-01-05,17.858,17.956,17.858,17.956,57514,0
2017-01-06,17.907,17.936,17.88,17.936,3521,0
2017-01-09,18.004,18.004,18.004,18.004,11161,0
2017-01-10,18.045,18.045,18.014,18.04,8462,0
2017-01-13,18.033,18.05,18.024,18.042,640,0
2017-01-19,17.984,17.984,17.984,17.984,100,0
2017-01-20,17.912,17.912,17.912,17.912,1109,0
2017-01-25,17.941,17.956,17.941,17.956,4395,0
2017-01-26,17.916,17.916,17.916,17.916,2885,0
2017-02-01,18.08,18.08,17.877,17.877,4583,0
2017-02-02,18.033,18.033,17.976,17.976,19525,0
2017-02-03,17.994,17.994,17.994,17.994,89014,0
2017-02-08,18.149,18.159,18.132,18.132,4035,0
2017-02-09,18.129,18.129,18.129,18.129,125,0
2017-02-14,18.004,18.004,17.99,17.99,2484,0
2017-02-15,17.976,17.994,17.956,17.956,7998,0
2017-02-16,17.926,17.926,17.926,17.926,16719,0
2017-02-21,17.966,17.976,17.938,17.976,7940,0
2017-02-22,18.014,18.014,17.981,17.994,4738,0
2017-02-23,18.052,18.061,18.042,18.052,1954,0
2017-02-28,18.034,18.119,18.034,18.119,4010,0
2017-03-03,17.897,17.917,17.897,17.917,453,0
2017-03-07,17.907,17.907,17.872,17.887,1315,0
2017-03-08,17.75,17.76,17.75,17.75,2883,0
2017-03-10,17.596,17.596,17.566,17.596,2423,0
2017-03-13,17.654,17.654,17.606,17.615,1184,0
2017-03-15,17.631,17.701,17.631,17.701,719,0
2017-03-16,17.693,17.693,17.693,17.693,2162,0
2017-03-20,17.849,17.849,17.833,17.835,2598,0
2017-03-21,17.858,17.877,17.858,17.877,66125,0
2017-03-22,17.885,17.907,17.878,17.878,2570,0
2017-03-23,17.936,17.936,17.936,17.936,1024,0
2017-03-24,17.914,17.914,17.914,17.914,1241,0
2017-03-27,17.936,17.994,17.936,17.985,4045,0
2017-03-28,17.986,18.004,17.986,17.989,32442,0
2017-03-29,18.034,18.034,18.034,18.034,180,0
2017-03-31,17.994,18.072,17.976,18.072,11379,0
2017-04-03,18.101,18.101,18.091,18.091,353,0
2017-04-05,18.052,18.052,18.052,18.052,164999,0
2017-04-12,18.299,18.326,18.299,18.326,1127,0
2017-04-13,18.328,18.328,18.322,18.322,2860,0
2017-04-17,18.219,18.346,18.219,18.326,6563,0
2017-04-20,18.365,18.375,18.355,18.375,5440,0
2017-04-21,18.403,18.403,18.393,18.393,1565,0
2017-04-24,18.341,18.341,18.325,18.326,2295,0
2017-04-25,18.242,18.242,18.242,18.242,436,0
2017-04-26,18.244,18.244,18.244,18.244,514,0
2017-04-27,18.308,18.308,18.271,18.271,614,0
2017-05-01,18.375,18.384,18.297,18.297,5609,0
2017-05-02,18.332,18.384,18.288,18.384,2295,0
2017-05-03,18.375,18.433,18.365,18.433,17016,0
2017-05-04,18.413,18.413,18.393,18.393,921,0
2017-05-05,18.389,18.389,18.389,18.389,282,0
2017-05-08,18.363,18.423,18.35,18.423,6188,0
2017-05-10,18.268,18.335,18.268,18.335,1299,0
2017-05-11,18.346,18.403,18.346,18.393,6053,0
2017-05-15,18.492,18.521,18.492,18.511,2863,0
2017-05-16,18.443,18.463,18.443,18.463,1759,0
2017-05-17,18.571,18.571,18.541,18.551,1826,0
2017-05-19,18.468,18.474,18.442,18.474,2111,0
2017-05-22,18.484,18.503,18.433,18.503,3302,0
2017-05-23,18.551,18.561,18.463,18.518,7090,0
2017-05-24,18.571,18.571,18.571,18.571,1912,0
2017-05-25,18.571,18.571,18.561,18.561,1817,0
2017-05-26,18.531,18.561,18.531,18.551,3410,0
2017-05-30,18.561,18.561,18.511,18.561,1259,0
2017-05-31,18.581,18.63,18.511,18.621,9147,0
2017-06-01,18.679,18.679,18.679,18.679,1635,0
2017-06-02,18.668,18.689,18.591,18.659,19353,0
2017-06-05,18.649,18.649,18.61,18.61,362,0
2017-06-06,18.675,18.675,18.675,18.675,266,0
2017-06-07,18.689,18.689,18.659,18.659,3498,0
2017-06-08,18.649,18.65,18.649,18.65,1224,0
2017-06-09,18.627,18.627,18.609,18.609,206,0
2017-06-12,18.64,18.64,18.551,18.63,8548,0
2017-06-13,18.608,18.608,18.608,18.608,321,0
2017-06-15,18.611,18.668,18.611,18.667,2293,0
2017-06-19,18.702,18.702,18.702,18.702,143,0
2017-06-20,18.681,18.681,18.63,18.63,23462,0
2017-06-22,18.717,18.757,18.717,18.757,1531,0
2017-06-23,18.737,18.797,18.737,18.757,31198,0
2017-06-26,18.803,18.826,18.769,18.786,16687,0
2017-06-28,18.703,18.747,18.703,18.747,2740,0
2017-06-29,18.601,18.601,18.601,18.601,2335,0
2017-06-30,18.581,18.601,18.546,18.601,14596,0
2017-07-03,18.64,18.659,18.589,18.649,4450,0
2017-07-05,18.649,18.669,18.591,18.669,2150,0
2017-07-06,18.621,18.659,18.576,18.591,1137,0
2017-07-10,18.708,18.708,18.708,18.708,3200,0
2017-07-11,18.706,18.727,18.699,18.699,1862,0
2017-07-13,18.794,18.816,18.774,18.815,748,0
2017-07-14,18.826,18.876,18.826,18.855,2254,0
2017-07-17,18.81,18.81,18.81,18.81,164,0
2017-07-18,18.822,18.866,18.822,18.856,1305,0
2017-07-20,18.866,18.866,18.866,18.866,272,0
2017-07-21,18.876,18.876,18.876,18.876,758,0
2017-07-25,18.772,18.784,18.772,18.783,673,0
2017-07-27,18.846,18.846,18.836,18.836,879,0
2017-07-28,18.896,18.916,18.896,18.916,758,0
2017-07-31,18.941,18.941,18.941,18.941,1012,0
2017-08-01,18.974,19.033,18.974,19.015,2702,0
2017-08-02,19.073,19.073,19.073,19.073,255,0
2017-08-03,19.046,19.046,19.046,19.046,457,0
2017-08-04,18.994,19.033,18.994,19.002,2632,0
2017-08-08,18.926,18.965,18.916,18.933,3685,0
2017-08-09,18.866,18.894,18.866,18.894,508,0
2017-08-10,18.856,18.856,18.807,18.807,661,0
2017-08-11,18.836,18.896,18.836,18.896,1382,0
2017-08-15,18.866,18.866,18.812,18.816,5609,0
2017-08-16,18.846,18.846,18.846,18.846,454,0
2017-08-21,18.931,18.974,18.931,18.968,2912,0
2017-08-22,18.965,19.004,18.965,19.004,2271,0
2017-08-23,18.945,18.945,18.945,18.945,1771,0
2017-08-28,18.936,18.974,18.936,18.974,1084,0
2017-08-31,18.994,19.016,18.994,19.016,2524,0
2017-09-01,19.065,19.065,19.043,19.043,560,0
2017-09-05,19.033,19.046,19.004,19.046,35375,0
2017-09-06,19.106,19.133,19.055,19.104,12898,0
2017-09-11,19.213,19.213,19.193,19.193,927,0
2017-09-12,19.163,19.193,19.153,19.153,1280,0
2017-09-13,19.143,19.203,19.133,19.203,7011,0
2017-09-19,19.183,19.183,19.183,19.183,1019,0
2017-09-20,19.173,19.173,19.066,19.103,8767,0
2017-09-21,19.103,19.133,19.089,19.089,2082,0
2017-09-22,19.004,19.004,19.004,19.004,2103,0
2017-09-25,19.053,19.057,19.005,19.057,5299,0
2017-10-02,18.705,18.955,18.705,18.91,12541,0
2017-10-04,18.835,18.859,18.835,18.845,2616,0
2017-10-06,18.905,18.955,18.905,18.935,4683,0
2017-10-09,18.894,18.922,18.894,18.922,2479,0
2017-10-11,18.984,18.994,18.955,18.955,5446,0
2017-10-12,18.945,18.97,18.945,18.967,1091,0
2017-10-13,19.029,19.062,19.029,19.048,5272,0
2017-10-16,19.043,19.043,18.93,19.024,453,0
2017-10-19,18.973,18.973,18.973,18.973,946,0
2017-10-20,18.894,18.952,18.892,18.892,5029,0
2017-10-23,18.88,18.932,18.88,18.932,1074,0
2017-10-24,18.922,18.922,18.872,18.912,691,0
2017-10-25,18.812,18.812,18.811,18.812,1007,0
2017-10-26,18.623,18.782,18.623,18.722,2401,0
2017-10-30,18.693,18.731,18.693,18.731,3408,0
2017-10-31,18.712,18.712,18.712,18.712,299,0
2017-11-01,18.665,18.665,18.633,18.633,1376,0
2017-11-02,18.671,18.702,18.671,18.693,3540,0
2017-11-03,18.693,18.702,18.688,18.702,3814,0
2017-11-06,18.712,18.742,18.712,18.742,11838,0
2017-11-07,18.741,18.762,18.726,18.762,4152,0
