Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,18.356,18.497,18.126,18.229,925749,0
2005-02-28,18.315,18.434,18.155,18.299,1745508,0
2005-03-01,18.323,18.442,18.222,18.244,1179304,0
2005-03-02,18.061,18.238,17.984,18.155,822039,0
2005-03-03,18.126,18.259,18.087,18.155,590796,0
2005-03-04,18.416,18.567,18.34,18.504,1091065,0
2005-03-07,18.434,18.576,18.407,18.536,1174997,0
2005-03-08,18.631,18.83,18.592,18.788,1163332,0
2005-03-09,18.874,18.946,18.741,18.891,1509441,0
2005-03-10,18.939,19.103,18.822,18.924,1227481,0
2005-03-11,18.891,18.961,18.648,18.733,912816,0
2005-03-14,18.648,18.83,18.631,18.772,742423,0
2005-03-15,18.882,18.954,18.804,18.9,882388,0
2005-03-16,18.915,19.027,18.844,18.858,1263486,0
2005-03-17,18.852,18.954,18.733,18.891,528419,0
2005-03-18,18.764,19.051,18.764,18.966,834464,0
2005-03-21,18.78,18.804,18.56,18.592,834212,0
2005-03-22,18.677,18.966,18.677,18.703,1736376,0
2005-03-23,18.576,18.717,18.466,18.576,969868,0
2005-03-24,18.639,18.694,18.592,18.662,750284,0
2005-03-28,18.592,18.592,18.379,18.497,1141018,0
2005-03-29,18.504,18.703,18.481,18.576,1750069,0
2005-03-30,18.623,18.648,18.511,18.576,777920,0
2005-03-31,18.733,18.924,18.576,18.9,819761,0
2005-04-01,18.835,18.835,18.356,18.481,619192,0
2005-04-04,18.252,18.299,18.017,18.18,1186154,0
2005-04-05,18.171,18.677,18.171,18.527,1304309,0
2005-04-06,18.466,18.677,18.466,18.648,628321,0
2005-04-07,18.631,18.725,18.466,18.497,349405,0
2005-04-08,18.37,18.623,18.348,18.527,706164,0
2005-04-11,18.481,18.606,18.459,18.511,832182,0
2005-04-12,18.504,18.772,18.416,18.685,1032494,0
2005-04-13,18.662,19.002,18.639,18.648,1494227,0
2005-04-14,18.677,18.71,18.348,18.407,829649,0
2005-04-15,18.481,18.497,18.104,18.104,576848,0
2005-04-18,18.07,18.252,17.984,18.189,1137724,0
2005-04-19,18.189,18.259,17.993,18.18,727716,0
2005-04-20,18.053,18.214,18.031,18.053,681063,0
2005-04-21,18.18,18.268,18.061,18.14,525124,0
2005-04-22,18.121,18.214,18.046,18.14,450830,0
2005-04-25,18.07,18.155,17.96,18.087,425474,0
2005-04-26,17.984,18.087,17.912,17.93,448548,0
2005-04-27,17.93,18.017,17.835,17.921,668893,0
