Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.6919,7.8229,7.5783,7.8132,756174,0
2005-02-28,7.7986,8.305,7.7528,8.2034,1597794,0
2005-03-01,8.2371,8.375,8.138,8.1961,759481,0
2005-03-02,8.1766,8.3367,8.1307,8.2179,642671,0
2005-03-03,8.2298,8.3074,8.2298,8.2881,344242,0
2005-03-04,8.3824,8.4867,8.2809,8.4433,453208,0
2005-03-07,8.4433,8.4529,8.3319,8.3775,569613,0
2005-03-08,8.3464,8.4069,8.3319,8.3464,464769,0
2005-03-09,8.3464,8.3464,8.2034,8.2784,333511,0
2005-03-10,8.2784,8.402,8.2589,8.3245,515125,0
2005-03-11,8.344,8.3824,8.2057,8.2322,425970,0
2005-03-14,8.2614,8.4045,8.2614,8.4045,228670,0
2005-03-15,8.4262,8.5012,8.3799,8.402,529570,0
2005-03-16,8.4069,8.4771,8.2275,8.3003,759891,0
2005-03-17,8.3584,8.5256,8.3584,8.4457,1434341,0
2005-03-18,8.4457,8.4939,8.4213,8.4457,831295,0
2005-03-21,8.4674,8.5012,8.4385,8.4771,414412,0
2005-03-22,8.4771,8.4891,8.3003,8.3074,473023,0
2005-03-23,8.3099,8.3922,8.3003,8.327,592310,0
2005-03-24,8.3148,8.356,8.2565,8.2589,378913,0
2005-03-28,8.2735,8.3172,8.201,8.2034,314109,0
2005-03-29,8.2034,8.2614,8.0266,8.0531,451145,0
2005-03-30,8.0724,8.2904,8.0724,8.2614,389237,0
2005-03-31,8.2589,8.2589,8.0629,8.1136,470549,0
2005-04-01,8.1527,8.2251,8.0313,8.0629,430514,0
2005-04-04,8.0629,8.116,8.0338,8.0674,384693,0
2005-04-05,8.092,8.1766,8.0797,8.138,382215,0
2005-04-06,8.116,8.1548,8.0242,8.0242,432158,0
2005-04-07,8.0434,8.1037,8.0022,8.0772,189456,0
2005-04-08,8.0674,8.0674,7.8253,7.915,344242,0
2005-04-11,7.9246,7.9246,7.8035,7.8059,251375,0
2005-04-12,7.8009,7.9779,7.6701,7.9442,335161,0
2005-04-13,7.9442,7.9829,7.818,7.864,213810,0
2005-04-14,7.8737,7.9053,7.7528,7.8059,307916,0
2005-04-15,7.8059,7.8059,7.6219,7.6366,307094,0
2005-04-18,7.6171,7.6796,7.5468,7.6243,242290,0
2005-04-19,7.6486,7.6583,7.5297,7.6074,335986,0
2005-04-20,7.5588,7.6414,7.5103,7.5322,487882,0
2005-04-21,7.5928,7.8083,7.5928,7.7601,335161,0
2005-04-22,7.7601,7.7601,7.4061,7.4741,326082,0
2005-04-25,7.5103,7.6195,7.4643,7.5928,255085,0
2005-04-26,7.5783,7.6024,7.3649,7.3649,287281,0
2005-04-27,7.3459,7.6535,7.3363,7.5174,402030,0
2005-04-28,7.4983,7.4983,7.3674,7.3819,223300,0
2005-04-29,7.4257,7.4741,7.2679,7.4379,245590,0
2005-05-02,7.4379,7.6462,7.4379,7.6098,338879,0
2005-05-03,7.6559,7.7409,7.4597,7.5103,320712,0
2005-05-04,7.5079,7.7163,7.4597,7.7163,272837,0
2005-05-05,7.6993,7.9829,7.6366,7.8059,639778,0
2005-05-06,7.8859,7.9973,7.8859,7.9101,333099,0
2005-05-09,7.8737,8.0434,7.84,7.9587,319481,0
2005-05-10,7.9587,8.0556,7.8884,7.9101,231968,0
2005-05-11,7.9029,8.0192,7.8884,7.9466,429684,0
2005-05-12,7.9296,7.9948,7.8448,7.9101,437528,0
2005-05-13,7.8933,7.8933,7.5322,7.6796,791261,0
2005-05-16,7.6774,7.9611,7.6654,7.9611,307916,0
2005-05-17,7.9345,8.0674,7.9174,8.0531,349611,0
2005-05-18,8.0459,8.1527,7.9707,7.9973,340935,0
2005-05-19,8.0192,8.162,7.9948,8.162,314938,0
2005-05-20,8.1863,8.1863,8.0459,8.1331,428860,0
2005-05-23,8.1282,8.2565,8.0797,8.1453,497787,0
2005-05-24,8.1741,8.1741,8.0556,8.1208,288109,0
2005-05-25,8.0968,8.1453,8.0338,8.058,417713,0
2005-05-26,8.0797,8.162,8.0459,8.116,344655,0
2005-05-27,8.1062,8.2687,8.0847,8.2614,183264,0
2005-05-31,8.2371,8.3074,8.2155,8.3074,1655168,0
2005-06-01,8.3003,8.4262,8.2784,8.3172,343831,0
2005-06-02,8.2978,8.3655,8.2155,8.2495,391709,0
2005-06-03,8.2735,8.3221,8.2179,8.2978,204732,0
2005-06-06,8.2953,8.5377,8.2614,8.5232,336399,0
2005-06-07,8.5232,8.6251,8.3655,8.3679,339284,0
2005-06-08,8.4117,8.4457,8.3655,8.3728,122179,0
2005-06-09,8.3703,8.4093,8.3221,8.4045,524623,0
2005-06-10,8.3971,8.4189,8.3655,8.3703,320712,0
2005-06-13,8.3655,8.4213,8.3295,8.3824,420189,0
2005-06-14,8.3703,8.448,8.3416,8.3971,350846,0
2005-06-15,8.4312,8.4408,8.3099,8.3824,708712,0
2005-06-16,8.3703,8.5402,8.3679,8.5012,213396,0
2005-06-17,8.5158,8.5306,8.3824,8.3824,472196,0
2005-06-20,8.3655,8.4553,8.3655,8.3655,144464,0
2005-06-21,8.4312,8.4794,8.3775,8.4529,154787,0
2005-06-22,8.4553,8.5037,8.4312,8.4819,225368,0
2005-06-23,8.4794,8.5256,8.3655,8.3655,491599,0
2005-06-24,8.3679,8.4045,8.3464,8.3947,450321,0
2005-06-27,8.3824,8.4164,8.3535,8.3607,502743,0
2005-06-28,8.4312,8.7678,8.4093,8.6587,475914,0
2005-06-29,8.6587,8.7945,8.5377,8.5884,713248,0
2005-06-30,8.6178,8.6683,8.5474,8.5497,456100,0
