Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.918,10.013,9.918,9.996,80115,0
2005-02-28,10.019,10.024,9.956,9.989,83934,0
2005-03-01,10.001,10.013,9.974,10.001,66889,0
2005-03-02,10.013,10.024,9.974,10.024,103635,0
2005-03-03,10.024,10.053,10.001,10.045,76727,0
2005-03-04,10.038,10.096,10.024,10.081,39687,0
2005-03-07,10.081,10.096,10.06,10.081,78494,0
2005-03-08,10.087,10.096,9.996,10.031,90258,0
2005-03-09,9.98,10.001,9.963,9.968,119509,0
2005-03-10,9.968,9.968,9.877,9.934,56591,0
2005-03-11,9.889,9.889,9.802,9.85,46301,0
2005-03-14,9.823,9.854,9.795,9.802,56446,0
2005-03-15,9.795,9.818,9.764,9.781,112451,0
2005-03-16,9.77,9.795,9.67,9.686,97163,0
2005-03-17,9.686,9.77,9.678,9.678,73209,0
2005-03-18,9.764,9.77,9.702,9.729,42039,0
2005-03-21,9.722,9.77,9.694,9.757,69679,0
2005-03-22,9.77,9.77,9.653,9.653,84380,0
2005-03-23,9.599,9.634,9.3123,9.623,170816,0
2005-03-24,9.4876,9.585,9.4756,9.509,143621,0
2005-03-28,9.551,9.551,9.4157,9.4613,145237,0
2005-03-29,9.4157,9.538,9.4157,9.538,98047,0
2005-03-30,9.545,9.564,9.4876,9.538,80115,0
2005-03-31,9.564,9.67,9.558,9.659,93195,0
2005-04-01,9.686,9.781,9.664,9.686,64532,0
2005-04-04,9.749,9.764,9.686,9.722,92017,0
2005-04-05,9.722,9.749,9.694,9.722,32339,0
2005-04-06,9.709,9.781,9.709,9.775,44986,0
2005-04-07,9.743,9.789,9.729,9.743,89232,0
2005-04-08,9.775,9.781,9.686,9.694,36312,0
2005-04-11,9.737,9.764,9.709,9.749,47919,0
2005-04-12,9.694,9.781,9.694,9.757,65413,0
2005-04-13,9.77,9.789,9.67,9.737,97317,0
2005-04-14,9.757,9.789,9.722,9.722,75266,0
2005-04-15,9.743,9.764,9.715,9.729,54088,0
2005-04-18,9.729,9.81,9.722,9.795,54535,0
2005-04-19,9.795,9.818,9.77,9.81,43358,0
2005-04-20,9.789,9.854,9.775,9.854,166694,0
2005-04-21,9.823,9.823,9.775,9.789,68211,0
2005-04-22,9.854,9.854,9.686,9.77,129955,0
2005-04-25,9.764,9.802,9.764,9.775,28076,0
2005-04-26,9.795,9.795,9.737,9.743,58210,0
2005-04-27,9.77,9.789,9.737,9.737,46450,0
2005-04-28,9.757,9.836,9.757,9.836,99813,0
2005-04-29,9.818,9.85,9.81,9.823,47778,0
2005-05-02,9.795,9.863,9.795,9.863,44986,0
2005-05-03,9.877,9.963,9.85,9.896,148613,0
2005-05-04,9.896,9.963,9.896,9.94,110835,0
2005-05-05,9.948,9.963,9.911,9.956,63362,0
2005-05-06,9.927,9.927,9.843,9.889,44097,0
2005-05-09,9.911,9.968,9.854,9.956,58797,0
2005-05-10,9.98,9.98,9.896,9.94,51158,0
2005-05-11,9.94,9.94,9.85,9.889,72614,0
2005-05-12,9.927,9.94,9.885,9.918,33376,0
2005-05-13,9.918,9.918,9.87,9.87,54243,0
2005-05-16,9.918,9.927,9.889,9.911,65557,0
2005-05-17,9.896,9.948,9.896,9.905,133177,0
2005-05-18,9.94,9.98,9.885,9.94,124358,0
2005-05-19,9.94,9.963,9.854,9.905,93935,0
2005-05-20,9.885,9.94,9.877,9.918,94813,0
2005-05-23,9.948,9.989,9.918,9.989,92905,0
2005-05-24,9.996,10.024,9.996,10.019,80999,0
2005-05-25,10.024,10.031,9.989,9.996,93780,0
2005-05-26,9.996,10.081,9.98,10.024,83496,0
2005-05-27,9.963,10.081,9.963,10.081,92310,0
2005-05-31,10.096,10.129,10.096,10.129,108778,0
2005-06-01,10.129,10.165,10.116,10.142,109664,0
2005-06-02,10.109,10.159,10.081,10.129,104513,0
2005-06-03,10.159,10.2,10.116,10.129,150087,0
2005-06-06,10.129,10.187,10.045,10.06,149059,0
2005-06-07,10.109,10.129,10.031,10.081,202568,0
2005-06-08,10.109,10.116,10.067,10.109,58948,0
2005-06-09,10.116,10.165,10.081,10.165,95248,0
2005-06-10,10.129,10.129,10.013,10.038,109664,0
2005-06-13,10.087,10.087,9.996,10.045,168462,0
2005-06-14,10.001,10.045,9.94,10.019,86290,0
2005-06-15,10.045,10.15,9.98,10.087,102018,0
2005-06-16,10.06,10.109,10.045,10.109,71739,0
2005-06-17,10.081,10.096,10.045,10.075,72321,0
2005-06-20,10.06,10.124,10.045,10.124,115392,0
2005-06-21,10.15,10.15,10.067,10.116,84084,0
2005-06-22,10.124,10.124,10.06,10.067,97021,0
2005-06-23,10.081,10.087,10.053,10.087,104811,0
2005-06-24,10.116,10.129,10.038,10.038,99369,0
2005-06-27,10.06,10.096,10.045,10.06,165961,0
2005-06-28,10.06,10.129,10.045,10.096,132741,0
2005-06-29,10.104,10.142,10.096,10.142,108778,0
2005-06-30,10.15,10.187,10.124,10.179,74969,0
