Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.247,10.301,10.187,10.301,25302,0
2005-02-28,10.334,10.334,10.138,10.201,52386,0
2005-03-01,10.201,10.239,10.146,10.194,35721,0
2005-03-02,10.171,10.267,10.159,10.239,52241,0
2005-03-03,10.267,10.334,10.232,10.274,23664,0
2005-03-04,10.368,10.505,10.334,10.394,41225,0
2005-03-07,10.286,10.356,10.232,10.239,39886,0
2005-03-08,10.221,10.328,10.221,10.239,20092,0
2005-03-09,10.221,10.221,10.146,10.146,30512,0
2005-03-10,10.146,10.187,9.904,10.092,73819,0
2005-03-11,9.969,10.026,9.891,9.916,30659,0
2005-03-14,9.881,9.886,9.768,9.867,122038,0
2005-03-15,9.845,10.28,9.845,10.067,97926,0
2005-03-16,10.067,10.067,9.845,9.891,70845,0
2005-03-17,9.845,9.874,9.837,9.874,6699,0
2005-03-18,9.874,9.874,9.79,9.808,32743,0
2005-03-21,9.784,9.797,9.678,9.716,89445,0
2005-03-22,9.705,9.705,9.609,9.609,91083,0
2005-03-23,9.602,9.602,9.3326,9.42,93318,0
2005-03-24,9.434,9.552,9.42,9.4873,32743,0
2005-03-28,9.533,9.54,9.428,9.4684,49556,0
2005-03-29,9.4684,9.4684,9.4142,9.4604,28720,0
2005-03-30,9.4684,9.705,9.428,9.642,49556,0
2005-03-31,9.728,9.735,9.583,9.735,40182,0
2005-04-01,9.754,9.874,9.721,9.797,31997,0
2005-04-04,9.808,9.886,9.735,9.881,14288,0
2005-04-05,9.816,9.816,9.705,9.735,26042,0
2005-04-06,9.735,9.797,9.728,9.797,23365,0
2005-04-07,9.775,9.821,9.768,9.821,13252,0
2005-04-08,9.768,9.83,9.768,9.802,18156,0
2005-04-11,9.821,9.821,9.735,9.735,43754,0
2005-04-12,9.747,9.797,9.735,9.784,18899,0
2005-04-13,9.797,9.845,9.775,9.816,24709,0
2005-04-14,9.797,9.816,9.74,9.816,51042,0
2005-04-15,9.83,9.83,9.775,9.83,17413,0
2005-04-18,9.816,9.881,9.808,9.881,20684,0
2005-04-19,9.881,9.938,9.874,9.916,30961,0
2005-04-20,9.904,9.948,9.886,9.916,34525,0
2005-04-21,9.886,10.033,9.886,9.916,28272,0
2005-04-22,9.897,9.909,9.886,9.909,17261,0
2005-04-25,9.909,9.956,9.909,9.948,22323,0
2005-04-26,9.969,10.026,9.956,10.026,27085,0
2005-04-27,10.049,10.092,10.041,10.067,30360,0
2005-04-28,10.109,10.159,10.109,10.138,32446,0
2005-04-29,10.159,10.166,10.109,10.123,38844,0
2005-05-02,10.105,10.146,10.067,10.101,40778,0
2005-05-03,10.101,10.146,10.092,10.146,23817,0
2005-05-04,10.101,10.152,10.079,10.152,44055,0
2005-05-05,10.152,10.194,10.131,10.179,67123,0
2005-05-06,10.179,10.179,10.079,10.079,14732,0
2005-05-09,10.067,10.131,10.067,10.131,20092,0
2005-05-10,10.131,10.194,10.109,10.179,13843,0
2005-05-11,10.138,10.187,10.131,10.131,23218,0
2005-05-12,10.159,10.159,10.101,10.159,33339,0
2005-05-13,10.159,10.187,10.152,10.152,8636,0
2005-05-16,10.152,10.213,10.152,10.213,24257,0
2005-05-17,10.207,10.239,10.138,10.171,73222,0
2005-05-18,10.187,10.232,10.166,10.171,76500,0
2005-05-19,10.201,10.247,10.179,10.247,22925,0
2005-05-20,10.179,10.239,10.179,10.201,33339,0
2005-05-23,10.247,10.274,10.221,10.267,31548,0
2005-05-24,10.267,10.301,10.239,10.294,37503,0
2005-05-25,10.254,10.314,10.247,10.247,22925,0
2005-05-26,10.247,10.274,10.221,10.267,34972,0
2005-05-27,10.294,10.308,10.254,10.274,23664,0
2005-05-31,10.239,10.387,10.239,10.375,41078,0
2005-06-01,10.356,10.383,10.267,10.383,54018,0
2005-06-02,10.368,10.413,10.32,10.401,51496,0
2005-06-03,10.408,10.42,10.349,10.383,44948,0
2005-06-06,10.334,10.426,10.334,10.426,55219,0
2005-06-07,10.383,10.432,10.349,10.408,55960,0
2005-06-08,10.394,10.401,10.334,10.387,64144,0
2005-06-09,10.364,10.364,10.274,10.342,48074,0
2005-06-10,10.232,10.32,10.232,10.301,21877,0
2005-06-13,10.274,10.274,10.232,10.267,15023,0
2005-06-14,10.32,10.32,10.247,10.247,36757,0
2005-06-15,10.247,10.394,10.221,10.32,64443,0
