Date,Open,High,Low,Close,Volume,OpenInt
2014-10-10,12.921,12.921,12.887,12.904,4605,0
2014-10-13,13.093,13.162,12.921,13.059,16318,0
2014-10-14,12.801,13.005,12.801,12.896,15435,0
2014-10-15,13.068,13.068,12.921,13.068,711,0
2014-10-16,13.005,13.024,12.896,13.024,13046,0
2014-10-17,13.051,13.051,12.878,12.878,2968,0
2014-10-20,12.708,12.792,12.665,12.674,12555,0
2014-10-21,12.674,12.708,12.578,12.674,35249,0
2014-10-22,12.588,12.619,12.251,12.509,47928,0
2014-10-23,12.288,12.458,12.288,12.337,36534,0
2014-10-24,12.493,12.493,12.362,12.362,8961,0
2014-10-27,12.611,12.611,12.362,12.5,3860,0
2014-10-28,12.665,12.896,12.619,12.757,49089,0
2014-10-29,12.783,12.966,12.553,12.69,59129,0
2014-10-30,12.57,12.674,12.57,12.665,5651,0
2014-10-31,12.525,12.708,12.449,12.561,10998,0
2014-11-03,12.57,12.81,12.57,12.647,16854,0
2014-11-04,12.637,12.783,12.603,12.637,26327,0
2014-11-05,12.553,12.913,12.553,12.749,28069,0
2014-11-06,12.475,13.308,12.475,13.283,55110,0
2014-11-07,13.005,13.18,13.005,13.137,13588,0
2014-11-10,13.155,13.162,13.085,13.162,5245,0
2014-11-11,13.077,13.127,13.051,13.051,9205,0
2014-11-12,13.136,13.199,12.939,12.972,7521,0
2014-11-13,13.014,13.023,12.939,12.965,7924,0
2014-11-14,13.004,13.023,12.86,13.023,3379,0
2014-11-18,12.86,13.023,12.763,12.885,19047,0
2014-11-19,13.004,13.004,12.763,12.808,6297,0
2014-11-20,12.894,13.222,12.394,12.463,39110,0
2014-11-21,12.567,12.644,12.489,12.558,13747,0
2014-11-24,12.644,12.644,12.567,12.634,2546,0
2014-11-25,12.634,12.713,12.601,12.697,7612,0
2014-11-26,12.697,12.818,12.697,12.818,5012,0
2014-11-28,12.825,12.842,12.825,12.842,300,0
2014-12-01,12.86,12.876,12.756,12.756,6473,0
2014-12-02,12.756,12.86,12.729,12.86,13242,0
2014-12-03,12.977,12.987,12.972,12.987,6469,0
2014-12-04,12.972,12.972,12.825,12.894,6048,0
2014-12-05,12.957,12.957,12.697,12.834,8460,0
2014-12-08,12.876,12.902,12.79,12.79,12824,0
2014-12-09,12.876,13.014,12.851,12.965,13566,0
2014-12-10,12.987,12.987,12.86,12.876,2843,0
2014-12-11,12.866,12.938,12.771,12.938,6434,0
2014-12-12,12.771,12.919,12.771,12.901,2475,0
2014-12-15,12.938,12.938,12.735,12.799,15467,0
2014-12-16,12.817,12.875,12.799,12.841,7909,0
2014-12-17,12.744,12.807,12.735,12.754,5100,0
2014-12-18,12.606,12.86,12.582,12.685,4631,0
2014-12-19,12.582,12.704,12.572,12.704,12034,0
2014-12-22,12.695,12.695,12.315,12.512,12739,0
2014-12-23,12.599,12.695,12.503,12.512,20359,0
2014-12-24,12.496,12.537,12.486,12.537,3712,0
2014-12-26,12.624,12.624,12.408,12.469,4918,0
2014-12-29,12.496,12.496,12.27,12.478,18993,0
2014-12-30,12.461,12.572,12.315,12.443,55042,0
2014-12-31,12.537,12.537,12.323,12.443,36574,0
2015-01-02,12.512,12.582,12.416,12.582,20127,0
2015-01-05,12.615,12.652,12.615,12.652,8514,0
2015-01-06,12.695,12.799,12.652,12.799,11965,0
2015-01-07,12.754,12.987,12.744,12.919,13313,0
2015-01-08,12.956,13.004,12.911,12.938,7418,0
2015-01-09,12.956,13.023,12.928,12.995,4696,0
2015-01-12,12.995,13.084,12.956,13.067,7769,0
2015-01-13,13.003,13.099,13.003,13.099,5415,0
2015-01-14,13.091,13.125,13.066,13.066,1852,0
2015-01-15,13.099,13.125,13.099,13.125,3860,0
2015-01-16,13.099,13.135,13.091,13.125,10754,0
2015-01-20,13.099,13.229,13.099,13.199,10732,0
2015-01-21,13.229,13.256,13.199,13.199,6753,0
2015-01-22,13.199,13.247,13.107,13.162,11007,0
2015-01-23,13.171,13.199,13.162,13.191,4594,0
2015-01-26,13.199,13.309,13.181,13.256,10357,0
2015-01-27,13.256,13.292,13.191,13.292,10849,0
2015-01-28,13.292,13.371,13.247,13.3,14046,0
2015-01-29,13.336,13.336,13.336,13.336,319,0
2015-01-30,13.284,13.389,13.284,13.389,2029,0
2015-02-02,13.45,13.465,13.336,13.336,12388,0
2015-02-03,13.274,13.407,13.247,13.264,13464,0
2015-02-04,13.3,13.352,13.223,13.342,10375,0
2015-02-05,13.465,13.517,13.361,13.489,19365,0
2015-02-06,13.407,13.45,13.318,13.318,17910,0
2015-02-09,13.398,13.489,13.398,13.432,5773,0
2015-02-10,13.432,13.465,13.398,13.398,2776,0
2015-02-11,13.431,13.554,13.379,13.379,19066,0
2015-02-12,13.379,13.379,13.272,13.335,12187,0
2015-02-13,13.235,13.341,13.235,13.335,5755,0
2015-02-17,13.37,13.37,13.189,13.189,10275,0
2015-02-18,13.152,13.161,13.152,13.161,3390,0
2015-02-19,13.245,13.245,13.169,13.221,12563,0
2015-02-20,13.213,13.326,13.213,13.221,19006,0
2015-02-23,13.142,13.335,13.142,13.335,10557,0
2015-02-24,13.335,13.397,13.308,13.308,9100,0
2015-02-25,13.422,13.474,13.37,13.406,15792,0
2015-02-26,13.449,13.449,13.44,13.44,2172,0
2015-02-27,13.464,13.481,13.379,13.481,2087,0
2015-03-02,13.579,13.595,13.489,13.489,4462,0
2015-03-03,13.508,13.527,13.481,13.527,1600,0
2015-03-04,13.527,13.527,13.489,13.527,2514,0
2015-03-05,13.624,13.624,13.537,13.563,2742,0
2015-03-06,13.624,13.624,13.464,13.464,6405,0
2015-03-09,13.464,13.474,13.415,13.415,6520,0
2015-03-10,13.422,13.449,13.341,13.388,8232,0
2015-03-11,13.34,13.463,13.34,13.414,6487,0
2015-03-12,13.439,13.537,13.439,13.481,3988,0
2015-03-13,13.489,13.489,13.396,13.449,1933,0
2015-03-16,13.396,13.396,13.396,13.396,1481,0
2015-03-17,13.396,13.421,13.325,13.421,5693,0
2015-03-18,13.579,13.579,13.579,13.579,100,0
2015-03-19,13.489,13.489,13.439,13.439,2054,0
2015-03-20,13.571,13.571,13.571,13.571,693,0
2015-03-23,13.563,13.563,13.421,13.421,7742,0
2015-03-24,13.508,13.508,13.481,13.481,3187,0
2015-03-25,13.421,13.421,13.421,13.421,231,0
2015-03-26,13.439,13.439,13.405,13.405,7629,0
2015-03-27,13.439,13.463,13.439,13.463,793,0
2015-03-30,13.414,13.614,13.414,13.473,3757,0
2015-03-31,13.481,13.508,13.455,13.508,7629,0
2015-04-01,13.563,13.563,13.439,13.455,5239,0
2015-04-02,13.498,13.579,13.455,13.455,10814,0
2015-04-06,13.455,13.481,13.414,13.473,16165,0
2015-04-07,13.473,13.473,13.378,13.396,17532,0
2015-04-08,13.455,13.455,13.439,13.455,2620,0
2015-04-09,13.463,13.473,13.396,13.439,13775,0
2015-04-10,13.35,13.35,13.34,13.35,20948,0
2015-04-13,13.359,13.377,13.324,13.333,8613,0
2015-04-14,13.339,13.413,13.288,13.339,16776,0
2015-04-15,13.316,13.316,13.225,13.251,10474,0
2015-04-16,13.251,13.251,13.085,13.194,25773,0
2015-04-17,13.05,13.101,13.014,13.077,12469,0
2015-04-20,13.101,13.12,13.023,13.101,15132,0
2015-04-21,13.166,13.166,13.12,13.148,3348,0
2015-04-22,13.194,13.241,13.194,13.241,4046,0
2015-04-23,13.269,13.333,13.269,13.324,8727,0
2015-04-24,13.333,13.368,13.297,13.368,12351,0
2015-04-27,13.349,13.359,13.251,13.359,7251,0
2015-04-28,13.288,13.438,13.279,13.438,7368,0
2015-04-29,13.438,13.438,13.438,13.438,100,0
2015-05-01,13.429,13.429,13.324,13.42,3627,0
2015-05-04,13.306,13.349,13.306,13.349,1696,0
2015-05-05,13.404,13.404,13.251,13.251,12014,0
2015-05-06,13.251,13.251,13.194,13.194,2946,0
2015-05-07,13.241,13.279,13.166,13.232,8215,0
2015-05-08,13.306,13.333,13.232,13.232,6913,0
2015-05-11,13.324,13.324,13.251,13.306,2610,0
2015-05-12,13.306,13.324,13.241,13.306,3946,0
2015-05-13,13.404,13.404,13.348,13.377,5077,0
2015-05-14,13.367,13.413,13.367,13.413,1125,0
2015-05-18,13.404,13.404,13.339,13.404,6468,0
2015-05-19,13.385,13.385,13.385,13.385,3498,0
