Date,Open,High,Low,Close,Volume,OpenInt
2015-11-03,9.941,10.161,9.541,9.808,3828782,0
2015-11-04,9.816,10.083,9.629,9.983,1184748,0
2015-11-05,9.851,10.738,9.799,10.623,1819290,0
2015-11-06,10.632,11.067,10.294,10.623,1640362,0
2015-11-09,10.641,10.721,10.118,10.18,1856633,0
2015-11-10,10.118,10.411,9.983,10.215,1631796,0
2015-11-11,10.331,10.331,9.941,9.983,1088690,0
2015-11-12,9.895,10.012,9.1422,9.2753,1907067,0
2015-11-13,9.1855,9.541,8.8049,8.9102,2855136,0
2015-11-16,8.8297,9.3091,8.431,9.2039,942435,0
2015-11-17,9.2126,9.284,8.7864,8.8751,964969,0
2015-11-18,8.6349,9.0706,8.6349,8.9813,794939,0
2015-11-19,8.9813,9.0339,8.7334,8.938,492627,0
2015-11-20,8.8833,9.0527,8.8297,8.9287,518092,0
2015-11-23,8.8669,9.2474,8.7864,9.1241,574430,0
2015-11-24,8.8916,9.167,8.8916,9.0793,422428,0
2015-11-25,9.0965,9.761,9.0793,9.568,1547740,0
2015-11-27,9.648,9.665,9.3522,9.584,362821,0
2015-11-30,9.584,10.17,9.584,10.143,1116072,0
2015-12-01,10.143,10.5,10.083,10.241,1372819,0
2015-12-02,10.294,10.322,9.558,9.843,1260412,0
2015-12-03,9.807,9.985,9.3541,9.536,1257854,0
2015-12-04,9.59,9.896,9.3835,9.798,1294717,0
2015-12-07,9.617,9.952,9.4825,9.527,1386083,0
2015-12-08,9.3541,9.59,9.2039,9.2387,1434006,0
2015-12-09,9.3307,9.564,9.3307,9.4825,2045224,0
2015-12-10,9.4914,9.96,9.4914,9.824,2774836,0
2015-12-11,9.645,9.879,9.536,9.635,1286046,0
2015-12-14,9.581,9.655,9.284,9.581,1221231,0
2015-12-15,9.564,9.96,9.4112,9.824,1274930,0
2015-12-16,9.887,9.985,9.546,9.807,1585828,0
2015-12-17,9.843,9.887,9.501,9.689,1467337,0
2015-12-18,9.689,9.985,9.4914,9.942,5158522,0
2015-12-21,9.952,10.443,9.923,10.284,1231803,0
2015-12-22,10.274,10.769,10.157,10.58,941779,0
2015-12-23,10.59,10.878,10.534,10.761,771626,0
2015-12-24,10.777,11.327,10.777,10.896,568553,0
2015-12-28,10.868,11.2,10.371,10.443,517258,0
2015-12-29,10.453,10.723,10.453,10.543,428033,0
2015-12-30,10.525,10.625,10.359,10.364,269926,0
2015-12-31,10.348,10.723,10.194,10.625,725370,0
2016-01-04,10.625,10.625,10.131,10.221,974494,0
2016-01-05,10.194,10.348,10.023,10.266,542906,0
2016-01-06,10.148,10.221,9.887,10.023,632488,0
2016-01-07,9.824,10.005,9.744,9.788,565005,0
2016-01-08,9.859,9.879,9.4201,9.4736,613761,0
2016-01-11,9.4459,9.61,9.0462,9.258,707616,0
2016-01-12,9.284,9.3541,8.969,9.1041,573124,0
2016-01-13,9.2763,9.2763,8.727,8.79,652267,0
2016-01-14,8.7534,9.0227,8.6815,8.8251,610125,0
2016-01-15,8.6547,8.6547,8.2318,8.2318,906826,0
2016-01-19,8.3038,8.3758,7.7191,7.7369,1063739,0
2016-01-20,7.6471,8.0249,7.0265,7.665,1309984,0
2016-01-21,7.665,7.9441,7.5211,7.6111,1035353,0
2016-01-22,7.7369,8.4748,7.7369,8.3489,1148944,0
2016-01-25,8.3398,8.3398,7.8961,8.0699,783594,0
2016-01-26,8.0249,8.3398,7.881,8.3218,659774,0
2016-01-27,8.2949,8.7625,8.1419,8.4477,801562,0
2016-01-28,8.5647,8.8251,8.2049,8.2768,310177,0
2016-01-29,8.3938,8.5466,8.2768,8.4927,1071106,0
2016-02-01,8.7087,8.7993,8.3847,8.4118,954439,0
2016-02-02,8.3847,8.4208,8.1687,8.1868,721316,0
2016-02-03,8.2589,8.5289,8.1958,8.4658,284496,0
2016-02-04,8.4568,8.7993,8.4568,8.6641,258001,0
2016-02-05,8.6457,8.7442,8.2859,8.6457,413042,0
2016-02-08,8.5109,8.5289,8.1868,8.4927,492097,0
2016-02-09,8.2949,8.3128,7.7281,7.818,1031176,0
2016-02-10,7.746,8.1779,7.6922,7.818,756810,0
2016-02-11,7.7369,8.124,7.5842,7.6201,764645,0
2016-02-12,7.6471,7.7821,7.467,7.575,853819,0
2016-02-16,7.638,7.989,7.3331,7.818,394949,0
2016-02-17,7.872,8.1779,7.872,8.133,384149,0
2016-02-18,8.124,8.4568,8.0276,8.2228,245083,0
2016-02-19,8.1599,8.4118,8.0519,8.2318,188868,0
2016-02-22,8.268,8.5197,8.1059,8.3847,293905,0
2016-02-23,8.3758,8.5466,8.1779,8.2589,238173,0
2016-02-24,8.2138,8.3578,8.0879,8.2768,204605,0
2016-02-25,8.6187,8.8075,8.4297,8.8075,441134,0
2016-02-26,8.8159,8.9597,8.727,8.8437,234183,0
2016-02-29,8.8437,9.086,8.6641,8.7809,1097769,0
2016-03-01,8.8973,9.1137,8.7809,8.9597,2564150,0
2016-03-02,8.8973,9.546,8.6006,9.4736,405947,0
2016-03-03,9.697,10.697,9.697,10.329,1852873,0
2016-03-04,10.319,10.733,10.112,10.401,713916,0
2016-03-07,10.3,10.348,10.095,10.291,851493,0
2016-03-08,10.157,10.348,9.968,9.985,614584,0
2016-03-09,9.985,10.048,9.726,9.744,276073,0
2016-03-10,9.833,10.005,9.662,9.717,612431,0
2016-03-11,9.869,10.697,9.735,10.5,720026,0
2016-03-14,10.391,10.5,10.184,10.256,328210,0
2016-03-15,10.112,10.329,9.968,10.148,453794,0
2016-03-16,10.112,10.355,10.014,10.329,473484,0
2016-03-17,10.319,10.59,10.319,10.453,692751,0
2016-03-18,10.435,10.58,10.319,10.329,779911,0
2016-03-21,10.329,10.435,10.211,10.31,261678,0
2016-03-22,10.102,10.371,9.96,10.121,351175,0
2016-03-23,10.095,10.166,9.615,9.683,1031071,0
2016-03-24,9.557,10.095,9.436,10.031,552029,0
2016-03-28,10.056,10.158,9.875,10.039,183900,0
2016-03-29,9.949,10.569,9.875,10.322,645890,0
2016-03-30,10.385,10.805,10.303,10.722,531600,0
2016-03-31,10.668,10.668,10.258,10.578,341465,0
2016-04-01,10.604,10.805,10.468,10.559,562307,0
2016-04-04,10.668,10.687,10.366,10.622,319164,0
2016-04-05,10.521,10.622,10.395,10.587,206113,0
2016-04-06,10.641,10.906,10.522,10.678,177584,0
2016-04-07,10.613,10.814,10.569,10.751,268805,0
2016-04-08,10.805,10.823,10.668,10.713,208794,0
2016-04-11,10.769,10.833,10.496,10.559,182509,0
2016-04-12,10.587,10.769,10.572,10.678,133456,0
2016-04-13,10.713,10.823,10.622,10.796,173335,0
2016-04-14,10.805,10.995,10.705,10.978,142098,0
2016-04-15,10.933,11.07,10.786,10.942,183826,0
2016-04-18,10.859,11.097,10.859,11.034,100094,0
2016-04-19,11.079,11.079,10.769,10.913,230508,0
2016-04-20,10.887,10.942,10.814,10.841,113567,0
2016-04-21,10.878,10.913,10.668,10.76,155076,0
2016-04-22,10.777,10.878,10.559,10.687,180528,0
2016-04-25,10.632,10.833,10.579,10.678,121735,0
2016-04-26,10.741,10.933,10.732,10.933,192005,0
2016-04-27,10.933,11.015,10.841,10.988,221344,0
2016-04-28,10.878,11.07,10.751,10.833,712888,0
2016-04-29,10.814,10.942,10.651,10.878,762702,0
2016-05-02,10.887,11.025,10.814,10.933,240550,0
2016-05-03,10.769,10.995,10.722,10.814,294934,0
2016-05-04,10.687,10.933,10.687,10.833,239590,0
2016-05-05,10.85,10.913,10.613,10.732,179124,0
2016-05-06,10.757,10.956,10.757,10.869,315808,0
2016-05-09,10.814,11.034,10.777,11.005,246542,0
2016-05-10,11.07,11.084,10.604,10.777,296747,0
2016-05-11,10.713,10.933,10.468,10.549,159305,0
2016-05-12,10.549,10.769,10.331,10.431,316536,0
2016-05-13,10.258,10.559,10.203,10.405,237920,0
2016-05-16,10.424,10.687,10.312,10.486,163179,0
2016-05-17,10.414,10.414,10.196,10.222,393330,0
2016-05-18,10.194,10.439,10.056,10.131,252268,0
2016-05-19,10.001,10.399,9.951,10.389,218302,0
2016-05-20,10.351,10.409,10.121,10.232,257620,0
2016-05-23,10.232,10.536,10.14,10.251,167593,0
2016-05-24,10.26,10.315,10.14,10.287,224512,0
2016-05-25,10.306,10.379,10.148,10.158,367377,0
2016-05-26,10.232,10.399,10.139,10.251,223092,0
2016-05-27,10.26,10.463,10.148,10.26,227006,0
2016-05-31,10.296,10.443,10.251,10.399,209631,0
2016-06-01,10.361,10.425,10.26,10.399,196963,0
2016-06-02,10.399,10.759,10.325,10.712,202623,0
2016-06-03,10.685,10.865,10.443,10.584,164511,0
2016-06-06,10.536,10.75,10.496,10.704,274690,0
2016-06-07,10.666,10.805,10.334,10.369,249432,0
2016-06-08,10.351,10.425,10.296,10.399,417673,0
2016-06-09,10.361,10.418,10.278,10.296,305045,0
2016-06-10,10.204,10.204,10.02,10.112,322113,0
2016-06-13,10.085,10.269,9.761,9.788,422096,0
2016-06-14,9.761,9.761,9.0764,9.2705,716878,0
2016-06-15,9.2425,9.529,9.2425,9.4459,441610,0
2016-06-16,9.4102,9.51,9.1508,9.2974,561929,0
2016-06-17,9.3365,9.4835,9.2154,9.2521,837090,0
2016-06-20,9.362,9.733,9.362,9.568,867948,0
2016-06-21,9.529,9.641,9.3718,9.4459,526973,0
2016-06-22,9.4647,9.51,9.4013,9.4647,383227,0
2016-06-23,9.538,9.845,9.4459,9.816,446391,0
2016-06-24,9.3169,9.4102,8.7809,8.9102,6433183,0
2016-06-27,8.5497,8.6237,8.0506,8.1893,1294947,0
2016-06-28,8.3649,8.5311,8.2171,8.3556,1019215,0
2016-06-29,8.5311,8.7253,8.5036,8.6053,603795,0
2016-06-30,8.6977,8.7345,8.2446,8.5497,778971,0
2016-07-01,8.5497,8.7161,8.3742,8.4572,671995,0
2016-07-05,8.4204,8.4323,7.912,7.9582,896119,0
2016-07-06,7.9582,8.2009,7.8565,8.1708,967274,0
2016-07-07,8.2355,8.3001,8.0182,8.0414,613980,0
2016-07-08,8.1154,8.4157,8.0691,8.2725,469873,0
2016-07-11,8.3279,8.5128,8.2446,8.4111,437275,0
2016-07-12,8.485,8.6699,8.4204,8.6699,498118,0
2016-07-13,8.6699,8.7809,8.5036,8.5682,411329,0
2016-07-14,8.7809,8.804,8.559,8.559,1072925,0
2016-07-15,8.6237,8.6237,8.3463,8.4294,599067,0
2016-07-18,8.4294,8.7438,8.3971,8.6237,464586,0
2016-07-19,8.559,8.6348,8.4387,8.5405,336462,0
2016-07-20,8.559,8.5729,8.486,8.5311,210221,0
2016-07-21,8.5221,8.6328,8.448,8.4758,194166,0
2016-07-22,8.4943,8.619,8.4394,8.5221,178792,0
2016-07-25,8.4666,8.6422,8.4572,8.5221,178197,0
2016-07-26,8.5405,8.5867,8.448,8.5221,155681,0
2016-07-27,8.4943,8.6053,8.4666,8.5311,302705,0
2016-07-28,8.485,8.5686,8.4666,8.4943,144468,0
2016-07-29,8.4572,8.5867,8.4572,8.5497,489545,0
2016-08-01,8.5221,8.5867,8.4758,8.5497,242884,0
2016-08-02,8.5867,8.596,8.3649,8.4018,262605,0
2016-08-03,8.3926,8.4294,8.3187,8.4204,272314,0
2016-08-04,8.4572,8.5036,8.3926,8.4387,261793,0
2016-08-05,8.4111,8.6237,8.3742,8.5497,465774,0
2016-08-08,8.5682,8.5775,8.4018,8.448,255942,0
2016-08-09,8.4204,8.4943,8.3832,8.4294,260461,0
2016-08-10,8.4294,8.5811,8.3926,8.4758,650178,0
2016-08-11,8.4476,8.8197,8.4381,8.6919,553796,0
2016-08-12,8.6261,9.166,8.6261,8.8235,780156,0
2016-08-15,8.8799,9.1855,8.8517,9.0302,450872,0
2016-08-16,9.0115,9.1336,9.0115,9.0869,406054,0
2016-08-17,9.049,9.1709,8.9878,9.1527,507494,0
2016-08-18,9.1145,9.2271,9.0916,9.1336,235870,0
2016-08-19,9.1432,9.2271,9.1432,9.2184,424013,0
2016-08-22,9.1808,9.3121,9.1145,9.284,202307,0
2016-08-23,9.284,9.537,9.284,9.4815,346965,0
2016-08-24,9.501,9.537,9.433,9.4627,449893,0
2016-08-25,9.4627,9.537,9.4251,9.4914,254276,0
2016-08-26,9.4914,9.528,9.4023,9.4528,216784,0
2016-08-29,9.4162,9.632,9.4162,9.557,199972,0
2016-08-30,9.567,9.622,9.508,9.612,174481,0
2016-08-31,9.622,9.866,9.584,9.622,776388,0
2016-09-01,9.622,9.697,9.584,9.622,278996,0
2016-09-02,9.697,9.923,9.697,9.829,256931,0
2016-09-06,9.772,9.876,9.717,9.81,305219,0
2016-09-07,9.839,10.12,9.791,10.083,629806,0
2016-09-08,10.053,10.13,10.017,10.017,255878,0
2016-09-09,9.988,9.988,9.572,9.593,524814,0
2016-09-12,9.567,9.857,9.567,9.754,561131,0
2016-09-13,9.717,9.717,9.4815,9.567,562249,0
2016-09-14,9.547,9.754,9.537,9.717,678130,0
2016-09-15,9.669,9.839,9.642,9.829,517083,0
2016-09-16,9.791,10.045,9.767,10.017,1557120,0
2016-09-19,10.027,10.223,9.881,10.083,355370,0
2016-09-20,10.148,10.158,10.027,10.063,246071,0
2016-09-21,10.063,10.28,9.978,10.223,332932,0
2016-09-22,10.308,10.492,10.298,10.354,326892,0
2016-09-23,10.28,10.562,10.233,10.468,423013,0
2016-09-26,10.383,10.613,10.328,10.328,369576,0
2016-09-27,10.308,10.412,10.148,10.242,275873,0
2016-09-28,10.271,10.422,10.093,10.364,239369,0
2016-09-29,10.298,10.383,10.195,10.223,268987,0
2016-09-30,10.318,10.439,10.073,10.288,295369,0
2016-10-03,10.195,10.28,10.111,10.177,524225,0
2016-10-04,10.158,10.177,9.904,10.008,363336,0
2016-10-05,10.017,10.148,9.847,9.866,384821,0
2016-10-06,9.801,9.932,9.669,9.886,239417,0
2016-10-07,9.857,10.008,9.697,9.791,375747,0
2016-10-10,9.791,9.952,9.791,9.829,158227,0
2016-10-11,9.782,9.829,9.528,9.677,215426,0
