Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.3926,9.515,9.3926,9.515,8029,0
2005-02-28,9.527,9.543,9.522,9.534,4447,0
2005-03-01,9.543,9.589,9.543,9.589,2293,0
2005-03-02,9.597,9.649,9.597,9.649,2436,0
2005-03-03,9.819,9.889,9.798,9.798,12184,0
2005-03-04,9.811,9.835,9.811,9.835,436,0
2005-03-07,9.827,9.858,9.709,9.709,14909,0
2005-03-08,9.677,9.677,9.653,9.653,7162,0
2005-03-09,9.649,9.649,9.4857,9.4857,11758,0
2005-03-10,9.4635,9.4635,9.4308,9.4308,1146,0
2005-03-11,9.3161,9.4635,9.3161,9.354,5878,0
2005-03-14,9.354,9.4055,9.3091,9.4055,3584,0
2005-03-15,9.369,9.4104,9.3285,9.4055,11467,0
2005-03-16,9.635,9.635,9.589,9.606,14478,0
2005-03-17,9.673,9.807,9.673,9.716,15629,0
2005-03-18,9.677,9.677,9.677,9.677,3870,0
2005-03-21,9.621,9.621,9.621,9.621,1291,0
2005-03-22,9.575,9.613,9.543,9.543,11618,0
2005-03-23,9.527,9.527,9.527,9.527,155,0
2005-03-24,9.4778,9.4778,9.4163,9.4163,2436,0
2005-03-28,9.354,9.354,9.2025,9.2206,9172,0
2005-03-29,9.2329,9.2329,9.2087,9.2087,436,0
2005-03-30,9.4447,9.4447,9.3285,9.369,10607,0
2005-03-31,9.3926,9.3926,9.2767,9.2767,3302,0
2005-04-01,9.3033,9.3033,9.269,9.269,3153,0
2005-04-04,9.3227,9.3227,9.2157,9.269,3153,0
2005-04-05,9.1738,9.2329,9.1738,9.2087,3584,0
2005-04-06,9.269,9.269,9.1871,9.2025,5013,0
2005-04-07,9.2025,9.261,9.122,9.1794,13905,0
2005-04-08,9.1738,9.1738,9.1,9.1,4729,0
2005-04-11,8.9222,9.0944,8.9222,8.9923,65661,0
2005-04-12,9.0055,9.0727,8.9572,9.0727,11183,0
2005-04-13,9.044,9.1089,9.044,9.1,5878,0
2005-04-14,9.1146,9.159,9.044,9.0598,13905,0
2005-04-15,9.0598,9.1667,9.0598,9.1667,14188,0
2005-04-18,9.1871,9.2206,9.1738,9.1738,7314,0
2005-04-19,9.1667,9.2206,9.136,9.2206,9605,0
2005-04-20,9.1667,9.2399,9.1089,9.2281,57491,0
2005-04-21,9.2025,9.2025,9.1146,9.1146,30972,0
2005-04-22,9.136,9.1794,9.1146,9.1794,44302,0
2005-04-25,9.136,9.1521,9.0653,9.1521,60933,0
2005-04-26,9.122,9.122,9.0944,9.122,15768,0
2005-04-27,9.1288,9.136,9.1146,9.136,1431,0
2005-04-28,9.1794,9.1871,9.1521,9.159,6167,0
2005-04-29,9.2281,9.2466,9.2206,9.2466,4447,0
2005-05-02,9.2087,9.3091,9.2087,9.2767,12615,0
2005-05-03,9.3227,9.3372,9.3227,9.3227,4297,0
2005-05-04,9.354,9.354,9.2281,9.2399,24525,0
2005-05-05,9.2399,9.2823,9.2329,9.2823,5878,0
2005-05-06,9.2823,9.2823,9.2329,9.2823,6304,0
2005-05-09,9.2399,9.2399,9.2399,9.2399,1580,0
2005-05-10,9.2532,9.3033,9.2466,9.261,26236,0
2005-05-11,9.2532,9.2532,9.2532,9.2532,1431,0
2005-05-12,9.269,9.269,9.269,9.269,716,0
2005-05-13,9.269,9.2985,9.269,9.2985,10752,0
2005-05-16,9.3033,9.3452,9.3033,9.3452,6595,0
2005-05-17,9.369,9.543,9.369,9.522,12761,0
2005-05-18,9.4907,9.4907,9.4857,9.4857,2868,0
2005-05-20,9.527,9.527,9.522,9.522,3009,0
2005-05-23,9.543,9.583,9.506,9.554,15629,0
2005-05-24,9.506,9.597,9.506,9.527,9319,0
2005-05-25,9.583,9.677,9.4447,9.4447,33119,0
2005-05-26,9.4447,9.677,9.4367,9.527,16779,0
2005-05-27,9.4907,9.522,9.4104,9.4104,8599,0
2005-05-31,9.4778,9.575,9.4447,9.543,6880,0
2005-06-01,9.575,9.575,9.522,9.575,2436,0
2005-06-02,9.567,9.673,9.567,9.667,7887,0
2005-06-03,9.746,9.811,9.716,9.716,2008,0
2005-06-06,9.784,9.807,9.766,9.766,12184,0
2005-06-07,9.798,9.811,9.766,9.798,16920,0
2005-06-08,9.798,9.798,9.606,9.66,15915,0
2005-06-09,9.606,9.606,9.597,9.597,716,0
2005-06-10,9.597,9.606,9.575,9.589,15484,0
2005-06-13,9.575,9.653,9.4857,9.649,26089,0
2005-06-14,9.56,9.56,9.56,9.56,436,0
2005-06-15,9.534,9.534,9.4857,9.4857,1431,0
2005-06-16,9.543,9.575,9.543,9.575,2008,0
2005-06-17,9.534,9.583,9.534,9.583,1580,0
2005-06-20,9.575,9.613,9.554,9.613,3870,0
2005-06-21,9.567,9.667,9.548,9.667,8319,0
2005-06-22,9.667,9.667,9.554,9.66,9747,0
2005-06-23,9.667,9.667,9.667,9.667,1431,0
2005-06-24,9.606,9.66,9.548,9.66,14188,0
2005-06-27,9.66,9.667,9.575,9.641,6736,0
2005-06-28,9.667,9.667,9.649,9.649,574,0
2005-06-30,9.66,9.667,9.649,9.667,1866,0
2005-07-01,9.738,9.738,9.738,9.738,280,0
2005-07-05,9.807,9.807,9.738,9.738,5594,0
2005-07-06,9.807,9.807,9.66,9.66,2724,0
2005-07-11,9.807,9.807,9.684,9.684,5304,0
2005-07-12,9.759,9.784,9.733,9.784,6020,0
2005-07-13,9.778,9.784,9.753,9.784,7741,0
2005-07-14,9.798,9.819,9.733,9.819,13471,0
2005-07-15,9.819,9.932,9.784,9.784,6304,0
2005-07-18,9.96,9.96,9.903,9.951,15768,0
2005-07-19,9.869,10.016,9.784,9.784,30688,0
2005-07-20,9.858,9.909,9.858,9.909,4297,0
2005-07-21,9.909,10.113,9.909,10.104,10035,0
2005-07-22,9.989,10.207,9.989,10.171,12338,0
2005-07-25,10.171,10.441,10.171,10.301,10752,0
2005-07-26,10.301,10.301,10.233,10.233,3870,0
2005-07-27,10.233,10.233,10.032,10.063,12902,0
2005-07-28,10.04,10.04,9.96,10.032,16204,0
2005-07-29,10.032,10.032,9.96,9.96,3302,0
2005-08-01,10.01,10.01,9.798,9.798,4017,0
2005-08-03,9.807,9.807,9.759,9.784,2724,0
