Date,Open,High,Low,Close,Volume,OpenInt
2017-10-13,25.09,25.1,25.01,25.06,171781,0
2017-10-16,25.09,25.09,25.01,25.06,146133,0
2017-10-17,25.06,25.25,25.01,25.22,145510,0
2017-10-18,25.25,25.51,25.23,25.32,57919,0
2017-10-19,25.35,25.35,25.22,25.32,27069,0
2017-10-20,25.25,25.49,25.1944,25.49,81040,0
2017-10-23,25.46,25.46,25.301,25.393,30097,0
2017-10-24,25.4,25.4,25.27,25.29,75645,0
2017-10-25,25.35,25.35,24.97,25.09,125457,0
2017-10-26,25.15,25.2,25.04,25.06,37089,0
2017-10-27,25.14,25.14,25.04,25.04,52385,0
2017-10-30,25.08,25.11,25.04,25.04,35697,0
2017-10-31,25.09,25.27,25.06,25.23,67450,0
2017-11-01,25.3,25.35,25.26,25.34,23621,0
2017-11-02,25.301,25.41,25.25,25.25,25037,0
2017-11-03,25.23,25.3832,25.16,25.35,17428,0
2017-11-06,25.35,25.35,25.14,25.14,54018,0
2017-11-07,25.2,25.2701,25.1701,25.26,19636,0
2017-11-08,25.2974,25.33,25.171,25.2499,10092,0
2017-11-09,25.28,25.28,25.2031,25.25,9346,0
2017-11-10,25.2803,25.299,25.15,25.28,13869,0
2017-11-13,25.17,25.25,25.16,25.18,59652,0
2017-11-14,25.22,25.22,24.95,25,64447,0
2017-11-15,24.99,25.11,24.95,25.04,49218,0
2017-11-16,25.09,25.16,25.04,25.16,27959,0
2017-11-17,25.16,25.29,25.1508,25.23,35039,0
2017-11-20,25.2299,25.34,25.2,25.32,34754,0
2017-11-21,25.37,25.41,25.2886,25.4,17340,0
2017-11-22,25.4,25.51,25.4,25.48,29894,0
2017-11-24,25.4,26.3,25.4,25.7,42052,0
2017-11-27,25.8,25.98,25.6259,25.76,31181,0
2017-11-28,25.7,25.75,25.5,25.64,31932,0
2017-11-29,25.52,25.6737,25.5,25.57,34534,0
2017-11-30,25.6999,25.7,25.5001,25.6,9105,0
2017-12-01,25.65,25.7,25.65,25.65,24242,0
2017-12-04,25.65,25.6722,25.5,25.598,12964,0
2017-12-05,25.6,25.65,25.5,25.55,50265,0
2017-12-06,25.55,25.6935,25.4483,25.69,15460,0
