Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,11.166,11.25,11.094,11.25,3250,0
2005-02-28,11.32,11.32,11.188,11.259,2972,0
2005-03-01,11.295,11.328,11.259,11.259,4103,0
2005-03-02,11.295,11.295,11.259,11.295,4103,0
2005-03-03,11.295,11.335,11.295,11.335,1697,0
2005-03-04,11.295,11.295,11.194,11.266,4528,0
2005-03-07,11.209,11.209,11.143,11.209,6362,0
2005-03-08,11.215,11.362,11.215,11.306,9334,0
2005-03-09,11.243,11.243,11.053,11.067,5799,0
2005-03-10,11.017,11.017,11.017,11.017,990,0
2005-03-11,10.934,10.934,10.925,10.925,1139,0
2005-03-14,10.918,11.25,10.918,11.112,10183,0
2005-03-15,10.962,10.962,10.785,10.797,21355,0
2005-03-16,10.803,10.984,10.797,10.812,10607,0
2005-03-17,11.059,11.128,11.059,11.128,10328,0
2005-03-18,11.12,11.382,11.12,11.312,9334,0
2005-03-21,11.151,11.151,10.934,10.934,3535,0
2005-03-22,10.954,10.954,10.743,10.743,5654,0
2005-03-23,10.707,10.765,10.634,10.735,3820,0
2005-03-24,10.812,10.873,10.812,10.873,5519,0
2005-03-28,10.707,10.707,10.396,10.522,11173,0
2005-03-29,10.543,10.55,10.296,10.296,14426,0
2005-03-30,10.296,10.389,10.228,10.228,4809,0
2005-03-31,10.189,10.627,10.189,10.536,12870,0
2005-04-01,10.707,10.707,10.508,10.536,8063,0
2005-04-04,10.536,10.873,10.536,10.75,6648,0
2005-04-05,10.819,10.819,10.543,10.735,7495,0
2005-04-06,10.661,10.838,10.661,10.812,3535,0
2005-04-07,10.977,10.984,10.851,10.954,10607,0
2005-04-08,10.954,10.984,10.819,10.819,5799,0
2005-04-11,10.772,10.954,10.676,10.812,13007,0
2005-04-12,10.64,10.64,10.64,10.64,561,0
2005-04-13,10.601,10.601,10.601,10.601,108,0
2005-04-14,10.607,10.831,10.607,10.779,16123,0
2005-04-15,10.918,10.918,10.812,10.873,3674,0
2005-04-18,10.779,10.812,10.75,10.75,1979,0
2005-04-19,10.707,10.779,10.707,10.779,1139,0
2005-04-20,10.501,10.67,10.501,10.67,15701,0
2005-04-21,10.634,10.918,10.634,10.707,4528,0
2005-04-22,10.911,11.112,10.707,10.984,12168,0
2005-04-25,10.925,11.067,10.647,10.86,44262,0
2005-04-26,10.873,10.873,10.707,10.765,8481,0
2005-04-27,10.765,10.831,10.765,10.831,1551,0
2005-04-28,10.831,10.831,10.779,10.779,4948,0
2005-04-29,10.707,10.772,10.707,10.772,2972,0
2005-05-02,10.779,10.779,10.661,10.692,10748,0
2005-05-03,10.7,10.7,10.67,10.67,3250,0
2005-05-04,10.707,10.743,10.67,10.715,21920,0
2005-05-05,10.743,10.758,10.707,10.758,6222,0
2005-05-06,10.75,10.881,10.75,10.881,5091,0
2005-05-09,10.819,10.984,10.819,10.984,3396,0
2005-05-10,11.053,11.086,10.851,10.851,8345,0
2005-05-11,10.797,10.845,10.779,10.845,2690,0
2005-05-12,10.819,10.851,10.819,10.845,3396,0
2005-05-13,10.831,10.831,10.831,10.831,108,0
2005-05-16,10.838,10.977,10.838,10.918,11173,0
2005-05-17,10.947,11.059,10.947,10.984,5519,0
2005-05-18,11.017,11.112,10.925,10.925,9334,0
2005-05-19,11.112,11.112,11.053,11.105,8764,0
2005-05-20,11.046,11.25,10.918,10.925,6789,0
2005-05-23,11.08,11.08,10.925,10.954,4661,0
2005-05-24,10.934,10.934,10.866,10.903,10039,0
2005-05-25,10.831,10.881,10.819,10.881,5372,0
2005-05-26,10.881,10.881,10.785,10.803,12168,0
2005-05-27,10.812,10.911,10.812,10.845,7495,0
2005-05-31,10.866,10.873,10.838,10.845,2405,0
2005-06-01,10.873,10.881,10.75,10.86,20791,0
2005-06-02,10.866,10.903,10.86,10.866,5654,0
2005-06-03,10.881,10.896,10.873,10.896,5237,0
2005-06-06,10.873,10.873,10.831,10.838,12730,0
2005-06-07,10.873,10.977,10.831,10.977,11454,0
2005-06-08,10.97,10.97,10.97,10.97,108,0
2005-06-09,10.962,10.97,10.831,10.947,13155,0
2005-06-10,10.873,10.947,10.873,10.947,1843,0
2005-06-13,10.831,10.911,10.831,10.889,7214,0
2005-06-14,10.918,10.925,10.86,10.873,7353,0
2005-06-15,10.819,10.866,10.803,10.866,12302,0
2005-06-16,10.873,11.059,10.873,11.059,6510,0
2005-06-17,10.947,11.017,10.947,11.017,2261,0
2005-06-20,10.918,11.151,10.918,10.954,3535,0
2005-06-21,11.053,11.053,10.991,10.991,3396,0
2005-06-22,10.991,11.017,10.851,10.86,6222,0
2005-06-23,10.86,11.053,10.785,10.991,18525,0
2005-06-24,10.991,11.033,10.991,11.033,1271,0
2005-06-27,10.962,11.094,10.962,11.094,1551,0
2005-06-28,11.094,11.151,11.08,11.112,5519,0
2005-06-29,11.112,11.128,11.105,11.105,990,0
2005-06-30,11.073,11.151,11.073,11.151,4528,0
2005-07-01,11.151,11.151,11.067,11.067,1551,0
2005-07-05,11.143,11.143,11.053,11.08,3820,0
