Date,Open,High,Low,Close,Volume,OpenInt
2015-08-26,22.444,22.444,22.398,22.398,345,0
2015-08-27,23.02,23.08,22.904,22.904,574,0
2015-08-28,22.904,22.904,22.904,22.904,112,0
2015-09-01,22.547,22.547,22.496,22.496,227,0
2015-09-02,22.721,22.834,22.653,22.834,917,0
2015-09-03,22.834,22.834,22.834,22.834,112,0
2015-09-09,23.071,23.071,23.071,23.071,112,0
2015-09-10,22.904,22.904,22.904,22.904,231,0
2015-09-11,22.728,22.817,22.645,22.738,1379,0
2015-09-17,22.733,22.733,22.733,22.733,112,0
2015-09-18,22.465,22.64,22.465,22.64,803,0
2015-09-21,22.83,23.006,22.733,22.943,6430,0
2015-09-22,22.308,22.308,22.117,22.281,5969,0
2015-09-23,22.439,22.579,22.23,22.35,11713,0
2015-09-24,21.986,21.986,21.986,21.986,114,0
2015-09-28,22.17,22.29,22.056,22.126,4658,0
2015-09-29,22.152,22.276,21.663,21.741,18261,0
2015-10-02,21.741,21.741,21.741,21.741,112,0
2015-10-05,22.97,22.97,22.97,22.97,112,0
2015-10-09,23.266,23.283,23.266,23.283,460,0
2015-10-12,23.232,23.232,23.232,23.232,2754,0
2015-10-14,23.232,23.232,23.232,23.232,112,0
2015-10-22,23.554,23.683,23.554,23.683,2182,0
2015-10-23,23.866,23.918,23.841,23.918,1264,0
2015-10-26,23.787,23.787,23.787,23.787,227,0
2015-10-27,23.787,23.787,23.787,23.787,112,0
2015-10-28,23.692,23.718,23.692,23.718,574,0
2015-10-29,23.858,23.858,23.57,23.647,11825,0
2015-10-30,23.562,23.562,23.354,23.354,227,0
2015-11-02,23.491,23.545,23.45,23.545,1863,0
2015-11-03,23.465,23.465,23.381,23.381,44542,0
2015-11-05,23.655,23.655,23.655,23.655,1035,0
2015-11-06,23.683,23.963,23.683,23.742,2870,0
2015-11-09,23.742,23.742,23.742,23.742,1,0
2015-11-10,23.249,23.249,23.249,23.249,112,0
2015-11-11,23.319,23.319,23.319,23.319,688,0
2015-11-13,22.873,22.873,22.873,22.873,112,0
2015-11-16,22.873,22.873,22.873,22.873,112,0
2015-11-17,23.241,23.241,23.241,23.241,112,0
2015-11-18,23.239,23.239,23.239,23.239,112,0
