Date,Open,High,Low,Close,Volume,OpenInt
2013-03-21,18.966,19.006,18.913,18.982,785233,0
2013-03-22,18.982,18.989,18.898,18.973,596320,0
2013-03-25,18.997,19.006,18.959,18.989,565828,0
2013-03-26,18.973,19.033,18.973,19.033,499025,0
2013-03-27,19.033,19.067,19.015,19.05,655929,0
2013-03-28,19.05,19.128,19.033,19.128,1125240,0
2013-04-01,19.128,19.128,19.059,19.11,572215,0
2013-04-02,19.102,19.188,19.102,19.188,949640,0
2013-04-03,19.158,19.188,19.102,19.158,600195,0
2013-04-04,19.163,19.226,19.136,19.226,742823,0
2013-04-05,19.18,19.212,19.151,19.196,240808,0
2013-04-08,19.196,19.232,19.151,19.188,416987,0
2013-04-09,19.188,19.22,19.163,19.212,392883,0
2013-04-10,19.22,19.264,19.204,19.256,407871,0
2013-04-11,19.24,19.281,19.226,19.273,453176,0
2013-04-12,19.24,19.301,19.232,19.281,676857,0
2013-04-15,19.281,19.341,19.248,19.341,935762,0
2013-04-16,19.356,19.454,19.349,19.416,870969,0
2013-04-17,19.416,19.51,19.394,19.432,810498,0
2013-04-18,19.439,19.477,19.394,19.4,522164,0
2013-04-19,19.425,19.545,19.4,19.529,1453688,0
2013-04-22,19.461,19.57,19.416,19.57,679718,0
2013-04-23,19.564,19.57,19.51,19.522,198030,0
2013-04-24,19.536,19.545,19.469,19.522,255601,0
2013-04-25,19.522,19.522,19.416,19.425,307748,0
2013-04-26,19.494,19.494,19.394,19.4,257363,0
2013-04-29,19.454,19.494,19.37,19.454,178943,0
2013-04-30,19.432,19.469,19.394,19.4,247194,0
2013-05-01,19.416,19.469,19.394,19.469,154755,0
2013-05-02,19.5,19.614,19.461,19.57,278279,0
2013-05-03,19.579,19.579,19.51,19.529,162637,0
2013-05-06,19.529,19.579,19.522,19.529,144749,0
2013-05-07,19.545,19.658,19.51,19.658,283653,0
2013-05-08,19.658,19.753,19.624,19.728,383439,0
2013-05-09,19.737,19.737,19.658,19.714,231243,0
2013-05-10,19.684,19.737,19.632,19.706,246318,0
2013-05-13,19.706,19.721,19.606,19.675,136214,0
2013-05-14,19.667,19.667,19.51,19.515,342979,0
2013-05-15,19.598,19.598,19.454,19.469,250838,0
2013-05-16,19.59,19.598,19.432,19.582,138119,0
2013-05-17,19.582,19.667,19.529,19.651,127292,0
2013-05-20,19.658,19.675,19.545,19.646,83170,0
2013-05-21,19.651,19.651,19.545,19.646,121554,0
2013-05-22,19.639,19.684,19.59,19.59,172615,0
2013-05-23,19.658,19.658,19.469,19.646,147255,0
2013-05-24,19.632,19.737,19.564,19.728,115929,0
2013-05-28,19.7,19.714,19.515,19.545,156540,0
2013-05-29,19.581,19.581,19.288,19.397,273755,0
2013-05-30,19.489,19.489,19.342,19.427,230685,0
2013-05-31,19.442,19.466,19.232,19.232,172712,0
2013-06-03,19.288,19.389,18.941,19.094,297088,0
2013-06-04,19.094,19.232,18.977,19.094,199859,0
2013-06-05,19.088,19.094,18.831,18.97,260626,0
2013-06-06,19.039,19.118,18.941,19.064,185917,0
2013-06-07,19.094,19.212,19.019,19.039,202950,0
2013-06-10,19.126,19.126,18.824,18.855,191484,0
2013-06-11,18.824,18.862,18.181,18.655,338311,0
2013-06-12,18.655,18.7,17.819,18.647,292443,0
2013-06-13,18.439,18.655,18.099,18.632,184524,0
2013-06-14,18.669,18.932,18.606,18.932,179984,0
2013-06-17,19.108,19.158,18.97,19.088,181734,0
2013-06-18,19.074,19.081,18.824,18.894,205938,0
2013-06-19,18.977,19.094,18.344,18.676,246549,0
2013-06-20,18.537,18.831,17.973,18.467,162045,0
2013-06-21,18.306,18.553,18.152,18.398,130518,0
2013-06-24,18.245,18.25,17.47,17.872,242379,0
2013-06-25,18.127,18.523,17.872,18.5,149132,0
2013-06-26,18.578,18.886,18.578,18.632,80243,0
2013-06-27,18.7,18.831,18.537,18.693,173374,0
2013-06-28,19.001,19.163,18.882,19.094,81453,0
2013-07-01,18.831,18.855,18.676,18.779,79310,0
2013-07-02,18.769,18.878,18.663,18.763,77366,0
2013-07-03,18.724,18.824,18.562,18.724,48850,0
2013-07-05,18.708,18.708,18.301,18.46,59171,0
2013-07-08,18.476,18.476,18.237,18.467,104228,0
2013-07-09,18.476,18.476,18.283,18.431,105383,0
2013-07-10,18.439,18.439,18.168,18.361,129090,0
2013-07-11,18.431,18.537,18.267,18.454,91874,0
2013-07-12,18.467,18.553,18.301,18.517,79099,0
2013-07-15,18.508,18.553,18.344,18.553,92165,0
2013-07-16,18.553,18.746,18.368,18.553,95886,0
2013-07-17,18.508,18.746,18.361,18.523,153098,0
2013-07-18,18.606,18.632,18.431,18.517,68219,0
2013-07-19,18.553,18.584,18.398,18.454,250463,0
2013-07-22,18.517,18.53,18.321,18.398,67672,0
2013-07-23,18.431,18.517,18.353,18.353,112679,0
2013-07-24,18.361,18.361,17.973,18.043,143823,0
2013-07-25,18.043,18.043,17.78,17.951,133626,0
2013-07-26,17.968,18.181,17.858,18.037,73654,0
2013-07-29,18.074,18.267,17.872,18.05,107066,0
2013-07-30,18.111,18.222,18.05,18.066,150614,0
2013-07-31,18.066,18.136,17.804,18.118,144780,0
2013-08-01,18.09,18.181,17.898,17.995,53642,0
2013-08-02,18.057,18.267,17.926,18.09,127753,0
2013-08-05,18.029,18.306,17.703,17.797,154962,0
2013-08-06,17.773,17.78,17.396,17.587,101887,0
2013-08-07,17.51,17.565,17.123,17.193,115658,0
2013-08-08,17.301,17.354,17.047,17.193,130128,0
2013-08-09,17.193,17.338,17.123,17.338,226994,0
2013-08-12,17.345,17.681,17.284,17.556,82816,0
2013-08-13,17.478,17.532,17.294,17.354,129541,0
2013-08-14,17.449,17.449,16.884,16.968,135597,0
2013-08-15,16.921,16.93,16.357,16.93,259910,0
2013-08-16,16.83,16.9,16.381,16.59,169920,0
2013-08-19,16.553,16.553,15.848,15.917,188991,0
2013-08-20,15.986,16.642,15.78,16.605,394495,0
2013-08-21,16.605,16.9,16.405,16.535,179839,0
2013-08-22,16.597,17.129,16.597,17.047,139394,0
2013-08-23,17.077,17.294,16.977,17.277,136276,0
2013-08-26,17.318,17.363,17.039,17.186,113389,0
2013-08-27,17.116,17.318,17.007,17.309,138119,0
2013-08-28,17.241,17.367,17.082,17.319,123833,0
2013-08-29,17.199,17.357,17.163,17.327,95271,0
2013-08-30,17.367,17.523,17.233,17.482,66555,0
2013-09-03,17.482,17.594,17.286,17.594,71628,0
2013-09-04,17.492,17.672,17.39,17.672,99736,0
2013-09-05,17.6,17.6,17.319,17.6,124888,0
2013-09-06,17.664,17.664,17.241,17.339,130285,0
2013-09-09,17.404,17.404,17.122,17.215,75018,0
2013-09-10,17.256,17.398,17.059,17.163,110112,0
2013-09-11,17.163,17.256,16.981,17.256,111662,0
2013-09-12,17.17,17.199,16.816,16.916,153297,0
2013-09-13,16.902,16.902,16.565,16.685,66370,0
2013-09-16,17.137,17.263,16.533,16.594,145095,0
2013-09-17,16.641,16.746,16.578,16.729,102865,0
2013-09-18,16.853,17.051,16.508,17.02,145445,0
2013-09-19,17.115,17.241,16.973,17.17,119786,0
2013-09-20,17.137,17.17,16.902,17.17,77661,0
