Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.903,10.089,9.903,10.038,414868,0
2005-02-28,10.069,10.083,9.968,10.062,358743,0
2005-03-01,10.145,10.298,10.139,10.286,875955,0
2005-03-02,10.298,10.547,10.298,10.445,1364240,0
2005-03-03,10.541,10.541,10.388,10.411,495357,0
2005-03-04,10.5,10.5,10.355,10.369,2869335,0
2005-03-07,10.445,10.445,10.317,10.388,1700191,0
2005-03-08,10.388,10.445,10.336,10.395,853472,0
2005-03-09,10.395,10.411,10.324,10.355,405907,0
2005-03-10,10.317,10.369,10.286,10.317,1410302,0
2005-03-11,10.348,10.438,10.317,10.406,3617950,0
2005-03-14,10.406,10.541,10.406,10.541,693600,0
2005-03-15,10.565,10.789,10.565,10.623,798452,0
2005-03-16,10.584,10.707,10.515,10.598,380284,0
2005-03-17,10.598,10.718,10.584,10.646,530886,0
2005-03-18,10.654,10.654,10.5,10.541,334066,0
2005-03-21,10.591,10.623,10.438,10.483,346012,0
2005-03-22,10.483,10.552,10.471,10.471,681649,0
2005-03-23,10.5,10.547,10.432,10.495,464228,0
2005-03-24,10.507,10.579,10.507,10.552,191633,0
2005-03-28,10.547,10.77,10.547,10.743,3022297,0
2005-03-29,10.73,10.73,10.515,10.559,763080,0
2005-03-30,10.789,10.909,10.765,10.853,1097934,0
2005-03-31,10.876,10.984,10.871,10.984,825964,0
2005-04-01,10.914,11.125,10.914,11.074,553053,0
2005-04-04,11.042,11.125,11.024,11.024,671273,0
2005-04-05,11.024,11.17,10.998,11.151,551324,0
2005-04-06,11.213,11.235,11.113,11.119,348055,0
2005-04-07,11.125,11.201,11.004,11.057,633544,0
2005-04-08,11.088,11.113,10.876,10.979,365819,0
2005-04-11,10.967,10.979,10.871,10.914,259390,0
2005-04-12,10.876,10.909,10.751,10.903,290989,0
2005-04-13,10.93,10.935,10.789,10.812,818731,0
2005-04-14,10.679,10.812,10.489,10.783,543619,0
2005-04-15,10.795,10.922,10.707,10.819,488282,0
2005-04-18,10.765,10.914,10.669,10.819,601786,0
2005-04-19,10.914,10.967,10.795,10.84,739970,0
2005-04-20,10.847,10.94,10.743,10.789,412512,0
2005-04-21,10.865,10.89,10.598,10.687,986318,0
2005-04-22,10.707,10.765,10.559,10.669,424457,0
2005-04-25,10.751,10.789,10.5,10.598,664356,0
2005-04-26,10.598,10.629,10.483,10.495,1076394,0
2005-04-27,10.445,10.445,10.26,10.344,1038664,0
2005-04-28,10.344,10.344,10.044,10.21,1195555,0
2005-04-29,10.445,10.847,10.418,10.598,1277773,0
2005-05-02,10.584,10.662,10.547,10.571,407007,0
2005-05-03,10.579,10.579,10.432,10.507,859133,0
2005-05-04,10.5,10.707,10.471,10.679,962260,0
2005-05-05,10.707,10.707,10.584,10.646,530412,0
2005-05-06,10.654,10.675,10.591,10.598,346796,0
2005-05-09,10.552,10.629,10.529,10.623,404652,0
2005-05-10,10.579,10.617,10.507,10.535,445368,0
2005-05-11,10.552,10.552,10.411,10.445,624583,0
2005-05-12,10.453,10.471,10.375,10.425,524912,0
2005-05-13,10.445,10.445,10.324,10.445,329347,0
2005-05-16,10.445,10.584,10.445,10.559,557927,0
2005-05-17,10.559,10.629,10.483,10.584,420526,0
2005-05-18,10.629,10.662,10.605,10.635,1089600,0
2005-05-19,10.654,10.654,10.591,10.629,309224,0
2005-05-20,10.629,10.629,10.559,10.598,365350,0
2005-05-23,10.629,10.629,10.565,10.629,605398,0
2005-05-24,10.623,10.654,10.579,10.629,1350877,0
2005-05-25,10.654,10.669,10.629,10.64,754591,0
2005-05-26,10.679,10.679,10.571,10.598,589208,0
2005-05-27,10.646,10.646,10.478,10.559,632286,0
2005-05-31,10.535,10.535,10.355,10.388,1161600,0
2005-06-01,10.344,10.471,10.344,10.453,954244,0
2005-06-02,10.083,10.12,9.895,9.923,3273197,0
2005-06-03,9.972,10.083,9.93,10.038,3498786,0
2005-06-06,9.972,10.089,9.916,10.083,1501009,0
2005-06-07,10.083,10.185,10.014,10.055,1251209,0
2005-06-08,10.055,10.139,9.945,9.95,848130,0
2005-06-09,9.938,9.972,9.847,9.903,1072618,0
2005-06-10,9.895,9.986,9.895,9.95,1038821,0
2005-06-13,9.95,9.95,9.874,9.909,949213,0
2005-06-14,9.909,9.992,9.885,9.972,710576,0
2005-06-15,9.923,9.923,9.796,9.861,2301820,0
2005-06-16,9.861,9.879,9.745,9.861,1327767,0
2005-06-17,9.885,9.885,9.771,9.771,1029701,0
2005-06-20,9.796,9.801,9.707,9.713,1018857,0
2005-06-21,9.737,9.861,9.713,9.796,2083620,0
2005-06-22,9.861,10.172,9.847,10.114,6324419,0
2005-06-23,10.12,10.127,9.903,9.93,1535594,0
2005-06-24,9.95,9.95,9.84,9.847,1872484,0
2005-06-27,9.855,9.89,9.594,9.61,1518459,0
2005-06-28,9.635,9.771,9.529,9.731,3828136,0
2005-06-29,9.737,9.861,9.662,9.719,2246323,0
2005-06-30,9.771,9.938,9.731,9.861,2380737,0
2005-07-01,9.861,9.945,9.861,9.938,1206716,0
2005-07-05,9.874,9.986,9.826,9.868,1438439,0
2005-07-06,9.861,9.945,9.737,9.778,1078125,0
2005-07-07,9.778,9.874,9.662,9.796,964932,0
2005-07-08,9.771,9.861,9.694,9.861,874541,0
2005-07-11,9.93,9.972,9.796,9.916,1082996,0
2005-07-12,9.923,10.044,9.832,9.98,1225113,0
2005-07-13,9.98,10.014,9.895,9.968,1886161,0
2005-07-14,9.972,9.972,9.89,9.95,710416,0
2005-07-15,9.95,9.956,9.855,9.89,501959,0
2005-07-18,9.89,9.89,9.725,9.731,1093216,0
2005-07-19,9.759,9.826,9.683,9.7,965721,0
2005-07-20,9.683,9.765,9.67,9.707,1863530,0
2005-07-21,9.713,9.713,9.599,9.677,3620311,0
2005-07-22,9.725,9.885,9.61,9.642,506519,0
2005-07-25,9.642,9.662,9.509,9.509,2035351,0
2005-07-26,9.529,9.656,9.3762,9.617,2349927,0
2005-07-27,9.689,9.719,9.4787,9.617,4101360,0
2005-07-28,10.055,10.109,9.796,10.025,2810855,0
2005-07-29,10.032,10.114,9.95,10.089,1998096,0
2005-08-01,10.051,10.055,9.874,9.903,2439531,0
2005-08-02,9.945,9.945,9.861,9.916,1333116,0
