Date,Open,High,Low,Close,Volume,OpenInt
2014-07-29,7.2991,7.4538,7.166,7.2469,6530321,0
2014-07-30,7.186,7.2143,7.0148,7.0196,459258,0
2014-07-31,6.9543,7.0894,6.8172,6.9465,221217,0
2014-08-01,7.0767,7.0767,6.8534,6.9708,151087,0
2014-08-04,7.1986,7.2143,6.9543,7.0972,144549,0
2014-08-05,7.0401,7.0636,6.9138,6.9874,57465,0
2014-08-06,7.0972,7.1772,7.0158,7.1772,92235,0
2014-08-07,7.1986,7.1986,7.0972,7.1405,49108,0
2014-08-08,7.0562,7.1772,7.0362,7.1572,50163,0
2014-08-11,7.2631,7.2631,7.0972,7.1948,45288,0
2014-08-12,7.0972,7.1572,7.0562,7.1172,56433,0
2014-08-13,7.0606,7.1733,6.9543,6.9748,63394,0
2014-08-14,7.0801,7.1986,7.0801,7.1615,23754,0
2014-08-15,7.1328,7.1986,7.0972,7.0972,63242,0
2014-08-18,7.1898,7.1986,7.1006,7.1948,18863,0
2014-08-19,7.0719,7.2381,7.0719,7.1572,33085,0
2014-08-20,7.2381,7.2591,7.0972,7.1006,57007,0
2014-08-21,7.1362,7.2591,7.1172,7.1693,43244,0
2014-08-22,7.1693,7.2826,6.9781,7.2469,57915,0
2014-08-25,7.2469,7.2591,6.9996,7.0679,153297,0
2014-08-26,7.1084,7.2143,7.0972,7.1986,43717,0
2014-08-27,7.1006,7.2186,7.1006,7.1772,59301,0
2014-08-28,7.0719,7.1986,7.0719,7.166,55923,0
2014-08-29,7.0972,7.1948,7.0606,7.1084,67029,0
2014-09-02,7.202,7.202,7.1025,7.1572,83452,0
2014-09-03,7.0767,7.1948,7.0041,7.084,85766,0
2014-09-04,7.0148,7.0972,6.9996,7.084,63741,0
2014-09-05,7.0401,7.0927,6.9953,7.0562,36746,0
2014-09-08,6.9708,7.0719,6.9303,7.0523,40523,0
2014-09-09,7.0801,7.0801,7.0079,7.0636,46219,0
2014-09-10,6.9748,7.0241,6.8943,6.9748,60482,0
2014-09-11,6.9465,7.0801,6.8943,6.9348,60167,0
2014-09-12,7.0719,7.0719,6.8006,6.8943,59935,0
2014-09-15,6.8416,6.8943,6.6905,6.7591,122586,0
2014-09-16,6.7636,6.7724,6.6905,6.7436,64185,0
2014-09-17,6.7523,6.9348,6.6905,6.7206,144233,0
2014-09-18,6.7884,6.7928,6.6905,6.748,94567,0
2014-09-19,6.7036,6.7724,6.6905,6.7636,305912,0
2014-09-22,6.825,6.825,6.488,6.6144,160574,0
2014-09-23,6.3958,6.9348,6.3958,6.9348,230397,0
2014-09-24,6.8329,7.1948,6.8329,7.0523,116542,0
2014-09-25,7.0148,7.1948,6.9382,7.0148,82795,0
2014-09-26,6.9265,7.1811,6.9265,7.0479,63112,0
