Date,Open,High,Low,Close,Volume,OpenInt
2017-05-16,3.3558,3.3558,3.1572,3.2863,172250,0
2017-05-17,3.326,3.326,3.187,3.2366,169178,0
2017-05-18,3.2366,3.2366,3.0083,3.0083,131917,0
2017-05-19,2.9785,3.0976,2.9685,3.0083,118454,0
2017-05-22,2.9983,3.2267,2.9983,3.1671,157809,0
2017-05-23,3.1572,3.177,2.8594,2.9189,536704,0
2017-05-24,2.9289,2.9884,2.7799,2.9587,347520,0
2017-05-25,2.909,2.9289,2.7799,2.8594,484553,0
2017-05-26,3.0083,3.0926,2.9593,3.0579,278842,0
2017-05-30,3.038,3.038,2.8494,2.8692,260124,0
2017-05-31,2.8296,2.9289,2.7203,2.8792,429697,0
2017-06-01,2.8792,2.8792,2.7998,2.8296,250406,0
2017-06-02,2.8296,2.8891,2.7998,2.8594,208218,0
2017-06-05,2.8594,3.2267,2.8444,3.2267,195785,0
2017-06-06,2.9983,3.0876,2.9487,3.0678,366503,0
2017-06-07,3.0678,3.1375,2.9781,3.0379,145353,0
2017-06-08,3.0081,3.0081,2.8786,2.9284,141438,0
2017-06-09,2.8985,2.9035,2.8288,2.8288,180958,0
2017-06-12,2.8188,2.9583,2.8188,2.9086,163985,0
2017-06-13,2.9184,3.0379,2.8786,2.9782,182303,0
2017-06-14,3.0579,3.0877,2.8636,2.9184,270462,0
2017-06-15,2.8885,2.9782,2.8587,2.9284,261494,0
2017-06-16,2.9284,3.0379,2.9184,3.0081,454009,0
2017-06-19,3.0877,3.0877,2.8387,2.8885,483952,0
2017-06-20,2.8885,2.9224,2.7889,2.8885,278367,0
2017-06-21,2.8885,2.9537,2.8587,2.8885,261616,0
2017-06-22,2.9682,3.0339,2.9184,2.9782,352599,0
2017-06-23,3.0379,3.0877,2.9583,3.0778,303446,0
2017-06-26,3.0778,3.2372,2.9981,3.2172,359759,0
2017-06-27,3.2571,3.2726,3.1375,3.2372,232191,0
2017-06-28,3.267,3.2969,3.1575,3.2774,212515,0
2017-06-29,3.3168,3.3168,3.2172,3.277,382656,0
2017-06-30,3.2172,3.267,3.1475,3.1973,332094,0
2017-07-03,3.1674,3.1674,3.0479,3.0479,144123,0
2017-07-05,2.9782,3.0379,2.9085,2.9483,430689,0
2017-07-06,2.9383,2.9383,2.7591,2.779,454218,0
2017-07-07,2.779,2.8339,2.6993,2.779,392084,0
2017-07-10,2.7292,2.8985,2.7192,2.8387,539145,0
2017-07-11,2.8188,2.8686,2.7591,2.8387,192484,0
2017-07-12,2.8587,2.8985,2.8089,2.8138,210322,0
2017-07-13,2.8487,2.8587,2.7391,2.7591,171642,0
2017-07-14,2.8089,2.8885,2.7889,2.8089,283857,0
2017-07-17,2.8387,2.9383,2.8387,2.8985,156821,0
2017-07-18,2.9284,2.9583,2.9029,2.9184,209444,0
2017-07-19,2.9483,2.9682,2.9184,2.9234,204639,0
2017-07-20,2.9383,2.9682,2.8836,2.9383,205828,0
2017-07-21,2.9483,2.9583,2.8736,2.8885,103544,0
2017-07-24,2.8885,2.9881,2.779,2.8288,239158,0
2017-07-25,2.8188,2.8487,2.7591,2.8188,237957,0
2017-07-26,2.7989,2.8659,2.7391,2.8387,322739,0
2017-07-27,2.8387,2.8686,2.7689,2.7889,456876,0
2017-07-28,2.8188,2.9035,2.8188,2.8587,229140,0
2017-07-31,2.8985,2.9682,2.8786,2.9184,156540,0
2017-08-01,2.9184,2.9483,2.8686,2.8786,227825,0
2017-08-02,2.8786,2.8786,2.7591,2.779,212923,0
