Date,Open,High,Low,Close,Volume,OpenInt
2013-04-11,18.574,18.574,18.497,18.497,79025,0
2013-04-12,18.574,18.574,18.497,18.542,116079,0
2013-04-15,18.574,18.574,18.534,18.565,109213,0
2013-04-16,18.574,18.609,18.565,18.597,139526,0
2013-04-17,18.609,18.617,18.574,18.59,118425,0
2013-04-18,18.684,18.684,18.59,18.609,45606,0
2013-04-19,18.649,18.649,18.593,18.642,83755,0
2013-04-22,18.632,18.632,18.617,18.632,30242,0
2013-04-23,18.661,18.661,18.609,18.642,131750,0
2013-04-24,18.649,18.655,18.617,18.655,162948,0
2013-04-25,18.661,18.661,18.609,18.625,54363,0
2013-04-26,18.649,18.67,18.581,18.655,85422,0
2013-04-29,18.67,18.714,18.649,18.684,56513,0
2013-04-30,18.684,18.76,18.649,18.76,159384,0
2013-05-01,18.661,18.78,18.661,18.78,116462,0
2013-05-02,18.76,18.834,18.722,18.795,382825,0
2013-05-03,18.789,18.795,18.76,18.795,71432,0
2013-05-06,19.022,19.022,18.76,18.857,196605,0
2013-05-07,18.872,18.916,18.76,18.857,188902,0
2013-05-08,18.916,18.983,18.834,18.976,180210,0
2013-05-09,19.006,19.006,18.909,18.909,184245,0
2013-05-10,18.998,18.998,18.909,18.945,659889,0
2013-05-13,18.945,19.013,18.857,18.885,110994,0
2013-05-14,18.795,18.944,18.795,18.804,253324,0
2013-05-15,18.872,18.872,18.795,18.834,93735,0
2013-05-16,18.827,18.872,18.809,18.857,86598,0
2013-05-17,18.872,19.095,18.84,18.918,48357,0
2013-05-20,18.872,18.945,18.872,18.931,59918,0
2013-05-21,18.917,18.937,18.902,18.928,74664,0
2013-05-22,18.923,18.988,18.885,18.955,43084,0
2013-05-23,19.022,19.022,18.818,18.945,85791,0
2013-05-24,19.006,19.022,18.879,18.945,36001,0
2013-05-28,19.095,19.095,18.872,18.945,213973,0
2013-05-29,18.795,19.042,18.661,18.827,549109,0
2013-05-30,18.914,19.019,18.838,18.951,340531,0
2013-05-31,18.981,18.987,18.822,18.838,59384,0
2013-06-03,18.914,18.987,18.768,18.814,92121,0
2013-06-04,18.814,18.875,18.724,18.838,51003,0
2013-06-05,18.914,18.914,18.609,18.685,68906,0
2013-06-06,18.777,18.838,18.655,18.768,17521,0
2013-06-07,18.838,18.914,18.808,18.875,29875,0
2013-06-10,18.875,18.905,18.642,18.761,39352,0
2013-06-11,18.905,18.905,18.456,18.461,48107,0
2013-06-12,18.761,18.761,18.348,18.42,64805,0
2013-06-13,18.444,18.761,18.157,18.348,125539,0
2013-06-14,18.899,18.899,18.609,18.645,29503,0
2013-06-17,18.649,18.838,18.545,18.685,26686,0
2013-06-18,18.685,18.867,18.534,18.685,99682,0
2013-06-19,18.761,18.808,18.609,18.671,37037,0
2013-06-20,18.671,18.678,18.306,18.534,51161,0
2013-06-21,18.348,18.549,18.306,18.461,22853,0
2013-06-24,18.257,18.257,17.854,18.157,18940,0
2013-06-25,18.277,18.528,17.921,18.157,36439,0
2013-06-26,18.523,18.528,18.157,18.194,20243,0
2013-06-27,18.382,18.382,18.232,18.382,37091,0
2013-06-28,18.866,18.866,18.712,18.775,15465,0
2013-07-01,18.534,18.534,18.434,18.534,38650,0
2013-07-02,18.534,18.703,18.521,18.593,29659,0
2013-07-03,18.541,18.724,18.534,18.609,14462,0
2013-07-05,18.534,18.573,18.414,18.573,11154,0
2013-07-08,18.593,18.83,18.593,18.649,39293,0
2013-07-09,18.573,18.678,18.534,18.678,61730,0
2013-07-10,18.617,18.649,18.593,18.602,22547,0
2013-07-11,18.724,18.724,18.549,18.602,36791,0
2013-07-12,18.685,18.685,18.391,18.391,17288,0
2013-07-15,18.534,18.59,18.427,18.512,14402,0
2013-07-16,18.678,18.678,18.461,18.556,18006,0
2013-07-17,18.671,18.844,18.556,18.649,155910,0
2013-07-18,18.694,18.761,18.609,18.633,66639,0
2013-07-19,18.534,18.914,18.528,18.914,318199,0
2013-07-22,18.83,18.987,18.761,18.761,72833,0
2013-07-23,18.339,19.107,18.339,18.694,129014,0
2013-07-24,18.738,18.943,18.633,18.905,68373,0
2013-07-25,18.738,18.738,18.662,18.678,3403,0
2013-07-26,18.808,18.838,18.617,18.798,4206,0
2013-07-29,18.798,18.798,18.642,18.738,14058,0
2013-07-30,18.703,18.737,18.427,18.709,24875,0
2013-07-31,18.593,18.753,18.414,18.602,45913,0
2013-08-01,18.609,18.624,18.48,18.496,16458,0
2013-08-02,18.427,18.534,18.322,18.322,5263,0
2013-08-05,18.306,18.521,18.194,18.427,18674,0
2013-08-06,18.157,18.27,17.968,18.081,13115,0
2013-08-07,18.157,18.313,17.961,17.961,18704,0
2013-08-08,18.005,18.081,17.961,18.081,5981,0
