Date,Open,High,Low,Close,Volume,OpenInt
2014-06-11,19.731,20.379,19.731,20.229,5243738,0
2014-06-12,20.336,20.425,19.766,20.024,7653400,0
2014-06-13,19.597,20.663,19.412,20.557,18710122,0
2014-06-16,20.309,20.849,19.838,20.591,7272829,0
2014-06-17,20.425,20.645,20.22,20.252,4153330,0
2014-06-18,20.252,20.442,19.979,20.398,5396838,0
2014-06-19,20.344,20.771,20.272,20.681,3727569,0
2014-06-20,20.707,20.779,20.203,20.477,4739640,0
2014-06-23,20.36,20.903,20.344,20.753,2896707,0
2014-06-24,20.262,21.533,20.262,21.463,4023648,0
2014-06-25,21.133,22.104,21.133,21.693,3141621,0
2014-06-26,21.578,21.775,21.463,21.659,3288895,0
2014-06-27,21.533,21.827,21.426,21.533,12159164,0
2014-06-30,21.33,21.631,21.321,21.506,3980890,0
2014-07-01,21.436,21.561,21.392,21.472,2583748,0
2014-07-02,21.4,21.775,21.25,21.71,1808359,0
2014-07-03,21.71,21.793,21.561,21.738,457821,0
2014-07-07,21.596,21.844,21.523,21.738,1461246,0
2014-07-08,21.631,21.844,21.578,21.827,3196652,0
2014-07-09,21.853,22.279,21.669,22.113,3400988,0
2014-07-10,21.905,22.288,21.783,22.218,2418677,0
2014-07-11,22.165,22.341,22.118,22.332,1052083,0
2014-07-14,22.448,22.608,22.332,22.421,1155439,0
2014-07-15,22.324,22.627,22.075,22.537,1412725,0
2014-07-16,22.58,22.734,22.307,22.627,1464205,0
2014-07-17,22.511,22.864,22.269,22.297,1627618,0
2014-07-18,22.254,22.768,22.208,22.75,1271202,0
2014-07-21,22.652,22.768,22.413,22.734,785896,0
2014-07-22,22.742,22.936,22.421,22.448,1624206,0
2014-07-23,22.448,22.465,21.729,21.808,2020084,0
2014-07-24,21.747,21.835,21.551,21.669,1610963,0
2014-07-25,21.497,21.844,21.063,21.312,1999951,0
2014-07-28,21.417,21.872,21.286,21.72,1426664,0
2014-07-29,21.678,21.933,21.542,21.65,2081236,0
2014-07-30,21.783,22.104,21.693,21.818,1229444,0
2014-07-31,21.587,21.89,21.321,21.4,1558104,0
2014-08-01,21.384,21.454,21.123,21.339,2042619,0
2014-08-04,21.276,21.71,21.222,21.587,1045083,0
2014-08-05,21.933,22.421,21.25,21.641,1334795,0
2014-08-06,21.463,21.738,20.807,21.001,906191,0
2014-08-07,21.09,21.195,20.868,21.063,936005,0
2014-08-08,20.992,21.195,20.797,20.983,481582,0
2014-08-11,21.001,21.276,20.789,20.947,697518,0
2014-08-12,20.858,21.081,20.417,20.62,545178,0
2014-08-13,20.627,20.734,20.336,20.503,496215,0
2014-08-14,20.398,20.726,20.28,20.726,359898,0
2014-08-15,20.947,21.357,20.789,21.152,735502,0
2014-08-18,21.357,22.014,21.276,21.844,814672,0
2014-08-19,21.827,21.881,21.444,21.497,494979,0
2014-08-20,21.357,21.392,21.1,21.204,387554,0
2014-08-21,21.187,21.384,21.01,21.24,544605,0
2014-08-22,21.232,21.367,21.143,21.24,325261,0
2014-08-25,21.321,21.321,20.877,21.054,396693,0
2014-08-26,21.037,21.33,20.921,21.303,378854,0
2014-08-27,21.268,21.33,21.028,21.123,331460,0
2014-08-28,21.09,21.123,20.877,20.929,444646,0
2014-08-29,20.929,20.929,20.717,20.849,755664,0
2014-09-02,20.983,21.551,20.763,21.303,868959,0
2014-09-03,21.312,21.417,20.903,21.037,835353,0
2014-09-04,21.1,21.286,20.779,20.868,946357,0
2014-09-05,20.807,21.347,20.645,21.117,784010,0
2014-09-08,21.044,21.09,20.557,20.903,1051362,0
2014-09-09,20.823,21.001,20.582,20.983,570343,0
2014-09-10,20.921,21.161,20.753,21.133,452546,0
2014-09-11,21.143,21.533,20.841,21.392,997816,0
2014-09-12,21.276,21.408,20.957,21.143,561878,0
2014-09-15,21.169,21.276,20.858,21.187,633147,0
2014-09-16,21.108,21.436,20.947,21.081,747823,0
2014-09-17,21.063,21.375,20.921,21.232,562715,0
2014-09-18,21.339,21.678,21.169,21.303,696845,0
2014-09-19,21.357,21.905,21.063,21.108,2928064,0
2014-09-22,20.983,21.222,20.744,20.903,1301157,0
2014-09-23,20.789,20.929,20.673,20.734,1268743,0
2014-09-24,20.734,20.849,20.512,20.655,1123657,0
2014-09-25,20.573,20.601,19.969,20.058,908729,0
2014-09-26,20.041,20.389,19.917,20.344,632968,0
