Date,Open,High,Low,Close,Volume,OpenInt
2007-12-12,12.313,12.313,12.313,12.313,0,0
2007-12-13,12.471,12.848,12.374,12.632,7981990,0
2007-12-14,12.685,13.164,12.471,13.134,1026206,0
2007-12-17,13.127,13.574,13.038,13.384,860824,0
2007-12-18,13.056,15.146,12.627,14.017,1417393,0
2007-12-19,14.206,14.73,13.378,13.731,779412,0
2007-12-20,13.757,13.795,13.038,13.321,320569,0
2007-12-21,13.321,13.51,13.031,13.448,399445,0
2007-12-24,13.542,13.953,13.454,13.953,113565,0
2007-12-26,13.953,13.953,13.405,13.67,163925,0
2007-12-27,13.696,13.763,13.1,13.1,179770,0
2007-12-28,13.259,13.795,13.1,13.651,345599,0
2007-12-31,13.542,14.516,13.482,13.887,245480,0
2008-01-02,13.587,13.887,13.259,13.51,145238,0
2008-01-03,13.795,13.795,13.1,13.121,178850,0
2008-01-04,12.943,13.1,11.459,12.098,1228238,0
2008-01-07,12.154,12.179,10.867,11.889,1280387,0
2008-01-08,11.889,12.085,11.054,11.208,284976,0
2008-01-09,11.006,11.189,9.785,10.796,1155458,0
2008-01-10,10.531,10.968,10.259,10.833,323662,0
2008-01-11,10.28,11.041,10.28,10.889,74995,0
2008-01-14,10.948,10.948,10.303,10.481,220631,0
2008-01-15,10.29,10.392,9.817,10.12,512220,0
2008-01-16,10.103,10.103,9.28,9.648,604159,0
2008-01-17,9.552,9.655,9.1609,9.3839,427516,0
2008-01-18,9.4701,9.648,9.4133,9.545,178977,0
2008-01-22,8.5676,9.659,8.5676,9.604,225502,0
2008-01-23,9.3957,9.863,9.1231,9.501,472466,0
2008-01-24,9.597,10.184,9.571,10.103,363651,0
2008-01-25,10.204,10.626,9.945,10.29,397861,0
2008-01-28,10.418,10.853,10.331,10.765,388995,0
2008-01-29,10.833,11.921,10.826,11.403,841504,0
2008-01-30,11.454,12.128,11.454,11.838,564959,0
2008-01-31,11.636,12.197,11.377,11.995,187524,0
2008-02-01,12.061,12.501,12.061,12.313,568760,0
2008-02-04,12.431,12.431,11.795,11.982,150309,0
2008-02-05,11.927,12.016,11.668,11.681,220409,0
2008-02-06,11.737,11.921,10.953,10.953,231245,0
2008-02-07,11.377,11.485,11.054,11.208,355258,0
2008-02-08,11.208,11.364,11.029,11.156,144986,0
2008-02-11,11.047,11.346,10.987,11.092,576999,0
2008-02-12,11.119,11.302,11.047,11.047,355891,0
2008-02-13,10.889,11.175,10.734,10.821,319621,0
2008-02-14,10.916,11.485,10.889,11.119,144291,0
2008-02-15,11.047,11.296,11.041,11.175,109602,0
2008-02-19,11.208,11.459,11.144,11.321,178030,0
2008-02-20,11.364,11.364,10.96,11.202,65727,0
2008-02-21,11.352,11.434,10.987,10.987,275592,0
2008-02-22,11.092,11.189,10.826,10.826,210809,0
2008-02-25,10.746,11.448,10.746,11.328,267354,0
2008-02-26,11.37,11.37,10.889,11.144,165195,0
2008-02-27,10.938,11.63,10.889,11.509,109919,0
2008-02-28,11.617,11.656,10.833,11.062,176126,0
2008-02-29,10.987,11.022,10.57,10.671,326111,0
2008-03-03,10.454,10.638,10.316,10.524,214202,0
2008-03-04,10.546,10.721,10.353,10.469,288211,0
2008-03-05,10.316,10.505,10.29,10.447,89012,0
2008-03-06,10.645,10.645,10.29,10.353,74440,0
2008-03-07,10.353,10.481,9.636,9.901,243736,0
2008-03-10,9.945,9.989,9.501,9.616,95346,0
2008-03-11,9.914,10.04,9.755,9.937,65969,0
2008-03-12,10.221,10.273,9.901,9.969,37220,0
2008-03-13,9.914,9.93,9.722,9.844,50526,0
2008-03-14,9.722,9.722,9.3056,9.3839,100575,0
2008-03-17,8.5369,9.3056,8.5369,9.0984,126078,0
2008-03-18,9.1541,9.806,9.1475,9.755,118945,0
2008-03-19,9.774,10.045,9.692,9.976,102635,0
2008-03-20,10.007,10.461,9.85,10.297,77449,0
2008-03-24,9.742,10.632,9.742,10.546,79193,0
2008-03-25,10.974,11.062,10.746,11.047,60504,0
2008-03-26,11.302,11.428,11.092,11.238,144448,0
2008-03-27,11.062,11.364,10.608,10.785,122052,0
2008-03-28,11.335,11.335,10.897,11.041,320096,0
2008-03-31,10.987,11.523,10.734,10.808,1654175,0
2008-04-01,10.808,11.27,10.406,10.618,763891,0
2008-04-02,10.614,10.734,10.36,10.564,453758,0
2008-04-03,10.493,10.734,10.454,10.564,549647,0
2008-04-04,10.575,10.796,10.43,10.779,564280,0
2008-04-07,10.897,11.745,10.57,11.42,429571,0
2008-04-08,11.42,11.787,11.225,11.593,161870,0
2008-04-09,11.492,11.609,11.34,11.477,152681,0
2008-04-10,11.593,11.787,11.434,11.782,100486,0
2008-04-11,11.604,11.762,11.006,11.081,92997,0
2008-04-14,11.175,11.384,11.175,11.238,95072,0
2008-04-15,11.364,11.65,11.314,11.364,121301,0
2008-04-16,11.428,12.061,11.302,11.37,321319,0
2008-04-17,11.364,11.523,10.889,11.364,178077,0
2008-04-18,11.492,11.8,11.414,11.636,267224,0
2008-04-21,11.636,12.117,11.542,11.877,159232,0
2008-04-22,11.995,12.408,11.952,12.361,220141,0
2008-04-23,12.431,12.627,12.313,12.381,235035,0
2008-04-24,12.408,12.627,12.061,12.508,167063,0
2008-04-25,12.651,12.754,12.557,12.627,187528,0
2008-04-28,12.627,13.228,12.494,13.17,270034,0
2008-04-29,13.114,13.114,12.329,12.64,142011,0
2008-04-30,12.692,13.188,12.508,12.742,106209,0
2008-05-01,12.651,12.95,12.197,12.595,126772,0
2008-05-02,12.84,13.482,12.557,12.595,114325,0
2008-05-05,12.72,12.882,12.532,12.829,124161,0
2008-05-06,12.692,13.292,12.64,12.835,147035,0
2008-05-07,12.912,13.106,12.564,12.589,124041,0
2008-05-08,12.488,12.666,12.488,12.627,85773,0
2008-05-09,12.627,13.574,12.603,13.51,320520,0
2008-05-12,13.51,14.319,13.372,13.505,379987,0
2008-05-13,13.515,14.509,13.515,14.433,382877,0
2008-05-14,14.713,15.117,14.44,14.685,469637,0
2008-05-15,15.872,15.872,14.837,15.035,304758,0
2008-05-16,15.165,15.423,14.837,15.341,259540,0
2008-05-19,16.504,16.504,14.837,14.874,550517,0
2008-05-20,14.882,15.399,14.579,14.755,476625,0
2008-05-21,14.459,15.152,14.312,15.064,283403,0
2008-05-22,15.128,15.186,13.542,13.953,481801,0
2008-05-23,14.213,14.213,13.026,13.314,376481,0
2008-05-27,13.384,13.67,12.716,13.67,485279,0
2008-05-28,13.574,13.79,13.267,13.79,165442,0
2008-05-29,13.829,14.172,13.488,13.883,186700,0
2008-05-30,14.066,14.066,13.731,13.829,129515,0
2008-06-02,13.829,14.036,13.391,13.887,292727,0
2008-06-03,14.269,14.819,13.689,13.867,355277,0
2008-06-04,13.867,14.061,13.343,13.475,272499,0
2008-06-05,13.378,13.808,13.321,13.699,303068,0
2008-06-06,14.287,14.287,13.429,13.454,228763,0
2008-06-09,13.285,13.51,12.974,12.988,310193,0
2008-06-10,12.936,13.273,12.84,13.095,508724,0
2008-06-11,13.084,13.638,13.084,13.556,456273,0
2008-06-12,13.705,14.748,12.943,12.962,471758,0
2008-06-13,13.17,13.79,13.134,13.79,282171,0
2008-06-16,13.834,14.994,13.834,14.938,363981,0
2008-06-17,14.907,15.077,14.533,14.748,162318,0
2008-06-18,14.699,14.719,14.365,14.624,146031,0
2008-06-19,14.806,14.806,14.319,14.548,149199,0
2008-06-20,14.459,14.78,14.244,14.653,215296,0
2008-06-23,14.685,14.988,14.164,14.172,242876,0
2008-06-24,14.11,14.164,13.581,13.689,181850,0
2008-06-25,13.744,13.971,13.562,13.683,227584,0
2008-06-26,13.656,13.699,13.1,13.416,431011,0
2008-06-27,13.335,14.548,13.17,14.548,777906,0
2008-06-30,14.554,14.927,14.319,14.653,408874,0
2008-07-01,14.774,14.774,13.683,14.066,267622,0
2008-07-02,14.907,14.907,12.894,13.22,344841,0
2008-07-03,13.121,13.121,12.273,12.887,144756,0
2008-07-07,12.882,13.069,12.313,12.981,240769,0
2008-07-08,13.018,14.097,12.829,13.978,429939,0
2008-07-09,14.097,14.097,13.355,13.51,156922,0
2008-07-10,13.656,14.057,13.188,14.023,148754,0
2008-07-11,13.887,14.603,13.829,14.603,186414,0
2008-07-14,15.792,15.792,14.091,14.213,118773,0
2008-07-15,14.13,14.319,13.921,14.116,239564,0
2008-07-16,14.227,14.319,14.005,14.206,155028,0
2008-07-17,14.103,14.206,13.895,13.978,163010,0
2008-07-18,14.194,14.666,13.953,14.017,177577,0
2008-07-21,13.895,14.091,13.606,13.877,192436,0
2008-07-22,13.744,13.846,13.67,13.795,324921,0
2008-07-23,13.802,14.186,13.711,13.802,251702,0
2008-07-24,13.802,14.206,12.943,13.194,297499,0
2008-07-25,13.568,13.67,13.384,13.568,140082,0
2008-07-28,13.574,13.739,13.365,13.435,132592,0
2008-07-29,13.378,14.15,13.314,13.887,292259,0
2008-07-30,13.834,14.287,13.645,14.084,145548,0
2008-07-31,13.887,14.659,13.834,14.305,160605,0
2008-08-01,14.365,14.445,13.867,13.991,183756,0
2008-08-04,14.05,14.44,13.36,13.378,132638,0
2008-08-05,13.384,13.462,12.483,12.867,263506,0
2008-08-06,13.194,13.55,12.943,13.391,238519,0
2008-08-07,13.448,13.515,12.685,13.084,253903,0
2008-08-08,13.1,13.321,12.666,12.798,390234,0
2008-08-11,12.974,13.077,12.853,12.95,272165,0
2008-08-12,12.943,13.038,12.848,13.005,206307,0
2008-08-13,12.64,12.64,12.288,12.393,219792,0
2008-08-14,12.219,12.589,12.219,12.501,161428,0
2008-08-15,12.616,12.622,11.636,11.882,228150,0
2008-08-18,11.882,12.313,11.691,11.831,140048,0
2008-08-19,11.859,12.298,11.75,12.034,97838,0
2008-08-20,12.224,12.313,12.104,12.313,87447,0
2008-08-21,12.313,12.313,12.134,12.237,169125,0
2008-08-22,12.25,12.367,12.078,12.313,226574,0
2008-08-25,12.319,12.564,12.25,12.313,275303,0
2008-08-26,12.471,12.471,12.128,12.343,119114,0
2008-08-27,12.381,12.848,12.298,12.754,313829,0
2008-08-28,12.93,12.93,12.595,12.742,206457,0
2008-08-29,12.81,12.81,12.622,12.72,81627,0
2008-09-02,12.578,12.81,12.488,12.595,239221,0
2008-09-03,12.748,12.754,12.514,12.679,191252,0
2008-09-04,12.501,12.679,11.921,12.273,250919,0
2008-09-05,12.267,12.267,11.069,11.131,360263,0
2008-09-08,11.364,11.662,11.195,11.359,245902,0
2008-09-09,11.409,11.441,10.821,10.821,527862,0
2008-09-10,10.98,11.668,10.853,11.566,202641,0
2008-09-11,11.609,11.65,11.256,11.485,123051,0
2008-09-12,11.359,11.598,11.214,11.377,74022,0
2008-09-15,11.364,11.593,11.041,11.131,145157,0
2008-09-16,10.96,11.27,10.765,11.27,246103,0
2008-09-17,11.42,11.42,10.353,10.36,137838,0
2008-09-18,10.651,11.553,10.447,11.414,248008,0
2008-09-19,11.464,13.259,11.464,12.154,380835,0
2008-09-22,12.034,12.154,11.908,11.976,143565,0
2008-09-23,11.845,11.877,10.953,11.139,150643,0
2008-09-24,11.139,11.737,11.076,11.308,64412,0
2008-09-25,11.364,11.989,11.296,11.459,115011,0
2008-09-26,11.282,11.302,11.036,11.099,105535,0
2008-09-29,11.036,11.041,10.475,10.638,189108,0
2008-09-30,10.638,10.84,10.486,10.689,230162,0
2008-10-01,10.645,10.664,10.324,10.493,143623,0
2008-10-02,10.385,10.645,9.516,9.516,190081,0
2008-10-03,10.103,10.454,9.755,9.792,221980,0
2008-10-06,9.552,9.597,7.3617,8.5298,442542,0
2008-10-07,8.5298,8.8145,7.5006,7.5385,353503,0
2008-10-08,7.2672,7.2672,6.1369,6.8758,426290,0
2008-10-09,6.8502,6.9892,6.1244,6.1244,261336,0
2008-10-10,5.897,6.6926,4.5583,6.68,725111,0
2008-10-13,7.0084,8.3023,6.7874,8.3023,360703,0
2008-10-14,8.5245,8.8394,7.6967,7.8853,338533,0
2008-10-15,7.8478,7.8478,6.5094,6.5094,263313,0
2008-10-16,6.5094,7.6142,5.6888,6.7553,327849,0
2008-10-17,6.8821,7.166,6.5664,6.7305,227657,0
2008-10-20,6.9766,7.5764,6.9766,7.5385,196342,0
2008-10-21,7.4439,7.7027,7.1471,7.3745,193813,0
2008-10-22,7.2229,7.324,6.667,6.8629,182713,0
2008-10-23,6.8883,7.166,6.3201,6.8001,222749,0
2008-10-24,6.2444,6.5978,6.0295,6.1686,221759,0
2008-10-27,6.1181,6.1559,5.6825,5.7517,190216,0
2008-10-28,6.1559,6.1559,5.3098,5.7517,241769,0
2008-10-29,5.815,6.6044,5.815,6.6044,162365,0
2008-10-30,6.9137,6.939,6.4021,6.9326,154307,0
2008-10-31,6.9262,7.8038,6.705,7.6713,162937,0
2008-11-03,7.5197,8.6423,7.4439,7.7971,356957,0
2008-11-04,8.4095,8.4095,7.0838,7.4188,345258,0
2008-11-05,7.3175,7.4124,6.7118,6.7935,220558,0
2008-11-06,6.8567,6.8567,5.3855,5.4739,385011,0
2008-11-07,5.9853,6.8567,5.6446,6.7619,362917,0
2008-11-10,6.9452,8.2015,6.7118,7.1725,325864,0
2008-11-11,6.7431,7.0397,5.935,6.1494,381776,0
2008-11-12,6.08,6.08,5.6509,5.7517,271694,0
2008-11-13,5.7703,6.5031,5.335,6.5031,303601,0
2008-11-14,6.1875,6.3896,5.4612,5.4612,182755,0
2008-11-17,5.5243,5.6257,5.2214,5.4551,312091,0
2008-11-18,5.4551,5.6191,5.3666,5.4487,207846,0
2008-11-19,5.4298,5.5181,4.9753,4.9753,204410,0
2008-11-20,4.9247,4.9689,3.9461,4.0283,259927,0
2008-11-21,4.1102,4.2237,3.0433,3.9271,904793,0
2008-11-24,3.9397,4.8869,3.9397,4.7354,171888,0
2008-11-25,5.8277,5.8277,4.7418,5.0446,580074,0
2008-11-26,5.0825,5.6698,5.0825,5.5306,736400,0
2008-11-28,5.8337,6.8946,5.5371,6.8946,532613,0
2008-12-01,5.9034,5.9034,4.893,5.0698,396684,0
2008-12-02,5.2214,5.5243,4.9247,5.3791,288817,0
2008-12-03,5.1077,5.2531,4.8298,5.0446,260938,0
2008-12-04,4.8804,5.2214,4.7985,5.1646,433814,0
2008-12-05,5.0952,5.5118,4.7418,5.5118,224187,0
2008-12-08,5.6698,5.9917,5.5243,5.758,374778,0
2008-12-09,5.758,6.5347,5.758,6.0042,361260,0
2008-12-10,6.0992,6.6479,6.0992,6.5978,348986,0
2008-12-11,6.358,6.6168,5.9412,6.3392,392295,0
2008-12-12,6.2444,6.5978,6.0548,6.5725,439230,0
2008-12-15,6.5915,7.0084,6.3137,6.3707,279553,0
2008-12-16,6.7553,7.4188,6.5725,7.387,318898,0
2008-12-17,7.2608,8.0697,6.9766,8.0697,367988,0
2008-12-18,8.0312,8.0637,7.0776,7.1345,257188,0
2008-12-19,7.6648,7.8478,6.7243,7.0463,511270,0
2008-12-22,7.0272,7.0272,5.6068,6.56,854761,0
2008-12-23,6.56,6.7874,6.3264,6.4148,217706,0
2008-12-24,6.4716,6.4716,6.0108,6.3392,121787,0
2008-12-26,6.4527,7.0524,6.4399,7.0146,144847,0
2008-12-29,7.1217,7.1281,6.5978,7.0084,141509,0
2008-12-30,7.0463,7.646,6.7811,7.646,253536,0
2008-12-31,7.5764,8.1321,7.3553,8.0185,390187,0
2009-01-02,7.9863,8.435,7.5764,8.0799,220938,0
2009-01-05,8.1449,8.8328,8.0312,8.8209,224719,0
