Date,Open,High,Low,Close,Volume,OpenInt
2009-07-28,12.25,12.25,12.25,12.25,0,0
2009-07-29,12.25,12.262,12.25,12.25,669995,0
2009-07-30,12.25,12.266,12.25,12.25,170951,0
2009-07-31,12.25,12.278,12.25,12.25,30530,0
2009-08-03,12.25,12.256,12.25,12.25,74438,0
2009-08-04,12.25,12.266,12.25,12.262,28957,0
2009-08-05,12.278,12.278,12.25,12.25,49108,0
2009-08-06,12.25,12.31,12.25,12.31,50446,0
2009-08-07,12.31,12.31,12.25,12.25,52087,0
2009-08-10,12.25,12.31,12.25,12.266,42448,0
2009-08-11,12.25,12.273,12.25,12.25,13737,0
2009-08-12,12.25,12.256,12.25,12.25,42293,0
2009-08-13,12.25,12.278,11.752,12.25,39341,0
2009-08-14,12.25,12.273,12.25,12.256,26362,0
2009-08-17,12.25,12.256,12.25,12.25,16881,0
2009-08-18,12.256,12.273,12.256,12.256,3228,0
2009-08-19,12.25,12.256,11.94,12.25,36405,0
2009-08-20,12.25,12.256,12.25,12.256,5228,0
2009-08-21,12.25,12.256,12.25,12.256,6209,0
2009-08-24,12.25,12.256,12.25,12.25,24600,0
2009-08-25,12.256,12.31,12.25,12.25,21840,0
2009-08-26,12.278,12.278,12.25,12.25,9146,0
2009-08-27,12.25,12.25,12.25,12.25,7674,0
2009-08-28,12.25,12.256,12.25,12.25,3218,0
2009-08-31,12.25,12.25,12.25,12.25,78774,0
2009-09-01,12.25,12.256,12.25,12.25,28001,0
2009-09-02,12.25,12.256,12.25,12.25,83512,0
2009-09-03,12.25,12.256,12.25,12.25,63512,0
2009-09-04,12.31,12.31,12.25,12.25,64982,0
2009-09-08,12.25,12.256,12.25,12.25,478096,0
2009-09-09,12.25,12.266,12.25,12.25,158909,0
2009-09-10,12.559,12.559,11.94,11.94,167363,0
2009-09-11,11.885,11.94,11.885,11.927,32672,0
2009-09-14,12.007,12.032,11.227,11.421,139413,0
2009-09-15,11.432,11.68,11.426,11.597,69959,0
2009-09-16,11.698,11.854,11.698,11.848,43808,0
2009-09-17,11.866,11.94,11.698,11.917,35197,0
2009-09-18,11.94,12.027,11.698,12.027,47556,0
2009-09-21,11.984,12.013,11.795,11.922,47796,0
2009-09-22,11.892,11.897,11.698,11.782,46367,0
2009-09-23,11.763,11.789,11.604,11.612,53578,0
2009-09-24,11.645,11.645,11.485,11.546,21043,0
