Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,12.071,12.301,12,12.195,158526,0
2005-02-28,12.238,12.404,11.87,12.071,208339,0
2005-03-01,12.293,12.348,11.83,12.348,259281,0
2005-03-02,12.348,12.351,12.012,12.03,88212,0
2005-03-03,12.148,12.348,12.074,12.308,163094,0
2005-03-04,12.367,12.395,12.262,12.299,151255,0
2005-03-07,12.333,12.333,12.222,12.301,177506,0
2005-03-08,12.333,12.333,12.249,12.32,130628,0
2005-03-09,12.249,12.333,11.988,11.997,263238,0
2005-03-10,11.997,12.142,11.821,11.821,165272,0
2005-03-11,11.79,12.061,11.716,12,355532,0
2005-03-14,12,12.249,11.935,11.951,91858,0
2005-03-15,11.889,12.235,11.873,11.967,230310,0
2005-03-16,11.839,12.201,11.839,12.04,193403,0
2005-03-17,12.083,12.09,11.679,11.889,131191,0
2005-03-18,12.058,12.24,11.763,12.176,392425,0
2005-03-21,12.225,12.379,12.027,12.262,277544,0
2005-03-22,12.33,12.623,12.228,12.281,212593,0
2005-03-23,12.238,12.293,12.024,12.052,188317,0
2005-03-24,12.018,12.336,11.858,11.87,174625,0
2005-03-28,12.004,12.154,11.951,12.096,88152,0
2005-03-29,12.007,12.207,11.661,11.766,163962,0
2005-03-30,11.882,12.123,11.753,12.123,90255,0
2005-03-31,12.16,12.179,11.735,11.979,213190,0
2005-04-01,12.01,12.222,11.679,11.716,237274,0
2005-04-04,11.67,11.973,11.55,11.926,125900,0
2005-04-05,11.824,12.03,11.824,11.87,171916,0
2005-04-06,11.942,12.021,11.577,11.649,324759,0
2005-04-07,11.766,12.01,11.633,11.979,128952,0
2005-04-08,11.858,12.018,11.649,11.649,111762,0
2005-04-11,11.589,11.793,11.589,11.716,213925,0
2005-04-12,11.776,12.098,11.776,12.034,252418,0
2005-04-13,11.914,12.258,11.808,11.808,136877,0
2005-04-14,11.808,12.049,11.677,11.732,183652,0
2005-04-15,11.716,11.861,11.716,11.781,197624,0
2005-04-18,11.692,11.882,11.692,11.766,254421,0
2005-04-19,11.796,11.939,11.776,11.926,188073,0
2005-04-20,11.898,11.935,11.707,11.707,198287,0
2005-04-21,11.726,12.148,11.726,12.024,166194,0
2005-04-22,11.923,12.107,11.873,11.92,189326,0
2005-04-25,11.87,12.043,11.842,11.979,87275,0
2005-04-26,11.83,12.024,11.716,11.747,152436,0
2005-04-27,11.716,11.948,11.716,11.898,71338,0
2005-04-28,11.75,11.867,11.714,11.716,276200,0
2005-04-29,11.688,11.939,11.507,11.735,333645,0
2005-05-02,11.677,11.808,11.498,11.802,315012,0
2005-05-03,11.732,11.766,11.47,11.614,140941,0
2005-05-04,11.688,11.948,11.608,11.935,202722,0
2005-05-05,11.932,12.457,11.911,12.235,304376,0
2005-05-06,12.361,12.361,12.01,12.01,78558,0
2005-05-09,12.064,12.404,11.864,12.404,110672,0
2005-05-10,12.404,12.404,11.895,12.142,104835,0
2005-05-11,12.296,12.301,11.926,12.243,57602,0
2005-05-12,12.243,12.324,11.559,11.571,84512,0
2005-05-13,11.565,11.614,11.439,11.522,138184,0
2005-05-16,11.654,11.911,11.559,11.905,94756,0
2005-05-17,11.747,12.021,11.538,11.939,133038,0
2005-05-18,12.071,12.388,11.963,12.351,214332,0
2005-05-19,12.41,12.626,12.246,12.564,71438,0
2005-05-20,12.626,12.626,12.262,12.438,55890,0
2005-05-23,12.454,12.746,12.398,12.623,88360,0
2005-05-24,12.755,12.755,12.299,12.419,120386,0
2005-05-25,12.355,12.463,11.948,12.201,160566,0
2005-05-26,12.201,12.487,12.142,12.29,111573,0
2005-05-27,12.29,12.373,12.136,12.314,41099,0
2005-05-31,12.314,12.457,12.246,12.271,96811,0
2005-06-01,12.364,12.641,12.314,12.641,153844,0
2005-06-02,12.502,12.599,12.301,12.521,62239,0
2005-06-03,12.728,12.728,12.373,12.515,120838,0
2005-06-06,12.548,12.608,12.299,12.608,156233,0
2005-06-07,12.641,12.928,12.414,12.746,227912,0
2005-06-08,12.619,12.91,12.619,12.666,86781,0
2005-06-09,12.783,12.783,12.407,12.724,50177,0
2005-06-10,12.795,12.795,12.422,12.422,101340,0
2005-06-13,12.483,12.67,12.471,12.611,60091,0
2005-06-14,12.524,12.767,12.487,12.567,131962,0
2005-06-15,12.645,12.645,12.391,12.493,234707,0
2005-06-16,12.483,12.946,12.454,12.946,115981,0
2005-06-17,12.123,12.916,12.043,12.608,405020,0
2005-06-20,12.561,12.925,12.561,12.783,166722,0
2005-06-21,12.817,12.983,12.734,12.891,74138,0
2005-06-22,12.937,13.214,12.542,13.138,81936,0
2005-06-23,12.873,12.913,12.46,12.576,284703,0
2005-06-24,12.546,12.546,12.33,12.466,266875,0
2005-06-27,12.435,12.567,12.265,12.327,120088,0
2005-06-28,12.419,12.626,12.391,12.53,128784,0
2005-06-29,12.611,12.66,12.474,12.66,129431,0
2005-06-30,12.761,12.78,12.663,12.78,122088,0
2005-07-01,12.799,12.873,12.41,12.802,173016,0
2005-07-05,12.873,13.258,12.873,13.255,132993,0
2005-07-06,13.258,13.258,12.737,12.78,105715,0
2005-07-07,12.654,13.135,12.518,13.126,64770,0
2005-07-08,13.126,13.384,12.962,13.384,142930,0
2005-07-11,13.317,14.605,13.317,13.982,396261,0
2005-07-12,14.183,14.905,14.084,14.664,535256,0
2005-07-13,14.759,14.759,14.365,14.639,246024,0
2005-07-14,14.608,14.754,14.27,14.395,302230,0
2005-07-15,14.232,14.677,13.992,14.577,155784,0
2005-07-18,14.688,14.688,14.251,14.309,243342,0
2005-07-19,14.359,14.711,14.352,14.451,305093,0
2005-07-20,14.38,14.623,14.121,14.599,344700,0
2005-07-21,14.568,14.747,13.967,14.148,290521,0
2005-07-22,14.192,14.981,14.14,14.981,260719,0
2005-07-25,14.984,15.009,14.602,14.777,191565,0
2005-07-26,14.926,15.055,14.735,15.028,193541,0
2005-07-27,15.049,15.327,14.917,15.262,215245,0
2005-07-28,15.225,15.432,15.225,15.432,221771,0
2005-07-29,15.315,15.429,15.043,15.401,155811,0
2005-08-01,15.348,15.398,15.167,15.302,235110,0
2005-08-02,15.34,15.487,15.262,15.417,369830,0
2005-08-03,15.508,15.614,15.286,15.333,397508,0
2005-08-04,15.296,15.552,15.256,15.413,228328,0
2005-08-05,15.417,15.417,14.963,15.225,319056,0
2005-08-08,15.225,15.49,14.781,15.037,325636,0
2005-08-09,14.892,15.82,14.892,15.392,424391,0
2005-08-10,15.453,15.983,15.231,15.54,372523,0
2005-08-11,15.432,15.879,15.432,15.666,223214,0
2005-08-12,15.589,15.79,15.237,15.343,304969,0
2005-08-15,15.42,16.137,15.327,15.885,232522,0
2005-08-16,15.903,15.903,15.265,15.311,257217,0
2005-08-17,15.373,15.432,14.993,14.999,185861,0
2005-08-18,14.987,15.129,14.864,15.129,127645,0
2005-08-19,15.092,15.41,14.976,15.218,205877,0
2005-08-22,15.296,15.37,15.12,15.21,115655,0
2005-08-23,15.21,15.243,14.932,15.002,106188,0
2005-08-24,15.04,15.758,15.009,15.28,339545,0
2005-08-25,15.283,15.961,15.283,15.749,197003,0
2005-08-26,15.746,15.746,15.024,15.262,247702,0
2005-08-29,15.265,15.786,14.939,15.702,208128,0
2005-08-30,15.78,15.805,15.352,15.761,244077,0
2005-08-31,15.867,16.958,15.74,16.782,751820,0
2005-09-01,16.955,17.004,16.6,16.84,513697,0
2005-09-02,16.924,16.964,16.585,16.853,224326,0
2005-09-06,16.853,17.948,16.853,17.948,720047,0
2005-09-07,17.959,18.182,17.531,17.864,426084,0
2005-09-08,17.787,17.808,17.026,17.383,410757,0
2005-09-09,17.381,17.683,17.198,17.343,349895,0
2005-09-12,17.42,17.775,17.264,17.455,372050,0
2005-09-13,17.386,17.559,17.277,17.498,347496,0
2005-09-14,17.361,17.574,17.171,17.331,217990,0
2005-09-15,17.325,17.325,17.01,17.047,322897,0
2005-09-16,17.183,17.423,16.921,17.371,669369,0
2005-09-19,17.464,17.571,17.266,17.519,263108,0
2005-09-20,17.685,17.717,17.038,17.22,360869,0
2005-09-21,17.133,17.451,17.056,17.161,223603,0
2005-09-22,17.252,17.592,17.01,17.266,481062,0
2005-09-23,17.306,17.867,17.183,17.749,320348,0
2005-09-26,17.883,18.644,17.883,18.447,723419,0
2005-09-27,18.502,18.502,17.695,17.731,743790,0
2005-09-28,17.731,17.762,17.303,17.414,482619,0
2005-09-29,17.574,17.646,17.476,17.574,1519495,0
2005-09-30,17.701,17.775,17.436,17.673,401537,0
2005-10-03,17.808,17.962,17.636,17.729,518834,0
2005-10-04,17.843,17.926,17.5,17.583,219252,0
2005-10-05,17.599,17.599,16.89,16.936,321177,0
2005-10-06,16.88,17.09,15.977,16.342,452353,0
2005-10-07,16.523,16.934,16.495,16.608,207429,0
2005-10-10,16.874,16.874,16.255,16.653,436679,0
2005-10-11,17.252,17.266,16.248,16.345,416192,0
2005-10-12,16.345,16.583,15.977,16.184,388866,0
2005-10-13,16.184,16.268,15.521,15.842,753188,0
2005-10-14,15.851,16.23,15.664,16.083,436034,0
2005-10-17,16.042,16.258,15.814,16.147,315904,0
2005-10-18,16.187,16.193,15.885,15.903,480772,0
2005-10-19,15.77,16.427,15.54,16.342,301097,0
2005-10-20,16.424,16.424,16.058,16.23,406906,0
2005-10-21,16.15,16.65,16.039,16.295,267640,0
2005-10-24,16.563,17.274,16.548,17.27,542822,0
2005-10-25,17.266,17.266,16.745,17.196,298910,0
2005-10-26,17.252,17.349,16.815,16.998,246861,0
2005-10-27,17.068,17.18,16.761,16.78,325483,0
2005-10-28,16.862,17.186,16.665,17.087,381774,0
2005-10-31,17.239,17.479,16.958,17.062,431719,0
2005-11-01,17.106,17.331,16.748,17.284,381189,0
2005-11-02,17.177,18.148,17.168,17.917,402838,0
2005-11-03,18.164,18.305,17.655,17.796,307449,0
2005-11-04,17.618,17.83,17.343,17.83,198290,0
2005-11-07,17.917,17.933,17.743,17.895,183306,0
2005-11-08,17.266,17.479,17.118,17.399,467256,0
2005-11-09,17.315,17.944,17.315,17.746,179283,0
2005-11-10,17.734,17.821,17.309,17.759,470868,0
2005-11-11,17.849,17.904,17.695,17.843,368609,0
2005-11-14,18.034,18.126,17.673,17.889,416681,0
2005-11-15,17.765,18.224,17.596,17.596,582989,0
2005-11-16,17.714,17.944,17.445,17.492,261288,0
2005-11-17,17.515,17.746,17.405,17.596,687210,0
2005-11-18,17.596,17.858,17.502,17.775,380038,0
2005-11-21,17.874,18.718,17.765,18.623,1020427,0
2005-11-22,18.484,18.767,18.308,18.407,347740,0
2005-11-23,18.521,18.58,18.262,18.364,199462,0
2005-11-25,18.632,18.632,18.158,18.176,72514,0
2005-11-28,18.037,18.218,17.543,17.565,422357,0
2005-11-29,17.762,17.852,17.47,17.553,340732,0
2005-11-30,17.553,17.855,17.266,17.717,424677,0
2005-12-01,18.055,18.425,17.717,18.265,538558,0
2005-12-02,18.345,18.414,18.13,18.271,352631,0
2005-12-05,18.345,19.021,18.308,18.465,540607,0
2005-12-06,17.489,17.849,17.448,17.615,712345,0
2005-12-07,17.74,17.796,17.42,17.549,647265,0
2005-12-08,17.464,17.88,17.334,17.455,431406,0
2005-12-09,17.608,17.633,17.423,17.506,427241,0
2005-12-12,17.63,17.726,17.374,17.549,515453,0
2005-12-13,17.442,17.867,17.442,17.734,317459,0
2005-12-14,17.803,17.936,17.646,17.711,395637,0
2005-12-15,17.849,17.904,17.133,17.565,516719,0
2005-12-16,17.698,17.833,17.39,17.392,582854,0
2005-12-19,17.556,17.624,17.358,17.417,267944,0
2005-12-20,17.396,17.957,17.396,17.578,682705,0
2005-12-21,17.749,17.818,17.512,17.574,222389,0
2005-12-22,17.692,17.729,17.473,17.574,626372,0
2005-12-23,17.574,17.574,17.512,17.571,73876,0
2005-12-27,17.58,17.704,17.09,17.158,213009,0
2005-12-28,17.158,17.158,16.81,17.032,218879,0
2005-12-29,17.142,17.442,16.917,17.13,247500,0
2005-12-30,17.142,17.142,16.764,17.035,389427,0
2006-01-03,17.059,17.386,16.461,17.236,539839,0
2006-01-04,17.34,17.589,17.133,17.374,359061,0
2006-01-05,17.502,17.571,17.248,17.509,170503,0
2006-01-06,17.633,17.689,17.242,17.556,166164,0
2006-01-09,17.498,17.708,17.343,17.381,304713,0
2006-01-10,17.22,17.605,16.961,17.574,342718,0
2006-01-11,17.543,17.589,17.343,17.574,252387,0
2006-01-12,17.451,17.679,17.346,17.652,222169,0
2006-01-13,17.377,17.592,17.346,17.392,198257,0
2006-01-17,17.312,17.633,17.266,17.426,278903,0
2006-01-18,17.252,17.667,17.081,17.112,365931,0
2006-01-19,17.083,17.248,16.995,17.062,343299,0
2006-01-20,17.196,17.196,16.733,16.767,216543,0
2006-01-23,16.884,17.032,16.739,16.788,340310,0
2006-01-24,16.782,17.439,16.782,17.272,333088,0
2006-01-25,17.392,17.414,17.01,17.266,332027,0
2006-01-26,17.297,17.99,17.274,17.933,269065,0
2006-01-27,18.024,18.024,17.729,17.867,197046,0
2006-01-30,17.867,17.867,17.685,17.787,264316,0
2006-01-31,17.759,17.827,17.439,17.658,722005,0
2006-02-01,17.509,17.667,17.3,17.451,297988,0
2006-02-02,17.574,17.574,16.914,16.958,313614,0
2006-02-03,16.89,17.315,16.89,16.93,739789,0
2006-02-06,17.121,17.843,16.914,17.729,588771,0
2006-02-07,18.037,18.918,17.944,18.173,941044,0
2006-02-08,18.337,18.337,17.765,18.015,712764,0
2006-02-09,17.975,18.083,17.502,17.639,843479,0
2006-02-10,17.531,17.981,17.374,17.981,681093,0
2006-02-13,18.142,18.327,17.849,18.302,600161,0
2006-02-14,18.367,18.922,18.268,18.639,660411,0
2006-02-15,18.487,19.039,18.487,18.893,644442,0
2006-02-16,19.076,19.255,18.796,18.968,439258,0
2006-02-17,19.045,19.101,18.764,19.03,289015,0
2006-02-21,19.116,19.224,18.542,18.808,280081,0
2006-02-22,18.879,19.076,18.601,18.836,355819,0
2006-02-23,18.839,18.884,18.656,18.811,326420,0
2006-02-24,18.796,19.162,18.728,19.162,349449,0
2006-02-27,19.116,19.68,19.067,19.233,692869,0
2006-02-28,19.249,19.249,18.896,19.064,301134,0
2006-03-01,19.064,19.353,19.002,19.31,201403,0
2006-03-02,19.156,19.406,19.137,19.347,285453,0
2006-03-03,19.199,19.409,18.99,19.027,298804,0
2006-03-06,19.008,19.122,18.568,18.715,365084,0
2006-03-07,18.808,19.018,18.453,18.487,548137,0
2006-03-08,18.425,18.568,18.224,18.465,246684,0
2006-03-09,18.586,18.786,18.379,18.681,206570,0
2006-03-10,18.749,19.301,18.642,19.292,241130,0
2006-03-13,19.34,19.393,19.171,19.249,456640,0
2006-03-14,19.168,19.548,19.018,19.332,218149,0
2006-03-15,19.427,19.724,19.34,19.671,232103,0
2006-03-16,19.733,19.899,19.489,19.68,201460,0
2006-03-17,19.73,19.776,19.403,19.455,633215,0
2006-03-20,19.455,19.498,19.15,19.224,290762,0
2006-03-21,19.208,19.533,19.079,19.227,401588,0
2006-03-22,19.095,19.624,18.899,19.569,158068,0
2006-03-23,19.569,19.634,19.365,19.591,228939,0
2006-03-24,19.68,19.853,19.542,19.794,123107,0
2006-03-27,19.794,20.022,19.521,19.862,116430,0
2006-03-28,19.794,19.918,19.443,19.498,106893,0
2006-03-29,19.501,19.815,19.368,19.736,235713,0
2006-03-30,19.751,19.955,19.443,19.649,125584,0
2006-03-31,19.809,19.992,19.524,19.575,246726,0
2006-04-03,19.637,20.087,19.4,19.421,383988,0
2006-04-04,19.359,20.207,19.359,20.087,459202,0
2006-04-05,20.207,20.377,20.109,20.293,227484,0
2006-04-06,20.196,20.436,20.137,20.189,159324,0
2006-04-07,20.355,20.355,19.788,19.979,119250,0
2006-04-10,20.081,20.155,19.846,20.131,263515,0
2006-04-11,20.106,20.233,19.415,19.624,256253,0
2006-04-12,19.683,20.245,19.511,20.245,269107,0
2006-04-13,20.242,20.242,19.563,20.028,502473,0
2006-04-17,20.112,20.3,19.424,19.718,595030,0
2006-04-18,21.2,22.446,20.862,22.052,2054462,0
2006-04-19,22.055,22.766,21.875,22.538,1028924,0
2006-04-20,22.538,22.949,22.406,22.705,483014,0
2006-04-21,22.97,23.025,22.307,22.412,615971,0
2006-04-24,22.514,22.628,22.205,22.267,580600,0
2006-04-25,22.415,22.415,21.86,22.258,392609,0
2006-04-26,22.415,22.908,22.283,22.307,496435,0
2006-04-27,22.187,23.013,22.181,22.696,743362,0
2006-04-28,22.794,23.399,22.603,23.053,598115,0
2006-05-01,23.229,24.169,23.201,23.457,815508,0
2006-05-02,23.596,23.984,23.201,23.716,549116,0
2006-05-03,23.883,24.234,23.531,24.234,473339,0
2006-05-04,24.271,24.474,23.534,23.935,529892,0
2006-05-05,24.049,24.687,23.834,24.653,532643,0
2006-05-08,24.462,24.752,24.253,24.45,352622,0
2006-05-09,24.496,24.506,24.237,24.296,237379,0
2006-05-10,24.225,24.49,24.055,24.231,353233,0
2006-05-11,24.249,24.324,23.105,23.488,953940,0
2006-05-12,23.352,23.352,22.267,22.508,673289,0
2006-05-15,22.316,22.69,21.583,22.471,627837,0
2006-05-16,22.471,22.816,22.35,22.6,435657,0
2006-05-17,22.446,22.637,21.89,22.205,622320,0
2006-05-18,22.277,22.569,21.315,21.611,567960,0
2006-05-19,21.614,22.091,21.404,22.088,465002,0
2006-05-22,22.085,22.085,20.103,20.337,1355636,0
2006-05-23,20.427,20.744,20.18,20.223,352486,0
2006-05-24,20.099,20.377,19.292,20.275,719495,0
2006-05-25,20.349,21.093,20.349,21.09,570301,0
2006-05-26,21.123,21.296,20.935,21.265,300859,0
2006-05-30,21.08,21.12,20.309,20.325,470724,0
2006-05-31,20.359,20.581,19.973,20.265,533415,0
2006-06-01,20.322,21.037,20.3,20.993,658055,0
2006-06-02,21.114,21.268,20.475,20.8,319773,0
2006-06-05,20.703,20.8,19.733,19.921,820206,0
2006-06-06,20.017,20.017,18.999,19.397,584770,0
2006-06-07,19.53,19.846,19.122,19.409,591453,0
2006-06-08,19.227,19.338,18.382,19.039,611225,0
2006-06-09,19.258,19.403,18.623,18.829,597419,0
2006-06-12,18.728,19.079,17.889,18.518,1102360,0
2006-06-13,18.629,18.644,18.043,18.083,702179,0
2006-06-14,18.037,18.512,18.037,18.176,792952,0
2006-06-15,18.259,19.055,17.92,18.879,877922,0
2006-06-16,18.879,18.896,18.268,18.478,1344494,0
2006-06-19,18.562,18.715,18.117,18.414,879679,0
2006-06-20,18.364,18.802,18.296,18.296,834196,0
2006-06-21,18.296,18.842,18.194,18.725,776766,0
2006-06-22,18.568,18.761,18.327,18.672,1140135,0
2006-06-23,18.589,18.915,18.515,18.703,466454,0
2006-06-26,18.808,19.168,18.743,19.101,785639,0
2006-06-27,19.205,19.578,18.823,18.915,603894,0
2006-06-28,18.915,19.064,18.592,18.694,392329,0
2006-06-29,18.845,19.415,18.845,19.415,738511,0
2006-06-30,19.634,19.634,19.211,19.34,716886,0
2006-07-03,19.378,19.761,19.261,19.761,229638,0
2006-07-05,19.569,19.73,18.845,19.465,452772,0
2006-07-06,19.542,19.783,19.489,19.631,502663,0
2006-07-07,19.631,19.773,19.137,19.178,405903,0
2006-07-10,19.156,19.289,18.946,19.143,486458,0
2006-07-11,19.067,19.171,18.672,19.058,608595,0
2006-07-12,19.058,19.14,18.533,18.568,662078,0
2006-07-13,18.395,18.74,18.114,18.317,592508,0
2006-07-14,18.358,18.358,17.439,17.704,649049,0
2006-07-17,17.673,17.962,17.392,17.602,788074,0
2006-07-18,17.266,17.297,15.604,15.777,2611716,0
2006-07-19,15.758,16.905,15.62,16.357,1843417,0
2006-07-20,16.449,16.905,15.204,15.269,1408058,0
2006-07-21,15.221,15.536,14.818,15.477,906339,0
2006-07-24,15.61,16.171,15.477,16.033,1167383,0
2006-07-25,15.996,16.329,15.641,15.934,969129,0
2006-07-26,15.906,15.999,15.651,15.823,1079990,0
2006-07-27,15.958,16.43,15.533,15.545,547368,0
