Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-03,16:00:00,23.038,23.038,22.431,22.431,874,0
2017-05-03,17:00:00,22.431,22.458,22.368,22.392,7439,0
2017-05-03,18:00:00,22.411,22.469,22.286,22.286,4483,0
2017-05-03,19:00:00,22.276,22.335,22.2,22.249,8130,0
2017-05-03,20:00:00,22.249,22.325,22.249,22.249,2934,0
2017-05-03,21:00:00,22.275,22.296,22.249,22.265,757,0
2017-05-03,22:00:00,22.286,22.344,22.286,22.316,17623,0
2017-05-04,16:00:00,22.057,22.057,22.026,22.026,1705,0
2017-05-04,17:00:00,22.008,22.018,21.931,21.931,1553,0
2017-05-04,18:00:00,21.864,21.888,21.614,21.614,2189,0
2017-05-04,19:00:00,21.634,21.634,21.603,21.62,2929,0
2017-05-04,20:00:00,21.682,21.682,21.65,21.65,208,0
2017-05-04,21:00:00,21.759,21.788,21.746,21.769,1547,0
2017-05-04,22:00:00,21.788,21.797,21.614,21.614,14207,0
2017-05-05,16:00:00,21.769,21.769,21.769,21.769,104,0
2017-05-05,17:00:00,21.778,21.778,21.778,21.778,104,0
2017-05-05,18:00:00,21.931,21.948,21.924,21.924,1954,0
2017-05-05,19:00:00,21.899,21.95,21.873,21.95,2810,0
2017-05-05,20:00:00,21.98,22.018,21.962,22.018,53091,0
2017-05-05,21:00:00,22.013,22.047,22.008,22.047,36578,0
2017-05-05,22:00:00,22.037,22.172,22.037,22.142,18177,0
2017-05-08,16:00:00,22.133,22.258,22.133,22.258,5421,0
2017-05-08,17:00:00,22.209,22.209,22.133,22.133,1736,0
2017-05-08,18:00:00,22.065,22.095,22.013,22.075,6432,0
2017-05-08,20:00:00,22.142,22.162,22.142,22.152,11362,0
2017-05-08,21:00:00,22.162,22.162,22.127,22.161,1805,0
2017-05-08,22:00:00,22.189,22.229,22.189,22.229,15495,0
2017-05-09,16:00:00,22.2,22.2,22.018,22.018,1918,0
2017-05-09,17:00:00,21.995,22.05,21.99,22.05,7200,0
2017-05-09,18:00:00,21.99,21.998,21.977,21.977,3857,0
2017-05-09,19:00:00,21.96,21.99,21.95,21.95,4794,0
2017-05-09,20:00:00,21.893,21.924,21.84,21.924,12922,0
2017-05-09,21:00:00,21.936,21.936,21.928,21.931,14280,0
2017-05-09,22:00:00,21.95,21.95,21.921,21.95,2239,0
2017-05-10,16:00:00,22.209,22.209,22.209,22.209,201,0
2017-05-10,17:00:00,22.104,22.114,22.057,22.114,6158,0
2017-05-10,18:00:00,22.182,22.229,22.1,22.209,7451,0
2017-05-10,19:00:00,22.219,22.219,22.199,22.199,807,0
2017-05-10,20:00:00,22.23,22.276,22.23,22.249,3558,0
2017-05-10,21:00:00,22.276,22.28,22.249,22.249,9801,0
2017-05-10,22:00:00,22.249,22.286,22.249,22.276,3409,0
2017-05-11,17:00:00,22.152,22.152,22.092,22.092,1043,0
2017-05-11,18:00:00,22.218,22.218,22.214,22.214,1220,0
2017-05-11,19:00:00,22.162,22.162,22.162,22.162,104,0
2017-05-11,21:00:00,22.2,22.232,22.143,22.186,47592,0
2017-05-11,22:00:00,22.229,22.229,22.133,22.133,628,0
2017-05-12,16:00:00,22.008,22.172,22.008,22.172,521,0
2017-05-12,17:00:00,22.209,22.219,22.172,22.174,2774,0
2017-05-12,18:00:00,22.172,22.172,22.172,22.172,2261,0
2017-05-12,19:00:00,22.258,22.258,22.2,22.2,313,0
2017-05-12,20:00:00,22.2,22.2,22.179,22.179,18554,0
2017-05-12,21:00:00,22.258,22.267,22.207,22.209,10111,0
2017-05-12,22:00:00,22.188,22.258,22.162,22.258,12322,0
2017-05-15,16:00:00,22.097,22.478,22.097,22.478,834,0
2017-05-15,17:00:00,22.469,22.469,22.419,22.469,3809,0
2017-05-15,18:00:00,22.464,22.464,22.464,22.464,629,0
2017-05-15,19:00:00,22.459,22.488,22.353,22.353,3299,0
2017-05-15,20:00:00,22.399,22.435,22.357,22.435,1228,0
2017-05-15,21:00:00,22.325,22.325,22.32,22.32,397,0
2017-05-15,22:00:00,22.363,22.392,22.316,22.325,6875,0
2017-05-16,16:00:00,22.267,22.373,22.267,22.363,584,0
2017-05-16,17:00:00,22.344,22.353,22.301,22.344,3283,0
2017-05-16,18:00:00,22.344,22.363,22.344,22.353,2623,0
2017-05-16,19:00:00,22.353,22.382,22.316,22.373,7829,0
2017-05-16,20:00:00,22.306,22.33,22.286,22.306,20055,0
2017-05-16,21:00:00,22.286,22.306,22.229,22.267,1491,0
2017-05-16,22:00:00,22.229,22.306,22.162,22.162,13241,0
2017-05-17,16:00:00,22.306,22.306,22.172,22.182,3909,0
2017-05-17,17:00:00,21.947,22.047,21.947,22.027,11387,0
2017-05-17,18:00:00,22.038,22.103,22.038,22.057,13161,0
2017-05-17,19:00:00,22.008,22.019,22.008,22.008,2043,0
2017-05-17,20:00:00,21.982,21.982,21.94,21.94,742,0
2017-05-17,21:00:00,21.923,21.923,21.846,21.857,3800,0
2017-05-17,22:00:00,21.853,21.885,21.846,21.846,10990,0
2017-05-18,16:00:00,21.663,21.663,21.644,21.644,1191,0
