Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-23,16:00:00,54.437,54.437,54.104,54.104,327,0
2016-11-23,19:00:00,53.981,54.065,53.981,54.065,517,0
2016-11-23,20:00:00,54.009,54.074,54.009,54.028,793,0
2016-11-23,21:00:00,53.899,53.899,53.899,53.899,148,0
2016-11-25,16:00:00,54.513,54.513,54.513,54.513,140,0
2016-11-25,17:00:00,54.623,54.623,54.623,54.623,108,0
2016-11-25,19:00:00,54.645,54.645,54.645,54.645,108,0
2016-11-28,16:00:00,54.084,54.084,54.084,54.084,239,0
2016-11-28,17:00:00,54.829,54.829,54.77,54.77,791,0
2016-11-28,18:00:00,54.838,54.838,54.838,54.838,108,0
2016-11-28,21:00:00,55.019,55.019,54.968,54.977,1286,0
2016-11-28,22:00:00,54.923,54.99,54.923,54.96,323,0
2016-11-29,16:00:00,54.538,54.585,54.411,54.419,1084,0
2016-11-29,17:00:00,54.698,54.876,54.594,54.594,3874,0
2016-11-29,18:00:00,54.828,54.828,54.828,54.828,108,0
2016-11-29,19:00:00,54.856,54.856,54.69,54.69,323,0
2016-11-29,21:00:00,54.978,55.15,54.978,55.15,215,0
2016-11-29,22:00:00,54.896,54.896,54.784,54.784,750,0
2016-11-30,16:00:00,54.765,54.765,54.643,54.643,750,0
2016-11-30,17:00:00,54.876,54.876,54.876,54.876,215,0
2016-11-30,18:00:00,54.942,54.976,54.942,54.976,1196,0
2016-11-30,21:00:00,54.483,54.483,54.483,54.483,178,0
2016-11-30,22:00:00,54.458,54.458,54.458,54.458,108,0
2016-12-01,16:00:00,53.972,53.982,53.972,53.982,1611,0
2016-12-01,17:00:00,54.355,54.429,54.304,54.355,1448,0
2016-12-01,19:00:00,53.982,53.982,53.982,53.982,215,0
2016-12-01,22:00:00,53.99,53.99,53.804,53.804,304,0
2016-12-02,17:00:00,54.476,54.492,54.476,54.478,1286,0
2016-12-02,19:00:00,54.279,54.279,54.184,54.184,2898,0
2016-12-02,22:00:00,54.394,54.394,54.394,54.394,460,0
2016-12-05,16:00:00,55.024,55.024,54.607,54.794,9704,0
2016-12-05,17:00:00,54.755,54.95,54.689,54.689,3647,0
2016-12-05,18:00:00,54.716,54.716,54.671,54.689,1502,0
2016-12-05,19:00:00,54.648,54.651,54.576,54.576,1932,0
2016-12-05,21:00:00,54.716,54.716,54.716,54.716,3540,0
2016-12-05,22:00:00,54.856,55.005,54.856,55.005,2337,0
2016-12-06,16:00:00,54.95,54.95,54.904,54.904,215,0
2016-12-06,17:00:00,55.02,55.02,54.998,54.998,750,0
2016-12-06,18:00:00,55.024,55.024,54.843,54.843,2518,0
2016-12-06,19:00:00,55.005,55.044,55.005,55.044,481,0
2016-12-06,20:00:00,55.199,55.22,55.099,55.22,2110,0
2016-12-06,21:00:00,55.23,55.415,55.129,55.129,2521,0
2016-12-06,22:00:00,55.22,55.22,55.22,55.22,215,0
2016-12-07,16:00:00,54.876,55.398,54.876,55.339,1181,0
2016-12-07,17:00:00,55.455,55.455,55.455,55.455,108,0
2016-12-07,18:00:00,55.539,55.818,55.505,55.818,3217,0
2016-12-07,19:00:00,55.761,55.844,55.686,55.844,1411,0
2016-12-07,20:00:00,55.873,56.385,55.873,56.245,9119,0
2016-12-07,21:00:00,56.254,56.254,56.157,56.157,215,0
2016-12-07,22:00:00,56.442,56.591,56.405,56.413,536,0
2016-12-08,16:00:00,56.851,56.851,56.385,56.385,434,0
2016-12-08,17:00:00,56.47,56.47,56.413,56.413,750,0
2016-12-08,18:00:00,56.489,56.649,56.489,56.618,3917,0
2016-12-08,19:00:00,56.71,57.019,56.71,57.019,1319,0
2016-12-08,20:00:00,57.029,57.169,57.029,57.112,536,0
2016-12-08,21:00:00,57.14,57.14,56.963,56.963,1286,0
2016-12-08,22:00:00,56.973,57.103,55.089,56.861,18415,0
2016-12-09,16:00:00,56.885,57.156,56.885,57.147,3035,0
2016-12-09,17:00:00,57.187,57.25,57.09,57.25,637,0
2016-12-09,18:00:00,57.225,57.225,57.082,57.09,1703,0
2016-12-09,20:00:00,57.04,57.097,57.04,57.097,809,0
2016-12-09,21:00:00,57.111,57.111,57.111,57.111,107,0
2016-12-09,22:00:00,57.363,57.363,57.363,57.363,531,0
2016-12-12,16:00:00,57.569,57.569,57.372,57.543,3449,0
2016-12-12,17:00:00,57.627,57.776,57.377,57.495,4322,0
2016-12-12,19:00:00,57.213,57.353,57.213,57.347,333,0
2016-12-12,21:00:00,57.25,57.318,57.157,57.157,745,0
2016-12-12,22:00:00,57.294,57.373,57.281,57.364,1092,0
2016-12-13,17:00:00,57.533,57.759,57.508,57.606,1767,0
2016-12-13,20:00:00,57.945,57.945,57.945,57.945,107,0
2016-12-13,22:00:00,57.917,57.93,57.917,57.93,637,0
2016-12-14,16:00:00,58.003,58.048,57.796,58.048,7558,0
2016-12-14,18:00:00,57.702,57.702,57.702,57.702,212,0
2016-12-14,21:00:00,57.722,57.722,57.267,57.318,1438,0
2016-12-14,22:00:00,56.668,56.668,56.668,56.668,212,0
2016-12-15,17:00:00,57.182,57.182,57.182,57.182,107,0
2016-12-15,18:00:00,57.187,57.28,56.996,56.996,1556,0
2016-12-15,19:00:00,57.09,57.09,56.988,56.988,2882,0
2016-12-15,20:00:00,56.988,57.109,56.81,56.81,600,0
2016-12-16,16:00:00,57.137,57.137,57.137,57.137,107,0
2016-12-16,20:00:00,57.339,57.349,57.248,57.248,1064,0
2016-12-16,21:00:00,57.232,57.232,57.232,57.232,107,0
2016-12-16,22:00:00,57.232,57.232,57.232,57.232,107,0
2016-12-19,16:00:00,57.618,57.722,57.618,57.717,1109,0
2016-12-19,17:00:00,57.289,57.289,57.255,57.255,212,0
2016-12-19,18:00:00,57.382,57.382,57.272,57.272,321,0
2016-12-19,19:00:00,57.438,57.438,57.438,57.438,107,0
2016-12-19,20:00:00,57.401,57.408,57.401,57.408,267,0
2016-12-19,21:00:00,57.404,57.404,57.404,57.404,212,0
2016-12-19,22:00:00,57.391,57.435,57.391,57.435,967,0
2016-12-20,16:00:00,57.842,57.842,57.842,57.842,109,0
2016-12-20,18:00:00,58.073,58.085,57.913,57.913,1091,0
2016-12-20,20:00:00,57.993,57.993,57.993,57.993,107,0
2016-12-21,16:00:00,58.078,58.078,58.078,58.078,201,0
2016-12-21,17:00:00,58.176,58.253,58.096,58.096,1071,0
2016-12-21,18:00:00,58.083,58.083,58.083,58.083,530,0
2016-12-21,19:00:00,58.143,58.143,58.087,58.087,321,0
2016-12-21,21:00:00,58.021,58.021,58.012,58.012,346,0
2016-12-22,17:00:00,57.495,57.495,57.495,57.495,157,0
2016-12-22,18:00:00,57.299,57.321,57.205,57.299,1703,0
2016-12-22,19:00:00,57.177,57.457,57.177,57.457,478,0
2016-12-23,17:00:00,57.429,57.429,57.429,57.429,137,0
2016-12-23,18:00:00,57.44,57.44,57.44,57.44,157,0
2016-12-23,20:00:00,57.25,57.283,57.25,57.283,267,0
2016-12-27,17:00:00,57.685,57.685,57.599,57.609,2236,0
2016-12-27,22:00:00,57.925,57.925,57.76,57.76,637,0
2016-12-28,16:00:00,57.533,57.618,57.533,57.614,425,0
2016-12-28,18:00:00,57.27,57.27,57.27,57.27,190,0
2016-12-28,19:00:00,57.157,57.157,57.157,57.157,212,0
2016-12-28,21:00:00,56.829,56.829,56.829,56.829,321,0
2016-12-28,22:00:00,56.829,56.829,56.829,56.829,212,0
2016-12-29,18:00:00,56.864,56.864,56.864,56.864,257,0
2016-12-29,19:00:00,56.912,56.912,56.912,56.912,575,0
2016-12-29,20:00:00,57.013,57.013,57.013,57.013,172,0
2016-12-29,21:00:00,57.086,57.086,57.086,57.086,157,0
2016-12-29,22:00:00,57.016,57.101,57.016,57.082,1064,0
2016-12-30,18:00:00,57.006,57.081,57.006,57.081,453,0
2016-12-30,19:00:00,57.069,57.069,57.069,57.069,267,0
2016-12-30,20:00:00,56.894,56.894,56.894,56.894,107,0
2016-12-30,21:00:00,56.767,56.767,56.373,56.604,7840,0
2016-12-30,22:00:00,56.594,56.594,56.594,56.594,531,0
2017-01-03,16:00:00,57.533,57.533,57.157,57.25,3145,0
2017-01-03,17:00:00,57.327,57.327,57.327,57.327,147,0
2017-01-03,18:00:00,56.875,56.999,56.8,56.999,559,0
2017-01-03,19:00:00,56.943,56.943,56.943,56.943,107,0
2017-01-03,21:00:00,56.885,56.943,56.81,56.943,1064,0
2017-01-03,22:00:00,57.186,57.186,57.186,57.186,107,0
2017-01-04,16:00:00,57.299,57.299,57.299,57.299,212,0
