Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-20,16:00:00,28.13,28.229,28.13,28.229,438,0
2017-01-20,17:00:00,28.288,28.288,28.15,28.15,959,0
2017-01-20,19:00:00,28.14,28.14,28.101,28.101,4603,0
2017-01-20,20:00:00,28.16,28.314,28.148,28.16,9866,0
2017-01-20,21:00:00,28.236,28.236,28.236,28.236,107,0
2017-01-20,22:00:00,28.287,28.287,28.287,28.287,1409,0
2017-01-23,17:00:00,28.274,28.274,28.274,28.274,1183,0
2017-01-23,18:00:00,28.418,28.418,28.418,28.418,604,0
2017-01-23,20:00:00,28.402,28.402,28.402,28.402,152,0
2017-01-23,21:00:00,28.478,28.521,28.408,28.521,2202,0
2017-01-23,22:00:00,28.627,28.657,28.595,28.657,794,0
2017-01-24,18:00:00,28.736,28.736,28.627,28.627,206,0
2017-01-24,19:00:00,28.749,28.749,28.749,28.749,174,0
2017-01-24,21:00:00,28.716,28.716,28.716,28.716,584,0
2017-01-24,22:00:00,28.663,28.663,28.663,28.663,1430,0
2017-01-25,17:00:00,28.758,28.758,28.758,28.758,101,0
2017-01-25,19:00:00,28.826,28.826,28.826,28.826,101,0
2017-01-25,20:00:00,28.75,28.75,28.75,28.75,272,0
2017-01-25,21:00:00,28.845,28.845,28.776,28.776,479,0
2017-01-26,16:00:00,28.726,28.726,28.687,28.687,14840,0
2017-01-26,17:00:00,28.754,28.766,28.706,28.706,1510,0
2017-01-26,18:00:00,28.706,28.731,28.706,28.706,9765,0
2017-01-26,19:00:00,28.634,28.634,28.634,28.634,631,0
2017-01-26,20:00:00,28.687,28.687,28.687,28.687,101,0
2017-01-26,21:00:00,28.777,28.777,28.777,28.777,415,0
2017-01-26,22:00:00,28.657,28.677,28.657,28.677,201,0
2017-01-27,19:00:00,28.677,28.677,28.677,28.677,149,0
2017-01-27,20:00:00,28.687,28.687,28.627,28.627,822,0
2017-01-27,21:00:00,28.627,28.627,28.627,28.627,1812,0
2017-01-30,16:00:00,28.498,28.597,28.498,28.597,591,0
2017-01-30,18:00:00,28.635,28.635,28.635,28.635,151,0
2017-01-30,19:00:00,28.657,28.657,28.657,28.657,130,0
2017-01-30,20:00:00,28.618,28.618,28.618,28.618,302,0
2017-01-30,21:00:00,28.575,28.575,28.575,28.575,146,0
2017-01-30,22:00:00,28.605,28.656,28.597,28.656,557,0
2017-01-31,16:00:00,28.855,28.855,28.658,28.658,1857,0
2017-01-31,17:00:00,28.607,28.626,28.607,28.617,1270,0
2017-01-31,18:00:00,28.597,28.597,28.597,28.597,201,0
2017-01-31,19:00:00,28.567,28.567,28.557,28.557,544,0
2017-01-31,20:00:00,28.537,28.537,28.537,28.537,155,0
2017-01-31,21:00:00,28.535,28.535,28.535,28.535,294,0
2017-01-31,22:00:00,28.552,28.552,28.537,28.541,1033,0
2017-02-01,16:00:00,28.508,28.508,28.508,28.508,4027,0
2017-02-01,17:00:00,28.585,28.585,28.585,28.585,302,0
2017-02-01,18:00:00,28.528,28.528,28.528,28.528,302,0
2017-02-01,19:00:00,28.518,28.518,28.508,28.508,491,0
2017-02-01,20:00:00,28.496,28.496,28.49,28.49,967,0
2017-02-01,21:00:00,28.458,28.569,28.458,28.569,201,0
2017-02-01,22:00:00,28.617,28.627,28.558,28.597,947,0
2017-02-02,16:00:00,28.557,28.607,28.557,28.607,3785,0
2017-02-02,17:00:00,28.781,28.781,28.781,28.781,151,0
2017-02-02,19:00:00,28.715,28.831,28.715,28.796,3729,0
2017-02-02,20:00:00,28.81,28.81,28.81,28.81,369,0
2017-02-02,21:00:00,28.806,28.831,28.806,28.831,604,0
2017-02-02,22:00:00,28.854,28.854,28.854,28.854,201,0
2017-02-03,17:00:00,28.925,28.925,28.925,28.925,104,0
2017-02-03,18:00:00,29.083,29.083,29.083,29.083,106,0
2017-02-03,19:00:00,28.985,28.985,28.985,28.985,127,0
2017-02-03,20:00:00,29.045,29.045,29.045,29.045,201,0
2017-02-03,21:00:00,29.028,29.028,28.984,29.002,706,0
2017-02-03,22:00:00,29.049,29.049,29.049,29.049,101,0
2017-02-06,18:00:00,28.935,28.935,28.905,28.905,503,0
2017-02-06,19:00:00,28.89,28.89,28.89,28.89,101,0
2017-02-06,20:00:00,28.86,28.86,28.86,28.86,403,0
2017-02-07,16:00:00,28.823,28.823,28.796,28.796,327,0
2017-02-07,17:00:00,28.847,28.847,28.847,28.847,101,0
2017-02-07,18:00:00,28.806,28.806,28.806,28.806,1409,0
2017-02-07,20:00:00,28.756,28.756,28.756,28.756,201,0
2017-02-07,21:00:00,28.799,28.852,28.779,28.852,876,0
2017-02-07,22:00:00,28.871,28.871,28.869,28.869,887,0
2017-02-08,18:00:00,29.064,29.064,29.064,29.064,403,0
2017-02-08,19:00:00,29.09,29.149,29.085,29.09,2250,0
2017-02-08,21:00:00,29.292,29.292,29.292,29.292,789,0
2017-02-09,18:00:00,29.278,29.307,29.265,29.297,966,0
2017-02-09,19:00:00,29.273,29.273,29.273,29.273,682,0
2017-02-09,20:00:00,29.255,29.255,29.255,29.255,705,0
2017-02-09,22:00:00,29.39,29.39,29.39,29.39,121,0
2017-02-10,16:00:00,29.467,29.501,29.467,29.501,503,0
2017-02-10,18:00:00,29.65,29.717,29.65,29.717,427,0
2017-02-10,19:00:00,29.745,29.745,29.745,29.745,599,0
2017-02-10,22:00:00,29.72,29.72,29.715,29.716,936,0
2017-02-13,16:00:00,29.67,29.78,29.67,29.78,1072,0
2017-02-13,17:00:00,29.749,29.799,29.74,29.769,1195,0
2017-02-13,18:00:00,29.779,29.779,29.779,29.779,183,0
2017-02-13,19:00:00,29.771,29.771,29.771,29.771,292,0
2017-02-13,20:00:00,29.918,29.928,29.903,29.903,3341,0
2017-02-13,21:00:00,29.874,29.874,29.874,29.874,166,0
2017-02-13,22:00:00,29.898,29.898,29.898,29.898,101,0
2017-02-14,17:00:00,29.67,29.67,29.62,29.62,503,0
2017-02-14,18:00:00,29.65,29.745,29.625,29.745,2431,0
2017-02-14,19:00:00,29.73,29.826,29.73,29.82,1136,0
2017-02-14,20:00:00,29.815,29.948,29.815,29.923,7132,0
2017-02-14,21:00:00,29.869,29.879,29.861,29.861,604,0
2017-02-14,22:00:00,29.849,29.849,29.849,29.849,101,0
2017-02-15,16:00:00,29.998,29.998,29.998,29.998,114,0
2017-02-15,17:00:00,29.938,29.938,29.938,29.938,302,0
2017-02-15,18:00:00,29.874,29.943,29.874,29.943,760,0
2017-02-15,19:00:00,30.035,30.035,30.035,30.035,166,0
2017-02-15,20:00:00,30.036,30.036,30.036,30.036,1450,0
2017-02-15,21:00:00,30.028,30.028,30.028,30.028,201,0
2017-02-15,22:00:00,30.079,30.079,30.013,30.017,1053,0
2017-02-16,16:00:00,29.885,29.998,29.885,29.998,726,0
2017-02-16,17:00:00,30.147,30.147,30.147,30.147,101,0
2017-02-16,18:00:00,30.04,30.047,30.028,30.028,983,0
2017-02-16,19:00:00,30.052,30.052,30.038,30.038,907,0
2017-02-16,20:00:00,30.018,30.018,30.018,30.018,401,0
2017-02-16,22:00:00,29.958,29.958,29.958,29.958,201,0
2017-02-17,16:00:00,29.809,29.809,29.799,29.799,604,0
2017-02-17,18:00:00,29.71,29.798,29.71,29.74,644,0
2017-02-17,19:00:00,29.849,29.849,29.849,29.849,101,0
2017-02-17,20:00:00,29.884,29.884,29.879,29.879,256,0
2017-02-17,21:00:00,29.971,29.971,29.971,29.971,101,0
2017-02-17,22:00:00,29.918,29.918,29.908,29.908,201,0
2017-02-21,16:00:00,30.246,30.246,30.117,30.127,4919,0
2017-02-21,17:00:00,29.97,29.97,29.97,29.97,201,0
2017-02-21,19:00:00,30.047,30.047,30.047,30.047,503,0
2017-02-21,20:00:00,30.057,30.078,30.057,30.078,352,0
2017-02-21,21:00:00,30.076,30.107,30.076,30.107,463,0
2017-02-21,22:00:00,30.129,30.134,30.129,30.134,661,0
2017-02-22,16:00:00,30.246,30.445,30.246,30.321,6616,0
2017-02-22,17:00:00,30.253,30.326,30.253,30.326,2084,0
2017-02-22,18:00:00,30.284,30.284,30.19,30.212,1918,0
2017-02-22,19:00:00,30.203,30.207,30.158,30.158,3644,0
2017-02-22,21:00:00,30.267,30.267,30.267,30.267,112,0
2017-02-22,22:00:00,30.267,30.267,30.267,30.267,176,0
2017-02-23,16:00:00,30.514,30.514,30.365,30.365,403,0
2017-02-23,17:00:00,30.365,30.365,30.186,30.186,2114,0
2017-02-23,21:00:00,30.138,30.138,30.104,30.104,921,0
2017-02-24,16:00:00,29.978,29.978,29.918,29.968,3583,0
2017-02-24,17:00:00,29.958,29.998,29.889,29.889,2013,0
2017-02-24,22:00:00,29.874,29.874,29.774,29.819,403,0
2017-02-27,16:00:00,29.859,29.859,29.859,29.859,1007,0
2017-02-27,18:00:00,29.829,29.829,29.829,29.829,604,0
2017-02-27,19:00:00,29.826,29.826,29.826,29.826,201,0
2017-02-27,21:00:00,29.784,29.784,29.784,29.784,201,0
2017-02-27,22:00:00,29.769,29.799,29.769,29.799,302,0
2017-02-28,17:00:00,29.878,29.878,29.878,29.878,101,0
2017-02-28,21:00:00,29.789,29.789,29.731,29.776,974,0
2017-02-28,22:00:00,29.779,29.779,29.689,29.689,1989,0
2017-03-01,16:00:00,30.147,30.147,30.002,30.087,1913,0
2017-03-01,17:00:00,30.028,30.082,30.028,30.082,403,0
2017-03-01,18:00:00,30.107,30.107,30.019,30.019,1107,0
2017-03-01,19:00:00,30.069,30.069,30.069,30.069,680,0
2017-03-01,20:00:00,30.158,30.158,30.08,30.08,1253,0
2017-03-01,21:00:00,30.097,30.177,30.088,30.177,2176,0
2017-03-01,22:00:00,30.121,30.121,30.121,30.121,151,0
2017-03-02,16:00:00,30.077,30.077,29.81,29.81,237,0
2017-03-02,17:00:00,29.958,29.958,29.803,29.803,306,0
2017-03-02,19:00:00,29.838,29.838,29.838,29.838,115,0
2017-03-02,21:00:00,29.764,29.839,29.731,29.839,604,0
2017-03-02,22:00:00,29.75,29.75,29.75,29.75,201,0
2017-03-03,16:00:00,30.117,30.117,30.117,30.117,167,0
2017-03-03,18:00:00,30.037,30.167,30.037,30.167,2416,0
2017-03-03,19:00:00,30.064,30.087,30.064,30.087,604,0
2017-03-03,21:00:00,30.257,30.257,30.257,30.257,201,0
2017-03-03,22:00:00,30.226,30.242,30.226,30.242,735,0
2017-03-06,20:00:00,30.178,30.246,30.178,30.179,1578,0
2017-03-06,22:00:00,30.157,30.157,30.127,30.127,433,0
2017-03-07,18:00:00,30.047,30.107,30.047,30.102,1405,0
2017-03-07,19:00:00,30.123,30.123,30.123,30.123,201,0
2017-03-07,20:00:00,30.118,30.118,30.117,30.117,604,0
2017-03-07,21:00:00,30.107,30.107,30.107,30.107,503,0
2017-03-08,16:00:00,30.246,30.246,30.246,30.246,298,0
