Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-17,16:00:00,24.324,24.403,24.265,24.275,69694,0
2017-05-17,17:00:00,24.264,24.373,24.259,24.343,89143,0
2017-05-17,18:00:00,24.343,24.393,24.343,24.373,78226,0
2017-05-17,19:00:00,24.365,24.373,24.34,24.343,30252,0
2017-05-17,20:00:00,24.333,24.333,24.295,24.314,19942,0
2017-05-17,21:00:00,24.324,24.337,24.295,24.324,35560,0
2017-05-17,22:00:00,24.314,24.327,24.245,24.255,68369,0
2017-05-18,16:00:00,24.196,24.216,24.03,24.078,17825,0
2017-05-18,17:00:00,24.09,24.206,24.09,24.168,19919,0
2017-05-18,18:00:00,24.193,24.236,24.167,24.225,21922,0
2017-05-18,19:00:00,24.213,24.227,24.19,24.196,11345,0
2017-05-18,20:00:00,24.206,24.206,24.146,24.164,14176,0
2017-05-18,21:00:00,24.196,24.255,24.186,24.226,60110,0
2017-05-18,22:00:00,24.222,24.265,24.202,24.226,45004,0
2017-05-19,16:00:00,24.285,24.333,24.262,24.323,6784,0
2017-05-19,17:00:00,24.334,24.461,24.304,24.461,41567,0
2017-05-19,18:00:00,24.461,24.52,24.431,24.52,15828,0
2017-05-19,19:00:00,24.52,24.53,24.481,24.52,77731,0
2017-05-19,20:00:00,24.509,24.549,24.481,24.549,19173,0
2017-05-19,21:00:00,24.542,24.559,24.5,24.539,159802,0
2017-05-19,22:00:00,24.53,24.53,24.487,24.5,26954,0
2017-05-22,16:00:00,24.736,24.736,24.506,24.598,20795,0
2017-05-22,17:00:00,24.586,24.616,24.485,24.506,13513,0
2017-05-22,18:00:00,24.498,24.51,24.471,24.476,14635,0
2017-05-22,19:00:00,24.48,24.606,24.461,24.606,48063,0
2017-05-22,20:00:00,24.618,24.726,24.549,24.625,84491,0
2017-05-22,21:00:00,24.658,24.73,24.628,24.657,92710,0
2017-05-22,22:00:00,24.674,24.736,24.578,24.716,26162,0
2017-05-23,16:00:00,24.736,24.738,24.668,24.697,20874,0
2017-05-23,17:00:00,24.721,24.762,24.706,24.744,33862,0
2017-05-23,18:00:00,24.752,24.79,24.752,24.781,21983,0
2017-05-23,19:00:00,24.786,24.8,24.765,24.784,15463,0
2017-05-23,20:00:00,24.774,24.793,24.773,24.774,18945,0
2017-05-23,21:00:00,24.774,24.803,24.765,24.779,27041,0
2017-05-23,22:00:00,24.784,24.794,24.745,24.745,37645,0
2017-05-24,16:00:00,24.774,24.843,24.774,24.843,9261,0
2017-05-24,17:00:00,24.843,24.911,24.843,24.882,16436,0
2017-05-24,18:00:00,24.88,24.88,24.794,24.814,33876,0
2017-05-24,19:00:00,24.804,24.804,24.755,24.755,19895,0
2017-05-24,20:00:00,24.765,24.771,24.726,24.736,75635,0
