Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-17,16:00:00,51.43,51.47,51.272,51.311,377711,0
2017-05-17,17:00:00,51.316,51.529,51.168,51.371,572541,0
2017-05-17,18:00:00,51.381,51.44,51.292,51.341,427574,0
2017-05-17,19:00:00,51.341,51.514,51.336,51.42,201345,0
2017-05-17,20:00:00,51.43,51.455,51.282,51.292,218298,0
2017-05-17,21:00:00,51.282,51.321,51.094,51.163,316134,0
2017-05-17,22:00:00,51.153,51.257,50.96,50.975,605966,0
2017-05-18,16:00:00,49.956,50.065,49.6,50.006,1034472,0
2017-05-18,17:00:00,50.006,50.599,50.001,50.474,1284247,0
2017-05-18,18:00:00,50.471,50.49,49.996,50.045,638546,0
2017-05-18,19:00:00,50.035,50.144,49.907,50.075,248950,0
2017-05-18,20:00:00,50.065,50.243,50.025,50.194,201306,0
2017-05-18,21:00:00,50.194,50.668,50.194,50.392,820025,0
2017-05-18,22:00:00,50.401,50.456,49.966,50.184,991591,0
2017-05-19,16:00:00,50.955,51.311,50.886,51.311,619112,0
2017-05-19,17:00:00,51.302,51.45,51.193,51.231,875384,0
2017-05-19,18:00:00,51.232,51.579,51.193,51.529,503885,0
2017-05-19,19:00:00,51.539,51.579,51.401,51.415,398855,0
2017-05-19,20:00:00,51.41,51.47,51.311,51.47,219107,0
2017-05-19,21:00:00,51.475,51.678,51.45,51.618,281163,0
2017-05-19,22:00:00,51.628,51.648,51.381,51.45,937145,0
2017-05-22,16:00:00,51.836,52.182,51.776,51.945,303716,0
2017-05-22,17:00:00,51.945,51.964,51.727,51.747,276843,0
2017-05-22,18:00:00,51.747,51.747,51.371,51.425,293815,0
2017-05-22,19:00:00,51.42,51.465,51.153,51.183,200354,0
2017-05-22,20:00:00,51.183,51.401,51.183,51.381,139595,0
2017-05-22,21:00:00,51.371,51.44,51.321,51.351,170228,0
2017-05-22,22:00:00,51.351,51.41,51.262,51.292,480652,0
2017-05-23,16:00:00,51.45,51.628,51.381,51.569,128583,0
2017-05-23,17:00:00,51.549,51.569,51.203,51.381,198895,0
2017-05-23,18:00:00,51.371,51.678,51.371,51.43,185389,0
2017-05-23,19:00:00,51.43,51.509,51.292,51.48,153892,0
2017-05-23,20:00:00,51.48,51.537,51.46,51.475,152570,0
2017-05-23,21:00:00,51.48,51.554,51.46,51.549,107179,0
2017-05-23,22:00:00,51.549,51.569,51.499,51.539,281212,0
2017-05-24,16:00:00,51.856,51.994,51.777,51.935,272152,0
2017-05-24,17:00:00,51.95,52.098,51.915,52.034,217726,0
2017-05-24,18:00:00,52.044,52.118,51.974,52.004,166347,0
2017-05-24,19:00:00,52.014,52.222,52.014,52.212,115384,0
2017-05-24,20:00:00,52.192,52.34,52.171,52.301,166465,0
2017-05-24,21:00:00,52.291,52.518,52.261,52.33,322636,0
2017-05-24,22:00:00,52.34,52.568,52.316,52.518,898062,0
2017-05-25,16:00:00,52.855,53.003,52.756,52.815,257176,0
2017-05-25,17:00:00,52.815,52.894,52.568,52.632,219896,0
2017-05-25,18:00:00,52.627,52.682,52.271,52.301,410786,0
2017-05-25,19:00:00,52.311,52.38,52.241,52.291,136426,0
2017-05-25,20:00:00,52.291,52.301,52.133,52.231,137530,0
2017-05-25,21:00:00,52.231,52.231,52.138,52.142,133606,0
2017-05-25,22:00:00,52.147,52.207,52.034,52.073,658839,0
2017-05-26,16:00:00,52.311,52.419,52.142,52.38,210589,0
2017-05-26,17:00:00,52.37,52.459,52.261,52.41,261354,0
2017-05-26,18:00:00,52.419,52.479,52.36,52.419,110295,0
2017-05-26,19:00:00,52.414,52.538,52.41,52.489,49843,0
2017-05-26,20:00:00,52.494,52.558,52.469,52.549,59468,0
2017-05-26,21:00:00,52.557,52.687,52.479,52.667,109944,0
2017-05-26,22:00:00,52.657,52.667,52.489,52.489,470842,0
2017-05-30,16:00:00,52.014,52.113,51.915,52.024,166505,0
2017-05-30,17:00:00,52.014,52.014,51.752,51.797,209481,0
2017-05-30,18:00:00,51.796,51.836,51.638,51.668,415595,0
2017-05-30,19:00:00,51.668,51.707,51.613,51.628,223457,0
2017-05-30,20:00:00,51.628,51.638,51.43,51.46,217327,0
2017-05-30,21:00:00,51.455,51.475,51.381,51.41,155971,0
2017-05-30,22:00:00,51.41,51.529,51.41,51.49,1086030,0
2017-05-31,16:00:00,51.529,51.529,51.064,51.213,525861,0
2017-05-31,17:00:00,51.213,51.282,50.975,51.193,387219,0
2017-05-31,18:00:00,51.193,51.45,51.143,51.445,258559,0
2017-05-31,19:00:00,51.43,51.465,51.262,51.282,215667,0
2017-05-31,20:00:00,51.292,51.43,51.272,51.401,194090,0
2017-05-31,21:00:00,51.396,51.396,51.015,51.064,483244,0
2017-05-31,22:00:00,51.054,51.133,50.955,51.064,980187,0
2017-06-01,16:00:00,51.173,51.544,51.133,51.43,336031,0
2017-06-01,17:00:00,51.43,51.757,51.336,51.678,455314,0
2017-06-01,18:00:00,51.678,51.757,51.668,51.727,430974,0
2017-06-01,19:00:00,51.727,51.727,51.653,51.707,201833,0
2017-06-01,20:00:00,51.707,51.757,51.648,51.678,144616,0
2017-06-01,21:00:00,51.673,51.687,51.519,51.519,299339,0
2017-06-01,22:00:00,51.509,51.658,51.48,51.559,1014661,0
2017-06-02,16:00:00,51.687,51.905,51.569,51.668,359030,0
2017-06-02,17:00:00,51.668,51.767,51.658,51.717,188387,0
2017-06-02,18:00:00,51.717,51.727,51.495,51.495,270075,0
2017-06-02,19:00:00,51.495,51.539,51.44,51.45,191739,0
2017-06-02,20:00:00,51.45,51.49,51.41,51.45,141500,0
