Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-29,22:00:00,23.068,23.114,23.068,23.114,3240,0
2016-05-02,17:00:00,23.088,23.166,23.088,23.166,618,0
2016-05-02,18:00:00,23.178,23.18,23.178,23.18,834,0
2016-05-03,17:00:00,22.981,22.981,22.981,22.981,306,0
2016-05-03,20:00:00,23.149,23.149,23.149,23.149,924,0
2016-05-03,21:00:00,23.106,23.106,23.106,23.106,2160,0
2016-05-03,22:00:00,23.023,23.128,23.023,23.128,1236,0
2016-05-04,22:00:00,22.941,22.962,22.941,22.962,681,0
2016-05-05,16:00:00,23.043,23.043,23.043,23.043,339,0
2016-05-05,18:00:00,22.94,22.94,22.94,22.94,306,0
2016-05-05,20:00:00,22.891,22.891,22.891,22.891,306,0
2016-05-05,22:00:00,22.942,22.942,22.942,22.942,306,0
2016-05-06,21:00:00,22.962,22.962,22.962,22.962,315,0
2016-05-09,17:00:00,23.022,23.022,23.022,23.022,435,0
2016-05-09,19:00:00,22.923,23.036,22.923,23.036,618,0
2016-05-09,20:00:00,23.055,23.055,23.055,23.055,864,0
2016-05-10,18:00:00,23.111,23.179,23.095,23.097,8589,0
2016-05-10,22:00:00,23.23,23.344,23.215,23.344,36543,0
2016-05-11,17:00:00,23.12,23.263,23.12,23.23,6171,0
2016-05-11,18:00:00,23.091,23.091,23.091,23.091,528,0
2016-05-11,22:00:00,23.085,23.085,23.085,23.085,1284,0
2016-05-12,18:00:00,22.913,22.975,22.907,22.949,9570,0
2016-05-12,19:00:00,22.932,22.932,22.923,22.923,2469,0
2016-05-12,22:00:00,22.929,22.929,22.929,22.929,306,0
2016-05-13,16:00:00,23.016,23.016,22.99,22.99,2469,0
2016-05-13,18:00:00,23.004,23.004,23.004,23.004,306,0
2016-05-13,19:00:00,22.984,23.01,22.978,23.007,5865,0
2016-05-13,20:00:00,22.902,22.902,22.902,22.902,618,0
2016-05-13,21:00:00,22.81,22.81,22.81,22.81,924,0
2016-05-13,22:00:00,22.816,22.816,22.816,22.816,306,0
2016-05-16,16:00:00,22.897,22.897,22.897,22.897,1002,0
2016-05-16,17:00:00,22.881,22.945,22.848,22.929,19137,0
2016-05-16,22:00:00,22.958,22.958,22.958,22.958,315,0
2016-05-17,20:00:00,22.881,22.923,22.881,22.923,1236,0
2016-05-18,17:00:00,22.813,22.813,22.813,22.813,306,0
2016-05-18,18:00:00,22.864,22.893,22.864,22.893,1236,0
2016-05-18,19:00:00,22.907,22.907,22.907,22.907,618,0
2016-05-18,22:00:00,22.895,22.895,22.895,22.895,1803,0
2016-05-19,16:00:00,22.673,22.673,22.673,22.673,534,0
2016-05-19,19:00:00,22.693,22.693,22.693,22.693,306,0
2016-05-19,20:00:00,22.761,22.761,22.761,22.761,471,0
2016-05-20,17:00:00,22.905,22.905,22.905,22.905,633,0
2016-05-20,21:00:00,22.92,22.92,22.92,22.92,2841,0
2016-05-23,18:00:00,22.888,22.888,22.888,22.888,306,0
2016-05-23,20:00:00,22.955,22.978,22.936,22.949,3396,0
2016-05-24,21:00:00,23.195,23.227,23.195,23.227,1851,0
2016-05-24,22:00:00,23.202,23.202,23.202,23.202,306,0
2016-05-25,18:00:00,23.438,23.441,23.438,23.441,618,0
2016-05-25,20:00:00,23.37,23.456,23.363,23.418,2469,0
2016-05-25,21:00:00,23.409,23.409,23.409,23.409,1080,0
2016-05-26,16:00:00,23.344,23.485,23.344,23.485,11451,0
2016-05-26,17:00:00,23.347,23.347,23.345,23.345,924,0
2016-05-26,18:00:00,23.313,23.313,23.313,23.313,306,0
2016-05-26,19:00:00,23.38,23.38,23.38,23.38,924,0
2016-05-26,20:00:00,23.305,23.389,23.296,23.389,4611,0
2016-05-26,21:00:00,23.379,23.379,23.379,23.379,654,0
2016-05-26,22:00:00,23.396,23.396,23.328,23.328,27162,0
2016-05-27,17:00:00,23.495,23.495,23.495,23.495,693,0
2016-05-27,22:00:00,23.496,23.496,23.496,23.496,4731,0
2016-05-31,16:00:00,23.681,23.681,23.681,23.681,1299,0
2016-05-31,21:00:00,23.498,23.498,23.498,23.498,729,0
2016-05-31,22:00:00,23.357,23.529,23.357,23.529,924,0
2016-06-01,17:00:00,23.414,23.445,23.404,23.404,3594,0
2016-06-01,18:00:00,23.448,23.448,23.448,23.448,618,0
2016-06-01,20:00:00,23.503,23.571,23.503,23.571,30984,0
2016-06-01,21:00:00,23.503,23.503,23.491,23.493,2037,0
2016-06-01,22:00:00,23.446,23.446,23.446,23.446,780,0
2016-06-02,16:00:00,23.525,23.529,23.496,23.496,9540,0
2016-06-02,17:00:00,23.467,23.467,23.467,23.467,306,0
2016-06-03,17:00:00,23.384,23.384,23.384,23.384,618,0
2016-06-03,18:00:00,23.329,23.425,23.329,23.386,6159,0
2016-06-03,22:00:00,23.429,23.457,23.429,23.457,981,0
2016-06-06,17:00:00,23.587,23.587,23.554,23.558,1851,0
2016-06-06,21:00:00,23.661,23.661,23.661,23.661,306,0
2016-06-07,17:00:00,23.568,23.568,23.568,23.568,306,0
2016-06-07,21:00:00,23.749,23.749,23.749,23.749,447,0
2016-06-07,22:00:00,23.707,23.707,23.707,23.707,306,0
2016-06-08,20:00:00,23.7,23.732,23.7,23.704,2160,0
2016-06-08,21:00:00,23.636,23.691,23.636,23.691,3027,0
2016-06-09,17:00:00,23.571,23.577,23.571,23.577,2469,0
2016-06-09,22:00:00,23.661,23.688,23.661,23.684,1851,0
2016-06-10,16:00:00,23.394,23.394,23.394,23.394,408,0
2016-06-10,22:00:00,23.445,23.445,23.445,23.445,306,0
2016-06-13,20:00:00,23.35,23.35,23.331,23.341,924,0
2016-06-13,22:00:00,23.209,23.365,23.208,23.365,5646,0
2016-06-14,18:00:00,23.155,23.155,23.09,23.09,1299,0
2016-06-14,19:00:00,23.022,23.022,23.022,23.022,468,0
2016-06-14,20:00:00,23.062,23.062,23.062,23.062,2892,0
2016-06-14,21:00:00,23.01,23.036,23.01,23.033,975,0
2016-06-14,22:00:00,23.091,23.137,23.091,23.091,3705,0
2016-06-15,17:00:00,23.291,23.291,23.291,23.291,756,0
2016-06-15,22:00:00,23.018,23.018,23.018,23.018,384,0
2016-06-16,16:00:00,23.107,23.107,23.107,23.107,867,0
2016-06-16,17:00:00,22.923,22.957,22.923,22.924,1701,0
2016-06-16,18:00:00,22.981,22.981,22.981,22.981,306,0
2016-06-16,19:00:00,22.99,23.046,22.99,23.046,618,0
2016-06-16,22:00:00,23.185,23.185,23.185,23.185,1542,0
2016-06-17,17:00:00,23.083,23.083,23.083,23.083,4323,0
2016-06-20,22:00:00,23.278,23.278,23.244,23.244,840,0
2016-06-21,21:00:00,23.368,23.368,23.368,23.368,306,0
2016-06-22,19:00:00,23.397,23.416,23.375,23.375,4605,0
2016-06-23,17:00:00,23.453,23.553,23.45,23.553,1842,0
2016-06-23,20:00:00,23.458,23.615,23.458,23.615,2043,0
2016-06-23,21:00:00,23.586,23.586,23.586,23.586,531,0
2016-06-23,22:00:00,23.661,23.661,23.456,23.532,19470,0
2016-06-24,16:00:00,22.206,22.206,22.206,22.206,306,0
