Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,43.403,43.403,43.304,43.329,61524,0
2017-05-16,17:00:00,43.334,43.363,43.214,43.274,40578,0
2017-05-16,18:00:00,43.264,43.403,43.264,43.373,27475,0
2017-05-16,19:00:00,43.373,43.433,43.363,43.433,15338,0
2017-05-16,20:00:00,43.413,43.443,43.393,43.41,19755,0
2017-05-16,21:00:00,43.413,43.443,43.403,43.436,20324,0
2017-05-16,22:00:00,43.443,43.512,43.432,43.512,32295,0
2017-05-17,16:00:00,43.164,43.184,42.956,42.962,65257,0
2017-05-17,17:00:00,42.956,42.985,42.622,42.647,78665,0
2017-05-17,18:00:00,42.67,42.786,42.597,42.777,33530,0
2017-05-17,19:00:00,42.785,42.785,42.682,42.779,39999,0
2017-05-17,20:00:00,42.776,42.776,42.607,42.627,34692,0
2017-05-17,21:00:00,42.636,42.657,42.329,42.439,58735,0
2017-05-17,22:00:00,42.429,42.511,42.219,42.219,115996,0
2017-05-18,16:00:00,42.11,42.32,42.021,42.269,72463,0
2017-05-18,17:00:00,42.339,42.528,42.319,42.458,40653,0
2017-05-18,18:00:00,42.488,42.538,42.311,42.312,29532,0
2017-05-18,19:00:00,42.329,42.413,42.269,42.369,31043,0
2017-05-18,20:00:00,42.385,42.479,42.319,42.468,14283,0
2017-05-18,21:00:00,42.545,42.597,42.488,42.498,18349,0
2017-05-18,22:00:00,42.498,42.558,42.448,42.488,17868,0
2017-05-19,16:00:00,42.677,42.816,42.677,42.747,36008,0
2017-05-19,17:00:00,42.747,42.866,42.747,42.831,34747,0
2017-05-19,18:00:00,42.836,42.866,42.757,42.801,33230,0
2017-05-19,19:00:00,42.806,42.866,42.787,42.856,26147,0
2017-05-19,20:00:00,42.851,42.866,42.807,42.812,28140,0
2017-05-19,21:00:00,42.816,42.866,42.796,42.835,19975,0
2017-05-19,22:00:00,42.83,42.834,42.677,42.717,37757,0
2017-05-22,16:00:00,42.856,42.975,42.856,42.926,23294,0
2017-05-22,17:00:00,42.916,42.995,42.906,42.966,21073,0
2017-05-22,18:00:00,42.961,43.065,42.956,43.056,33319,0
2017-05-22,19:00:00,43.058,43.1,43.035,43.065,21999,0
2017-05-22,20:00:00,43.055,43.075,43.027,43.053,13015,0
2017-05-22,21:00:00,43.045,43.115,43.02,43.085,30914,0
2017-05-22,22:00:00,43.085,43.164,43.085,43.144,28036,0
2017-05-23,16:00:00,43.314,43.324,43.065,43.124,55838,0
2017-05-23,17:00:00,43.095,43.174,43.095,43.154,29965,0
2017-05-23,18:00:00,43.164,43.214,43.144,43.214,26007,0
2017-05-23,19:00:00,43.199,43.204,43.071,43.075,16039,0
2017-05-23,20:00:00,43.085,43.125,43.065,43.093,12021,0
2017-05-23,21:00:00,43.107,43.174,43.085,43.142,21697,0
2017-05-23,22:00:00,43.154,43.184,43.135,43.184,34771,0
2017-05-24,16:00:00,43.324,43.326,43.234,43.314,15665,0
2017-05-24,17:00:00,43.264,43.314,43.224,43.294,12204,0
2017-05-24,18:00:00,43.275,43.314,43.254,43.274,11187,0
2017-05-24,19:00:00,43.264,43.284,43.244,43.284,20752,0
2017-05-24,20:00:00,43.264,43.304,43.23,43.294,14911,0
2017-05-24,21:00:00,43.284,43.344,43.264,43.313,9022,0
2017-05-24,22:00:00,43.314,43.423,43.314,43.403,25724,0
2017-05-25,16:00:00,43.582,43.612,43.484,43.552,46147,0
2017-05-25,17:00:00,43.562,43.687,43.522,43.662,50724,0
2017-05-25,18:00:00,43.652,43.722,43.642,43.667,25082,0
2017-05-25,19:00:00,43.662,43.781,43.653,43.781,30526,0
2017-05-25,20:00:00,43.781,43.781,43.731,43.761,13543,0
2017-05-25,21:00:00,43.766,43.841,43.766,43.823,28923,0
2017-05-25,22:00:00,43.831,43.831,43.712,43.751,30951,0
2017-05-26,16:00:00,43.751,43.751,43.608,43.712,45199,0
2017-05-26,17:00:00,43.722,43.771,43.682,43.731,44182,0
2017-05-26,18:00:00,43.731,43.731,43.682,43.682,21751,0
2017-05-26,19:00:00,43.682,43.741,43.672,43.722,24398,0
2017-05-26,20:00:00,43.717,43.731,43.692,43.722,11735,0
2017-05-26,21:00:00,43.731,43.761,43.712,43.751,22578,0
2017-05-26,22:00:00,43.749,43.761,43.713,43.761,46441,0
2017-05-30,16:00:00,43.741,43.87,43.673,43.831,41185,0
2017-05-30,17:00:00,43.82,43.841,43.751,43.809,25117,0
2017-05-30,18:00:00,43.831,43.87,43.801,43.84,34079,0
2017-05-30,19:00:00,43.85,43.89,43.821,43.87,11232,0
2017-05-30,20:00:00,43.875,43.88,43.841,43.846,8204,0
2017-05-30,21:00:00,43.85,43.86,43.811,43.85,24412,0
2017-05-30,22:00:00,43.85,43.89,43.842,43.86,42250,0
2017-05-31,16:00:00,44.01,44.06,43.706,43.706,76708,0
2017-05-31,17:00:00,43.682,43.761,43.582,43.761,41247,0
2017-05-31,18:00:00,43.811,43.811,43.712,43.774,21326,0
2017-05-31,19:00:00,43.761,43.801,43.692,43.697,11851,0
2017-05-31,20:00:00,43.707,43.791,43.702,43.733,27335,0
2017-05-31,21:00:00,43.712,43.722,43.641,43.672,50711,0
2017-05-31,22:00:00,43.692,43.761,43.672,43.761,33908,0
2017-06-01,16:00:00,43.88,43.91,43.792,43.792,14318,0
2017-06-01,17:00:00,43.801,43.831,43.633,43.674,29544,0
2017-06-01,18:00:00,43.672,43.801,43.672,43.791,44134,0
2017-06-01,19:00:00,43.791,43.86,43.781,43.85,23786,0
2017-06-01,20:00:00,43.84,43.863,43.801,43.821,27617,0
2017-06-01,21:00:00,43.821,43.87,43.821,43.831,15039,0
2017-06-01,22:00:00,43.831,43.94,43.821,43.94,31377,0
2017-06-02,16:00:00,44.1,44.11,43.956,43.991,17174,0
2017-06-02,17:00:00,44.04,44.119,44.036,44.119,30389,0
2017-06-02,18:00:00,44.119,44.238,44.1,44.224,24022,0
2017-06-02,19:00:00,44.218,44.258,44.195,44.245,18762,0
2017-06-02,20:00:00,44.258,44.338,44.248,44.318,10179,0
2017-06-02,21:00:00,44.318,44.348,44.308,44.328,14191,0
2017-06-02,22:00:00,44.313,44.387,44.308,44.348,44379,0
2017-06-05,16:00:00,44.348,44.478,44.314,44.464,54703,0
2017-06-05,17:00:00,44.468,44.537,44.438,44.458,52829,0
2017-06-05,18:00:00,44.448,44.497,44.388,44.438,31697,0
2017-06-05,19:00:00,44.438,44.448,44.388,44.394,64832,0
2017-06-05,20:00:00,44.408,44.438,44.388,44.403,8245,0
2017-06-05,21:00:00,44.408,44.448,44.408,44.433,56576,0
2017-06-05,22:00:00,44.428,44.428,44.368,44.368,27669,0
2017-06-06,16:00:00,44.338,44.468,44.318,44.468,32253,0
2017-06-06,17:00:00,44.433,44.537,44.388,44.527,17829,0
2017-06-06,18:00:00,44.507,44.517,44.45,44.491,30688,0
2017-06-06,19:00:00,44.502,44.517,44.458,44.483,15692,0
2017-06-06,20:00:00,44.497,44.497,44.438,44.458,38201,0
2017-06-06,21:00:00,44.458,44.537,44.458,44.527,27274,0
2017-06-06,22:00:00,44.537,44.537,44.268,44.338,39141,0
2017-06-07,16:00:00,44.458,44.517,44.428,44.458,17535,0
2017-06-07,17:00:00,44.497,44.517,44.358,44.448,26837,0
2017-06-07,18:00:00,44.448,44.507,44.388,44.428,18543,0
2017-06-07,19:00:00,44.398,44.404,44.248,44.288,19001,0
2017-06-07,20:00:00,44.268,44.372,44.268,44.358,29776,0
2017-06-07,21:00:00,44.368,44.418,44.366,44.378,7684,0
2017-06-07,22:00:00,44.408,44.468,44.378,44.428,20129,0
2017-06-08,16:00:00,44.537,44.537,44.349,44.378,25902,0
2017-06-08,17:00:00,44.398,44.447,44.321,44.388,26208,0
2017-06-08,18:00:00,44.448,44.502,44.438,44.493,21194,0
2017-06-08,19:00:00,44.484,44.537,44.484,44.537,17963,0
2017-06-08,20:00:00,44.527,44.527,44.438,44.517,15090,0
2017-06-08,21:00:00,44.514,44.514,44.418,44.438,13334,0
2017-06-08,22:00:00,44.478,44.636,44.473,44.576,29330,0
2017-06-09,16:00:00,44.696,44.706,44.573,44.65,28354,0
2017-06-09,17:00:00,44.653,44.756,44.636,44.646,42000,0
2017-06-09,18:00:00,44.648,44.676,44.468,44.488,26762,0
2017-06-09,19:00:00,44.468,44.468,43.94,44.06,62070,0
2017-06-09,20:00:00,44.049,44.05,43.443,43.443,82546,0
2017-06-09,21:00:00,43.469,43.583,42.727,43.065,196119,0
2017-06-09,22:00:00,43.065,43.473,43.065,43.373,121044,0
2017-06-12,16:00:00,42.906,42.911,42.229,42.478,335812,0
2017-06-12,17:00:00,42.419,42.896,42.399,42.846,228401,0
2017-06-12,18:00:00,42.836,43.135,42.836,42.906,45186,0
2017-06-12,19:00:00,42.916,42.946,42.747,42.777,27076,0
2017-06-12,20:00:00,42.786,42.896,42.745,42.782,47188,0
2017-06-12,21:00:00,42.767,43.008,42.767,42.906,35282,0
2017-06-12,22:00:00,42.908,43.035,42.856,43.025,35338,0
2017-06-13,16:00:00,43.274,43.542,43.274,43.419,58727,0
2017-06-13,17:00:00,43.423,43.423,43.085,43.085,24487,0
2017-06-13,18:00:00,43.065,43.332,43.065,43.314,11074,0
2017-06-13,19:00:00,43.362,43.413,43.293,43.405,15277,0
2017-06-13,20:00:00,43.393,43.413,43.304,43.373,36069,0
2017-06-13,21:00:00,43.363,43.393,43.324,43.373,30824,0
2017-06-13,22:00:00,43.373,43.468,43.353,43.423,205930,0
2017-06-14,16:00:00,43.582,43.582,43.403,43.501,14722,0
2017-06-14,17:00:00,43.494,43.494,43.344,43.413,24534,0
2017-06-14,18:00:00,43.393,43.522,43.373,43.522,14367,0
2017-06-14,19:00:00,43.512,43.522,43.373,43.433,12661,0
2017-06-14,20:00:00,43.433,43.463,43.363,43.383,6574,0
2017-06-14,21:00:00,43.392,43.469,42.995,43.065,23364,0
2017-06-14,22:00:00,43.055,43.184,42.796,43.135,44002,0
2017-06-15,16:00:00,42.677,42.735,42.482,42.685,62126,0
2017-06-15,17:00:00,42.677,42.716,42.429,42.681,32818,0
2017-06-15,18:00:00,42.687,42.816,42.68,42.697,15769,0
2017-06-15,19:00:00,42.677,42.846,42.667,42.846,14496,0
2017-06-15,20:00:00,42.826,42.896,42.787,42.844,15467,0
2017-06-15,21:00:00,42.836,42.975,42.829,42.975,11114,0
2017-06-15,22:00:00,42.926,43.01,42.876,42.966,18471,0
2017-06-16,16:00:00,42.908,42.987,42.788,42.948,23015,0
2017-06-16,17:00:00,42.966,42.977,42.714,42.745,26791,0
2017-06-16,18:00:00,42.748,42.868,42.688,42.868,13819,0
2017-06-16,19:00:00,42.848,42.908,42.838,42.838,14103,0
2017-06-16,20:00:00,42.848,42.878,42.798,42.878,12897,0
2017-06-16,21:00:00,42.888,42.928,42.868,42.908,10675,0
2017-06-16,22:00:00,42.9,42.918,42.797,42.868,20141,0
2017-06-19,16:00:00,43.237,43.446,43.127,43.382,29444,0
2017-06-19,17:00:00,43.416,43.536,43.416,43.436,37729,0
2017-06-19,18:00:00,43.436,43.466,43.416,43.427,36239,0
2017-06-19,19:00:00,43.425,43.466,43.408,43.426,17781,0
2017-06-19,20:00:00,43.446,43.546,43.446,43.516,25260,0
2017-06-19,21:00:00,43.527,43.529,43.436,43.436,13937,0
2017-06-19,22:00:00,43.427,43.596,43.426,43.586,29991,0
2017-06-20,16:00:00,43.586,43.596,43.446,43.446,29218,0
2017-06-20,17:00:00,43.436,43.577,43.436,43.543,11097,0
2017-06-20,18:00:00,43.516,43.516,43.327,43.416,17818,0
2017-06-20,19:00:00,43.396,43.436,43.297,43.347,7802,0
2017-06-20,20:00:00,43.386,43.406,43.347,43.374,11734,0
2017-06-20,21:00:00,43.4,43.406,43.287,43.337,7093,0
2017-06-20,22:00:00,43.386,43.417,43.197,43.197,17516,0
2017-06-21,16:00:00,43.356,43.436,43.267,43.272,29897,0
2017-06-21,17:00:00,43.297,43.486,43.297,43.436,17751,0
2017-06-21,18:00:00,43.416,43.436,43.339,43.436,10909,0
2017-06-21,19:00:00,43.403,43.466,43.386,43.395,5466,0
2017-06-21,20:00:00,43.383,43.476,43.383,43.403,11998,0
2017-06-21,21:00:00,43.426,43.516,43.386,43.506,11104,0
2017-06-21,22:00:00,43.486,43.516,43.446,43.516,35796,0
2017-06-22,16:00:00,43.686,43.686,43.406,43.436,15908,0
2017-06-22,17:00:00,43.39,43.536,43.39,43.498,8847,0
2017-06-22,18:00:00,43.52,43.546,43.486,43.546,11382,0
2017-06-22,19:00:00,43.546,43.636,43.516,43.622,9795,0
2017-06-22,20:00:00,43.637,43.666,43.626,43.666,6493,0
2017-06-22,21:00:00,43.665,43.696,43.636,43.646,8687,0
2017-06-22,22:00:00,43.661,43.68,43.546,43.576,23113,0
2017-06-23,16:00:00,43.556,43.596,43.466,43.596,21322,0
2017-06-23,17:00:00,43.626,43.815,43.602,43.785,30406,0
2017-06-23,18:00:00,43.784,43.885,43.784,43.885,12245,0
2017-06-23,19:00:00,43.89,43.965,43.864,43.949,11001,0
2017-06-23,20:00:00,43.925,44.005,43.922,43.995,12002,0
2017-06-23,21:00:00,43.985,43.985,43.865,43.92,25299,0
2017-06-23,22:00:00,43.885,43.915,43.805,43.915,22385,0
2017-06-26,16:00:00,44.134,44.244,44.114,44.164,59449,0
2017-06-26,17:00:00,44.184,44.184,43.735,43.755,51073,0
2017-06-26,18:00:00,43.75,43.765,43.586,43.722,60815,0
2017-06-26,19:00:00,43.757,43.826,43.726,43.805,15689,0
2017-06-26,20:00:00,43.775,43.795,43.735,43.785,11457,0
2017-06-26,21:00:00,43.745,43.765,43.676,43.706,16235,0
2017-06-26,22:00:00,43.696,43.745,43.619,43.627,20559,0
2017-06-27,16:00:00,43.426,43.465,43.288,43.335,18906,0
