Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-15,16:00:00,21.325,21.373,21.325,21.368,2367,0
2017-05-15,17:00:00,21.373,21.387,21.344,21.344,13992,0
2017-05-15,18:00:00,21.349,21.382,21.344,21.354,63253,0
2017-05-15,19:00:00,21.344,21.373,21.344,21.344,13916,0
2017-05-15,20:00:00,21.347,21.382,21.344,21.371,24662,0
2017-05-15,21:00:00,21.38,21.402,21.373,21.392,34743,0
2017-05-15,22:00:00,21.382,21.402,21.373,21.373,10598,0
2017-05-16,16:00:00,21.402,21.402,21.382,21.382,585,0
2017-05-16,17:00:00,21.375,21.392,21.375,21.379,5447,0
2017-05-16,18:00:00,21.379,21.392,21.373,21.382,6776,0
2017-05-16,19:00:00,21.392,21.392,21.385,21.391,38703,0
2017-05-16,20:00:00,21.388,21.392,21.382,21.382,3780,0
2017-05-16,21:00:00,21.392,21.392,21.373,21.382,79919,0
2017-05-16,22:00:00,21.387,21.392,21.373,21.392,9623,0
2017-05-17,16:00:00,21.335,21.373,21.335,21.372,9137,0
2017-05-17,17:00:00,21.363,21.363,21.306,21.306,3864,0
2017-05-17,18:00:00,21.315,21.354,21.306,21.325,19711,0
2017-05-17,19:00:00,21.325,21.362,21.325,21.354,4161,0
2017-05-17,20:00:00,21.344,21.349,21.315,21.315,3486,0
2017-05-17,21:00:00,21.312,21.344,21.312,21.337,40912,0
2017-05-17,22:00:00,21.325,21.343,21.277,21.287,59394,0
2017-05-18,16:00:00,21.296,21.325,21.296,21.311,19456,0
2017-05-18,18:00:00,21.364,21.373,21.325,21.326,12986,0
2017-05-18,19:00:00,21.323,21.344,21.306,21.332,6682,0
2017-05-18,20:00:00,21.33,21.373,21.326,21.365,5704,0
2017-05-18,21:00:00,21.392,21.401,21.344,21.373,26042,0
2017-05-18,22:00:00,21.36,21.363,21.335,21.335,32178,0
2017-05-19,16:00:00,21.354,21.421,21.354,21.421,6163,0
2017-05-19,17:00:00,21.43,21.469,21.43,21.469,4316,0
2017-05-19,18:00:00,21.449,21.488,21.449,21.47,4126,0
2017-05-19,19:00:00,21.462,21.483,21.459,21.483,5258,0
2017-05-19,20:00:00,21.486,21.486,21.469,21.478,9181,0
2017-05-19,21:00:00,21.459,21.497,21.459,21.482,8933,0
2017-05-19,22:00:00,21.483,21.489,21.449,21.449,16678,0
2017-05-22,16:00:00,21.545,21.545,21.507,21.526,1495,0
2017-05-22,17:00:00,21.511,21.516,21.488,21.488,6678,0
2017-05-22,18:00:00,21.481,21.501,21.481,21.501,1592,0
2017-05-22,19:00:00,21.516,21.526,21.507,21.519,7884,0
2017-05-22,20:00:00,21.516,21.522,21.501,21.507,17569,0
2017-05-22,21:00:00,21.497,21.545,21.497,21.545,25723,0
2017-05-22,22:00:00,21.542,21.555,21.516,21.555,8910,0
2017-05-23,16:00:00,21.555,21.555,21.545,21.545,1784,0
2017-05-23,17:00:00,21.562,21.574,21.552,21.574,11084,0
2017-05-23,18:00:00,21.574,21.593,21.574,21.593,7921,0
2017-05-23,19:00:00,21.591,21.593,21.574,21.576,7810,0
2017-05-23,20:00:00,21.584,21.593,21.573,21.589,2867,0
2017-05-23,21:00:00,21.592,21.592,21.584,21.591,6826,0
2017-05-23,22:00:00,21.588,21.593,21.574,21.574,10467,0
2017-05-24,16:00:00,21.574,21.574,21.536,21.564,3510,0
2017-05-24,17:00:00,21.574,21.574,21.555,21.567,1150,0
2017-05-24,18:00:00,21.574,21.593,21.568,21.574,2635,0
2017-05-24,19:00:00,21.578,21.612,21.573,21.611,22070,0
2017-05-24,20:00:00,21.594,21.602,21.584,21.593,1928,0
2017-05-24,21:00:00,21.574,21.593,21.564,21.576,3704,0
2017-05-24,22:00:00,21.588,21.602,21.574,21.574,8779,0
2017-05-25,16:00:00,21.593,21.632,21.593,21.632,2156,0
2017-05-25,17:00:00,21.632,21.641,21.632,21.641,563,0
2017-05-25,18:00:00,21.641,21.641,21.631,21.631,4342,0
2017-05-25,19:00:00,21.625,21.637,21.625,21.635,3606,0
2017-05-25,20:00:00,21.636,21.65,21.636,21.645,2385,0
2017-05-25,21:00:00,21.646,21.67,21.643,21.67,30036,0
2017-05-25,22:00:00,21.67,21.67,21.632,21.632,7029,0
2017-05-26,16:00:00,21.584,21.584,21.584,21.584,1011,0
2017-05-26,17:00:00,21.624,21.632,21.612,21.631,1673,0
2017-05-26,18:00:00,21.622,21.632,21.622,21.632,1518,0
2017-05-26,19:00:00,21.612,21.632,21.602,21.622,8637,0
2017-05-26,20:00:00,21.628,21.632,21.619,21.622,5525,0
2017-05-26,21:00:00,21.629,21.632,21.612,21.631,2221,0
2017-05-26,22:00:00,21.617,21.641,21.605,21.641,1987,0
2017-05-30,16:00:00,21.641,21.641,21.622,21.622,696,0
2017-05-30,17:00:00,21.636,21.639,21.627,21.632,1450,0
2017-05-30,18:00:00,21.641,21.66,21.628,21.642,5392,0
2017-05-30,19:00:00,21.663,21.663,21.661,21.661,1149,0
2017-05-30,20:00:00,21.65,21.66,21.641,21.641,2243,0
2017-05-30,21:00:00,21.641,21.65,21.632,21.65,3085,0
2017-05-30,22:00:00,21.66,21.679,21.612,21.622,25303,0
2017-05-31,16:00:00,21.602,21.632,21.602,21.612,6833,0
2017-05-31,17:00:00,21.612,21.66,21.593,21.66,5254,0
2017-05-31,18:00:00,21.66,21.67,21.65,21.65,5096,0
2017-05-31,19:00:00,21.651,21.66,21.632,21.65,6121,0
2017-05-31,20:00:00,21.65,21.66,21.632,21.641,4862,0
2017-05-31,21:00:00,21.641,21.66,21.632,21.641,13419,0
2017-05-31,22:00:00,21.65,21.67,21.641,21.641,12111,0
2017-06-01,16:00:00,21.641,21.687,21.641,21.678,3378,0
2017-06-01,17:00:00,21.66,21.66,21.65,21.66,6736,0
2017-06-01,18:00:00,21.67,21.698,21.66,21.67,35151,0
2017-06-01,19:00:00,21.68,21.705,21.67,21.705,2769,0
2017-06-01,20:00:00,21.708,21.713,21.68,21.703,39743,0
2017-06-01,21:00:00,21.696,21.718,21.69,21.693,14438,0
2017-06-01,22:00:00,21.698,21.718,21.698,21.698,2768,0
2017-06-02,16:00:00,21.718,21.718,21.67,21.689,7830,0
2017-06-02,17:00:00,21.684,21.718,21.684,21.718,688,0
2017-06-02,18:00:00,21.727,21.727,21.698,21.723,1965,0
2017-06-02,19:00:00,21.71,21.727,21.679,21.679,1274,0
2017-06-02,20:00:00,21.718,21.727,21.715,21.718,2304,0
2017-06-02,21:00:00,21.727,21.736,21.713,21.713,16477,0
2017-06-02,22:00:00,21.727,21.736,21.698,21.727,9190,0
2017-06-05,16:00:00,21.708,21.746,21.708,21.726,677,0
2017-06-05,17:00:00,21.727,21.73,21.708,21.708,2619,0
2017-06-05,18:00:00,21.708,21.718,21.708,21.718,2934,0
2017-06-05,19:00:00,21.718,21.727,21.71,21.718,2226,0
2017-06-05,20:00:00,21.708,21.723,21.698,21.717,12679,0
2017-06-05,21:00:00,21.715,21.715,21.715,21.715,167,0
2017-06-05,22:00:00,21.718,21.727,21.689,21.708,15084,0
2017-06-06,16:00:00,21.65,21.689,21.65,21.683,11545,0
2017-06-06,17:00:00,21.679,21.702,21.679,21.702,4911,0
2017-06-06,18:00:00,21.689,21.698,21.689,21.689,2868,0
2017-06-06,19:00:00,21.686,21.706,21.686,21.689,2556,0
2017-06-06,20:00:00,21.7,21.7,21.689,21.689,505,0
2017-06-06,21:00:00,21.696,21.708,21.672,21.708,7384,0
2017-06-06,22:00:00,21.7,21.7,21.669,21.67,7379,0
2017-06-07,16:00:00,21.736,21.736,21.708,21.718,1723,0
2017-06-07,17:00:00,21.717,21.717,21.708,21.708,592,0
2017-06-07,18:00:00,21.698,21.714,21.689,21.711,3591,0
2017-06-07,19:00:00,21.701,21.718,21.689,21.701,7142,0
2017-06-07,20:00:00,21.708,21.718,21.695,21.718,3780,0
2017-06-07,21:00:00,21.706,21.746,21.706,21.746,3357,0
2017-06-07,22:00:00,21.727,21.794,21.727,21.784,59453,0
2017-06-08,16:00:00,21.746,21.775,21.698,21.704,3845,0
2017-06-08,17:00:00,21.679,21.736,21.67,21.718,19382,0
2017-06-08,18:00:00,21.722,21.734,21.708,21.723,6006,0
2017-06-08,19:00:00,21.735,21.736,21.727,21.729,1445,0
2017-06-08,20:00:00,21.736,21.736,21.718,21.723,329,0
2017-06-08,21:00:00,21.729,21.729,21.701,21.708,7024,0
2017-06-08,22:00:00,21.698,21.736,21.698,21.736,11379,0
2017-06-09,16:00:00,21.718,21.756,21.718,21.736,1790,0
2017-06-09,17:00:00,21.739,21.752,21.739,21.746,782,0
2017-06-09,18:00:00,21.742,21.745,21.718,21.745,3317,0
2017-06-09,19:00:00,21.746,21.746,21.72,21.746,8107,0
2017-06-09,20:00:00,21.745,21.746,21.708,21.722,16159,0
2017-06-09,21:00:00,21.718,21.731,21.689,21.689,8188,0
2017-06-09,22:00:00,21.718,21.727,21.689,21.718,7657,0
2017-06-12,16:00:00,21.689,21.735,21.689,21.735,2813,0
2017-06-12,17:00:00,21.736,21.784,21.698,21.709,5969,0
2017-06-12,18:00:00,21.708,21.712,21.698,21.698,1404,0
2017-06-12,19:00:00,21.698,21.708,21.69,21.698,4066,0
2017-06-12,20:00:00,21.689,21.708,21.689,21.698,3892,0
2017-06-12,21:00:00,21.689,21.698,21.686,21.698,2538,0
2017-06-12,22:00:00,21.698,21.698,21.689,21.689,3391,0
2017-06-13,16:00:00,22.024,22.024,21.69,21.708,1384,0
2017-06-13,17:00:00,21.708,21.718,21.708,21.708,5482,0
2017-06-13,18:00:00,21.715,21.746,21.708,21.736,11538,0
2017-06-13,19:00:00,21.708,21.736,21.698,21.718,3135,0
2017-06-13,20:00:00,21.736,21.746,21.708,21.72,4237,0
2017-06-13,21:00:00,21.718,21.736,21.708,21.708,8977,0
2017-06-13,22:00:00,21.708,21.727,21.698,21.708,4652,0
2017-06-14,16:00:00,21.698,21.727,21.698,21.708,5374,0
2017-06-14,17:00:00,21.708,21.719,21.698,21.698,4719,0
2017-06-14,18:00:00,21.703,21.708,21.698,21.703,7831,0
2017-06-14,19:00:00,21.705,21.708,21.705,21.708,2629,0
2017-06-14,20:00:00,21.701,21.708,21.698,21.698,6099,0
2017-06-14,21:00:00,21.703,21.721,21.698,21.703,4858,0
2017-06-14,22:00:00,21.702,21.718,21.689,21.698,24879,0
2017-06-15,16:00:00,21.698,21.751,21.698,21.746,5011,0
2017-06-15,17:00:00,21.736,21.746,21.727,21.736,1023,0
2017-06-15,18:00:00,21.766,21.775,21.751,21.766,9464,0
2017-06-15,19:00:00,21.736,21.756,21.736,21.753,2685,0
2017-06-15,20:00:00,21.756,21.756,21.746,21.753,2683,0
2017-06-15,21:00:00,21.745,21.756,21.745,21.752,7128,0
2017-06-15,22:00:00,21.746,21.862,21.746,21.775,16233,0
2017-06-16,16:00:00,21.758,21.758,21.68,21.68,5948,0
2017-06-16,17:00:00,21.68,21.735,21.631,21.66,6170,0
2017-06-16,18:00:00,21.67,21.694,21.658,21.694,6722,0
2017-06-16,19:00:00,21.709,21.729,21.709,21.709,6629,0
2017-06-16,20:00:00,21.729,21.729,21.697,21.697,7280,0
2017-06-16,21:00:00,21.699,21.709,21.693,21.699,10106,0
2017-06-16,22:00:00,21.704,21.778,21.69,21.748,4690,0
2017-06-19,16:00:00,21.768,21.787,21.768,21.787,4820,0
2017-06-19,17:00:00,21.797,21.836,21.797,21.826,7614,0
2017-06-19,18:00:00,21.826,21.826,21.822,21.822,4671,0
2017-06-19,19:00:00,21.822,21.826,21.817,21.822,16058,0
2017-06-19,20:00:00,21.826,21.826,21.797,21.82,1382470,0
2017-06-19,21:00:00,21.826,21.826,21.807,21.812,9138,0
2017-06-19,22:00:00,21.817,21.826,21.797,21.797,7877,0
2017-06-20,16:00:00,21.743,21.768,21.709,21.768,8903,0
2017-06-20,17:00:00,21.768,21.768,21.757,21.765,4139,0
2017-06-20,18:00:00,21.768,21.778,21.699,21.729,9770,0
2017-06-20,19:00:00,21.738,21.758,21.738,21.753,3387,0
2017-06-20,20:00:00,21.758,21.768,21.748,21.758,4360,0
2017-06-20,21:00:00,21.758,21.768,21.748,21.758,5670,0
2017-06-20,22:00:00,21.758,21.768,21.748,21.758,9330,0
2017-06-21,16:00:00,21.729,21.757,21.641,21.748,2417,0
2017-06-21,17:00:00,21.739,21.758,21.729,21.746,17339,0
2017-06-21,18:00:00,21.743,21.743,21.69,21.69,3657,0
2017-06-21,19:00:00,21.709,21.719,21.706,21.714,7388,0
2017-06-21,20:00:00,21.693,21.738,21.691,21.716,19451,0
2017-06-21,21:00:00,21.729,21.738,21.711,21.719,6771,0
2017-06-21,22:00:00,21.748,21.748,21.719,21.719,88892,0
2017-06-22,16:00:00,21.699,21.743,21.674,21.728,3655,0
2017-06-22,17:00:00,21.699,21.735,21.699,21.735,1122,0
2017-06-22,18:00:00,21.747,21.747,21.747,21.747,307,0
