Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-15,15:00:00,54.951,55.21,54.951,55.21,2041,0
2017-03-15,16:00:00,55.09,55.249,55.09,55.133,566,0
2017-03-15,17:00:00,55.369,55.369,55.22,55.22,1739,0
2017-03-15,18:00:00,55.272,55.272,55.272,55.272,201,0
2017-03-15,19:00:00,55.22,55.22,55.191,55.21,5653,0
2017-03-15,20:00:00,55.568,55.709,55.23,55.607,13493,0
2017-03-15,21:00:00,55.667,55.916,55.609,55.786,15167,0
2017-03-16,15:00:00,55.812,55.906,55.812,55.906,323,0
2017-03-16,16:00:00,55.916,55.916,55.677,55.736,9048,0
2017-03-16,17:00:00,55.607,55.607,55.541,55.573,1114,0
2017-03-16,18:00:00,55.638,55.73,55.626,55.73,746,0
2017-03-16,19:00:00,55.679,55.707,55.671,55.706,1030,0
2017-03-16,20:00:00,55.717,55.736,55.567,55.573,2132,0
2017-03-16,21:00:00,55.562,55.677,55.517,55.567,6224,0
2017-03-17,15:00:00,55.965,56.095,55.965,56.095,500,0
2017-03-17,16:00:00,55.776,55.796,55.657,55.657,1476,0
2017-03-17,17:00:00,55.637,55.637,55.637,55.637,100,0
2017-03-17,18:00:00,55.826,55.995,55.826,55.995,1002,0
2017-03-17,19:00:00,55.995,56.005,55.956,55.956,4966,0
2017-03-17,20:00:00,56.005,56.075,56.005,56.075,990,0
2017-03-17,21:00:00,55.975,56.283,55.921,56.223,2282,0
2017-03-20,15:00:00,56.025,56.025,55.862,55.862,317,0
2017-03-20,16:00:00,55.802,55.995,55.802,55.995,1637,0
2017-03-20,17:00:00,55.799,55.861,55.799,55.856,6798,0
2017-03-20,18:00:00,55.856,55.856,55.856,55.856,301,0
2017-03-20,19:00:00,55.816,55.816,55.642,55.66,726,0
2017-03-20,21:00:00,55.721,55.766,55.691,55.701,1417,0
2017-03-21,15:00:00,55.776,55.776,55.614,55.614,402,0
2017-03-21,16:00:00,55.07,55.07,55.07,55.07,100,0
2017-03-21,17:00:00,54.841,54.866,54.364,54.364,10866,0
2017-03-21,18:00:00,54.801,54.861,54.672,54.672,1662,0
2017-03-21,19:00:00,54.671,54.752,54.671,54.752,352,0
2017-03-21,20:00:00,54.642,54.731,54.642,54.728,1081,0
2017-03-21,21:00:00,54.712,54.712,54.344,54.344,1802,0
2017-03-22,15:00:00,54.205,54.434,54.165,54.245,2514,0
2017-03-22,16:00:00,54.125,54.135,53.876,53.958,3029,0
2017-03-22,17:00:00,53.966,53.996,53.772,53.866,6566,0
2017-03-22,18:00:00,53.836,53.836,53.624,53.748,3383,0
2017-03-22,19:00:00,53.678,53.817,53.648,53.725,3239,0
2017-03-22,20:00:00,53.816,53.816,53.698,53.698,1595,0
2017-03-22,21:00:00,53.856,54.075,53.856,54.075,999,0
2017-03-23,15:00:00,54.065,54.135,54.065,54.135,2013,0
2017-03-23,16:00:00,54.085,54.563,54.085,54.524,2765,0
2017-03-23,17:00:00,54.484,54.612,54.474,54.494,1723,0
2017-03-23,18:00:00,54.563,54.642,54.563,54.642,704,0
2017-03-23,19:00:00,54.622,54.682,54.464,54.682,804,0
2017-03-23,20:00:00,54.638,54.638,54.638,54.638,687,0
2017-03-23,21:00:00,54.394,54.394,54.394,54.394,100,0
2017-03-24,15:00:00,54.424,54.574,54.424,54.574,477,0
2017-03-24,16:00:00,54.632,54.659,54.581,54.632,1950,0
2017-03-24,17:00:00,54.467,54.467,54.467,54.467,162,0
2017-03-24,18:00:00,54.371,54.371,54.371,54.371,121,0
2017-03-24,19:00:00,54.31,54.354,54.265,54.265,312,0
2017-03-24,20:00:00,54.204,54.235,54.204,54.235,286,0
2017-03-24,21:00:00,53.826,54.155,53.826,54.155,704,0
2017-03-27,16:00:00,53.768,55.13,53.21,53.21,846,0
2017-03-27,17:00:00,53.24,53.331,53.24,53.323,1324,0
2017-03-27,18:00:00,53.469,53.638,53.469,53.638,1005,0
2017-03-27,19:00:00,53.679,53.718,53.65,53.652,2764,0
2017-03-27,20:00:00,53.738,53.826,53.628,53.658,5631,0
2017-03-27,21:00:00,53.698,53.754,53.648,53.754,4253,0
2017-03-27,22:00:00,53.896,54.046,53.896,53.966,7387,0
2017-03-28,16:00:00,53.608,53.608,53.539,53.539,402,0
2017-03-28,17:00:00,53.663,53.723,53.638,53.723,1689,0
2017-03-28,18:00:00,53.733,54.065,53.733,54.065,4655,0
2017-03-28,19:00:00,54.135,54.135,54.109,54.109,746,0
2017-03-28,20:00:00,54.307,54.307,54.307,54.307,223,0
2017-03-28,21:00:00,54.415,54.415,54.346,54.346,282,0
2017-03-28,22:00:00,54.454,54.454,54.326,54.364,367,0
2017-03-29,17:00:00,54.314,54.314,54.225,54.225,219,0
2017-03-29,19:00:00,54.341,54.341,54.341,54.341,100,0
2017-03-29,21:00:00,54.414,54.533,54.414,54.533,443,0
2017-03-29,22:00:00,54.527,54.573,54.524,54.573,1928,0
2017-03-30,16:00:00,54.831,54.831,54.831,54.831,100,0
2017-03-30,17:00:00,54.712,54.801,54.712,54.801,284,0
2017-03-30,18:00:00,54.841,54.981,54.841,54.952,1006,0
2017-03-30,20:00:00,54.982,54.982,54.982,54.982,100,0
2017-03-30,21:00:00,54.974,55,54.903,54.903,479,0
2017-03-30,22:00:00,54.93,55.11,54.93,55.11,629,0
2017-03-31,17:00:00,55.08,55.16,55.08,55.16,675,0
2017-03-31,19:00:00,55.564,55.564,55.564,55.564,514,0
2017-03-31,20:00:00,55.601,55.656,55.601,55.605,546,0
2017-03-31,22:00:00,55.507,55.658,55.389,55.507,2460,0
2017-04-03,16:00:00,55.526,55.526,55.526,55.526,184,0
2017-04-03,17:00:00,55.249,55.249,54.921,54.921,1790,0
2017-04-03,18:00:00,54.513,54.513,54.513,54.513,210,0
2017-04-03,19:00:00,54.195,54.348,54.195,54.348,256,0
2017-04-03,20:00:00,54.384,54.384,54.374,54.374,201,0
2017-04-03,21:00:00,54.404,54.404,54.404,54.404,132,0
2017-04-04,16:00:00,54.235,54.434,54.235,54.434,301,0
2017-04-04,18:00:00,54.306,54.306,54.306,54.306,206,0
2017-04-04,19:00:00,54.188,54.188,54.173,54.173,315,0
2017-04-04,20:00:00,54.105,54.125,54.105,54.125,313,0
2017-04-04,21:00:00,54.143,54.143,54.143,54.143,140,0
2017-04-04,22:00:00,53.996,53.996,53.996,53.996,531,0
2017-04-05,16:00:00,54.569,54.569,54.569,54.569,100,0
2017-04-05,18:00:00,54.121,54.121,54.121,54.121,105,0
2017-04-05,19:00:00,54.404,54.443,54.334,54.392,5639,0
2017-04-05,20:00:00,54.374,54.404,54.334,54.344,5027,0
2017-04-05,21:00:00,54.065,54.065,54.065,54.065,301,0
2017-04-05,22:00:00,53.739,53.739,53.739,53.739,131,0
2017-04-06,17:00:00,53.78,53.78,53.597,53.597,805,0
2017-04-06,18:00:00,54.011,54.011,54.01,54.011,1144,0
2017-04-06,19:00:00,53.993,54.085,53.993,54.085,774,0
2017-04-06,21:00:00,54.178,54.178,54.039,54.039,257,0
2017-04-07,17:00:00,53.985,54.215,53.985,54.142,1493,0
2017-04-07,18:00:00,53.99,53.99,53.99,53.99,214,0
2017-04-07,19:00:00,54.068,54.155,54.068,54.155,426,0
2017-04-07,20:00:00,54.324,54.324,54.162,54.162,290,0
2017-04-07,21:00:00,54.18,54.18,53.968,53.976,1065,0
2017-04-07,22:00:00,54.068,54.235,54.068,54.153,877,0
2017-04-10,16:00:00,54.807,54.807,54.807,54.807,136,0
2017-04-10,18:00:00,54.722,54.722,54.602,54.602,1644,0
2017-04-10,19:00:00,54.514,54.514,54.504,54.504,484,0
2017-04-10,21:00:00,54.524,54.652,54.524,54.652,1163,0
2017-04-10,22:00:00,54.678,54.712,54.678,54.712,919,0
2017-04-11,17:00:00,54.602,54.602,54.602,54.602,351,0
2017-04-11,18:00:00,54.374,54.573,54.323,54.573,1393,0
2017-04-11,21:00:00,54.83,54.844,54.83,54.844,247,0
2017-04-11,22:00:00,54.964,54.994,54.936,54.936,2086,0
2017-04-12,16:00:00,54.861,54.861,54.801,54.801,869,0
2017-04-12,17:00:00,54.613,54.613,54.091,54.091,791,0
2017-04-12,18:00:00,53.946,54.035,53.946,54.035,480,0
2017-04-12,20:00:00,54.125,54.225,54.125,54.215,402,0
2017-04-12,21:00:00,54.215,54.225,54.006,54.036,1333,0
2017-04-12,22:00:00,54.056,54.095,53.846,53.946,1384,0
2017-04-13,17:00:00,53.908,53.908,53.658,53.763,1840,0
2017-04-13,18:00:00,53.552,53.552,53.552,53.552,304,0
2017-04-13,19:00:00,53.285,53.479,53.24,53.345,1963,0
2017-04-13,20:00:00,53.179,53.179,53.179,53.179,151,0
2017-04-13,21:00:00,53.336,53.351,53.321,53.351,604,0
2017-04-13,22:00:00,53.095,53.23,53.095,53.23,7472,0
2017-04-17,17:00:00,53.482,53.482,53.347,53.392,1086,0
2017-04-17,18:00:00,53.469,53.479,53.419,53.419,26216,0
2017-04-17,19:00:00,53.369,53.459,53.369,53.445,726,0
2017-04-17,20:00:00,53.429,53.429,53.429,53.429,178,0
2017-04-17,21:00:00,53.327,53.464,53.28,53.464,2629,0
2017-04-17,22:00:00,53.409,53.836,53.409,53.836,15057,0
2017-04-18,16:00:00,53.469,53.469,53.469,53.469,111,0
2017-04-18,17:00:00,53.687,53.687,53.687,53.687,100,0
2017-04-18,18:00:00,53.668,53.668,53.664,53.664,820,0
2017-04-18,20:00:00,53.628,53.779,53.618,53.779,7345,0
2017-04-18,21:00:00,54.035,54.035,53.787,53.787,708,0
2017-04-18,22:00:00,53.826,54.046,53.787,54.046,639,0
2017-04-19,16:00:00,54.046,54.364,54.046,54.364,320,0
2017-04-19,17:00:00,54.415,54.415,54.415,54.415,265,0
2017-04-19,18:00:00,54.414,54.627,54.414,54.627,714,0
2017-04-19,20:00:00,54.454,54.454,54.385,54.385,730,0
2017-04-19,21:00:00,54.394,54.394,54.394,54.394,100,0
2017-04-19,22:00:00,54.414,54.414,54.384,54.384,396,0
