Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-09-16,16:00:00,50,50,50,50,1000,0
2015-09-16,22:00:00,49.51,49.51,49.5,49.5,900,0
2015-09-17,19:00:00,49.45,49.45,49.45,49.45,102,0
2015-09-17,21:00:00,48.87,48.87,48.87,48.87,100,0
2015-09-18,17:00:00,49.668,49.668,49.668,49.668,300,0
2015-09-18,18:00:00,49.41,49.84,49.41,49.84,490,0
2015-09-18,22:00:00,50.08,50.08,50.08,50.08,100,0
2015-09-21,22:00:00,51.75,52.4742,51.75,52.4742,350,0
2015-09-22,16:00:00,52.5601,52.5601,52.5601,52.5601,100,0
2015-09-22,22:00:00,52.3801,52.3801,52.3801,52.3801,175,0
2015-09-23,17:00:00,53.1047,53.1047,53.1047,53.1047,300,0
2015-09-23,18:00:00,52.51,52.51,52.51,52.51,100,0
2015-09-23,21:00:00,53.0164,53.0164,53.0164,53.0164,188,0
2015-09-24,17:00:00,54.43,54.43,54.43,54.43,200,0
2015-09-24,18:00:00,55.2942,55.2942,55.2942,55.2942,200,0
2015-09-24,21:00:00,54.46,54.46,54.46,54.46,100,0
2015-09-24,22:00:00,53.746,53.98,53.746,53.98,330,0
2015-09-25,16:00:00,55.32,55.32,51.99,53.41,659,0
2015-09-25,21:00:00,57.1,57.9946,57.1,57.8239,500,0
2015-09-25,22:00:00,57.246,58.1999,57.246,57.408,500,0
2015-09-28,16:00:00,59.2,59.54,59.2,59.54,5272,0
2015-09-28,17:00:00,59.7,60.4976,59.6482,59.6899,10838,0
2015-09-28,18:00:00,59.982,60.3,59.974,60.3,563,0
2015-09-28,20:00:00,61.894,61.9268,61.8299,61.8299,1100,0
2015-09-28,21:00:00,62.49,63.1,61.3,61.8,14370,0
2015-09-28,22:00:00,62.54,62.57,61.61,61.881,2725,0
2015-09-29,16:00:00,61.2,61.5122,61.2,61.2,600,0
2015-09-29,17:00:00,60.92,60.92,58.53,59.59,948,0
2015-09-29,18:00:00,60,60,60,60,100,0
2015-09-29,19:00:00,60.23,60.23,60.23,60.23,100,0
2015-09-29,20:00:00,60.56,60.61,60.03,60.04,715,0
2015-09-29,21:00:00,60.81,60.81,60.81,60.81,100,0
2015-09-29,22:00:00,61.51,61.8,61.4841,61.8,700,0
