Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,62.449,62.449,62.301,62.339,19375,0
2017-05-16,17:00:00,62.331,62.338,62.123,62.181,70906,0
2017-05-16,18:00:00,62.173,62.291,62.152,62.25,20431,0
2017-05-16,19:00:00,62.237,62.291,62.232,62.27,19205,0
2017-05-16,20:00:00,62.23,62.261,62.225,62.232,11403,0
2017-05-16,21:00:00,62.217,62.241,62.191,62.21,18749,0
2017-05-16,22:00:00,62.221,62.281,62.204,62.281,51303,0
2017-05-17,16:00:00,61.735,61.845,61.625,61.645,32786,0
2017-05-17,17:00:00,61.62,61.685,61.406,61.416,65000,0
2017-05-17,18:00:00,61.426,61.565,61.355,61.565,120014,0
2017-05-17,19:00:00,61.531,61.575,61.486,61.575,88279,0
2017-05-17,20:00:00,61.565,61.565,61.396,61.418,49500,0
2017-05-17,21:00:00,61.436,61.446,61.154,61.262,44630,0
2017-05-17,22:00:00,61.257,61.357,61.049,61.068,85782,0
2017-05-18,16:00:00,61.058,61.217,61.056,61.135,93712,0
2017-05-18,17:00:00,61.208,61.515,61.208,61.393,55302,0
2017-05-18,18:00:00,61.426,61.495,61.279,61.318,18971,0
2017-05-18,19:00:00,61.298,61.386,61.226,61.307,18517,0
2017-05-18,20:00:00,61.334,61.488,61.277,61.453,19032,0
2017-05-18,21:00:00,61.466,61.666,61.466,61.517,46753,0
2017-05-18,22:00:00,61.536,61.576,61.426,61.426,65880,0
2017-05-19,16:00:00,61.655,61.843,61.607,61.795,38551,0
2017-05-19,17:00:00,61.793,61.923,61.768,61.909,45955,0
2017-05-19,18:00:00,61.913,61.963,61.883,61.953,72664,0
2017-05-19,19:00:00,61.953,62.043,61.943,62.003,18632,0
2017-05-19,20:00:00,62.003,62.03,61.969,61.986,25439,0
2017-05-19,21:00:00,62.013,62.072,61.983,62.013,12815,0
2017-05-19,22:00:00,62.013,62.013,61.815,61.823,56992,0
2017-05-22,16:00:00,62.013,62.181,62.013,62.161,13418,0
2017-05-22,17:00:00,62.158,62.189,62.099,62.111,11455,0
2017-05-22,18:00:00,62.116,62.191,62.101,62.168,10282,0
2017-05-22,19:00:00,62.193,62.261,62.193,62.221,10489,0
