Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-15,16:00:00,36.779,36.996,36.739,36.996,8558,0
2017-05-15,17:00:00,36.984,37.026,36.938,37.006,58709,0
2017-05-15,18:00:00,37.034,37.034,36.977,36.993,2823,0
2017-05-15,19:00:00,37.02,37.02,36.977,36.996,2102,0
2017-05-15,20:00:00,36.958,37.01,36.948,36.958,23241,0
2017-05-15,21:00:00,36.938,36.938,36.799,36.799,7025,0
2017-05-15,22:00:00,36.829,36.938,36.829,36.908,32363,0
2017-05-16,16:00:00,36.987,36.987,36.906,36.925,6555,0
2017-05-16,17:00:00,36.894,36.908,36.709,36.769,14639,0
2017-05-16,18:00:00,36.747,36.878,36.747,36.868,32438,0
2017-05-16,19:00:00,36.858,36.878,36.847,36.867,8501,0
2017-05-16,20:00:00,36.838,36.838,36.819,36.829,10276,0
2017-05-16,21:00:00,36.848,36.848,36.809,36.809,202,0
2017-05-16,22:00:00,36.838,36.911,36.838,36.898,11674,0
2017-05-17,16:00:00,36.403,36.442,36.205,36.205,16466,0
2017-05-17,17:00:00,36.195,36.254,36.116,36.116,6445,0
2017-05-17,18:00:00,36.056,36.175,36.027,36.175,12003,0
2017-05-17,19:00:00,36.132,36.132,36.017,36.106,2108,0
2017-05-17,20:00:00,36.066,36.066,35.937,35.937,7263,0
2017-05-17,21:00:00,35.975,35.975,35.71,35.789,129750,0
2017-05-17,22:00:00,35.839,35.947,35.739,35.789,55938,0
2017-05-18,16:00:00,35.68,35.789,35.581,35.62,110237,0
2017-05-18,17:00:00,35.65,36.037,35.65,35.937,27675,0
2017-05-18,18:00:00,35.927,35.967,35.829,35.829,2627,0
2017-05-18,19:00:00,35.85,35.907,35.793,35.809,9759,0
2017-05-18,20:00:00,35.829,35.907,35.819,35.885,55826,0
2017-05-18,21:00:00,35.956,36.103,35.956,35.977,61186,0
2017-05-18,22:00:00,35.987,36.017,35.897,35.897,19558,0
2017-05-19,16:00:00,36.136,36.335,36.136,36.335,2133,0
2017-05-19,17:00:00,36.344,36.482,36.344,36.459,4494,0
2017-05-19,18:00:00,36.451,36.472,36.442,36.442,117212,0
2017-05-19,19:00:00,36.492,36.551,36.457,36.541,97767,0
2017-05-19,20:00:00,36.52,36.537,36.492,36.492,2605,0
2017-05-19,21:00:00,36.571,36.601,36.571,36.594,1717,0
2017-05-19,22:00:00,36.452,36.482,36.413,36.423,20401,0
2017-05-22,16:00:00,36.631,36.671,36.591,36.591,5942,0
2017-05-22,17:00:00,36.592,36.671,36.414,36.423,19336,0
2017-05-22,18:00:00,36.452,36.502,36.423,36.502,5379,0
2017-05-22,19:00:00,36.542,36.601,36.521,36.521,16942,0
2017-05-22,20:00:00,36.531,36.561,36.512,36.512,26927,0
2017-05-22,21:00:00,36.502,36.561,36.482,36.546,6637,0
2017-05-22,22:00:00,36.546,36.601,36.531,36.551,17492,0
2017-05-23,16:00:00,36.621,36.621,36.413,36.423,6751,0
2017-05-23,17:00:00,36.439,36.541,36.373,36.541,11661,0
2017-05-23,18:00:00,36.541,36.661,36.521,36.661,12980,0
2017-05-23,19:00:00,36.65,36.671,36.581,36.581,11960,0
2017-05-23,20:00:00,36.641,36.644,36.611,36.621,1621,0
2017-05-23,21:00:00,36.617,36.709,36.598,36.709,7310,0
