Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,55.077,55.097,54.977,54.988,19482,0
2017-05-16,17:00:00,54.999,55.027,54.978,55.021,118577,0
2017-05-16,18:00:00,55.047,55.047,55.007,55.027,19470,0
2017-05-16,19:00:00,55.031,55.077,55.027,55.057,33158,0
2017-05-16,20:00:00,55.077,55.077,55.037,55.047,10940,0
2017-05-16,21:00:00,55.069,55.093,55.027,55.05,54147,0
2017-05-16,22:00:00,55.047,55.107,55.047,55.107,23263,0
2017-05-17,16:00:00,55.057,55.107,55.017,55.047,213061,0
2017-05-17,17:00:00,55.047,55.099,55.017,55.017,54705,0
2017-05-17,18:00:00,55.027,55.047,54.978,55.027,36114,0
2017-05-17,19:00:00,54.997,55.057,54.978,55.007,57094,0
2017-05-17,20:00:00,55.027,55.05,54.997,54.997,53175,0
2017-05-17,21:00:00,54.997,55.027,54.909,54.949,88687,0
2017-05-17,22:00:00,54.949,55.047,54.904,54.949,237774,0
2017-05-18,16:00:00,54.77,54.929,54.512,54.532,56638,0
2017-05-18,17:00:00,54.54,54.71,54.532,54.621,20794,0
2017-05-18,18:00:00,54.66,54.716,54.612,54.628,36260,0
2017-05-18,19:00:00,54.62,54.66,54.582,54.601,40828,0
2017-05-18,20:00:00,54.66,54.66,54.562,54.623,20574,0
2017-05-18,21:00:00,54.611,54.759,54.602,54.68,18962,0
2017-05-18,22:00:00,54.677,54.709,54.616,54.65,21900,0
2017-05-19,16:00:00,55.057,55.057,54.934,54.988,181552,0
2017-05-19,17:00:00,54.997,55.047,54.959,55.022,64031,0
2017-05-19,18:00:00,55.035,55.077,55.007,55.027,45840,0
2017-05-19,19:00:00,55.047,55.097,55.027,55.067,40358,0
2017-05-19,20:00:00,55.087,55.147,55.077,55.137,29338,0
2017-05-19,21:00:00,55.136,55.162,55.117,55.157,20623,0
2017-05-19,22:00:00,55.157,55.157,55.077,55.137,117556,0
2017-05-22,16:00:00,55.315,55.395,55.236,55.375,41138,0
2017-05-22,17:00:00,55.369,55.394,55.335,55.347,15489,0
2017-05-22,18:00:00,55.325,55.364,55.276,55.34,79427,0
2017-05-22,19:00:00,55.335,55.391,55.325,55.355,75685,0
2017-05-22,20:00:00,55.355,55.394,55.335,55.363,36391,0
2017-05-22,21:00:00,55.374,55.386,55.325,55.345,13655,0
2017-05-22,22:00:00,55.365,55.404,55.345,55.365,147598,0
2017-05-23,16:00:00,55.335,55.345,55.223,55.266,31313,0
2017-05-23,17:00:00,55.274,55.325,55.226,55.305,45082,0
2017-05-23,18:00:00,55.277,55.315,55.24,55.24,11643,0
2017-05-23,19:00:00,55.19,55.226,55.117,55.137,162362,0
2017-05-23,20:00:00,55.147,55.206,55.147,55.157,22220,0
2017-05-23,21:00:00,55.174,55.216,55.147,55.147,17540,0
2017-05-23,22:00:00,55.157,55.179,55.127,55.137,86600,0
2017-05-24,16:00:00,55.286,55.365,55.187,55.335,20895,0
2017-05-24,17:00:00,55.325,55.407,55.325,55.385,54126,0
2017-05-24,18:00:00,55.365,55.388,55.352,55.362,23676,0
2017-05-24,19:00:00,55.355,55.375,55.335,55.335,28515,0
2017-05-24,20:00:00,55.35,55.429,55.335,55.404,24543,0
2017-05-24,21:00:00,55.395,55.544,55.395,55.506,158796,0
2017-05-24,22:00:00,55.514,55.574,55.494,55.574,64940,0
2017-05-25,16:00:00,55.792,55.801,55.702,55.752,16268,0
2017-05-25,17:00:00,55.769,55.811,55.742,55.742,29520,0
2017-05-25,18:00:00,55.767,55.821,55.673,55.712,16982,0
2017-05-25,19:00:00,55.709,55.771,55.682,55.742,39374,0
2017-05-25,20:00:00,55.722,55.76,55.672,55.692,39129,0
2017-05-25,21:00:00,55.707,55.722,55.682,55.712,14113,0
