Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,29.221,29.28,29.051,29.191,400312,0
2017-05-16,17:00:00,29.191,29.211,28.941,29.011,365334,0
2017-05-16,18:00:00,29.021,29.206,29.011,29.126,345025,0
2017-05-16,19:00:00,29.126,29.221,29.075,29.211,274956,0
2017-05-16,20:00:00,29.201,29.28,29.191,29.28,157772,0
2017-05-16,21:00:00,29.28,29.308,29.241,29.246,539327,0
2017-05-16,22:00:00,29.241,29.27,29.181,29.201,535699,0
2017-05-17,16:00:00,29.081,29.144,28.892,28.931,258792,0
2017-05-17,17:00:00,28.931,28.986,28.812,28.852,558639,0
2017-05-17,18:00:00,28.862,28.941,28.802,28.941,377746,0
2017-05-17,19:00:00,28.927,28.991,28.902,28.951,218479,0
2017-05-17,20:00:00,28.951,28.951,28.827,28.867,132416,0
2017-05-17,21:00:00,28.862,28.893,28.633,28.703,300294,0
2017-05-17,22:00:00,28.698,28.852,28.673,28.703,1045607,0
2017-05-18,16:00:00,28.314,28.319,27.895,27.985,516828,0
2017-05-18,17:00:00,27.985,28.473,27.985,28.374,1175709,0
2017-05-18,18:00:00,28.364,28.598,28.284,28.483,552569,0
2017-05-18,19:00:00,28.493,28.658,28.493,28.573,543177,0
2017-05-18,20:00:00,28.573,28.573,28.413,28.503,667128,0
2017-05-18,21:00:00,28.498,28.633,28.493,28.533,786363,0
2017-05-18,22:00:00,28.533,28.583,28.443,28.453,1219589,0
2017-05-19,16:00:00,28.742,29.006,28.693,28.937,347054,0
2017-05-19,17:00:00,28.941,29.201,28.897,29.151,345168,0
2017-05-19,18:00:00,29.161,29.171,29.011,29.111,210057,0
2017-05-19,19:00:00,29.111,29.161,29.061,29.091,99423,0
2017-05-19,20:00:00,29.091,29.141,29.026,29.136,110269,0
2017-05-19,21:00:00,29.141,29.26,29.115,29.241,472334,0
2017-05-19,22:00:00,29.241,29.241,28.956,28.971,724476,0
2017-05-22,16:00:00,29.191,29.38,29.161,29.171,205903,0
2017-05-22,17:00:00,29.171,29.29,29.061,29.081,144928,0
2017-05-22,18:00:00,29.081,29.151,29.001,29.081,350728,0
2017-05-22,19:00:00,29.086,29.171,29.071,29.121,109382,0
2017-05-22,20:00:00,29.111,29.201,29.101,29.161,108798,0
2017-05-22,21:00:00,29.156,29.25,29.131,29.191,149209,0
2017-05-22,22:00:00,29.191,29.201,29.121,29.131,634543,0
2017-05-23,16:00:00,29.201,29.28,29.091,29.131,177844,0
2017-05-23,17:00:00,29.136,29.37,28.981,29.37,225023,0
2017-05-23,18:00:00,29.38,29.649,29.37,29.519,672832,0
2017-05-23,19:00:00,29.519,29.539,29.32,29.4,114759,0
2017-05-23,20:00:00,29.4,29.479,29.37,29.46,200118,0
2017-05-23,21:00:00,29.46,29.669,29.46,29.659,256431,0
2017-05-23,22:00:00,29.659,29.759,29.599,29.609,1314552,0
2017-05-24,16:00:00,29.659,30.077,29.639,30.067,390358,0
2017-05-24,17:00:00,30.067,30.102,29.848,29.848,488651,0
2017-05-24,18:00:00,29.853,29.873,29.3,29.44,451138,0
2017-05-24,19:00:00,29.445,29.539,29.405,29.479,397033,0
2017-05-24,20:00:00,29.479,29.519,29.385,29.45,169346,0
2017-05-24,21:00:00,29.43,29.599,29.4,29.45,309885,0
2017-05-24,22:00:00,29.46,29.629,29.46,29.619,855164,0
2017-05-25,16:00:00,29.649,30.007,29.529,29.898,320363,0
2017-05-25,17:00:00,29.898,29.918,29.509,29.519,417625,0
2017-05-25,18:00:00,29.529,29.679,29.27,29.29,335406,0
2017-05-25,19:00:00,29.29,29.415,29.241,29.28,297444,0
2017-05-25,20:00:00,29.28,29.29,29.181,29.285,207766,0
2017-05-25,21:00:00,29.3,29.38,29.28,29.29,146245,0
2017-05-25,22:00:00,29.295,29.425,29.295,29.341,418092,0
2017-05-26,16:00:00,29.35,29.46,29.28,29.41,173482,0
2017-05-26,17:00:00,29.4,29.45,29.231,29.29,167824,0
2017-05-26,18:00:00,29.293,29.32,29.171,29.241,131692,0
2017-05-26,19:00:00,29.241,29.35,29.216,29.314,73824,0
2017-05-26,20:00:00,29.32,29.325,29.25,29.29,109201,0
2017-05-26,21:00:00,29.28,29.35,29.265,29.28,117602,0
2017-05-26,22:00:00,29.285,29.3,29.231,29.28,613217,0
2017-05-30,16:00:00,29.051,29.231,29.041,29.141,133250,0
2017-05-30,17:00:00,29.141,29.3,28.931,29.231,584097,0
2017-05-30,18:00:00,29.241,29.33,29.136,29.181,349403,0
2017-05-30,19:00:00,29.181,29.211,29.081,29.191,198098,0
2017-05-30,20:00:00,29.186,29.32,29.166,29.246,139322,0
2017-05-30,21:00:00,29.25,29.35,29.25,29.325,242487,0
2017-05-30,22:00:00,29.33,29.37,29.141,29.141,1004590,0
2017-05-31,16:00:00,28.991,29.141,28.413,28.433,571100,0
2017-05-31,17:00:00,28.428,28.453,28.184,28.374,904117,0
2017-05-31,18:00:00,28.369,28.593,28.304,28.583,545673,0
2017-05-31,19:00:00,28.583,28.832,28.573,28.762,604735,0
2017-05-31,20:00:00,28.762,28.837,28.703,28.732,396654,0
2017-05-31,21:00:00,28.732,28.827,28.693,28.782,446081,0
