Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-03,18:00:00,24.46,24.509,24.46,24.509,518,0
2017-01-03,22:00:00,24.784,24.784,24.784,24.784,208,0
2017-01-04,16:00:00,24.595,24.625,24.412,24.571,6880,0
2017-01-04,17:00:00,24.522,24.74,24.519,24.526,2374,0
2017-01-04,18:00:00,24.595,24.595,24.431,24.451,1669,0
2017-01-04,21:00:00,24.499,24.567,24.451,24.567,2851,0
2017-01-04,22:00:00,24.499,24.711,24.421,24.441,7720,0
2017-01-05,17:00:00,24.545,24.595,24.499,24.595,615,0
2017-01-05,20:00:00,24.547,24.6,24.547,24.6,2198,0
2017-01-05,21:00:00,24.547,24.653,24.46,24.595,1763,0
2017-01-05,22:00:00,24.653,24.682,24.653,24.682,2177,0
2017-01-06,19:00:00,24.577,24.577,24.577,24.577,322,0
2017-01-06,22:00:00,24.598,24.624,24.576,24.576,1947,0
2017-01-09,18:00:00,24.595,24.662,24.595,24.652,830,0
2017-01-09,19:00:00,24.654,24.654,24.654,24.654,208,0
2017-01-09,21:00:00,24.585,24.585,24.585,24.585,180,0
2017-01-09,22:00:00,24.683,24.683,24.683,24.683,237,0
2017-01-10,19:00:00,24.748,24.748,24.682,24.682,2291,0
2017-01-10,21:00:00,24.6,24.6,24.6,24.6,311,0
2017-01-10,22:00:00,24.588,24.588,24.542,24.542,1244,0
2017-01-11,17:00:00,24.71,24.71,24.71,24.71,1555,0
2017-01-11,18:00:00,24.593,24.593,24.593,24.593,651,0
2017-01-11,20:00:00,24.749,24.846,24.643,24.653,3352,0
2017-01-11,21:00:00,24.726,24.726,24.726,24.726,1037,0
2017-01-11,22:00:00,24.595,24.595,24.576,24.576,208,0
2017-01-12,21:00:00,24.57,24.57,24.57,24.57,518,0
2017-01-13,19:00:00,24.576,24.576,24.576,24.576,414,0
2017-01-13,20:00:00,24.673,24.691,24.643,24.643,1140,0
2017-01-13,21:00:00,24.676,24.691,24.676,24.691,1348,0
2017-01-13,22:00:00,24.691,24.691,24.605,24.605,898,0
2017-01-17,19:00:00,24.634,24.634,24.634,24.634,104,0
2017-01-17,20:00:00,24.63,24.63,24.63,24.63,1037,0
2017-01-17,21:00:00,24.817,24.858,24.595,24.595,1348,0
2017-01-17,22:00:00,24.721,24.809,24.721,24.769,830,0
2017-01-18,17:00:00,24.813,24.813,24.768,24.768,726,0
2017-01-18,19:00:00,24.595,24.595,24.595,24.595,622,0
2017-01-18,21:00:00,24.747,24.747,24.747,24.747,453,0
2017-01-18,22:00:00,24.691,24.691,24.691,24.691,1700,0
2017-01-19,17:00:00,24.74,24.74,24.74,24.74,208,0
2017-01-19,18:00:00,24.856,24.856,24.856,24.856,414,0
2017-01-19,19:00:00,24.827,24.827,24.827,24.827,208,0
2017-01-19,21:00:00,24.779,24.807,24.779,24.807,208,0
2017-01-20,17:00:00,24.78,24.827,24.78,24.827,1810,0
2017-01-20,18:00:00,24.827,24.827,24.827,24.827,830,0
2017-01-20,19:00:00,24.79,24.827,24.79,24.827,242,0
2017-01-20,21:00:00,24.762,24.762,24.754,24.754,1068,0
2017-01-20,22:00:00,24.74,24.804,24.74,24.74,1659,0
2017-01-23,16:00:00,24.74,24.74,24.74,24.74,208,0
2017-01-23,19:00:00,24.74,24.759,24.74,24.759,1348,0
2017-01-23,21:00:00,24.86,24.86,24.86,24.86,270,0
2017-01-23,22:00:00,24.871,24.871,24.855,24.855,933,0
2017-01-24,21:00:00,24.74,24.768,24.74,24.768,2489,0
2017-01-24,22:00:00,24.788,24.796,24.749,24.749,1149,0
2017-01-25,16:00:00,24.74,24.74,24.74,24.74,104,0
2017-01-25,18:00:00,24.827,24.827,24.827,24.827,218,0
2017-01-25,21:00:00,24.74,24.74,24.74,24.74,311,0
2017-01-26,18:00:00,24.827,24.837,24.827,24.837,793,0
2017-01-26,20:00:00,24.846,24.88,24.837,24.877,2975,0
2017-01-27,16:00:00,24.894,24.894,24.789,24.837,1348,0
2017-01-27,19:00:00,24.875,24.875,24.875,24.875,188,0
2017-01-27,20:00:00,24.875,24.931,24.87,24.931,2146,0
2017-01-27,22:00:00,24.904,24.921,24.807,24.86,3212,0
2017-01-30,16:00:00,25.092,25.092,24.895,24.895,2738,0
2017-01-30,17:00:00,24.847,24.879,24.847,24.866,787,0
2017-01-30,18:00:00,24.922,24.922,24.856,24.856,1104,0
2017-01-30,19:00:00,24.896,24.912,24.866,24.896,7586,0
2017-01-30,20:00:00,24.906,24.906,24.896,24.896,2342,0
2017-01-30,21:00:00,24.896,24.925,24.866,24.896,993,0
2017-01-30,22:00:00,24.915,24.935,24.915,24.935,611,0
2017-01-31,16:00:00,24.905,24.905,24.898,24.898,662,0
2017-01-31,17:00:00,24.886,24.935,24.876,24.935,3077,0
2017-01-31,18:00:00,24.994,24.994,24.886,24.886,2586,0
2017-01-31,19:00:00,24.935,24.935,24.925,24.925,713,0
2017-01-31,20:00:00,24.896,24.958,24.896,24.958,3203,0
2017-01-31,21:00:00,24.945,24.945,24.866,24.925,3829,0
2017-01-31,22:00:00,24.945,24.96,24.866,24.945,6930,0
2017-02-01,16:00:00,24.959,24.962,24.945,24.945,3666,0
2017-02-01,17:00:00,24.945,24.974,24.945,24.945,7230,0
2017-02-01,18:00:00,24.945,24.945,24.945,24.945,1273,0
2017-02-01,19:00:00,24.964,24.964,24.964,24.964,2306,0
2017-02-01,21:00:00,24.941,24.964,24.941,24.964,901,0
2017-02-01,22:00:00,24.933,24.952,24.933,24.945,545,0
2017-02-02,21:00:00,25.023,25.023,25.023,25.023,102,0
2017-02-03,16:00:00,25.023,25.033,25.023,25.033,255,0
2017-02-03,17:00:00,25.377,25.377,25.377,25.377,102,0
2017-02-03,19:00:00,25.047,25.116,25.033,25.116,2699,0
2017-02-03,20:00:00,25.116,25.149,25.023,25.063,2826,0
2017-02-03,21:00:00,24.994,25.207,24.994,25.041,271,0
2017-02-03,22:00:00,24.974,25.023,24.974,25.023,229,0
2017-02-06,21:00:00,25.137,25.137,25.11,25.11,229,0
2017-02-07,17:00:00,24.974,24.999,24.974,24.999,770,0
2017-02-07,18:00:00,25.012,25.012,24.964,24.964,713,0
2017-02-07,20:00:00,25.043,25.043,25.043,25.043,280,0
2017-02-07,22:00:00,25.055,25.055,25.049,25.049,1018,0
2017-02-08,18:00:00,25.014,25.014,25.014,25.014,204,0
2017-02-08,22:00:00,25.043,25.043,25.043,25.043,204,0
2017-02-09,18:00:00,25.043,25.053,25.043,25.043,611,0
2017-02-09,19:00:00,25.063,25.063,25.054,25.054,431,0
2017-02-09,20:00:00,25.043,25.063,25.043,25.063,348,0
2017-02-09,22:00:00,25.043,25.043,25,25,1394,0
2017-02-10,17:00:00,24.955,24.955,24.945,24.945,1222,0
2017-02-10,19:00:00,24.984,24.993,24.984,24.993,1095,0
2017-02-10,20:00:00,24.994,25.043,24.994,25.043,407,0
2017-02-10,22:00:00,25.004,25.004,25.004,25.004,204,0
2017-02-13,20:00:00,24.964,24.964,24.964,24.964,204,0
2017-02-13,21:00:00,24.964,24.964,24.955,24.955,713,0
2017-02-13,22:00:00,24.945,24.945,24.945,24.945,305,0
2017-02-14,16:00:00,24.994,24.994,24.994,24.994,102,0
2017-02-14,17:00:00,24.945,24.945,24.945,24.945,713,0
2017-02-14,18:00:00,24.945,24.945,24.926,24.945,2321,0
2017-02-14,19:00:00,24.94,24.945,24.906,24.945,611,0
2017-02-14,22:00:00,24.944,24.945,24.902,24.902,1018,0
2017-02-15,16:00:00,25.063,25.063,24.984,24.984,943,0
2017-02-15,18:00:00,24.946,24.984,24.946,24.955,4349,0
2017-02-15,20:00:00,24.959,24.959,24.945,24.955,550,0
2017-02-15,21:00:00,24.955,24.974,24.955,24.974,1018,0
2017-02-15,22:00:00,24.92,24.92,24.92,24.92,220,0
2017-02-16,20:00:00,24.958,25.004,24.958,25.004,1120,0
2017-02-16,21:00:00,24.939,24.939,24.939,24.939,102,0
2017-02-16,22:00:00,24.962,25.003,24.962,25.003,1527,0
2017-02-17,18:00:00,24.906,24.943,24.906,24.943,891,0
2017-02-17,22:00:00,25.004,25.004,24.955,24.955,815,0
2017-02-21,16:00:00,24.945,24.955,24.945,24.945,916,0
2017-02-21,17:00:00,24.943,24.943,24.906,24.906,407,0
2017-02-21,18:00:00,24.935,24.935,24.906,24.906,1426,0
2017-02-21,20:00:00,24.925,24.925,24.906,24.906,1936,0
2017-02-21,22:00:00,24.935,24.935,24.935,24.935,611,0
2017-02-22,16:00:00,24.925,24.925,24.925,24.925,529,0
2017-02-22,17:00:00,24.955,24.955,24.945,24.945,712,0
2017-02-22,19:00:00,24.928,24.935,24.928,24.935,463,0
2017-02-22,20:00:00,24.945,24.955,24.945,24.955,2036,0
2017-02-22,22:00:00,24.945,24.945,24.925,24.925,869,0
2017-02-23,20:00:00,24.926,24.926,24.926,24.926,235,0
2017-02-23,21:00:00,24.945,24.945,24.925,24.925,546,0
2017-02-24,16:00:00,24.925,24.925,24.925,24.925,1018,0
2017-02-24,20:00:00,24.955,24.955,24.955,24.955,1222,0
2017-02-24,21:00:00,24.955,24.955,24.95,24.954,2066,0
2017-02-27,18:00:00,25.004,25.082,25.004,25.082,2521,0
2017-02-27,20:00:00,25.023,25.023,25.023,25.023,407,0
2017-02-27,22:00:00,25.082,25.082,25.023,25.024,1049,0
2017-02-28,17:00:00,24.926,24.974,24.926,24.974,1018,0
2017-02-28,19:00:00,25.072,25.072,25.023,25.023,1266,0
2017-02-28,20:00:00,25.059,25.082,24.974,25.075,664,0
