Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-15,16:00:00,12.739,12.833,12.739,12.833,6371,0
2017-05-15,17:00:00,12.833,12.833,12.739,12.739,6301,0
2017-05-15,18:00:00,12.833,12.833,12.739,12.809,5936,0
2017-05-15,19:00:00,12.81,12.833,12.785,12.809,3391,0
2017-05-15,20:00:00,12.785,12.833,12.785,12.809,18540,0
2017-05-15,21:00:00,12.833,12.833,12.785,12.785,2398,0
2017-05-15,22:00:00,12.833,12.833,12.785,12.833,2948,0
2017-05-16,16:00:00,12.833,12.833,12.767,12.767,8553,0
2017-05-16,17:00:00,12.762,12.785,12.739,12.743,9686,0
2017-05-16,18:00:00,12.785,12.833,12.785,12.785,5453,0
2017-05-16,19:00:00,12.805,12.833,12.785,12.785,4068,0
2017-05-16,20:00:00,12.785,12.856,12.785,12.785,11030,0
2017-05-16,21:00:00,12.768,12.833,12.739,12.833,3518,0
2017-05-16,22:00:00,12.785,12.828,12.691,12.691,23825,0
2017-05-17,16:00:00,12.691,12.691,12.409,12.596,9661,0
2017-05-17,17:00:00,12.739,12.739,12.644,12.691,1555,0
2017-05-17,18:00:00,12.739,12.739,12.644,12.739,2538,0
2017-05-17,19:00:00,12.691,12.739,12.691,12.739,1484,0
2017-05-17,20:00:00,12.739,12.785,12.739,12.785,3241,0
2017-05-17,21:00:00,12.739,12.739,12.644,12.644,3383,0
2017-05-17,22:00:00,12.644,12.739,12.596,12.644,6519,0
2017-05-18,16:00:00,12.644,12.739,12.548,12.596,12810,0
2017-05-18,17:00:00,12.548,12.739,12.548,12.739,1325,0
2017-05-18,18:00:00,12.739,12.785,12.644,12.785,5823,0
2017-05-18,19:00:00,12.762,12.773,12.691,12.691,5511,0
2017-05-18,20:00:00,12.691,12.739,12.691,12.716,6503,0
2017-05-18,21:00:00,12.739,12.739,12.691,12.739,7291,0
2017-05-18,22:00:00,12.757,12.785,12.503,12.526,7907,0
2017-05-19,16:00:00,12.691,12.691,12.573,12.621,4059,0
2017-05-19,17:00:00,12.548,12.596,12.503,12.548,2862,0
2017-05-19,18:00:00,12.548,12.691,12.526,12.691,5667,0
2017-05-19,19:00:00,12.691,12.739,12.691,12.691,546,0
2017-05-19,20:00:00,12.739,12.739,12.691,12.739,1908,0
2017-05-19,21:00:00,12.69,12.739,12.596,12.691,8819,0
2017-05-19,22:00:00,12.691,12.739,12.644,12.739,15716,0
2017-05-22,16:00:00,12.782,12.831,12.688,12.782,7726,0
2017-05-22,17:00:00,12.831,12.973,12.782,12.877,10618,0
2017-05-22,18:00:00,12.831,12.831,12.831,12.831,116,0
2017-05-22,19:00:00,12.831,12.831,12.782,12.817,2314,0
2017-05-22,20:00:00,12.831,12.831,12.831,12.831,496,0
2017-05-22,21:00:00,12.831,12.831,12.81,12.831,1362,0
2017-05-22,22:00:00,12.831,12.831,12.782,12.831,5891,0
2017-05-23,16:00:00,12.877,12.877,12.782,12.82,5841,0
2017-05-23,17:00:00,12.863,12.863,12.782,12.831,8454,0
2017-05-23,18:00:00,12.831,12.831,12.736,12.736,6229,0
2017-05-23,19:00:00,12.782,12.831,12.736,12.794,4594,0
2017-05-23,20:00:00,12.736,12.736,12.736,12.736,841,0
2017-05-23,21:00:00,12.736,12.759,12.688,12.759,4104,0
2017-05-23,22:00:00,12.759,12.782,12.688,12.736,10057,0
2017-05-24,16:00:00,12.782,12.782,12.688,12.736,3938,0
2017-05-24,17:00:00,12.744,12.744,12.688,12.688,2642,0
2017-05-24,18:00:00,12.688,12.736,12.64,12.736,4119,0
2017-05-24,19:00:00,12.688,12.782,12.688,12.688,5577,0
2017-05-24,20:00:00,12.736,12.736,12.688,12.688,4209,0
2017-05-24,21:00:00,12.688,12.782,12.688,12.736,5260,0
2017-05-24,22:00:00,12.688,12.736,12.688,12.736,6377,0
2017-05-25,16:00:00,12.782,12.831,12.782,12.814,4195,0
2017-05-25,17:00:00,12.831,12.877,12.802,12.877,7230,0
2017-05-25,18:00:00,12.926,12.926,12.831,12.836,9575,0
2017-05-25,19:00:00,12.877,12.877,12.831,12.877,4103,0
2017-05-25,20:00:00,12.877,12.926,12.782,12.782,5263,0
2017-05-25,21:00:00,12.807,12.807,12.736,12.736,1850,0
2017-05-25,22:00:00,12.736,12.782,12.688,12.688,10235,0
2017-05-26,16:00:00,12.736,12.877,12.688,12.688,6499,0
2017-05-26,17:00:00,12.736,12.736,12.593,12.688,12461,0
2017-05-26,18:00:00,12.736,12.782,12.64,12.64,3534,0
2017-05-26,19:00:00,12.688,12.688,12.64,12.64,421,0
2017-05-26,20:00:00,12.688,12.736,12.64,12.736,1728,0
2017-05-26,21:00:00,12.692,12.692,12.688,12.688,316,0
2017-05-26,22:00:00,12.64,12.688,12.593,12.688,4497,0
2017-05-30,16:00:00,12.688,12.712,12.688,12.688,1908,0
2017-05-30,17:00:00,12.64,12.736,12.593,12.593,7525,0
2017-05-30,18:00:00,12.593,12.64,12.544,12.64,3393,0
2017-05-30,19:00:00,12.593,12.593,12.544,12.544,832,0
2017-05-30,20:00:00,12.593,12.593,12.544,12.593,4160,0
2017-05-30,21:00:00,12.544,12.564,12.498,12.544,8298,0
2017-05-30,22:00:00,12.593,12.593,12.498,12.593,13747,0
2017-05-31,16:00:00,12.593,12.593,12.517,12.575,3715,0
2017-05-31,17:00:00,12.593,12.64,12.544,12.593,4420,0
2017-05-31,18:00:00,12.593,12.64,12.544,12.617,9760,0
2017-05-31,19:00:00,12.617,12.64,12.593,12.64,5046,0
2017-05-31,20:00:00,12.64,12.64,12.489,12.498,14952,0
2017-05-31,21:00:00,12.48,12.498,12.45,12.498,4104,0
2017-05-31,22:00:00,12.498,12.523,12.45,12.45,5948,0
2017-06-01,16:00:00,12.498,12.593,12.498,12.498,2285,0
2017-06-01,17:00:00,12.544,12.593,12.498,12.544,2511,0
2017-06-01,18:00:00,12.498,12.539,12.498,12.498,3524,0
2017-06-01,19:00:00,12.523,12.544,12.498,12.523,5278,0
2017-06-01,20:00:00,12.534,12.534,12.498,12.498,527,0
2017-06-01,21:00:00,12.523,12.612,12.498,12.544,4314,0
2017-06-01,22:00:00,12.594,12.64,12.544,12.64,5850,0
2017-06-02,16:00:00,12.64,12.64,12.544,12.544,4489,0
2017-06-02,17:00:00,12.544,12.578,12.544,12.544,5897,0
2017-06-02,18:00:00,12.544,12.593,12.544,12.544,5629,0
2017-06-02,19:00:00,12.544,12.544,12.45,12.464,14119,0
2017-06-02,20:00:00,12.45,12.465,12.404,12.404,6995,0
2017-06-02,21:00:00,12.404,12.45,12.404,12.426,4094,0
2017-06-02,22:00:00,12.408,12.426,12.212,12.308,53753,0
2017-06-05,16:00:00,12.308,12.404,12.308,12.308,4960,0
2017-06-05,17:00:00,12.335,12.355,12.308,12.331,10783,0
2017-06-05,18:00:00,12.318,12.355,12.308,12.308,9033,0
2017-06-05,19:00:00,12.339,12.355,12.308,12.331,11361,0
2017-06-05,20:00:00,12.322,12.355,12.322,12.355,1788,0
2017-06-05,21:00:00,12.355,12.404,12.331,12.331,13994,0
2017-06-05,22:00:00,12.308,12.404,12.308,12.355,16142,0
2017-06-06,16:00:00,12.355,12.45,12.355,12.379,3715,0
2017-06-06,17:00:00,12.379,12.404,12.355,12.404,14256,0
2017-06-06,18:00:00,12.379,12.404,12.355,12.355,2279,0
2017-06-06,19:00:00,12.355,12.355,12.355,12.355,4841,0
2017-06-06,20:00:00,12.331,12.355,12.331,12.355,2946,0
2017-06-06,21:00:00,12.313,12.379,12.313,12.355,4911,0
2017-06-06,22:00:00,12.355,12.355,12.308,12.355,1760,0
2017-06-07,16:00:00,12.404,12.498,12.404,12.404,16985,0
2017-06-07,17:00:00,12.426,12.498,12.404,12.498,19088,0
2017-06-07,18:00:00,12.498,12.498,12.45,12.45,6996,0
2017-06-07,19:00:00,12.45,12.45,12.404,12.45,5122,0
2017-06-07,20:00:00,12.45,12.45,12.355,12.404,10829,0
2017-06-07,21:00:00,12.379,12.404,12.355,12.379,6759,0
2017-06-07,22:00:00,12.355,12.404,12.355,12.355,5865,0
2017-06-08,16:00:00,12.45,12.45,12.404,12.404,7619,0
2017-06-08,17:00:00,12.404,12.425,12.355,12.36,5682,0
2017-06-08,18:00:00,12.355,12.404,12.355,12.355,2806,0
2017-06-08,19:00:00,12.355,12.404,12.284,12.298,18663,0
2017-06-08,20:00:00,12.261,12.308,12.261,12.308,4525,0
2017-06-08,21:00:00,12.308,12.355,12.261,12.31,5097,0
2017-06-08,22:00:00,12.29,12.355,12.261,12.308,10407,0
2017-06-09,16:00:00,12.308,12.404,12.308,12.308,3370,0
2017-06-09,17:00:00,12.308,12.331,12.308,12.331,593,0
2017-06-09,18:00:00,12.331,12.355,12.308,12.308,11996,0
2017-06-09,19:00:00,12.355,12.355,12.331,12.355,2314,0
