Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,36.653,36.678,36.205,36.355,72616,0
2017-05-16,17:00:00,36.355,36.963,36.355,36.843,214047,0
2017-05-16,18:00:00,36.838,37.022,36.773,37.012,145273,0
2017-05-16,19:00:00,37.007,37.132,36.873,36.973,144954,0
2017-05-16,20:00:00,36.973,37.092,36.873,37.062,121982,0
2017-05-16,21:00:00,37.062,37.211,37.052,37.172,215656,0
2017-05-16,22:00:00,37.172,37.361,37.172,37.281,404310,0
2017-05-17,16:00:00,36.703,36.913,36.253,36.345,61659,0
2017-05-17,17:00:00,36.305,36.445,36.225,36.29,295094,0
2017-05-17,18:00:00,36.28,36.445,36.28,36.445,155743,0
2017-05-17,19:00:00,36.455,36.564,36.375,36.524,139299,0
2017-05-17,20:00:00,36.494,36.564,36.335,36.345,137713,0
2017-05-17,21:00:00,36.335,36.395,36.085,36.175,150581,0
2017-05-17,22:00:00,36.175,36.385,36.09,36.095,387024,0
2017-05-18,16:00:00,35.927,36.145,35.817,35.897,103054,0
2017-05-18,17:00:00,35.917,36.284,35.907,36.195,93941,0
2017-05-18,18:00:00,36.215,36.215,35.817,35.827,91041,0
2017-05-18,19:00:00,35.837,36.016,35.787,36.016,95829,0
2017-05-18,20:00:00,36.016,36.105,35.957,36.075,77542,0
2017-05-18,21:00:00,36.075,36.155,36.036,36.065,93610,0
2017-05-18,22:00:00,36.065,36.385,36.036,36.215,371467,0
2017-05-19,16:00:00,36.415,37.082,36.415,36.913,80188,0
2017-05-19,17:00:00,36.893,37.162,36.893,37.142,105674,0
2017-05-19,18:00:00,37.152,37.251,37.042,37.152,151954,0
2017-05-19,19:00:00,37.162,37.261,37.122,37.201,132069,0
2017-05-19,20:00:00,37.201,37.331,37.152,37.301,109182,0
2017-05-19,21:00:00,37.306,37.411,37.291,37.326,103177,0
2017-05-19,22:00:00,37.321,37.326,37.152,37.191,404428,0
2017-05-22,16:00:00,37.52,38.078,37.306,38.048,103603,0
2017-05-22,17:00:00,38.068,38.108,37.86,37.979,246133,0
2017-05-22,18:00:00,37.979,38.193,37.819,38.168,142107,0
2017-05-22,19:00:00,38.171,38.232,37.999,37.999,123203,0
2017-05-22,20:00:00,38.009,38.293,37.979,38.183,150680,0
2017-05-22,21:00:00,38.183,38.183,37.919,37.929,123699,0
2017-05-22,22:00:00,37.939,37.969,37.849,37.899,281947,0
2017-05-23,16:00:00,37.969,38.048,37.66,37.71,50432,0
2017-05-23,17:00:00,37.72,37.72,37.421,37.64,82977,0
2017-05-23,18:00:00,37.64,38.248,37.575,38.248,223928,0
2017-05-23,19:00:00,38.258,38.586,38.248,38.566,252617,0
2017-05-23,20:00:00,38.561,38.826,38.447,38.556,594950,0
2017-05-23,21:00:00,38.536,38.646,38.367,38.427,196629,0
2017-05-23,22:00:00,38.417,38.422,38.208,38.367,451606,0
2017-05-24,16:00:00,38.357,38.631,38.213,38.218,20845,0
2017-05-24,17:00:00,38.288,38.397,38.138,38.238,67395,0
2017-05-24,18:00:00,38.198,38.258,37.909,37.929,81947,0
2017-05-24,19:00:00,37.924,37.979,37.759,37.769,57034,0
2017-05-24,20:00:00,37.769,37.789,37.679,37.68,68439,0
2017-05-24,21:00:00,37.69,37.859,37.69,37.75,111460,0
2017-05-24,22:00:00,37.75,37.839,37.685,37.799,277456,0
2017-05-25,16:00:00,37.969,37.969,37.65,37.789,96516,0
2017-05-25,17:00:00,37.789,37.799,37.291,37.296,116887,0
2017-05-25,18:00:00,37.301,37.321,37.137,37.19,131616,0
2017-05-25,19:00:00,37.191,37.271,37.157,37.201,84868,0
2017-05-25,20:00:00,37.201,37.221,37.127,37.211,103944,0
2017-05-25,21:00:00,37.211,37.231,37.127,37.177,148408,0
2017-05-25,22:00:00,37.172,37.381,37.172,37.351,382284,0
2017-05-26,16:00:00,37.341,37.54,37.241,37.431,39503,0
2017-05-26,17:00:00,37.411,37.421,37.142,37.172,139182,0
2017-05-26,18:00:00,37.172,37.231,37.092,37.132,100223,0
2017-05-26,19:00:00,37.142,37.281,37.142,37.221,65072,0
2017-05-26,20:00:00,37.231,37.341,37.196,37.271,80813,0
2017-05-26,21:00:00,37.276,37.381,37.276,37.341,88371,0
2017-05-26,22:00:00,37.331,37.411,37.311,37.371,322681,0
2017-05-30,16:00:00,37.311,37.321,36.983,36.993,63303,0
2017-05-30,17:00:00,36.973,36.973,36.494,36.494,128551,0
2017-05-30,18:00:00,36.514,36.574,36.375,36.415,132090,0
2017-05-30,19:00:00,36.435,36.618,36.425,36.485,90535,0
2017-05-30,20:00:00,36.485,36.554,36.45,36.49,99852,0
2017-05-30,21:00:00,36.49,36.494,36.345,36.37,170340,0
2017-05-30,22:00:00,36.371,36.494,36.365,36.445,467500,0
2017-05-31,16:00:00,36.375,36.534,35.687,35.717,62940,0
2017-05-31,17:00:00,35.707,36.085,35.478,36.065,169151,0
2017-05-31,18:00:00,36.055,36.135,35.917,36.075,113938,0
2017-05-31,19:00:00,36.075,36.275,36.065,36.265,76146,0
2017-05-31,20:00:00,36.255,36.614,36.245,36.365,151345,0
2017-05-31,21:00:00,36.355,37.361,36.355,36.494,345235,0
2017-05-31,22:00:00,36.494,36.823,36.494,36.783,522864,0
2017-06-01,16:00:00,36.933,37.54,36.933,37.391,49914,0
2017-06-01,17:00:00,37.386,37.54,37.231,37.301,134712,0
2017-06-01,18:00:00,37.311,37.655,37.271,37.64,68305,0
2017-06-01,19:00:00,37.635,37.864,37.57,37.759,98568,0
2017-06-01,20:00:00,37.759,38.068,37.73,37.994,88889,0
2017-06-01,21:00:00,37.994,38.228,37.989,38.118,156772,0
2017-06-01,22:00:00,38.118,38.248,38.004,38.208,437018,0
2017-06-02,16:00:00,38.078,38.158,37.779,37.809,33229,0
2017-06-02,17:00:00,37.819,38.198,37.819,38.048,80343,0
2017-06-02,18:00:00,38.048,38.078,37.819,37.929,130953,0
2017-06-02,19:00:00,37.919,37.949,37.759,37.829,62421,0
2017-06-02,20:00:00,37.839,37.959,37.819,37.952,37181,0
2017-06-02,21:00:00,37.949,38.028,37.849,37.879,50597,0
2017-06-02,22:00:00,37.889,37.939,37.829,37.889,189177,0
2017-06-05,16:00:00,37.839,37.945,37.73,37.799,24155,0
2017-06-05,17:00:00,37.829,38.248,37.819,38.183,50818,0
2017-06-05,18:00:00,38.183,38.183,37.879,37.999,57341,0
2017-06-05,19:00:00,37.979,38.058,37.829,37.849,64091,0
2017-06-05,20:00:00,37.849,37.864,37.73,37.859,60617,0
2017-06-05,21:00:00,37.859,37.869,37.73,37.73,68142,0
2017-06-05,22:00:00,37.735,37.759,37.52,37.56,209282,0
2017-06-06,16:00:00,37.281,37.411,37.006,37.411,33231,0
2017-06-06,17:00:00,37.391,37.73,37.341,37.57,67975,0
2017-06-06,18:00:00,37.59,37.829,37.57,37.595,64308,0
2017-06-06,19:00:00,37.595,38.048,37.58,37.959,92378,0
2017-06-06,20:00:00,37.939,37.949,37.769,37.799,63101,0
2017-06-06,21:00:00,37.799,37.859,37.66,37.809,68695,0
2017-06-06,22:00:00,37.809,37.869,37.71,37.819,236083,0
2017-06-07,16:00:00,37.899,38.038,37.769,37.967,7318,0
2017-06-07,17:00:00,37.919,38.268,37.75,37.919,52978,0
2017-06-07,18:00:00,37.919,37.949,37.759,37.779,28069,0
2017-06-07,19:00:00,37.769,37.949,37.69,37.829,34007,0
2017-06-07,20:00:00,37.839,38.058,37.809,38.043,34673,0
2017-06-07,21:00:00,38.037,38.078,37.989,37.989,49475,0
2017-06-07,22:00:00,37.989,38.028,37.929,37.959,184427,0
2017-06-08,16:00:00,37.879,38.101,37.819,38.009,14558,0
