Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-17,16:00:00,9.3652,9.3747,9.2934,9.3029,110356,0
2017-05-17,17:00:00,9.3029,9.3293,9.267,9.3114,102811,0
2017-05-17,18:00:00,9.3161,9.3293,9.3161,9.3265,43969,0
2017-05-17,19:00:00,9.3208,9.3293,9.2943,9.3029,68665,0
2017-05-17,20:00:00,9.2981,9.3029,9.267,9.267,79375,0
2017-05-17,21:00:00,9.2726,9.2849,9.249,9.2575,140806,0
2017-05-17,22:00:00,9.2547,9.266,9.2311,9.249,153329,0
2017-05-18,16:00:00,9.2131,9.2405,9.1507,9.1507,143564,0
2017-05-18,17:00:00,9.1593,9.2405,9.1593,9.2131,86024,0
2017-05-18,18:00:00,9.2225,9.2405,9.2131,9.2405,105110,0
2017-05-18,19:00:00,9.2405,9.2405,9.2084,9.2112,55280,0
2017-05-18,20:00:00,9.2046,9.2084,9.1772,9.1999,72884,0
2017-05-18,21:00:00,9.197,9.2405,9.197,9.2263,57208,0
2017-05-18,22:00:00,9.2263,9.2575,9.2178,9.2311,47617,0
2017-05-19,16:00:00,9.3029,9.3142,9.2707,9.3142,62763,0
2017-05-19,17:00:00,9.318,9.3747,9.3114,9.3652,106751,0
2017-05-19,18:00:00,9.3652,9.4011,9.3529,9.3926,123402,0
2017-05-19,19:00:00,9.3926,9.4068,9.3747,9.3832,51309,0
2017-05-19,20:00:00,9.3822,9.4011,9.3747,9.4011,38589,0
2017-05-19,21:00:00,9.3983,9.4106,9.3888,9.3992,37342,0
2017-05-19,22:00:00,9.4002,9.4002,9.3567,9.3926,119618,0
2017-05-22,16:00:00,9.4729,9.4729,9.3765,9.4011,178030,0
2017-05-22,17:00:00,9.4011,9.4153,9.3388,9.3473,106930,0
2017-05-22,18:00:00,9.3548,9.3548,9.3114,9.3293,122151,0
2017-05-22,19:00:00,9.3293,9.3473,9.3161,9.3388,35513,0
2017-05-22,20:00:00,9.3293,9.3567,9.3293,9.352,51905,0
2017-05-22,21:00:00,9.3567,9.3652,9.3416,9.3473,33922,0
2017-05-22,22:00:00,9.3473,9.3926,9.3473,9.3926,59213,0
2017-05-23,16:00:00,9.4011,9.437,9.3747,9.3813,17434,0
2017-05-23,17:00:00,9.3747,9.4106,9.3652,9.4106,41934,0
2017-05-23,18:00:00,9.4068,9.4106,9.3926,9.4106,97583,0
2017-05-23,19:00:00,9.4106,9.4191,9.4011,9.4096,33703,0
2017-05-23,20:00:00,9.4106,9.4106,9.4011,9.402,27182,0
2017-05-23,21:00:00,9.4106,9.455,9.4011,9.4465,125384,0
2017-05-23,22:00:00,9.4465,9.4465,9.4285,9.4285,63221,0
2017-05-24,16:00:00,9.4644,9.4644,9.437,9.455,70797,0
2017-05-24,17:00:00,9.4644,9.4644,9.4465,9.4644,88091,0
2017-05-24,18:00:00,9.4635,9.4663,9.4285,9.4323,152194,0
2017-05-24,19:00:00,9.4285,9.4361,9.4096,9.4106,86424,0
2017-05-24,20:00:00,9.4106,9.4106,9.3832,9.3926,94402,0
2017-05-24,21:00:00,9.3926,9.4162,9.3832,9.3926,68874,0
2017-05-24,22:00:00,9.3926,9.4011,9.3841,9.3926,98667,0
2017-05-25,16:00:00,9.3926,9.455,9.3747,9.4313,50597,0
2017-05-25,17:00:00,9.4342,9.4465,9.3879,9.3926,73977,0
2017-05-25,18:00:00,9.3888,9.4011,9.3208,9.3293,131142,0
2017-05-25,19:00:00,9.3388,9.351,9.3114,9.3293,87794,0
2017-05-25,20:00:00,9.3293,9.3293,9.2849,9.2934,64425,0
