Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,62.375,63.384,62.365,63.146,240848,0
2017-05-16,17:00:00,63.156,63.651,63.008,63.047,395558,0
2017-05-16,18:00:00,63.037,63.285,62.844,63.106,237660,0
2017-05-16,19:00:00,63.116,63.126,62.839,62.889,146609,0
2017-05-16,20:00:00,62.889,62.889,62.692,62.839,155213,0
2017-05-16,21:00:00,62.839,62.859,62.458,62.462,179368,0
2017-05-16,22:00:00,62.482,62.829,62.453,62.662,464721,0
2017-05-17,16:00:00,62.305,62.587,61.701,62.355,95072,0
2017-05-17,17:00:00,62.325,62.632,62.225,62.34,279999,0
2017-05-17,18:00:00,62.335,62.72,62.315,62.622,165996,0
2017-05-17,19:00:00,62.612,62.929,62.612,62.76,205489,0
2017-05-17,20:00:00,62.75,62.77,62.592,62.672,172241,0
2017-05-17,21:00:00,62.672,63.047,62.642,62.909,301333,0
2017-05-17,22:00:00,62.919,62.924,62.572,62.75,478209,0
2017-05-18,16:00:00,62.433,63.374,62.058,62.978,131090,0
2017-05-18,17:00:00,63.027,63.562,62.632,63.136,345922,0
2017-05-18,18:00:00,63.141,63.344,63.057,63.106,204070,0
2017-05-18,19:00:00,63.116,63.166,62.889,63.166,169340,0
2017-05-18,20:00:00,63.161,63.176,62.779,62.929,286960,0
2017-05-18,21:00:00,62.949,63.364,62.949,63.235,251078,0
2017-05-18,22:00:00,63.24,63.592,63.077,63.502,612763,0
2017-05-19,16:00:00,63.354,63.928,63.146,63.819,105881,0
2017-05-19,17:00:00,63.829,64.413,63.819,64.141,311197,0
2017-05-19,18:00:00,64.146,64.334,64.037,64.265,155934,0
2017-05-19,19:00:00,64.235,64.473,64.116,64.304,138185,0
2017-05-19,20:00:00,64.284,64.443,64.166,64.393,102746,0
2017-05-19,21:00:00,64.383,64.443,64.319,64.388,131736,0
2017-05-19,22:00:00,64.403,64.443,64.245,64.344,418063,0
2017-05-22,16:00:00,64.492,64.808,64.121,64.2,126213,0
2017-05-22,17:00:00,64.195,64.601,64.056,64.081,225636,0
2017-05-22,18:00:00,64.081,64.255,63.621,63.654,172932,0
2017-05-22,19:00:00,63.641,63.731,63.404,63.433,115493,0
2017-05-22,20:00:00,63.453,63.691,63.295,63.344,133186,0
2017-05-22,21:00:00,63.354,63.611,63.206,63.374,148718,0
2017-05-22,22:00:00,63.384,63.394,62.819,62.839,751283,0
2017-05-23,16:00:00,62.988,63.379,62.899,63.364,70950,0
2017-05-23,17:00:00,63.364,63.522,63.196,63.414,138787,0
2017-05-23,18:00:00,63.423,63.512,63.255,63.304,225203,0
2017-05-23,19:00:00,63.314,63.572,63.275,63.433,113729,0
2017-05-23,20:00:00,63.443,63.829,63.433,63.819,173797,0
2017-05-23,21:00:00,63.829,63.829,63.631,63.819,155288,0
2017-05-23,22:00:00,63.819,64.116,63.759,63.998,541425,0
2017-05-24,16:00:00,63.879,65.057,63.879,64.978,169708,0
2017-05-24,17:00:00,65.008,65.382,64.853,65.372,187011,0
2017-05-24,18:00:00,65.377,65.611,65.225,65.402,174486,0
2017-05-24,19:00:00,65.382,65.542,65.343,65.472,92688,0
2017-05-24,20:00:00,65.472,65.512,65.255,65.442,108927,0
2017-05-24,21:00:00,65.452,65.779,65.392,65.754,179257,0
2017-05-24,22:00:00,65.754,65.868,65.631,65.65,561120,0
2017-05-25,16:00:00,65.769,66.205,65.601,66.175,36000,0
2017-05-25,17:00:00,66.165,66.818,66.094,66.571,213001,0
2017-05-25,18:00:00,66.571,66.748,66.185,66.274,164717,0
2017-05-25,19:00:00,66.284,66.363,66.125,66.215,83661,0
2017-05-25,20:00:00,66.229,66.254,66.036,66.185,78350,0
2017-05-25,21:00:00,66.175,66.274,65.888,65.888,156052,0
2017-05-25,22:00:00,65.888,66.076,65.819,65.986,334080,0
2017-05-26,16:00:00,65.898,66.145,65.542,65.631,31168,0
2017-05-26,17:00:00,65.621,65.749,65.295,65.377,144110,0
2017-05-26,18:00:00,65.402,65.562,65.392,65.492,49209,0
2017-05-26,19:00:00,65.502,65.689,65.502,65.679,37801,0
2017-05-26,20:00:00,65.699,65.829,65.641,65.824,53406,0
2017-05-26,21:00:00,65.819,65.967,65.799,65.829,65315,0
2017-05-26,22:00:00,65.829,65.868,65.699,65.789,235208,0
2017-05-30,16:00:00,65.784,66.002,65.664,65.834,56557,0
2017-05-30,17:00:00,65.844,65.972,65.674,65.972,88078,0
2017-05-30,18:00:00,65.972,66.032,65.774,65.863,50341,0
2017-05-30,19:00:00,65.855,65.943,65.779,65.913,40900,0
2017-05-30,20:00:00,65.903,66.052,65.893,66.007,59883,0
2017-05-30,21:00:00,66.012,66.251,65.997,66.161,48707,0
2017-05-30,22:00:00,66.146,66.191,66.032,66.032,416726,0
2017-05-31,16:00:00,66.261,66.261,65.623,65.674,41672,0
2017-05-31,17:00:00,65.684,65.824,65.386,65.824,90109,0
2017-05-31,18:00:00,65.853,65.883,65.635,65.744,118775,0
2017-05-31,19:00:00,65.734,65.794,65.526,65.526,78110,0
2017-05-31,20:00:00,65.531,65.774,65.531,65.694,70446,0
2017-05-31,21:00:00,65.674,66.022,65.674,66.012,79793,0
