Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-20,16:00:00,6.35,6.82,5.37,5.6962,8488,0
2017-10-20,17:00:00,6.098,6.1,6.098,6.1,670,0
2017-10-20,18:00:00,5.92,5.92,5.92,5.92,100,0
2017-10-20,19:00:00,5.7957,5.7957,5.7801,5.7801,1100,0
2017-10-20,21:00:00,5.9314,5.9314,5.815,5.827,4225,0
2017-10-20,22:00:00,5.84,5.85,5.65,5.65,4550,0
2017-10-23,16:00:00,6.1,6.1,5.8515,5.8515,675,0
2017-10-23,18:00:00,6,6,4.53,4.53,4790,0
2017-10-23,19:00:00,4.69,5,4.5149,4.954,5625,0
2017-10-23,20:00:00,4.85,4.874,4.55,4.834,3450,0
2017-10-23,21:00:00,4.8,4.824,4.8,4.824,955,0
2017-10-23,22:00:00,4.8,4.8,4.5339,4.5707,753,0
2017-10-24,16:00:00,4.5005,4.5005,4.5005,4.5005,1000,0
2017-10-24,17:00:00,4.5,4.7124,4.5,4.5656,973,0
2017-10-24,18:00:00,4.58,4.58,4.58,4.58,100,0
2017-10-24,19:00:00,4.585,4.64,4.58,4.6,3574,0
2017-10-24,20:00:00,4.6216,4.6762,4.6216,4.6762,484,0
2017-10-24,22:00:00,4.7,4.7,4.61,4.61,200,0
2017-10-25,16:00:00,4.4,4.4,2.8201,2.8201,86097,0
2017-10-25,17:00:00,3,3.23,2.8,3.19,69319,0
2017-10-25,18:00:00,3.19,3.39,3.09,3.39,49555,0
2017-10-25,19:00:00,3.4707,3.5,3.17,3.45,15178,0
2017-10-25,20:00:00,3.48,3.6098,3.0801,3.25,37104,0
2017-10-25,21:00:00,3.24,3.26,3.152,3.2,22215,0
2017-10-25,22:00:00,3.2,3.4681,3.08,3.4681,23796,0
2017-10-26,16:00:00,3.58,3.61,3.25,3.25,12351,0
2017-10-26,17:00:00,3.43,3.7,3.43,3.65,34417,0
2017-10-26,18:00:00,3.65,3.7,3.6,3.67,20206,0
2017-10-26,19:00:00,3.6592,3.6592,3.55,3.6,4955,0
2017-10-26,20:00:00,3.57,3.6,3.4892,3.4892,13331,0
2017-10-26,21:00:00,3.4,3.55,3.4,3.55,5775,0
2017-10-26,22:00:00,3.55,3.67,3.5456,3.67,4500,0
2017-10-27,16:00:00,3.7,3.7089,3.5853,3.6,15592,0
2017-10-27,17:00:00,3.65,3.79,3.64,3.7,3436,0
2017-10-27,18:00:00,3.7,3.7,3.68,3.7,6400,0
2017-10-27,19:00:00,3.7,3.8,3.7,3.72,13905,0
2017-10-27,20:00:00,3.7201,3.7201,3.68,3.72,2950,0
2017-10-27,22:00:00,3.69,3.72,3.65,3.7,6509,0
2017-10-30,15:00:00,3.2673,3.6,3.26,3.6,1611,0
2017-10-30,16:00:00,3.7,3.7,3.64,3.64,4752,0
2017-10-30,17:00:00,3.6,3.6,3.25,3.45,13750,0
2017-10-30,18:00:00,3.35,3.35,3.35,3.35,1000,0
2017-10-30,20:00:00,3.33,3.33,3.17,3.29,18118,0
2017-10-30,21:00:00,3.35,3.35,3.3,3.35,1100,0
2017-10-31,16:00:00,3.2928,3.5,3.2909,3.4933,3400,0
2017-10-31,17:00:00,3.4,3.4,3.3,3.3,10100,0
2017-10-31,18:00:00,3.3999,3.3999,3.28,3.2999,9390,0
2017-10-31,19:00:00,3.25,3.25,3.25,3.25,800,0
2017-10-31,20:00:00,3.2106,3.3,3.2001,3.2001,10290,0
2017-10-31,21:00:00,3.2096,3.296,3.2096,3.296,5337,0
2017-11-01,15:00:00,3.3972,3.3972,3.384,3.384,1200,0
2017-11-01,16:00:00,3.35,3.39,3.35,3.3826,2300,0
2017-11-01,18:00:00,3.3337,3.3337,3.3337,3.3337,295,0
2017-11-01,19:00:00,3.3,3.3,3.2975,3.2975,2000,0
2017-11-01,20:00:00,3.25,3.3,3.25,3.2937,3112,0
2017-11-02,17:00:00,3.35,3.35,3.35,3.35,1000,0
2017-11-02,18:00:00,3.3567,3.3567,3.3567,3.3567,600,0
2017-11-02,19:00:00,3.35,3.3914,3.35,3.35,3500,0
2017-11-02,20:00:00,3.358,3.358,3.358,3.358,150,0
2017-11-02,21:00:00,3.35,3.35,3.35,3.35,1000,0
2017-11-03,15:00:00,3.449,3.449,3.36,3.38,2299,0
2017-11-03,16:00:00,3.36,3.425,3.36,3.4,3000,0
2017-11-03,17:00:00,3.4025,3.4441,3.4,3.425,1900,0
2017-11-03,19:00:00,3.4397,3.45,3.42,3.42,2298,0
2017-11-03,20:00:00,3.45,3.7317,3.43,3.47,4218,0
2017-11-03,21:00:00,3.461,3.461,3.45,3.45,440,0
2017-11-06,16:00:00,3.61,3.61,3.4599,3.46,1380,0
2017-11-06,17:00:00,3.46,3.46,3.45,3.46,1100,0
2017-11-06,18:00:00,3.45,3.51,3.2698,3.49,23440,0
2017-11-06,19:00:00,3.49,3.535,3.49,3.5,3700,0
2017-11-06,20:00:00,3.49,3.53,3.45,3.5,3920,0
2017-11-06,21:00:00,3.5,3.5,3.45,3.48,6447,0
2017-11-06,22:00:00,3.5,3.5,3.4501,3.47,2600,0
2017-11-07,16:00:00,3.5,3.95,3.4996,3.7,16362,0
2017-11-07,17:00:00,3.72,3.8607,3.65,3.65,6900,0
2017-11-07,20:00:00,3.501,3.51,3.45,3.45,4290,0
2017-11-07,21:00:00,3.28,3.6,3.27,3.6,7302,0
2017-11-07,22:00:00,3.544,3.5501,3.52,3.5501,800,0
2017-11-08,17:00:00,3.4669,3.4669,3.45,3.45,3500,0
2017-11-08,18:00:00,3.4702,3.4702,3.4702,3.4702,300,0
2017-11-08,19:00:00,3.5001,3.5932,3.5001,3.5932,1100,0
2017-11-08,20:00:00,3.6,3.6,3.5,3.5,500,0
2017-11-08,21:00:00,3.5036,3.5036,3.5036,3.5036,700,0
2017-11-08,22:00:00,3.5,3.5886,3.45,3.5886,2525,0
2017-11-09,16:00:00,3.6,3.6,3.6,3.6,100,0
2017-11-09,17:00:00,3.566,3.566,3.566,3.566,1000,0
2017-11-09,18:00:00,3.54,3.5573,3.3768,3.3768,5102,0
2017-11-09,19:00:00,3.36,3.5,3.36,3.5,3800,0
2017-11-09,20:00:00,3.5,3.5,3.5,3.5,100,0
2017-11-09,21:00:00,3.5001,3.5465,3.5001,3.5465,600,0
2017-11-09,22:00:00,3.5538,3.6,3.5001,3.5501,5913,0
2017-11-10,16:00:00,3.8,3.875,3.46,3.625,30713,0
2017-11-10,17:00:00,3.6,3.6,3.26,3.26,11349,0
2017-11-10,18:00:00,3.3,3.3,3.12,3.2876,5575,0
2017-11-10,19:00:00,3.2,3.43,3.15,3.2,13411,0
2017-11-10,20:00:00,3.13,3.28,3.05,3.25,55737,0
2017-11-10,21:00:00,3.25,3.25,3.06,3.238,38702,0
2017-11-10,22:00:00,3.13,3.24,3.06,3.06,11178,0
2017-11-13,16:00:00,3.2,3.2,3.1101,3.1101,2207,0
2017-11-13,17:00:00,3.1511,3.1535,2.8,2.8001,28831,0
2017-11-13,18:00:00,2.8026,2.8026,2.35,2.57,48300,0
2017-11-13,19:00:00,2.57,2.8335,2.4584,2.81,17994,0
2017-11-13,20:00:00,2.7301,2.789,2.61,2.7881,7630,0
2017-11-13,21:00:00,2.7001,2.742,2.7,2.7001,7600,0
2017-11-13,22:00:00,2.7236,2.99,2.6001,2.8,21228,0
2017-11-14,16:00:00,2.8,2.8,2.59,2.7294,1778,0
2017-11-14,18:00:00,2.57,2.57,2.57,2.57,100,0
2017-11-14,19:00:00,2.7,2.7,2.7,2.7,100,0
2017-11-14,21:00:00,2.71,2.8,2.71,2.71,900,0
2017-11-14,22:00:00,2.78,2.78,2.78,2.78,100,0
2017-11-15,16:00:00,2.61,2.61,2.61,2.61,100,0
2017-11-15,17:00:00,2.7352,2.7494,2.691,2.691,850,0
