Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,17.153,17.199,17.139,17.199,6884,0
2017-05-16,17:00:00,17.173,17.173,17.153,17.162,5466,0
2017-05-16,18:00:00,17.153,17.153,17.13,17.13,12373,0
2017-05-16,19:00:00,17.134,17.143,17.134,17.134,4508,0
2017-05-16,20:00:00,17.13,17.163,17.13,17.134,7935,0
2017-05-16,21:00:00,17.143,17.156,17.134,17.153,7408,0
2017-05-16,22:00:00,17.153,17.153,17.134,17.153,5991,0
2017-05-17,16:00:00,17.114,17.177,17.093,17.114,12892,0
2017-05-17,17:00:00,17.105,17.124,17.065,17.065,16719,0
2017-05-17,18:00:00,17.055,17.085,17.028,17.077,24656,0
2017-05-17,19:00:00,17.075,17.078,16.941,16.96,17299,0
2017-05-17,20:00:00,16.989,17.009,16.989,17.009,3563,0
2017-05-17,21:00:00,17.004,17.004,16.98,16.98,5916,0
2017-05-17,22:00:00,16.98,17.019,16.98,17.019,25222,0
2017-05-18,16:00:00,16.97,16.97,16.807,16.932,8841,0
2017-05-18,17:00:00,16.97,17.048,16.97,17.023,8582,0
2017-05-18,18:00:00,17.019,17.028,16.985,16.985,4280,0
2017-05-18,19:00:00,16.972,16.989,16.97,16.97,14025,0
2017-05-18,20:00:00,16.975,17.009,16.973,16.988,4612,0
2017-05-18,21:00:00,16.989,17.019,16.956,16.959,13755,0
2017-05-18,22:00:00,16.96,16.97,16.951,16.97,10952,0
2017-05-19,16:00:00,16.98,16.98,16.96,16.967,13926,0
2017-05-19,17:00:00,16.965,17.003,16.965,16.997,6254,0
2017-05-19,18:00:00,16.98,17.009,16.97,16.98,17047,0
2017-05-19,19:00:00,16.98,16.98,16.951,16.96,5304,0
2017-05-19,20:00:00,16.951,16.97,16.941,16.96,9805,0
2017-05-19,21:00:00,16.957,16.96,16.951,16.956,8687,0
2017-05-19,22:00:00,16.953,16.98,16.931,16.931,16005,0
2017-05-22,16:00:00,16.941,17.034,16.941,16.989,17637,0
2017-05-22,17:00:00,16.981,16.999,16.951,16.989,19989,0
2017-05-22,18:00:00,17.009,17.009,16.951,16.989,13658,0
2017-05-22,19:00:00,16.975,16.999,16.956,16.982,13678,0
2017-05-22,20:00:00,16.988,16.999,16.931,16.979,7926,0
2017-05-22,21:00:00,16.931,16.97,16.921,16.941,10936,0
2017-05-22,22:00:00,16.931,16.989,16.921,16.98,26433,0
2017-05-23,16:00:00,16.989,17.055,16.98,17.055,14583,0
2017-05-23,17:00:00,17.055,17.134,17.045,17.134,12455,0
2017-05-23,18:00:00,17.126,17.153,17.114,17.124,16238,0
2017-05-23,19:00:00,17.114,17.134,17.114,17.114,7483,0
2017-05-23,20:00:00,17.114,17.134,17.114,17.124,31285,0
2017-05-23,21:00:00,17.123,17.124,17.093,17.114,29489,0
2017-05-23,22:00:00,17.124,17.134,17.105,17.105,35936,0
2017-05-24,16:00:00,17.124,17.153,17.124,17.153,3484,0
2017-05-24,17:00:00,17.183,17.199,17.139,17.19,11804,0
2017-05-24,18:00:00,17.199,17.199,17.188,17.199,9568,0
2017-05-24,19:00:00,17.19,17.199,17.173,17.182,20194,0
2017-05-24,20:00:00,17.19,17.199,17.182,17.182,20924,0
2017-05-24,21:00:00,17.188,17.209,17.169,17.199,16526,0
2017-05-24,22:00:00,17.182,17.239,17.163,17.239,16828,0
2017-05-25,16:00:00,17.239,17.249,17.219,17.229,4506,0
2017-05-25,17:00:00,17.249,17.268,17.199,17.259,15503,0
2017-05-25,18:00:00,17.268,17.268,17.229,17.249,13460,0
2017-05-25,19:00:00,17.258,17.268,17.246,17.259,3585,0
2017-05-25,20:00:00,17.259,17.287,17.239,17.239,14611,0
2017-05-25,21:00:00,17.244,17.268,17.229,17.268,12652,0
2017-05-25,22:00:00,17.268,17.268,17.259,17.268,17767,0
2017-05-26,16:00:00,17.259,17.259,17.249,17.249,7147,0
2017-05-26,17:00:00,17.252,17.273,17.242,17.268,17096,0
2017-05-26,18:00:00,17.268,17.278,17.25,17.259,6800,0
2017-05-26,19:00:00,17.268,17.278,17.259,17.268,6093,0
2017-05-26,20:00:00,17.278,17.278,17.259,17.278,11382,0
2017-05-26,21:00:00,17.278,17.278,17.249,17.268,4893,0
2017-05-26,22:00:00,17.259,17.278,17.173,17.268,54702,0
2017-05-30,16:00:00,17.249,17.249,17.239,17.239,7016,0
2017-05-30,17:00:00,17.239,17.259,17.239,17.249,7653,0
2017-05-30,18:00:00,17.249,17.287,17.249,17.271,18630,0
2017-05-30,19:00:00,17.261,17.287,17.261,17.287,15564,0
2017-05-30,20:00:00,17.287,17.287,17.287,17.287,846,0
2017-05-30,21:00:00,17.278,17.287,17.278,17.287,17935,0
2017-05-30,22:00:00,17.287,17.287,17.249,17.278,32846,0
2017-05-31,16:00:00,17.268,17.287,17.249,17.287,12673,0
2017-05-31,17:00:00,17.278,17.287,17.262,17.287,21144,0
2017-05-31,18:00:00,17.287,17.287,17.268,17.275,10505,0
2017-05-31,19:00:00,17.287,17.287,17.249,17.255,4681,0
2017-05-31,20:00:00,17.268,17.271,17.249,17.249,1609,0
2017-05-31,21:00:00,17.268,17.297,17.262,17.262,6290,0
2017-05-31,22:00:00,17.265,17.297,17.239,17.297,41628,0
2017-06-01,16:00:00,17.297,17.297,17.268,17.297,6607,0
2017-06-01,17:00:00,17.297,17.344,17.287,17.287,16235,0
2017-06-01,18:00:00,17.287,17.307,17.278,17.307,5927,0
2017-06-01,19:00:00,17.307,17.344,17.287,17.297,9753,0
2017-06-01,20:00:00,17.306,17.306,17.27,17.287,7324,0
2017-06-01,21:00:00,17.287,17.297,17.278,17.287,9354,0
2017-06-01,22:00:00,17.287,17.307,17.259,17.287,44420,0
2017-06-02,16:00:00,17.307,17.353,17.287,17.317,9835,0
2017-06-02,17:00:00,17.335,17.353,17.317,17.326,19745,0
