Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,21.299,21.299,21.086,21.131,59669,0
2017-05-16,17:00:00,21.131,21.18,20.947,21.052,119850,0
2017-05-16,18:00:00,21.062,21.111,21.022,21.062,107664,0
2017-05-16,19:00:00,21.062,21.131,21.047,21.131,80818,0
2017-05-16,20:00:00,21.136,21.141,21.057,21.062,102357,0
2017-05-16,21:00:00,21.062,21.096,21.042,21.062,103401,0
2017-05-16,22:00:00,21.062,21.081,20.987,21.022,382293,0
2017-05-17,16:00:00,20.952,21.27,20.883,20.923,83694,0
2017-05-17,17:00:00,20.923,20.972,20.824,20.903,167858,0
2017-05-17,18:00:00,20.908,20.908,20.754,20.873,121147,0
2017-05-17,19:00:00,20.873,20.88,20.729,20.764,133775,0
2017-05-17,20:00:00,20.764,20.789,20.715,20.789,114281,0
2017-05-17,21:00:00,20.789,20.814,20.685,20.711,166370,0
2017-05-17,22:00:00,20.705,20.814,20.665,20.695,317224,0
2017-05-18,16:00:00,20.715,20.715,20.318,20.368,143703,0
2017-05-18,17:00:00,20.378,20.526,20.348,20.388,156354,0
2017-05-18,18:00:00,20.398,20.526,20.378,20.408,100876,0
2017-05-18,19:00:00,20.418,20.437,20.303,20.348,98852,0
2017-05-18,20:00:00,20.348,20.353,20.303,20.338,84776,0
2017-05-18,21:00:00,20.348,20.398,20.308,20.338,119249,0
2017-05-18,22:00:00,20.343,20.457,20.328,20.413,398360,0
2017-05-19,16:00:00,19.823,20.15,19.593,20.041,173824,0
2017-05-19,17:00:00,20.026,20.22,19.992,20.17,218263,0
2017-05-19,18:00:00,20.17,20.2,20.002,20.051,239693,0
2017-05-19,19:00:00,20.041,20.224,20.041,20.215,116035,0
2017-05-19,20:00:00,20.21,20.229,20.11,20.12,127799,0
2017-05-19,21:00:00,20.13,20.14,20.051,20.051,201909,0
2017-05-19,22:00:00,20.051,20.066,19.932,19.932,621809,0
2017-05-22,16:00:00,19.952,20.11,19.823,20.051,89797,0
2017-05-22,17:00:00,20.051,20.09,19.922,19.952,125349,0
