Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,18.3,18.3,18.23,18.24,39204,0
2017-05-16,17:00:00,18.246,18.2499,18.2,18.22,24757,0
2017-05-16,18:00:00,18.21,18.23,18.2012,18.23,40501,0
2017-05-16,19:00:00,18.23,18.23,18.22,18.2299,18086,0
2017-05-16,20:00:00,18.23,18.23,18.21,18.2199,27304,0
2017-05-16,21:00:00,18.22,18.24,18.21,18.2264,38821,0
2017-05-16,22:00:00,18.24,18.25,18.2268,18.25,31804,0
2017-05-17,16:00:00,18.23,18.23,18.13,18.13,23804,0
2017-05-17,17:00:00,18.11,18.14,18.08,18.08,50323,0
2017-05-17,18:00:00,18.074,18.08,18.06,18.0699,16729,0
2017-05-17,19:00:00,18.06,18.07,18.06,18.07,10079,0
2017-05-17,20:00:00,18.07,18.08,18.06,18.065,15260,0
2017-05-17,21:00:00,18.0661,18.07,18,18.0199,23897,0
2017-05-17,22:00:00,18.016,18.05,18.0099,18.01,14957,0
2017-05-18,16:00:00,17.99,17.99,17.84,17.86,59036,0
2017-05-18,17:00:00,17.8584,17.94,17.85,17.9399,16390,0
2017-05-18,18:00:00,17.94,17.9499,17.93,17.9395,5783,0
2017-05-18,19:00:00,17.94,17.95,17.917,17.9368,9890,0
2017-05-18,20:00:00,17.94,17.95,17.93,17.934,6595,0
2017-05-18,21:00:00,17.9432,17.98,17.9301,17.96,39389,0
2017-05-18,22:00:00,17.9532,17.99,17.94,17.9793,19958,0
2017-05-19,16:00:00,18.16,18.18,18.138,18.18,25474,0
2017-05-19,17:00:00,18.1799,18.23,18.17,18.21,23906,0
2017-05-19,18:00:00,18.229,18.25,18.215,18.2199,5871,0
2017-05-19,19:00:00,18.22,18.25,18.21,18.25,12283,0
2017-05-19,20:00:00,18.2385,18.25,18.234,18.24,20591,0
2017-05-19,21:00:00,18.24,18.27,18.23,18.26,8170,0
2017-05-19,22:00:00,18.25,18.2566,18.2161,18.23,60070,0
2017-05-22,16:00:00,18.29,18.3668,18.29,18.36,35614,0
2017-05-22,17:00:00,18.3538,18.3845,18.35,18.37,62883,0
2017-05-22,18:00:00,18.3748,18.41,18.3748,18.395,30781,0
2017-05-22,19:00:00,18.395,18.41,18.39,18.4,26692,0
2017-05-22,20:00:00,18.4,18.41,18.4,18.41,24410,0
2017-05-22,21:00:00,18.4,18.42,18.4,18.415,40251,0
2017-05-22,22:00:00,18.415,18.43,18.41,18.42,34984,0
2017-05-23,16:00:00,18.46,18.46,18.39,18.395,34569,0
2017-05-23,17:00:00,18.395,18.43,18.39,18.43,79982,0
2017-05-23,18:00:00,18.43,18.46,18.42,18.455,29711,0
2017-05-23,19:00:00,18.45,18.4599,18.42,18.42,26869,0
2017-05-23,20:00:00,18.4282,18.43,18.42,18.43,39332,0
2017-05-23,21:00:00,18.425,18.43,18.42,18.425,14394,0
2017-05-23,22:00:00,18.425,18.43,18.42,18.43,25095,0
2017-05-24,16:00:00,18.43,18.43,18.36,18.3866,37579,0
2017-05-24,17:00:00,18.39,18.39,18.38,18.385,16742,0
2017-05-24,18:00:00,18.3866,18.39,18.37,18.376,10198,0
2017-05-24,19:00:00,18.373,18.3799,18.37,18.37,18145,0
