Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-09-16,19:00:00,10,10,10,10,200,0
2015-09-16,20:00:00,10,10,10,10,469,0
2015-09-16,21:00:00,10,10,10,10,100,0
2015-09-16,22:00:00,10,10,9.91,9.91,1100,0
2015-09-17,18:00:00,9.86,9.86,9.86,9.86,100,0
2015-09-17,20:00:00,9.86,9.86,9.86,9.86,100,0
2015-09-17,21:00:00,9.86,9.86,9.86,9.86,469,0
2015-09-17,22:00:00,9.86,10,9.86,10,600,0
2015-09-18,19:00:00,10,10,10,10,100,0
2015-09-18,20:00:00,10.93,11,10.5,11,2400,0
2015-09-18,21:00:00,10.9,11,10.9,11,600,0
2015-09-18,22:00:00,10.99,11.75,10.07,10.07,3335,0
2015-09-21,16:00:00,9.76,9.76,9.76,9.76,1000,0
2015-09-21,17:00:00,9.08,9.08,9.08,9.08,200,0
2015-09-21,22:00:00,9.5,9.5,9.5,9.5,100,0
2015-09-24,22:00:00,9.35,9.96,9.35,9.96,700,0
2015-09-29,17:00:00,8.72,8.968,8.32,8.94,1403,0
2015-09-29,18:00:00,8.89,8.89,8.89,8.89,100,0
2015-09-29,19:00:00,8.79,8.79,8.78,8.78,200,0
2015-09-29,20:00:00,8.73,8.74,8.73,8.74,979,0
2015-09-29,21:00:00,8.99,9.5,8.83,8.9,2850,0
2015-09-29,22:00:00,8.89,9.06,8.6,8.6,635,0
2015-09-30,16:00:00,8.85,8.88,8.74,8.8799,3600,0
2015-09-30,17:00:00,9.3,9.35,9.1,9.1,8204,0
2015-09-30,18:00:00,9.11,9.11,9.11,9.11,100,0
2015-09-30,19:00:00,9.2,9.74,9.1,9.74,8412,0
2015-09-30,20:00:00,9.93,9.93,8.52,8.52,4338,0
2015-10-01,21:00:00,8.95,9,8.95,8.98,500,0
2015-10-01,22:00:00,9.24,9.24,9.24,9.24,100,0
2015-10-05,17:00:00,8.8799,8.9,8.8799,8.9,1300,0
2015-10-05,22:00:00,9.05,9.05,9.05,9.05,1000,0
2015-10-08,21:00:00,8.79,9.09,8.79,9.0701,2004,0
2015-10-08,22:00:00,9.005,9.32,9.005,9.32,200,0
2015-10-12,22:00:00,8.77,8.77,8.77,8.77,100,0
2015-10-13,21:00:00,8.69,8.88,8.69,8.88,1850,0
2015-10-13,22:00:00,8.8204,8.8204,8.8204,8.8204,200,0
2015-10-14,21:00:00,8.88,9.0004,8.88,9,1100,0
2015-10-14,22:00:00,9,9,9,9,400,0
