Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,17.977,17.987,17.662,17.662,191667,0
2017-05-16,17:00:00,17.657,17.657,17.521,17.521,445836,0
2017-05-16,18:00:00,17.521,17.705,17.511,17.652,358409,0
2017-05-16,19:00:00,17.647,17.676,17.549,17.549,180789,0
2017-05-16,20:00:00,17.549,17.559,17.399,17.399,194588,0
2017-05-16,21:00:00,17.399,17.408,17.292,17.331,358810,0
2017-05-16,22:00:00,17.336,17.413,17.229,17.258,1788202,0
2017-05-17,16:00:00,17.209,17.423,17.054,17.093,447632,0
2017-05-17,17:00:00,17.074,17.249,16.996,17.176,1245050,0
2017-05-17,18:00:00,17.171,17.307,17.146,17.219,523373,0
2017-05-17,19:00:00,17.209,17.268,17.141,17.161,270751,0
2017-05-17,20:00:00,17.161,17.229,17.093,17.209,319123,0
2017-05-17,21:00:00,17.209,17.448,17.209,17.39,447018,0
2017-05-17,22:00:00,17.394,17.501,17.317,17.375,1137078,0
2017-05-18,16:00:00,17.345,17.375,17.141,17.326,361545,0
2017-05-18,17:00:00,17.326,17.404,17.151,17.297,541963,0
2017-05-18,18:00:00,17.297,17.496,17.277,17.481,450978,0
2017-05-18,19:00:00,17.481,17.549,17.472,17.516,339792,0
2017-05-18,20:00:00,17.516,17.768,17.516,17.735,595455,0
2017-05-18,21:00:00,17.735,17.841,17.725,17.817,814744,0
2017-05-18,22:00:00,17.817,18.045,17.783,18.016,2538961,0
2017-05-19,16:00:00,17.997,18.103,17.788,17.841,228478,0
2017-05-19,17:00:00,17.841,18.065,17.763,18.04,611531,0
2017-05-19,18:00:00,18.035,18.259,17.977,18.249,516240,0
2017-05-19,19:00:00,18.249,18.259,18.035,18.157,263135,0
2017-05-19,20:00:00,18.152,18.201,18.128,18.143,281766,0
2017-05-19,21:00:00,18.147,18.181,18.089,18.143,418240,0
2017-05-19,22:00:00,18.138,18.162,18.094,18.123,1036200,0
2017-05-22,16:00:00,17.773,18.249,17.773,18.118,167381,0
2017-05-22,17:00:00,18.118,18.172,17.967,17.967,384408,0
2017-05-22,18:00:00,17.967,18.045,17.909,18.045,478146,0
2017-05-22,19:00:00,18.04,18.124,17.977,17.977,363568,0
2017-05-22,20:00:00,17.982,18.007,17.929,17.982,228239,0
2017-05-22,21:00:00,17.982,18.055,17.967,18.016,369803,0
2017-05-22,22:00:00,18.016,18.094,17.997,18.084,968742,0
2017-05-23,16:00:00,17.803,18.138,17.803,18.07,223634,0
2017-05-23,17:00:00,18.075,18.103,18.007,18.075,313214,0
2017-05-23,18:00:00,18.075,18.089,17.977,18.045,296513,0
2017-05-23,19:00:00,18.055,18.065,17.987,18.04,199948,0
2017-05-23,20:00:00,18.045,18.065,17.997,18.007,136138,0
2017-05-23,21:00:00,18.002,18.055,17.972,17.992,335404,0
2017-05-23,22:00:00,17.992,17.997,17.929,17.958,997204,0
2017-05-24,16:00:00,17.773,18.084,17.773,17.977,59492,0
2017-05-24,17:00:00,17.983,18.306,17.982,18.278,189792,0
2017-05-24,18:00:00,18.278,18.288,18.201,18.22,274309,0
2017-05-24,19:00:00,18.225,18.249,18.143,18.162,147532,0
2017-05-24,20:00:00,18.162,18.201,18.123,18.196,170397,0
2017-05-24,21:00:00,18.191,18.308,18.191,18.293,311827,0
2017-05-24,22:00:00,18.293,18.293,18.21,18.23,814123,0
2017-05-25,16:00:00,17.889,18.405,17.889,18.361,53490,0
2017-05-25,17:00:00,18.366,18.434,18.264,18.356,213458,0
2017-05-25,18:00:00,18.366,18.414,18.322,18.322,150633,0
2017-05-25,19:00:00,18.322,18.346,18.269,18.293,96909,0
2017-05-25,20:00:00,18.293,18.298,18.201,18.21,158084,0
2017-05-25,21:00:00,18.22,18.24,18.181,18.21,120904,0
2017-05-25,22:00:00,18.214,18.249,18.143,18.172,755331,0
2017-05-26,16:00:00,18.143,18.21,17.967,18.089,132574,0
2017-05-26,17:00:00,18.084,18.099,17.943,17.958,239378,0
2017-05-26,18:00:00,17.962,18.065,17.939,17.997,198655,0
2017-05-26,19:00:00,18.007,18.026,17.943,17.948,228241,0
2017-05-26,20:00:00,17.948,17.967,17.861,17.861,209444,0
2017-05-26,21:00:00,17.871,17.967,17.866,17.958,141045,0
2017-05-26,22:00:00,17.958,18.055,17.939,18.007,424302,0
2017-05-30,16:00:00,17.977,18.075,17.889,17.899,70393,0
2017-05-30,17:00:00,17.909,18.016,17.812,17.929,139594,0
2017-05-30,18:00:00,17.939,17.943,17.821,17.826,126299,0
2017-05-30,19:00:00,17.826,17.826,17.705,17.72,101708,0
2017-05-30,20:00:00,17.715,17.744,17.667,17.695,149299,0
2017-05-30,21:00:00,17.695,17.715,17.637,17.657,158754,0
2017-05-30,22:00:00,17.657,17.657,17.443,17.472,932901,0
2017-05-31,16:00:00,17.521,17.569,17.268,17.287,110396,0
2017-05-31,17:00:00,17.287,17.341,17.224,17.277,251166,0
2017-05-31,18:00:00,17.287,17.428,17.273,17.399,337964,0
2017-05-31,19:00:00,17.394,17.481,17.355,17.463,143008,0
2017-05-31,20:00:00,17.463,17.511,17.365,17.37,169481,0
2017-05-31,21:00:00,17.375,17.433,17.312,17.413,227689,0
2017-05-31,22:00:00,17.413,17.549,17.385,17.531,1828046,0
2017-06-01,16:00:00,17.54,17.812,17.355,17.685,143596,0
2017-06-01,17:00:00,17.695,17.725,17.54,17.632,254440,0
2017-06-01,18:00:00,17.632,17.7,17.496,17.549,243313,0
2017-06-01,19:00:00,17.549,17.695,17.516,17.695,240375,0
2017-06-01,20:00:00,17.695,17.773,17.695,17.72,208053,0
2017-06-01,21:00:00,17.72,17.793,17.667,17.773,777945,0
2017-06-01,22:00:00,17.773,17.821,17.637,17.637,1457323,0
2017-06-02,16:00:00,17.773,17.958,17.763,17.919,198285,0
2017-06-02,17:00:00,17.924,18.03,17.88,17.939,404368,0
2017-06-02,18:00:00,17.948,18.007,17.925,17.939,217956,0
2017-06-02,19:00:00,17.939,17.948,17.861,17.866,215630,0
2017-06-02,20:00:00,17.861,17.889,17.695,17.7,151689,0
2017-06-02,21:00:00,17.695,17.715,17.589,17.604,212217,0
2017-06-02,22:00:00,17.599,17.667,17.579,17.627,566720,0
2017-06-05,16:00:00,17.599,17.657,17.249,17.307,118700,0
2017-06-05,17:00:00,17.326,17.549,17.326,17.355,310027,0
2017-06-05,18:00:00,17.355,17.423,17.317,17.413,222637,0
2017-06-05,19:00:00,17.413,17.486,17.404,17.433,142565,0
2017-06-05,20:00:00,17.433,17.511,17.433,17.481,198349,0
2017-06-05,21:00:00,17.491,17.511,17.453,17.492,189385,0
2017-06-05,22:00:00,17.486,17.559,17.476,17.521,648465,0
2017-06-06,16:00:00,17.501,17.501,17.297,17.453,176733,0
2017-06-06,17:00:00,17.463,17.491,17.345,17.404,329469,0
2017-06-06,18:00:00,17.404,17.579,17.38,17.579,253272,0
2017-06-06,19:00:00,17.569,17.735,17.559,17.715,262899,0
2017-06-06,20:00:00,17.71,17.812,17.705,17.768,227300,0
2017-06-06,21:00:00,17.768,17.871,17.768,17.841,309140,0
2017-06-06,22:00:00,17.841,17.899,17.753,17.773,576740,0
2017-06-07,16:00:00,17.803,18.23,17.715,18.23,185494,0
2017-06-07,17:00:00,18.23,18.317,18.084,18.201,484387,0
2017-06-07,18:00:00,18.191,18.308,18.123,18.259,640532,0
2017-06-07,19:00:00,18.254,18.434,18.249,18.424,354776,0
2017-06-07,20:00:00,18.434,18.545,18.395,18.512,364788,0
2017-06-07,21:00:00,18.517,18.56,18.424,18.512,436023,0
2017-06-07,22:00:00,18.512,18.522,18.424,18.473,1275072,0
2017-06-08,16:00:00,18.482,18.482,18.162,18.191,429086,0
2017-06-08,17:00:00,18.191,18.317,18.157,18.264,575224,0
2017-06-08,18:00:00,18.259,18.351,18.143,18.152,384514,0
2017-06-08,19:00:00,18.152,18.308,18.143,18.259,252283,0
2017-06-08,20:00:00,18.259,18.303,18.201,18.269,360035,0
2017-06-08,21:00:00,18.274,18.288,18.143,18.22,528630,0
2017-06-08,22:00:00,18.22,18.274,18.103,18.21,1162242,0
2017-06-09,16:00:00,18.201,18.23,17.861,17.861,178527,0
2017-06-09,17:00:00,17.861,18.133,17.851,18.084,487715,0
2017-06-09,18:00:00,18.084,18.356,18.026,18.264,328108,0
2017-06-09,19:00:00,18.259,18.385,18.24,18.356,308969,0
2017-06-09,20:00:00,18.346,18.434,18.308,18.405,338189,0
2017-06-09,21:00:00,18.414,18.536,18.4,18.463,395817,0
2017-06-09,22:00:00,18.463,18.473,18.259,18.337,1172480,0
2017-06-12,16:00:00,18.327,18.832,18.327,18.618,308525,0
2017-06-12,17:00:00,18.638,18.92,18.454,18.9,669339,0
2017-06-12,18:00:00,18.905,18.94,18.668,18.837,1186022,0
2017-06-12,19:00:00,18.832,18.998,18.809,18.872,562750,0
2017-06-12,20:00:00,18.867,19.056,18.867,19.056,1438403,0
2017-06-12,21:00:00,19.056,19.104,18.789,18.809,682235,0
2017-06-12,22:00:00,18.812,18.92,18.764,18.872,1881891,0
2017-06-13,16:00:00,18.812,18.855,18.58,18.754,190042,0
2017-06-13,17:00:00,18.764,19.066,18.744,19.017,542225,0
2017-06-13,18:00:00,19.008,19.008,18.837,18.842,670246,0
2017-06-13,19:00:00,18.842,18.862,18.754,18.794,208485,0
2017-06-13,20:00:00,18.789,18.832,18.716,18.832,170653,0
2017-06-13,21:00:00,18.827,18.945,18.827,18.877,327302,0
2017-06-13,22:00:00,18.88,18.949,18.837,18.91,923805,0
2017-06-14,16:00:00,19.076,19.114,18.804,18.852,265727,0
2017-06-14,17:00:00,18.852,18.998,18.827,18.9,159471,0
2017-06-14,18:00:00,18.9,18.988,18.726,18.744,428362,0
2017-06-14,19:00:00,18.749,18.754,18.672,18.716,261776,0
2017-06-14,20:00:00,18.716,18.726,18.522,18.541,474827,0
2017-06-14,21:00:00,18.55,18.653,18.473,18.653,587126,0
2017-06-14,22:00:00,18.643,18.754,18.609,18.696,1008592,0
2017-06-15,16:00:00,18.56,19.046,18.492,19.008,227019,0
2017-06-15,17:00:00,18.988,19.144,18.736,18.749,466859,0
2017-06-15,18:00:00,18.754,18.804,18.609,18.736,341282,0
2017-06-15,19:00:00,18.731,18.827,18.648,18.812,351714,0
2017-06-15,20:00:00,18.812,18.9,18.809,18.837,185957,0
2017-06-15,21:00:00,18.837,18.92,18.812,18.837,356401,0
2017-06-15,22:00:00,18.832,18.94,18.832,18.92,783457,0
2017-06-16,16:00:00,18.92,18.92,18.036,18.172,600951,0
2017-06-16,17:00:00,18.162,18.337,17.997,18.133,477678,0
2017-06-16,18:00:00,18.133,18.376,18.123,18.21,578101,0
2017-06-16,19:00:00,18.21,18.21,18.016,18.016,722193,0
2017-06-16,20:00:00,18.016,18.055,17.929,17.929,348968,0
2017-06-16,21:00:00,17.939,17.948,17.861,17.934,687974,0
2017-06-16,22:00:00,17.934,17.997,17.804,17.939,2113923,0
2017-06-19,16:00:00,17.861,17.977,17.569,17.735,605867,0
2017-06-19,17:00:00,17.744,17.967,17.744,17.753,640874,0
2017-06-19,18:00:00,17.753,17.812,17.735,17.763,597284,0
2017-06-19,19:00:00,17.763,17.793,17.705,17.72,305842,0
2017-06-19,20:00:00,17.72,17.793,17.657,17.676,342517,0
2017-06-19,21:00:00,17.676,17.676,17.511,17.579,613553,0
2017-06-19,22:00:00,17.579,17.627,17.54,17.599,1111035,0
2017-06-20,16:00:00,17.559,17.783,17.496,17.549,214974,0
2017-06-20,17:00:00,17.549,17.676,17.345,17.433,527847,0
2017-06-20,18:00:00,17.423,17.481,17.307,17.38,573812,0
2017-06-20,19:00:00,17.375,17.433,17.355,17.408,602862,0
2017-06-20,20:00:00,17.413,17.472,17.365,17.37,341810,0
2017-06-20,21:00:00,17.365,17.472,17.355,17.433,369491,0
2017-06-20,22:00:00,17.433,17.491,17.423,17.463,1123472,0
2017-06-21,16:00:00,17.481,17.589,17.345,17.501,566148,0
2017-06-21,17:00:00,17.481,17.521,17.268,17.307,844495,0
2017-06-21,18:00:00,17.317,17.355,17.277,17.331,376784,0
2017-06-21,19:00:00,17.336,17.365,17.219,17.249,236280,0
2017-06-21,20:00:00,17.239,17.239,16.967,16.996,433888,0
2017-06-21,21:00:00,16.996,17.132,16.991,17.088,360812,0
2017-06-21,22:00:00,17.083,17.19,17.054,17.083,834570,0
2017-06-22,16:00:00,17.035,17.141,16.976,17.049,214487,0
2017-06-22,17:00:00,17.044,17.103,16.86,16.957,694044,0
2017-06-22,18:00:00,16.957,17.132,16.908,17.103,441317,0
2017-06-22,19:00:00,17.103,17.37,17.103,17.345,705606,0
2017-06-22,20:00:00,17.345,17.375,17.253,17.345,216968,0
2017-06-22,21:00:00,17.345,17.399,17.326,17.35,234369,0
2017-06-22,22:00:00,17.365,17.37,17.268,17.307,1177060,0
2017-06-23,16:00:00,17.326,17.642,17.317,17.637,330583,0
2017-06-23,17:00:00,17.637,17.69,17.569,17.647,425776,0
2017-06-23,18:00:00,17.647,17.715,17.612,17.637,341465,0
2017-06-23,19:00:00,17.637,17.637,17.472,17.476,344962,0
2017-06-23,20:00:00,17.481,17.481,17.287,17.345,3012813,0
2017-06-23,21:00:00,17.341,17.423,17.317,17.399,379151,0
2017-06-23,22:00:00,17.404,17.521,17.355,17.385,7645359,0
2017-06-26,16:00:00,17.423,17.773,17.413,17.667,537525,0
2017-06-26,17:00:00,17.676,17.967,17.652,17.958,771481,0
2017-06-26,18:00:00,17.958,18.026,17.783,17.803,411985,0
2017-06-26,19:00:00,17.803,17.826,17.68,17.817,301186,0
2017-06-26,20:00:00,17.812,17.919,17.748,17.899,486404,0
2017-06-26,21:00:00,17.899,17.962,17.889,17.919,504938,0
2017-06-26,22:00:00,17.929,17.967,17.871,17.909,1087416,0
2017-06-27,16:00:00,17.803,18.026,17.753,17.861,310736,0
2017-06-27,17:00:00,17.861,17.889,17.68,17.831,670393,0
2017-06-27,18:00:00,17.841,17.909,17.793,17.841,335249,0
2017-06-27,19:00:00,17.831,17.899,17.812,17.88,136286,0
2017-06-27,20:00:00,17.871,17.909,17.735,17.821,319631,0
2017-06-27,21:00:00,17.812,17.88,17.783,17.851,305542,0
2017-06-27,22:00:00,17.851,17.899,17.715,17.735,966854,0
2017-06-28,16:00:00,17.793,17.997,17.763,17.861,163536,0
2017-06-28,17:00:00,17.861,17.948,17.812,17.919,367944,0
2017-06-28,18:00:00,17.912,17.967,17.773,17.861,298728,0
2017-06-28,19:00:00,17.861,17.997,17.763,17.967,2298636,0
2017-06-28,20:00:00,17.967,17.977,17.861,17.866,164371,0
2017-06-28,21:00:00,17.871,18.035,17.861,18.007,250099,0
2017-06-28,22:00:00,18.016,18.016,17.861,17.88,731713,0
2017-06-29,16:00:00,17.744,17.967,17.735,17.88,136166,0
2017-06-29,17:00:00,17.876,18.147,17.821,18.132,248202,0
2017-06-29,18:00:00,18.128,18.21,18.045,18.065,330584,0
2017-06-29,19:00:00,18.065,18.084,17.977,18.016,228041,0
2017-06-29,20:00:00,18.016,18.065,17.958,18.045,188044,0
2017-06-29,21:00:00,18.05,18.065,17.967,17.972,240617,0
2017-06-29,22:00:00,17.967,18.011,17.899,17.929,1079062,0
2017-06-30,16:00:00,17.997,18.113,17.715,17.773,199327,0
2017-06-30,17:00:00,17.783,17.812,17.657,17.715,795371,0
2017-06-30,18:00:00,17.705,17.744,17.511,17.589,975584,0
2017-06-30,19:00:00,17.589,17.617,17.511,17.54,414322,0
2017-06-30,20:00:00,17.54,17.559,17.423,17.463,354333,0
2017-06-30,21:00:00,17.458,17.511,17.355,17.423,727680,0
2017-06-30,22:00:00,17.423,17.491,17.355,17.375,1444110,0
2017-07-03,16:00:00,17.464,17.976,17.464,17.937,276934,0
2017-07-03,17:00:00,17.937,18.055,17.838,17.961,647530,0
2017-07-03,18:00:00,17.971,18.193,17.971,18.183,734844,0
2017-07-03,19:00:00,18.173,18.459,18.134,18.371,771554,0
2017-07-03,20:00:00,18.371,18.371,18.371,18.371,76377,0
2017-07-05,16:00:00,18.321,18.321,17.72,17.873,445746,0
2017-07-05,17:00:00,17.873,17.966,17.715,17.73,553993,0
2017-07-05,18:00:00,17.72,17.799,17.592,17.611,356062,0
2017-07-05,19:00:00,17.606,17.73,17.582,17.7,225150,0
2017-07-05,20:00:00,17.7,17.72,17.503,17.552,424772,0
2017-07-05,21:00:00,17.562,17.592,17.473,17.562,254825,0
2017-07-05,22:00:00,17.567,17.616,17.454,17.454,955811,0
2017-07-06,16:00:00,17.375,17.611,17.266,17.464,238832,0
2017-07-06,17:00:00,17.464,17.542,17.335,17.39,337767,0
2017-07-06,18:00:00,17.394,17.464,17.227,17.414,477212,0
2017-07-06,19:00:00,17.424,17.533,17.404,17.454,458214,0
2017-07-06,20:00:00,17.454,17.518,17.385,17.404,267458,0
2017-07-06,21:00:00,17.404,17.434,17.35,17.434,241863,0
2017-07-06,22:00:00,17.429,17.434,17.276,17.375,1109261,0
2017-07-07,16:00:00,17.375,17.483,17.266,17.473,163961,0
2017-07-07,17:00:00,17.473,17.523,17.375,17.503,201707,0
2017-07-07,18:00:00,17.513,17.676,17.503,17.646,250360,0
2017-07-07,19:00:00,17.646,17.661,17.552,17.552,122999,0
2017-07-07,20:00:00,17.552,17.68,17.542,17.641,143303,0
2017-07-07,21:00:00,17.641,17.69,17.616,17.621,137145,0
2017-07-07,22:00:00,17.626,17.666,17.602,17.641,553605,0
2017-07-10,16:00:00,17.671,17.818,17.513,17.671,186329,0
2017-07-10,17:00:00,17.68,17.72,17.602,17.651,192397,0
2017-07-10,18:00:00,17.646,17.749,17.631,17.72,180288,0
2017-07-10,19:00:00,17.71,17.72,17.592,17.611,108560,0
2017-07-10,20:00:00,17.611,17.656,17.552,17.552,190932,0
2017-07-10,21:00:00,17.542,17.592,17.498,17.557,160347,0
2017-07-10,22:00:00,17.557,17.582,17.483,17.483,662260,0
2017-07-11,16:00:00,17.533,17.533,17.237,17.237,102780,0
2017-07-11,17:00:00,17.247,17.434,17.227,17.414,174772,0
2017-07-11,18:00:00,17.414,17.434,17.301,17.394,178280,0
2017-07-11,19:00:00,17.394,17.533,17.394,17.473,179754,0
2017-07-11,20:00:00,17.483,17.562,17.473,17.542,146111,0
2017-07-11,21:00:00,17.552,17.592,17.533,17.572,204927,0
2017-07-11,22:00:00,17.567,17.631,17.503,17.523,796857,0
2017-07-12,16:00:00,17.68,18.011,17.572,17.878,204948,0
2017-07-12,17:00:00,17.878,17.952,17.671,17.71,287521,0
2017-07-12,18:00:00,17.7,17.754,17.631,17.715,241010,0
2017-07-12,19:00:00,17.71,17.779,17.671,17.69,132773,0
2017-07-12,20:00:00,17.69,17.789,17.656,17.789,135076,0
2017-07-12,21:00:00,17.789,17.799,17.651,17.651,175649,0
2017-07-12,22:00:00,17.656,17.73,17.631,17.73,508737,0
2017-07-13,16:00:00,17.769,17.957,17.672,17.74,107323,0
2017-07-13,17:00:00,17.71,17.996,17.71,17.858,154084,0
2017-07-13,18:00:00,17.848,17.897,17.804,17.848,129281,0
2017-07-13,19:00:00,17.853,17.922,17.838,17.907,93876,0
2017-07-13,20:00:00,17.917,17.922,17.833,17.917,131954,0
2017-07-13,21:00:00,17.917,17.957,17.878,17.878,133013,0
2017-07-13,22:00:00,17.883,17.957,17.863,17.957,531824,0
2017-07-14,16:00:00,18.104,18.41,18.055,18.193,157837,0
2017-07-14,17:00:00,18.183,18.292,18.124,18.252,331837,0
2017-07-14,18:00:00,18.243,18.272,18.173,18.249,183050,0
2017-07-14,19:00:00,18.252,18.272,18.213,18.247,141140,0
2017-07-14,20:00:00,18.247,18.282,18.233,18.262,150992,0
2017-07-14,21:00:00,18.267,18.351,18.252,18.331,282218,0
2017-07-14,22:00:00,18.336,18.361,18.292,18.312,731162,0
2017-07-17,16:00:00,18.035,18.479,18.035,18.41,124579,0
2017-07-17,17:00:00,18.415,18.528,18.371,18.43,275261,0
2017-07-17,18:00:00,18.42,18.459,18.39,18.45,245728,0
2017-07-17,19:00:00,18.455,18.509,18.44,18.489,145233,0
2017-07-17,20:00:00,18.479,18.588,18.44,18.548,179151,0
2017-07-17,21:00:00,18.543,18.543,18.459,18.479,161258,0
2017-07-17,22:00:00,18.479,18.509,18.41,18.489,521408,0
2017-07-18,16:00:00,18.469,18.602,18.341,18.44,107971,0
2017-07-18,17:00:00,18.45,18.578,18.4,18.519,357765,0
2017-07-18,18:00:00,18.519,18.578,18.469,18.568,419584,0
2017-07-18,19:00:00,18.568,18.637,18.548,18.632,197014,0
