Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-29,16:00:00,25.513,25.513,25.513,25.513,209,0
2017-03-29,17:00:00,25.531,25.551,25.531,25.551,5104,0
2017-03-29,18:00:00,25.561,25.561,25.551,25.561,3534,0
2017-03-29,19:00:00,25.551,25.551,25.551,25.551,1767,0
2017-03-29,20:00:00,25.579,25.579,25.553,25.553,3914,0
2017-03-29,21:00:00,25.551,25.564,25.551,25.564,418,0
2017-03-29,22:00:00,25.551,25.599,25.551,25.599,11017,0
2017-03-30,18:00:00,25.666,25.686,25.657,25.676,16131,0
2017-03-30,20:00:00,25.695,25.695,25.695,25.695,2078,0
2017-03-30,21:00:00,25.714,25.714,25.714,25.714,100,0
2017-03-30,22:00:00,25.714,25.723,25.714,25.714,418,0
2017-03-31,16:00:00,25.662,25.67,25.662,25.67,279,0
2017-03-31,17:00:00,25.69,25.723,25.69,25.723,518,0
2017-03-31,18:00:00,25.722,25.722,25.722,25.722,418,0
2017-03-31,19:00:00,25.726,25.726,25.714,25.714,309,0
2017-03-31,20:00:00,25.685,25.685,25.685,25.685,170,0
2017-03-31,22:00:00,25.714,25.714,25.706,25.706,550,0
2017-04-03,16:00:00,25.717,25.717,25.717,25.717,687,0
2017-04-03,17:00:00,25.699,25.717,25.67,25.717,12983,0
2017-04-03,18:00:00,25.657,25.68,25.645,25.645,1107,0
2017-04-03,19:00:00,25.658,25.68,25.642,25.68,1647,0
2017-04-03,21:00:00,25.674,25.674,25.674,25.674,447,0
2017-04-03,22:00:00,25.708,25.727,25.703,25.727,431,0
2017-04-04,17:00:00,25.699,25.699,25.632,25.678,1948,0
2017-04-04,21:00:00,25.717,25.717,25.717,25.717,165,0
2017-04-04,22:00:00,25.717,25.717,25.717,25.717,100,0
2017-04-05,16:00:00,25.776,25.796,25.776,25.796,308,0
2017-04-05,17:00:00,25.766,25.786,25.766,25.786,1349,0
2017-04-05,18:00:00,25.776,25.776,25.735,25.735,308,0
2017-04-05,19:00:00,25.742,25.742,25.742,25.742,465,0
2017-04-05,20:00:00,25.766,25.766,25.766,25.766,192,0
2017-04-05,21:00:00,25.757,25.766,25.757,25.766,3209,0
2017-04-05,22:00:00,25.704,25.704,25.699,25.699,932,0
2017-04-06,16:00:00,25.699,25.699,25.699,25.699,154,0
2017-04-06,19:00:00,25.727,25.727,25.727,25.727,623,0
2017-04-06,20:00:00,25.737,25.737,25.737,25.737,100,0
2017-04-06,21:00:00,25.737,25.737,25.703,25.703,3312,0
2017-04-06,22:00:00,25.708,25.715,25.702,25.715,1740,0
2017-04-07,16:00:00,25.708,25.708,25.708,25.708,308,0
2017-04-07,17:00:00,25.766,25.766,25.747,25.747,416,0
2017-04-07,18:00:00,25.747,25.747,25.717,25.747,6304,0
2017-04-07,20:00:00,25.747,25.747,25.747,25.747,100,0
2017-04-07,22:00:00,25.742,25.742,25.737,25.737,2200,0
2017-04-10,17:00:00,25.796,25.814,25.788,25.814,623,0
2017-04-10,19:00:00,25.796,25.796,25.784,25.784,1977,0
2017-04-10,20:00:00,25.786,25.799,25.786,25.799,1258,0
2017-04-10,22:00:00,25.802,25.803,25.796,25.796,1309,0
2017-04-11,17:00:00,25.747,25.747,25.747,25.747,100,0
2017-04-11,20:00:00,25.737,25.737,25.715,25.715,1442,0
2017-04-11,22:00:00,25.713,25.713,25.713,25.713,1036,0
2017-04-12,16:00:00,25.727,25.727,25.727,25.727,182,0
2017-04-12,18:00:00,25.709,25.709,25.699,25.699,1760,0
2017-04-12,21:00:00,25.708,25.727,25.703,25.717,4377,0
2017-04-12,22:00:00,25.701,25.727,25.701,25.727,1987,0
2017-04-13,17:00:00,25.747,25.747,25.727,25.727,914,0
2017-04-13,18:00:00,25.737,25.737,25.737,25.737,308,0
2017-04-13,19:00:00,25.742,25.742,25.737,25.742,2256,0
2017-04-13,20:00:00,25.737,25.737,25.684,25.708,10976,0
