Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-06,16:00:00,25.299,25.511,25.299,25.416,903,0
2017-04-06,17:00:00,25.445,25.445,25.291,25.291,1399,0
2017-04-06,18:00:00,25.445,25.513,25.383,25.465,3610,0
2017-04-06,19:00:00,25.438,25.489,25.438,25.489,410,0
2017-04-06,20:00:00,25.421,25.435,25.397,25.401,3945,0
2017-04-06,21:00:00,25.485,25.485,25.485,25.485,1332,0
2017-04-06,22:00:00,25.485,25.485,25.475,25.475,922,0
2017-04-07,16:00:00,25.426,25.449,25.426,25.449,588,0
2017-04-07,18:00:00,25.445,25.445,25.445,25.445,512,0
2017-04-07,19:00:00,25.445,25.445,25.383,25.432,2242,0
2017-04-07,20:00:00,25.367,25.367,25.201,25.226,16640,0
2017-04-07,21:00:00,25.251,25.309,25.246,25.279,2998,0
2017-04-07,22:00:00,25.222,25.241,25.221,25.241,1599,0
2017-04-10,16:00:00,25.231,25.231,25.231,25.231,156,0
2017-04-10,17:00:00,25.295,25.339,25.277,25.291,4495,0
2017-04-10,18:00:00,25.309,25.309,25.279,25.308,2971,0
2017-04-10,19:00:00,25.299,25.319,25.293,25.319,403,0
2017-04-10,20:00:00,25.348,25.367,25.348,25.357,3681,0
2017-04-10,21:00:00,25.336,25.336,25.336,25.336,455,0
2017-04-10,22:00:00,25.348,25.348,25.319,25.319,731,0
2017-04-11,16:00:00,25.377,25.377,25.347,25.347,1435,0
2017-04-11,17:00:00,25.357,25.357,25.231,25.256,3370,0
2017-04-11,18:00:00,25.231,25.279,25.231,25.279,1040,0
2017-04-11,19:00:00,25.281,25.281,25.281,25.281,410,0
2017-04-11,20:00:00,25.251,25.251,25.241,25.241,743,0
2017-04-11,21:00:00,25.265,25.283,25.232,25.277,1100,0
2017-04-11,22:00:00,25.287,25.309,25.269,25.296,2151,0
2017-04-12,16:00:00,25.241,25.241,25.241,25.241,136,0
2017-04-12,19:00:00,25.331,25.331,25.267,25.32,795,0
2017-04-12,20:00:00,25.329,25.329,25.329,25.329,204,0
2017-04-12,21:00:00,25.318,25.339,25.306,25.339,385,0
2017-04-12,22:00:00,25.339,25.426,25.331,25.426,4938,0
2017-04-13,16:00:00,25.339,25.339,25.324,25.324,1296,0
2017-04-13,17:00:00,25.339,25.339,25.313,25.329,2553,0
2017-04-13,18:00:00,25.339,25.339,25.329,25.329,2547,0
2017-04-13,19:00:00,25.364,25.364,25.364,25.364,204,0
