Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-11,16:00:00,2.2,2.2,2.2,2.2,10000,0
2017-04-11,17:00:00,2.2,2.25,2.15,2.18,13536,0
2017-04-11,18:00:00,2.239,2.24,2.22,2.22,2800,0
2017-04-11,19:00:00,2.21,2.22,2.21,2.22,500,0
2017-04-11,20:00:00,2.22,2.22,2.22,2.22,100,0
2017-04-11,22:00:00,2.2099,2.21,2.2,2.21,1200,0
2017-04-12,17:00:00,2.22,2.22,2.21,2.21,300,0
2017-04-12,18:00:00,2.2001,2.2001,2.2001,2.2001,800,0
2017-04-12,19:00:00,2.23,2.28,2.15,2.18,7400,0
2017-04-12,20:00:00,2.2009,2.2009,2.1988,2.1988,1050,0
2017-04-12,21:00:00,2.2,2.2,2.18,2.2,800,0
2017-04-12,22:00:00,2.2,2.25,2.2,2.22,1501,0
2017-04-13,16:00:00,2.21,2.2158,2.16,2.16,300,0
2017-04-13,17:00:00,2.25,2.25,2.2364,2.2364,750,0
2017-04-13,18:00:00,2.1828,2.2499,2.17,2.2497,5400,0
2017-04-13,19:00:00,2.21,2.2163,2.2,2.2,1300,0
2017-04-13,20:00:00,2.19,2.19,2.19,2.19,100,0
2017-04-13,22:00:00,2.1766,2.1766,2.1766,2.1766,500,0
2017-04-17,16:00:00,2.15,2.2412,2.15,2.2412,3900,0
2017-04-17,17:00:00,2.29,2.29,2.16,2.16,500,0
2017-04-17,19:00:00,2.16,2.16,2.16,2.16,350,0
2017-04-17,22:00:00,2.1945,2.1945,2.16,2.16,1400,0
2017-04-18,16:00:00,2.15,2.235,2.15,2.235,1232,0
2017-04-18,17:00:00,2.25,2.3,2.2,2.23,8450,0
2017-04-18,18:00:00,2.2,2.211,2.2,2.2,2500,0
2017-04-18,19:00:00,2.2,2.2,2.17,2.18,1550,0
2017-04-18,20:00:00,2.15,2.2,2.15,2.2,38062,0
2017-04-18,21:00:00,2.2236,2.2236,2.2236,2.2236,500,0
2017-04-18,22:00:00,2.22,2.25,2.22,2.24,400,0
2017-04-19,18:00:00,2.17,2.17,2.169,2.169,718,0
2017-04-19,20:00:00,2.1951,2.2,2.19,2.19,2400,0
2017-04-19,21:00:00,2.1912,2.2,2.1912,2.2,660,0
2017-04-19,22:00:00,2.2,2.2,2.19,2.19,400,0
2017-04-20,16:00:00,2.2218,2.2218,2.2218,2.2218,100,0
2017-04-20,17:00:00,2.176,2.2,2.176,2.2,1500,0
2017-04-20,19:00:00,2.2,2.2,2.1701,2.1701,7380,0
2017-04-20,20:00:00,2.18,2.19,2.15,2.15,10900,0
2017-04-20,22:00:00,2.16,2.16,2.14,2.15,15694,0
2017-04-21,16:00:00,2.12,2.12,2.12,2.12,1205,0
2017-04-21,17:00:00,2.1101,2.14,2.1101,2.1271,1775,0
2017-04-21,18:00:00,2.12,2.14,2.12,2.123,1200,0
2017-04-21,19:00:00,2.1,2.1,2.1,2.1,200,0
2017-04-21,21:00:00,2.1172,2.13,2.1172,2.13,7600,0
2017-04-21,22:00:00,2.12,2.12,2.12,2.12,200,0
2017-04-24,16:00:00,2.1,2.1001,2.07,2.0732,10819,0
2017-04-24,17:00:00,2.084,2.084,2.07,2.07,600,0
2017-04-24,18:00:00,2.1,2.117,2.08,2.1085,7295,0
2017-04-24,19:00:00,2.1226,2.18,2.1172,2.1409,20403,0
2017-04-24,20:00:00,2.1622,2.17,2.15,2.17,5950,0
2017-04-24,21:00:00,2.1472,2.17,2.1472,2.15,8665,0
2017-04-24,22:00:00,2.16,2.18,2.15,2.18,1830,0
2017-04-25,16:00:00,2.16,2.16,2.12,2.12,1111,0
2017-04-25,17:00:00,2.15,2.15,2.1468,2.15,2200,0
2017-04-25,18:00:00,2.15,2.15,2.13,2.13,1100,0
2017-04-25,21:00:00,2.1357,2.15,2.13,2.15,5194,0
2017-04-25,22:00:00,2.14,2.15,2.135,2.15,2083,0
2017-04-26,16:00:00,2.13,2.13,2.1101,2.1101,3200,0
2017-04-26,17:00:00,2.14,2.15,2.11,2.1111,11700,0
2017-04-26,18:00:00,2.14,2.15,2.1234,2.15,11346,0
2017-04-26,19:00:00,2.15,2.15,2.15,2.15,100,0
2017-04-26,20:00:00,2.15,2.18,2.15,2.18,1300,0
2017-04-26,21:00:00,2.1737,2.18,2.15,2.16,3550,0
2017-04-26,22:00:00,2.1777,2.18,2.17,2.17,1300,0
2017-04-27,16:00:00,2.18,2.18,2.14,2.14,1500,0
2017-04-27,17:00:00,2.11,2.11,2.1,2.11,3480,0
2017-04-27,18:00:00,2.1199,2.1436,2.1199,2.12,4905,0
2017-04-27,20:00:00,2.14,2.14,2.1332,2.1332,2510,0
2017-04-27,21:00:00,2.15,2.15,2.15,2.15,200,0
2017-04-27,22:00:00,2.15,2.15,2.13,2.13,600,0
2017-04-28,16:00:00,2.12,2.12,2.11,2.1192,8332,0
2017-04-28,17:00:00,2.129,2.15,2.129,2.15,3300,0
2017-04-28,18:00:00,2.15,2.15,2.15,2.15,100,0
2017-04-28,19:00:00,2.16,2.17,2.16,2.16,2300,0
2017-04-28,20:00:00,2.1748,2.1761,2.17,2.17,800,0
2017-04-28,22:00:00,2.16,2.17,2.16,2.1645,1300,0
2017-05-01,17:00:00,2.18,2.18,2.1779,2.18,500,0
2017-05-01,18:00:00,2.1799,2.1799,2.17,2.17,1800,0
2017-05-01,20:00:00,2.18,2.18,2.17,2.18,900,0
2017-05-01,21:00:00,2.1799,2.1799,2.175,2.175,600,0
2017-05-01,22:00:00,2.1739,2.1739,2.17,2.17,750,0
2017-05-02,16:00:00,2.16,2.16,2.16,2.16,300,0
2017-05-02,17:00:00,2.16,2.18,2.16,2.18,400,0
2017-05-02,18:00:00,2.1697,2.1697,2.1697,2.1697,300,0
2017-05-02,19:00:00,2.1694,2.18,2.16,2.16,2080,0
2017-05-02,20:00:00,2.18,2.18,2.17,2.17,1600,0
2017-05-02,21:00:00,2.17,2.17,2.15,2.15,700,0
2017-05-02,22:00:00,2.15,2.17,2.15,2.17,300,0
2017-05-03,16:00:00,2.15,2.2,2.11,2.11,7165,0
2017-05-03,17:00:00,2.15,2.15,2.09,2.1149,15800,0
2017-05-03,18:00:00,2.1131,2.1131,2.1131,2.1131,150,0
2017-05-03,21:00:00,2.1,2.1369,2.09,2.1369,2987,0
2017-05-03,22:00:00,2.1165,2.14,2.1165,2.14,650,0
2017-05-04,17:00:00,2.12,2.16,2.12,2.13,1690,0
2017-05-04,20:00:00,2.11,2.11,2.07,2.07,23224,0
2017-05-04,21:00:00,2.07,2.0868,2.07,2.07,5098,0
2017-05-04,22:00:00,2.07,2.08,2.07,2.08,4600,0
2017-05-05,16:00:00,2.08,2.08,2.07,2.071,2502,0
2017-05-05,17:00:00,2.07,2.0769,2.07,2.0769,2100,0
2017-05-05,18:00:00,2.07,2.0794,2.07,2.0794,4400,0
2017-05-05,19:00:00,2.074,2.074,2.07,2.0702,1050,0
2017-05-05,20:00:00,2.07,2.0786,2.0679,2.0679,29549,0
2017-05-05,22:00:00,2.0699,2.07,2.06,2.07,1351,0
2017-05-08,16:00:00,2.1,2.1046,2.0948,2.0948,13903,0
2017-05-08,17:00:00,2.06,2.06,2.01,2.0488,9437,0
2017-05-08,18:00:00,2.03,2.03,2.01,2.01,700,0
2017-05-08,19:00:00,2,2.0312,1.97,1.98,17679,0
2017-05-08,20:00:00,1.99,2,1.99,1.9901,5200,0
2017-05-08,22:00:00,1.99,2,1.97,1.97,19713,0
