Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,80.359,80.359,79.651,79.798,31572,0
2017-05-16,17:00:00,79.759,80.192,79.759,79.916,26322,0
2017-05-16,18:00:00,79.906,80.364,79.887,80.315,29493,0
2017-05-16,19:00:00,80.3,80.447,80.123,80.123,19553,0
2017-05-16,20:00:00,80.162,80.162,79.916,79.983,15239,0
2017-05-16,21:00:00,79.956,79.995,79.75,79.906,27720,0
2017-05-16,22:00:00,79.901,80.084,79.769,79.769,106362,0
2017-05-17,16:00:00,79.778,80.743,79.778,80.743,33275,0
2017-05-17,17:00:00,80.743,80.89,80.251,80.88,39547,0
2017-05-17,18:00:00,80.861,80.87,80.497,80.605,27955,0
2017-05-17,19:00:00,80.595,80.801,80.526,80.526,14912,0
2017-05-17,20:00:00,80.506,80.683,80.438,80.615,15896,0
2017-05-17,21:00:00,80.615,80.939,80.575,80.693,49831,0
2017-05-17,22:00:00,80.723,80.733,80.015,80.103,152011,0
2017-05-18,16:00:00,80.634,80.743,79.833,80.703,42916,0
2017-05-18,17:00:00,80.723,81.047,80.408,80.703,63753,0
2017-05-18,18:00:00,80.703,81.087,80.683,80.861,124431,0
2017-05-18,19:00:00,80.851,80.851,80.369,80.379,23336,0
2017-05-18,20:00:00,80.428,80.516,80.28,80.433,24795,0
2017-05-18,21:00:00,80.438,80.555,80.359,80.546,32293,0
2017-05-18,22:00:00,80.546,80.979,80.467,80.841,107290,0
2017-05-19,16:00:00,80.743,80.772,80.074,80.516,11788,0
2017-05-19,17:00:00,80.516,80.526,80.172,80.275,30471,0
2017-05-19,18:00:00,80.261,80.654,80.202,80.585,25512,0
2017-05-19,19:00:00,80.595,80.959,80.575,80.959,19644,0
2017-05-19,20:00:00,80.969,81.145,80.939,81.082,22479,0
2017-05-19,21:00:00,81.057,81.107,80.821,81.092,42296,0
2017-05-19,22:00:00,81.077,81.116,80.781,80.909,198753,0
2017-05-22,16:00:00,80.929,81.617,80.929,81.125,18872,0
2017-05-22,17:00:00,81.116,81.205,80.801,81.027,27255,0
2017-05-22,18:00:00,80.974,81.097,80.841,81.067,40809,0
2017-05-22,19:00:00,81.057,81.107,80.87,80.88,17774,0
2017-05-22,20:00:00,80.899,80.899,80.654,80.811,17733,0
2017-05-22,21:00:00,80.781,81.027,80.777,80.949,14909,0
2017-05-22,22:00:00,80.949,81.215,80.831,81.145,165067,0
2017-05-23,16:00:00,81.313,81.569,80.989,80.998,19439,0
2017-05-23,17:00:00,81.062,81.804,81.062,81.73,33448,0
2017-05-23,18:00:00,81.755,81.785,81.233,81.376,29522,0
2017-05-23,19:00:00,81.376,81.755,81.371,81.755,27634,0
2017-05-23,20:00:00,81.765,81.922,81.745,81.755,8601,0
2017-05-23,21:00:00,81.745,81.745,81.539,81.667,24713,0
2017-05-23,22:00:00,81.667,81.667,81.46,81.549,86245,0
2017-05-24,16:00:00,81.607,82.04,81.607,81.725,9678,0
2017-05-24,17:00:00,81.755,82.158,81.696,82.089,25832,0
2017-05-24,18:00:00,82.089,82.345,81.863,82.325,12199,0
2017-05-24,19:00:00,82.374,82.434,82.043,82.129,70210,0
2017-05-24,20:00:00,82.109,82.129,81.903,82.119,14288,0
2017-05-24,21:00:00,82.158,82.335,82.158,82.266,13761,0
2017-05-24,22:00:00,82.227,82.355,82.188,82.198,96267,0
2017-05-25,16:00:00,83.034,83.476,81.805,81.942,33275,0
2017-05-25,17:00:00,82.06,82.738,81.952,82.61,15668,0
2017-05-25,18:00:00,82.61,82.934,82.492,82.876,29925,0
2017-05-25,19:00:00,82.896,82.964,82.68,82.68,10527,0
2017-05-25,20:00:00,82.728,82.748,82.453,82.532,26405,0
2017-05-25,21:00:00,82.542,82.61,82.394,82.463,25551,0
2017-05-25,22:00:00,82.482,82.512,82.355,82.473,131536,0
2017-05-26,16:00:00,82.512,82.758,82.286,82.552,9868,0
2017-05-26,17:00:00,82.527,82.738,82.492,82.562,14663,0
2017-05-26,18:00:00,82.61,82.783,82.532,82.591,24919,0
2017-05-26,19:00:00,82.591,82.63,82.384,82.414,42303,0
2017-05-26,20:00:00,82.458,82.463,82.138,82.158,8961,0
2017-05-26,21:00:00,82.021,82.08,81.932,81.981,17714,0
2017-05-26,22:00:00,81.952,81.966,81.785,81.824,142435,0
2017-05-30,16:00:00,81.952,82.217,81.607,81.696,10598,0
2017-05-30,17:00:00,81.677,82.04,81.549,81.549,33461,0
2017-05-30,18:00:00,81.549,81.961,81.479,81.952,23687,0
2017-05-30,19:00:00,81.903,81.908,81.607,81.785,19211,0
2017-05-30,20:00:00,81.795,81.952,81.765,81.795,12028,0
2017-05-30,21:00:00,81.785,81.863,81.755,81.765,20105,0
2017-05-30,22:00:00,81.765,81.883,81.686,81.765,127539,0
2017-05-31,16:00:00,82.04,82.62,82.04,82.306,12198,0
2017-05-31,17:00:00,82.217,82.424,81.981,82.217,30358,0
2017-05-31,18:00:00,82.198,82.414,81.961,82.256,54006,0
2017-05-31,19:00:00,82.217,82.306,82.089,82.227,29656,0
2017-05-31,20:00:00,82.212,82.335,81.981,82.03,29635,0
2017-05-31,21:00:00,82.03,82.148,81.942,82.148,28091,0
2017-05-31,22:00:00,82.099,82.138,81.863,81.912,353313,0
2017-06-01,16:00:00,81.795,82.188,81.47,81.509,20582,0
2017-06-01,17:00:00,81.735,81.873,81.489,81.824,40181,0
2017-06-01,18:00:00,81.834,81.853,81.489,81.706,15137,0
2017-06-01,19:00:00,81.696,81.893,81.696,81.79,15960,0
2017-06-01,20:00:00,81.814,81.863,81.686,81.843,24388,0
2017-06-01,21:00:00,81.843,81.863,81.549,81.677,26491,0
2017-06-01,22:00:00,81.706,81.824,81.607,81.725,147850,0
2017-06-02,16:00:00,82.099,82.65,81.765,81.893,67691,0
2017-06-02,17:00:00,82.021,82.502,81.912,82.355,97264,0
2017-06-02,18:00:00,82.384,82.748,82.374,82.699,77879,0
2017-06-02,19:00:00,82.708,82.728,82.453,82.512,35846,0
2017-06-02,20:00:00,82.532,82.718,82.492,82.64,44311,0
2017-06-02,21:00:00,82.64,82.856,82.6,82.846,32802,0
2017-06-02,22:00:00,82.846,83.387,82.846,83.23,155997,0
2017-06-05,16:00:00,83.034,83.431,82.699,83.358,15538,0
2017-06-05,17:00:00,83.397,83.8,83.23,83.776,42534,0
2017-06-05,18:00:00,83.741,84.046,83.544,83.987,57025,0
2017-06-05,19:00:00,83.977,84.469,83.938,84.371,46317,0
2017-06-05,20:00:00,84.331,84.971,84.331,84.941,80906,0
2017-06-05,21:00:00,84.951,85.019,84.675,84.99,72533,0
2017-06-05,22:00:00,84.975,84.98,84.547,84.627,140162,0
2017-06-06,16:00:00,84.753,84.843,84.026,84.537,8616,0
2017-06-06,17:00:00,84.518,84.745,84.292,84.745,38010,0
2017-06-06,18:00:00,84.715,85.103,84.695,84.951,53005,0
2017-06-06,19:00:00,84.921,84.921,84.527,84.567,29005,0
2017-06-06,20:00:00,84.552,84.753,84.321,84.4,36747,0
2017-06-06,21:00:00,84.39,84.414,84.115,84.243,27129,0
2017-06-06,22:00:00,84.223,84.326,83.82,83.908,141765,0
2017-06-07,16:00:00,84.046,84.862,84.007,84.715,23793,0
2017-06-07,17:00:00,84.813,85.059,84.527,85.019,35301,0
2017-06-07,18:00:00,85.039,85.413,84.961,85.305,32157,0
2017-06-07,19:00:00,85.31,85.383,85.039,85.039,69349,0
2017-06-07,20:00:00,85.039,85.257,84.961,85.236,22098,0
2017-06-07,21:00:00,85.226,85.255,84.994,85.029,23814,0
2017-06-07,22:00:00,85.049,85.127,84.783,84.853,194355,0
2017-06-08,16:00:00,85.049,85.373,84.075,84.183,13329,0
2017-06-08,17:00:00,84.115,84.518,84.08,84.381,33256,0
2017-06-08,18:00:00,84.39,85.088,84.331,84.971,97010,0
2017-06-08,19:00:00,85.009,85.226,84.793,84.803,44566,0
2017-06-08,20:00:00,84.793,84.872,84.527,84.577,33503,0
2017-06-08,21:00:00,84.645,84.745,84.419,84.439,39305,0
2017-06-08,22:00:00,84.449,84.853,84.439,84.803,133124,0
2017-06-09,16:00:00,84.813,85.275,84.509,84.853,9505,0
2017-06-09,17:00:00,84.853,85.009,84.685,84.828,34932,0
2017-06-09,18:00:00,84.783,85.167,84.745,85.147,29018,0
2017-06-09,19:00:00,85.108,85.314,85.049,85.069,25542,0
2017-06-09,20:00:00,85.059,85.25,84.98,85.25,44111,0
2017-06-09,21:00:00,85.295,85.639,85.285,85.403,49208,0
