Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,6.55,6.55,6.35,6.425,31950,0
2017-05-16,17:00:00,6.425,6.45,6.35,6.4,41418,0
2017-05-16,18:00:00,6.4,6.425,6.35,6.35,30437,0
2017-05-16,19:00:00,6.35,6.4,6.35,6.35,23732,0
2017-05-16,20:00:00,6.375,6.4,6.35,6.4,14550,0
2017-05-16,21:00:00,6.4,6.45,6.35,6.4,57844,0
2017-05-16,22:00:00,6.375,6.5,6.375,6.45,166395,0
2017-05-17,16:00:00,6.4,6.4,6.3,6.3,45919,0
2017-05-17,17:00:00,6.35,6.4,6.25,6.25,64419,0
2017-05-17,18:00:00,6.3,6.3,6.2,6.275,72350,0
2017-05-17,19:00:00,6.275,6.4,6.225,6.275,64704,0
2017-05-17,20:00:00,6.275,6.3,6.15,6.25,42270,0
2017-05-17,21:00:00,6.25,6.25,6.125,6.175,49670,0
2017-05-17,22:00:00,6.2,6.3,6.15,6.2,144214,0
2017-05-18,16:00:00,6.25,6.35,6.05,6.125,41278,0
2017-05-18,17:00:00,6.15,6.3,6.1,6.25,75631,0
2017-05-18,18:00:00,6.225,6.25,6.15,6.2,33686,0
2017-05-18,19:00:00,6.2,6.25,6.15,6.2,15092,0
2017-05-18,20:00:00,6.2,6.225,6.15,6.2,21406,0
2017-05-18,21:00:00,6.175,6.25,6.15,6.15,77294,0
2017-05-18,22:00:00,6.15,6.25,6.05,6.05,232374,0
2017-05-19,16:00:00,6.1,6.35,6.1,6.325,38897,0
2017-05-19,17:00:00,6.325,6.45,6.3,6.375,57260,0
2017-05-19,18:00:00,6.375,6.4,6.3,6.35,25738,0
2017-05-19,19:00:00,6.35,6.4,6.3,6.35,9353,0
2017-05-19,20:00:00,6.4,6.4,6.25,6.325,85646,0
2017-05-19,21:00:00,6.35,6.4,6.3,6.35,22208,0
2017-05-19,22:00:00,6.35,6.4,6.3,6.3,112963,0
2017-05-22,16:00:00,6.3,6.4,6.2,6.375,6028,0
2017-05-22,17:00:00,6.35,6.4,6.3,6.4,48436,0
2017-05-22,18:00:00,6.375,6.75,6.35,6.4,162808,0
2017-05-22,19:00:00,6.4,6.45,6.3,6.425,184643,0
2017-05-22,20:00:00,6.45,6.475,6.35,6.425,97403,0
2017-05-22,21:00:00,6.45,6.45,6.4,6.425,27033,0
2017-05-22,22:00:00,6.425,6.45,6.325,6.4,183602,0
2017-05-23,16:00:00,6.35,6.4,6.35,6.4,5712,0
2017-05-23,17:00:00,6.375,6.4,6.35,6.4,36727,0
2017-05-23,18:00:00,6.4,6.45,6.35,6.45,41013,0
2017-05-23,19:00:00,6.45,6.45,6.375,6.375,49421,0
2017-05-23,20:00:00,6.4,6.45,6.35,6.4,16915,0
2017-05-23,21:00:00,6.45,6.45,6.4,6.4,14078,0
2017-05-23,22:00:00,6.45,6.55,6.4,6.5,195530,0
2017-05-24,16:00:00,6.5,6.95,6.5,6.9,77461,0
2017-05-24,17:00:00,6.8619,7,6.6,6.725,187187,0
2017-05-24,18:00:00,6.725,6.75,6.45,6.5,75490,0
2017-05-24,19:00:00,6.475,6.55,6.4,6.55,30786,0
2017-05-24,20:00:00,6.55,6.6,6.5,6.5,35269,0
2017-05-24,21:00:00,6.55,6.575,6.45,6.5,52616,0
2017-05-24,22:00:00,6.475,6.7,6.45,6.6,154625,0
2017-05-25,16:00:00,6.7,6.7829,6.55,6.775,36543,0
2017-05-25,17:00:00,6.775,6.85,6.7,6.75,63713,0
2017-05-25,18:00:00,6.75,6.8,6.65,6.675,70198,0
2017-05-25,19:00:00,6.65,6.7,6.625,6.65,18561,0
2017-05-25,20:00:00,6.7,6.7,6.6,6.625,29582,0
2017-05-25,21:00:00,6.625,6.65,6.525,6.525,55439,0
2017-05-25,22:00:00,6.525,6.575,6.4,6.4,357339,0
2017-05-26,16:00:00,6.4,6.595,6.3,6.55,46856,0
2017-05-26,17:00:00,6.55,6.6,6.4,6.5,151424,0
2017-05-26,18:00:00,6.5,6.6,6.45,6.5,43809,0
2017-05-26,19:00:00,6.5,6.65,6.5,6.65,21311,0
2017-05-26,20:00:00,6.65,6.775,6.55,6.7,122283,0
2017-05-26,21:00:00,6.7,6.9,6.7,6.725,93390,0
2017-05-26,22:00:00,6.7,6.725,6.6,6.65,113347,0
2017-05-30,16:00:00,6.6,6.85,6.6,6.775,42933,0
2017-05-30,17:00:00,6.775,6.85,6.75,6.8,61131,0
2017-05-30,18:00:00,6.775,6.9,6.75,6.9,128528,0
2017-05-30,19:00:00,6.9,7,6.85,6.95,132678,0
2017-05-30,20:00:00,6.95,7,6.85,6.875,199985,0
2017-05-30,21:00:00,6.875,6.9,6.8,6.9,57303,0
2017-05-30,22:00:00,6.85,6.95,6.8,6.85,455019,0
2017-05-31,16:00:00,6.8,6.85,6.6,6.65,19383,0
2017-05-31,17:00:00,6.65,6.8,6.6,6.75,75632,0
2017-05-31,18:00:00,6.75,6.8,6.7,6.8,52791,0
2017-05-31,19:00:00,6.8,6.95,6.775,6.925,33713,0
2017-05-31,20:00:00,6.925,7,6.875,6.925,131043,0
2017-05-31,21:00:00,6.925,6.95,6.75,6.775,113453,0
2017-05-31,22:00:00,6.775,6.8,6.7,6.75,141425,0
2017-06-01,16:00:00,6.7,6.95,6.7,6.9,51629,0
2017-06-01,17:00:00,6.875,7,6.8,6.875,77919,0
2017-06-01,18:00:00,6.85,6.9,6.8,6.9,26885,0
2017-06-01,19:00:00,6.85,6.95,6.85,6.925,23145,0
2017-06-01,20:00:00,6.925,6.925,6.825,6.85,73373,0
2017-06-01,21:00:00,6.85,6.9,6.8,6.875,50631,0
2017-06-01,22:00:00,6.875,6.9,6.8,6.85,180634,0
2017-06-02,16:00:00,6.9,6.9,6.75,6.775,18160,0
2017-06-02,17:00:00,6.8,7.275,6.75,7.2,514236,0
2017-06-02,18:00:00,7.15,7.2,7.15,7.175,54352,0
2017-06-02,19:00:00,7.2,7.2,7.1,7.15,98135,0
2017-06-02,20:00:00,7.15,7.2,7.1,7.125,159907,0
2017-06-02,21:00:00,7.125,7.15,7.1,7.15,68194,0
2017-06-02,22:00:00,7.15,7.15,7,7.05,224405,0
2017-06-05,16:00:00,7,7.06,6.95,7.025,46480,0
2017-06-05,17:00:00,7.025,7.1,7,7.05,55900,0
2017-06-05,18:00:00,7.025,7.075,6.975,6.975,37399,0
2017-06-05,19:00:00,6.975,7.1,6.95,7.075,45792,0
2017-06-05,20:00:00,7.05,7.1,7,7.1,32323,0
2017-06-05,21:00:00,7.1,7.125,7.05,7.1,100297,0
2017-06-05,22:00:00,7.1,7.15,7.05,7.1,138191,0
2017-06-06,16:00:00,7.05,7.2,7.05,7.2,62224,0
2017-06-06,17:00:00,7.2,7.35,7.15,7.15,107776,0
2017-06-06,18:00:00,7.15,7.15,7.05,7.15,42553,0
2017-06-06,19:00:00,7.15,7.15,7.1,7.1,32884,0
2017-06-06,20:00:00,7.125,7.15,7.1,7.1,7772,0
2017-06-06,21:00:00,7.15,7.15,7.05,7.05,138214,0
2017-06-06,22:00:00,7.075,7.15,6.95,7.05,467732,0
2017-06-07,16:00:00,7.05,7.15,7.05,7.15,37102,0
2017-06-07,17:00:00,7.15,7.15,7.025,7.075,102728,0
2017-06-07,18:00:00,7.075,7.1,7,7.05,46244,0
2017-06-07,19:00:00,7.05,7.05,7,7.05,55468,0
2017-06-07,20:00:00,7.05,7.05,7,7.05,69794,0
2017-06-07,21:00:00,7.05,7.05,7,7.05,119120,0
2017-06-07,22:00:00,7.05,7.05,7,7.05,113315,0
2017-06-08,16:00:00,7.05,7.1,6.9,7.075,28213,0
2017-06-08,17:00:00,7.1,7.1,7.05,7.075,52128,0
2017-06-08,18:00:00,7.1,7.2,7.05,7.1,193126,0
2017-06-08,19:00:00,7.1,7.2,7.05,7.125,106077,0
2017-06-08,20:00:00,7.15,7.25,7.1,7.2,112308,0
2017-06-08,21:00:00,7.2,7.25,7.15,7.15,94528,0
2017-06-08,22:00:00,7.15,7.2,7.1,7.15,212665,0
2017-06-09,16:00:00,7.2,7.25,7.175,7.25,13728,0
2017-06-09,17:00:00,7.2,7.25,7.1,7.15,120138,0
2017-06-09,18:00:00,7.15,7.175,7.1,7.125,108765,0
2017-06-09,19:00:00,7.125,7.15,7.125,7.15,13075,0
2017-06-09,20:00:00,7.125,7.15,7.1,7.125,8746,0
2017-06-09,21:00:00,7.125,7.15,7.025,7.05,92754,0
2017-06-09,22:00:00,7.05,7.2,7.05,7.15,150266,0
2017-06-12,16:00:00,7.1,7.2,7.1,7.15,32383,0
2017-06-12,17:00:00,7.15,7.3,7.1,7.25,43067,0
2017-06-12,18:00:00,7.25,7.3,7.15,7.275,129976,0
2017-06-12,19:00:00,7.275,7.3,7.225,7.25,94569,0
2017-06-12,20:00:00,7.25,7.3,7.225,7.275,74312,0
2017-06-12,21:00:00,7.275,7.3,7.2,7.275,220380,0
2017-06-12,22:00:00,7.2739,7.4,7.2,7.35,355502,0
2017-06-13,16:00:00,7.45,7.45,7.3,7.4,35379,0
2017-06-13,17:00:00,7.4,7.4,7.3,7.375,75275,0
2017-06-13,18:00:00,7.375,7.5,7.35,7.5,146263,0
2017-06-13,19:00:00,7.5,7.6,7.45,7.5,116373,0
2017-06-13,20:00:00,7.45,7.5,7.35,7.375,55403,0
2017-06-13,21:00:00,7.375,7.4,7.35,7.35,71333,0
2017-06-13,22:00:00,7.375,7.4,7.25,7.3,358706,0
2017-06-14,16:00:00,7.35,7.35,7.15,7.17,19280,0
2017-06-14,17:00:00,7.175,7.2,7.05,7.075,47740,0
2017-06-14,18:00:00,7.075,7.15,7,7.1,39179,0
2017-06-14,19:00:00,7.075,7.1,7.025,7.05,40887,0
2017-06-14,20:00:00,7.05,7.1,7,7.1,63111,0
2017-06-14,21:00:00,7.1,7.1,6.9154,6.975,64190,0
2017-06-14,22:00:00,7,7,6.95,7,95237,0
2017-06-15,16:00:00,6.9,6.95,6.8,6.95,39435,0
2017-06-15,17:00:00,6.95,6.95,6.775,6.825,27180,0
2017-06-15,18:00:00,6.825,6.95,6.8,6.95,36675,0
2017-06-15,19:00:00,6.95,6.95,6.9,6.9,27994,0
2017-06-15,20:00:00,6.9,6.95,6.9,6.925,10647,0
2017-06-15,21:00:00,6.95,6.95,6.85,6.9,42944,0
2017-06-15,22:00:00,6.9,6.95,6.75,6.8,110198,0
2017-06-16,16:00:00,6.8,6.9,6.705,6.825,51798,0
2017-06-16,17:00:00,6.85,6.85,6.775,6.775,38682,0
2017-06-16,18:00:00,6.8,6.8,6.7,6.75,40752,0
2017-06-16,19:00:00,6.75,6.775,6.7,6.75,15200,0
2017-06-16,20:00:00,6.75,6.75,6.65,6.675,33920,0
2017-06-16,21:00:00,6.7,6.7,6.6,6.65,59624,0
